安才楼,an'cai'lou
按几个,an'ji'ge
俺老班,an'lao'ban
俺同位,an'tong'wei
俺小,an'xiao
安庄,an'zhuang
俺庄上,an'zhuang'shang
奥林花园,ao'lin'hua'yuan
八里湾,ba'li'wan
坝头,ba'tou
八一街,ba'yi'jie
白浮,bai'fu
白将军,bai'jiang'jun
百事得,bai'shi'de
半堤,ban'di
班空,ban'kong
北关,bei'guan
北关医院,bei'guan'yi'yuan
必须类,bi'xu'lei
表演服,biao'yan'fu
别佛,bie'fo
别忘喽,bie'wang'lou
不白搭,bu'bai'da
不佛了,bu'fo'le
不给你佛,bu'gei'ni'fo
不给你玩啦,bu'gei'ni'wan'la
不客服,bu'ke'fu
不落落,bu'luo'luo
不孬,bu'nao
不孬不,bu'nao'bu
不孬不孬,bu'nao'bu'nao
不孬来,bu'nao'lai
不孬类,bu'nao'lei
布尼迪,bu'ni'di
不认类,bu'ren'lei
不舍类,bu'she'lei
不信散,bu'xin'san
不在本,bu'zai'ben
不在菏泽,bu'zai'he'ze
不准头,bu'zhun'tou
菜园集,cai'yuan'ji
蔡庄,cai'zhuang
曹城镇,cao'cheng'zhen
草点,cao'dian
曹楼,cao'lou
曹县,cao'xian
曹县吧,cao'xian'ba
曹县的,cao'xian'de
曹县了,cao'xian'le
曹县一中,cao'xian'yi'zhong
曹一,cao'yi
曹州路,cao'zhou'lu
曹州一中,cao'zhou'yi'zhong
曹庄,cao'zhuang
缠磨,chan'mo
敞开打,chang'kai'da
常乐集,chang'le'ji
常庄,chang'zhuang
晁庄,chao'zhuang
陈集,chen'ji
陈集镇,chen'ji'zhen
陈楼,chen'lou
陈路口,chen'lu'kou
陈坡乡,chen'po'xiang
陈庄,chen'zhuang
撑不了,cheng'bu'liao
撑不了了,cheng'bu'liao'le
程屯镇,cheng'tun'zhen
成武,cheng'wu
成武吧,cheng'wu'ba
成武的,cheng'wu'de
成武二中,cheng'wu'er'zhong
成武县,cheng'wu'xian
程庄,cheng'zhuang
吃罢饭,chi'ba'fan
吃着那,chi'zhe'na
臭妮的,chou'ni'de
愁死咯,chou'si'lo
愁死喽,chou'si'lou
从菏泽,cong'he'ze
崔春玲,cui'chun'ling
达驰,da'chi
大菏泽,da'he'ze
大黄集,da'huang'ji
大巨野,da'ju'ye
大李庄,da'li'zhuang
大刘庄,da'liu'zhuang
大埝乡,da'nian'xiang
大平调,da'ping'diao
大田集,da'tian'ji
大学嘉园,da'xue'jia'yuan
大义镇,da'yi'zhen
大众网,da'zhong'wang
打字社,da'zi'she
代庄,dai'zhuang
单城镇,dan'cheng'zhen
单县一中,dan'xian'yi'zhong
丹阳路,dan'yang'lu
到曹县,dao'cao'xian
到菏泽,dao'he'ze
到巨野,dao'ju'ye
到郓城,dao'yun'cheng
德乾,de'qian
帝都花园,di'du'hua'yuan
帝景湾,di'jing'wan
点歌员,dian'ge'yuan
佃户屯,dian'hu'tun
电轿,dian'jiao
吊日类,diao'ri'lei
丁里长,ding'li'chang
丁里长镇,ding'li'chang'zhen
丁楼,ding'lou
定谈,ding'tan
定陶,ding'tao
定陶吧,ding'tao'ba
定陶的,ding'tao'de
定陶县,ding'tao'xian
定陶镇,ding'tao'zhen
