阿加德米,a'jia'de'mi
阿里斯托勒斯,a'li'si'tuo'le'si
阿摩尼阿斯,a'mo'ni'a'si
阿摩尼阿斯萨卡斯,a'mo'ni'a'si'sa'ka'si
阿那克萨戈拉,a'na'ke'sa'ge'la
阿那克西曼德,a'na'ke'xi'man'de
阿纳克西曼德,a'na'ke'xi'man'de
阿那克西美尼,a'na'ke'xi'mei'ni
阿纳克西美尼,a'na'ke'xi'mei'ni
阿那克西米尼,a'na'ke'xi'mi'ni
阿奇拜得篇之二,a'qi'bai'de'pian'zhi'er
阿奇拜得篇之一,a'qi'bai'de'pian'zhi'yi
爱比克泰德,ai'bi'ke'tai'de
爱非斯,ai'fei'si
艾菲索斯,ai'fei'suo'si
爱利亚派,ai'li'ya'pai
爱利亚学派,ai'li'ya'xue'pai
爱智,ai'zhi
安提斯泰尼,an'ti'si'tai'ni
奥古斯丁,ao'gu'si'ding
奥勒留,ao'le'liu
巴曼尼得斯篇,ba'man'ni'de'si'pian
巴门尼德,ba'men'ni'de
巴门尼德的,ba'men'ni'de'de
被继承,bei'ji'cheng
贝莱,bei'lai
被誉为,bei'yu'wei
本原,ben'yuan
彼岸世界,bi'an'shi'jie
毕达哥拉斯,bi'da'ge'la'si
毕达哥拉斯学派,bi'da'ge'la'si'xue'pai
表现出,biao'xian'chu
并称为,bing'cheng'wei
波菲利,bo'fei'li
柏拉图的,bo'la'tu'de
柏拉图主义,bo'la'tu'zhu'yi
波昔东尼,bo'xi'dong'ni
不必担心,bu'bi'dan'xin
不依赖于,bu'yi'lai'yu
不再存在,bu'zai'cun'zai
不知廉耻,bu'zhi'lian'chi
不自然的,bu'zi'ran'de
产生矛盾,chan'sheng'mao'dun
超自然的,chao'zi'ran'de
沉思冥想,chen'si'ming'xiang
充满瑕疵,chong'man'xia'ci
崇尚知识,chong'shang'zhi'shi
创立了,chuang'li'le
创造的科学,chuang'zao'de'ke'xue
纯思维,chun'si'wei
戴奥真尼斯,dai'ao'zhen'ni'si
代表人物,dai'biao'ren'wu
道德完善,dao'de'wan'shan
道德修养,dao'de'xiu'yang
道德原则,dao'de'yuan'ze
道德哲学,dao'de'zhe'xue
的弟子,de'di'zi
的核心,de'he'xin
德勒斯,de'le'si
德谟克利特,de'mo'ke'li'te
的思想,de'si'xiang
的问题,de'wen'ti
的影子,de'ying'zi
狄奥根尼,di'ao'gen'ni
迪奥吉尼士,di'ao'ji'ni'shi
第欧根尼,di'ou'gen'ni
敌我分明,di'wo'fen'ming
第一哲学,di'yi'zhe'xue
地中海沿岸,di'zhong'hai'yan'an
东方神秘主义,dong'fang'shen'mi'zhu'yi
独立存在,du'li'cun'zai
对立起来,dui'li'qi'lai
对应词汇,dui'ying'ci'hui
恩培多克勒,en'pei'duo'ke'le
法律篇,fa'lv'pian
发现真理,fa'xian'zhen'li
反复问答,fan'fu'wen'da
非常激烈,fei'chang'ji'lie
斐德罗篇篇,fei'de'luo'pian'pian
斐多篇,fei'duo'pian
斐利布斯篇,fei'li'bu'si'pian
菲力帕斯篇,fei'li'pa'si'pian
菲罗索菲亚,fei'luo'suo'fei'ya
非宗教精神,fei'zong'jiao'jing'shen
愤世嫉俗,fen'shi'ji'su
概念范畴,gai'nian'fan'chou
概要观点,gai'yao'guan'dian
感观,gan'guan
感觉和理性,gan'jue'he'li'xing
感觉灵敏,gan'jue'ling'min
感性认识,gan'xing'ren'shi
敢咬敢斗,gan'yao'gan'dou
高度发展,gao'du'fa'zhan
高尔吉亚,gao'er'ji'ya
高尔吉亚篇,gao'er'ji'ya'pian
个别特征,ge'bie'te'zheng
根本变化,gen'ben'bian'hua
根本原因,gen'ben'yuan'yin
更有名,geng'you'ming
公众利益,gong'zhong'li'yi
古典希腊哲学,gu'dian'xi'la'zhe'xue
古典政治学,gu'dian'zheng'zhi'xue
古风时代,gu'feng'shi'dai
古希腊城邦,gu'xi'la'cheng'bang
古希腊罗马哲学,gu'xi'la'luo'ma'zhe'xue
古希腊思想,gu'xi'la'si'xiang
古希腊思想家,gu'xi'la'si'xiang'jia
古希腊文,gu'xi'la'wen
古希腊文化,gu'xi'la'wen'hua
古希腊哲学家,gu'xi'la'zhe'xue'jia
固有知识,gu'you'zhi'shi
怪异行为,guai'yi'xing'wei
管理国家,guan'li'guo'jia
贵族政治理想,gui'zu'zheng'zhi'li'xiang
国家机器,guo'jia'ji'qi
赫拉克利特,he'la'ke'li'te
很相似,hen'xiang'si
怀疑主义,huai'yi'zhu'yi
回忆说,hui'yi'shuo
获得幸福,huo'de'xing'fu
活动能力,huo'dong'neng'li
基本取向,ji'ben'qu'xiang
基本问题,ji'ben'wen'ti
基督教神学,ji'du'jiao'shen'xue
基督教神学观念,ji'du'jiao'shen'xue'guan'nian
基督教文论,ji'du'jiao'wen'lun
讥诮嘲讽,ji'qiao'chao'feng
极权主义国家,ji'quan'zhu'yi'guo'jia
基提翁的芝诺,ji'ti'weng'de'zhi'nuo
讲课笔记,jiang'ke'bi'ji
交会地,jiao'hui'di
教条主义,jiao'tiao'zhu'yi
教学方法,jiao'xue'fang'fa
教学过程,jiao'xue'guo'cheng
教学理论,jiao'xue'li'lun
教学目的,jiao'xue'mu'di
教学思想,jiao'xue'si'xiang
禁欲主义,jin'yu'zhu'yi
精神修养,jing'shen'xiu'yang
惊异感,jing'yi'gan
经院派,jing'yuan'pai
绝对不会,jue'dui'bu'hui
克堤拉斯篇,ke'di'la'si'pian
客观唯心主义,ke'guan'wei'xin'zhu'yi
克雷安德,ke'lei'an'de
克力同篇,ke'li'tong'pian
科林斯,ke'lin'si
克吕西波,ke'lv'xi'bo
苦行主义,ku'xing'zhu'yi
拉尔修,la'er'xiu
兰普萨古,lan'pu'sa'gu
理论的科学,li'lun'de'ke'xue
理论基础,li'lun'ji'chu
理念的世界,li'nian'de'shi'jie
理念论,li'nian'lun
理念世界,li'nian'shi'jie
理想国,li'xiang'guo
理性发展,li'xing'fa'zhan
理性方案,li'xing'fang'an
理性主义者,li'xing'zhu'yi'zhe
留基伯,liu'ji'bo
流行时间,liu'xing'shi'jian
卢克莱修,lu'ke'lai'xiu
伦理学,lun'li'xue
罗马时期,luo'ma'shi'qi
马可,ma'ke
麦加拉学派,mai'jia'la'xue'pai
麦里梭,mai'li'suo
美的根源,mei'di'gen'yuan
每种现象,mei'zhong'xian'xiang
米利都,mi'li'dou
米利都人,mi'li'dou'ren
米利都学派,mi'li'dou'xue'pai
米特林,mi'te'lin
某些特征,mou'xie'te'zheng
穆斯林哲学,mu'si'lin'zhe'xue
木桶里,mu'tong'li
脑昔芬尼,nao'xi'fen'ni
内心世界,nei'xin'shi'jie
欧布里德,ou'bu'li'de
欧克里德,ou'ke'li'de
潘尼提乌,pan'ni'ti'wu
普罗克洛斯,pu'luo'ke'luo'si
普罗泰戈拉,pu'luo'tai'ge'la
普罗提诺,pu'luo'ti'nuo
普通科学,pu'tong'ke'xue
普通人民,pu'tong'ren'min
启蒙运动,qi'meng'yun'dong
其他阶级,qi'ta'jie'ji
起源于,qi'yuan'yu
潜在的,qian'zai'de
强调理性,qiang'diao'li'xing
去解释,qu'jie'shi
全盘否定,quan'pan'fou'ding
犬儒,quan'ru
犬儒理念,quan'ru'li'nian
犬儒学派,quan'ru'xue'pai
犬儒学者,quan'ru'xue'zhe
犬儒主义,quan'ru'zhu'yi
犬儒主义学派,quan'ru'zhu'yi'xue'pai
犬儒主义者,quan'ru'zhu'yi'zhe
人的灵魂,ren'de'ling'hun
人类感官,ren'lei'gan'guan
人类生命,ren'lei'sheng'ming
人神关系,ren'shen'guan'xi
认识论,ren'shi'lun
人自己,ren'zi'ji
人自身,ren'zi'shen
萨卡斯,sa'ka'si
塞内卡,sai'nei'ka
三大哲学家,san'da'zhe'xue'jia
三个阶段,san'ge'jie'duan
