爱思所牵引,ai'si'suo'qian'yin
安住分位时,an'zhu'fen'wei'shi
百次分析因,bai'ci'fen'xi'yin
白等具数等,bai'deng'ju'shu'deng
剥皮则死故,bao'pi'ze'si'gu
悲或由业感,bei'huo'you'ye'gan
悲心等串习,bei'xin'deng'chuan'xi
悲心微弱故,bei'xin'wei'ruo'gu
悲由自种生,bei'you'zi'zhong'sheng
本身之自性,ben'shen'zhi'zi'xing
本无功德者,ben'wu'gong'de'zhe
本性同因故,ben'xing'tong'yin'gu
彼本性无系,bi'ben'xing'wu'xi
彼辩亦等同,bi'bian'yi'deng'tong
彼成同时性,bi'cheng'tong'shi'xing
彼耽我所种,bi'dan'wo'suo'zhong
彼等彼差别,bi'deng'bi'cha'bie
彼等观痛苦,bi'deng'guan'tong'ku
彼等能受生,bi'deng'neng'shou'sheng
彼等盛衰中,bi'deng'sheng'shuai'zhong
彼等思本业,bi'deng'si'ben'ye
彼等相同果,bi'deng'xiang'tong'guo
彼等亦变异,bi'deng'yi'bian'yi
彼等亦应同,bi'deng'yi'ying'tong
彼等与彼异,bi'deng'yu'bi'yi
彼谛异体性,bi'di'yi'ti'xing
彼对治亦定,bi'dui'zhi'yi'ding
彼二是相违,bi'er'shi'xiang'wei
彼二体异故,bi'er'ti'yi'gu
彼法外他法,bi'fa'wai'ta'fa
彼非常法有,bi'fei'chang'fa'you
彼非任何因,bi'fei'ren'he'yin
彼非始终苦,bi'fei'shi'zhong'ku
彼非永恒性,bi'fei'yong'heng'xing
彼过及功德,bi'guo'ji'gong'de
彼果如何存,bi'guo'ru'he'cun
彼何不复活,bi'he'bu'fu'huo
彼何具何无,bi'he'ju'he'wu
彼何舍弃我,bi'he'she'qi'wo
彼何时非因,bi'he'shi'fei'yin
彼即坏聚见,bi'ji'huai'ju'jian
彼即无复返,bi'ji'wu'fu'fan
彼即业果故,bi'ji'ye'guo'gu
彼将受折磨,bi'jiang'shou'zhe'mo
彼近取非理,bi'jin'qu'fei'li
彼离贪何有,bi'li'tan'he'you
比量非应理,bi'liang'fei'ying'li
比量推他因,bi'liang'tui'ta'yin
比量推诸业,bi'liang'tui'zhu'ye
比量之所依,bi'liang'zhi'suo'yi
彼灭则复依,bi'mie'ze'fu'yi
彼名乃量性,bi'ming'nai'liang'xing
彼能立亦无,bi'neng'li'yi'wu
彼岂具次第,bi'qi'ju'ci'di
彼时复成活,bi'shi'fu'cheng'huo
彼时无心故,bi'shi'wu'xin'gu
彼事赞导师,bi'shi'zan'dao'shi
彼唯尔时住,bi'wei'er'shi'zhu
彼无常性故,bi'wu'chang'xing'gu
彼无则非由,bi'wu'ze'fei'you
彼先已现量,bi'xian'yi'xian'liang
彼心无结生,bi'xin'wu'jie'sheng
彼许欲坏爱,bi'xu'yu'huai'ai
彼亦复出现,bi'yi'fu'chu'xian
彼亦将毁灭,bi'yi'jiang'hui'mie
彼依识执取,bi'yi'shi'zhi'qu
彼亦调适等,bi'yi'tiao'shi'deng
彼亦同过失,bi'yi'tong'guo'shi
彼亦显次第,bi'yi'xian'ci'di
彼亦有别故,bi'yi'you'bie'gu
彼亦与之同,bi'yi'yu'zhi'tong
彼亦执有情,bi'yi'zhi'you'qing
彼因恒存故,bi'yin'heng'cun'gu
彼因俱有缘,bi'yin'ju'you'yuan
彼由不见生,bi'you'bu'jian'sheng
彼有此有故,bi'you'ci'you'gu
彼有方有之,bi'you'fang'you'zhi
彼与大无别,bi'yu'da'wu'bie
彼于事作何,bi'yu'shi'zuo'he
彼于我等同,bi'yu'wo'deng'tong
彼于一切事,bi'yu'yi'qie'shi
彼者大悲心,bi'zhe'da'bei'xin
彼者即有欲,bi'zhe'ji'you'yu
彼者偶尔得,bi'zhe'ou'er'de
彼者为导师,bi'zhe'wei'dao'shi
彼者为主故,bi'zhe'wei'zhu'gu
彼之识利故,bi'zhi'shi'li'gu
彼智亦成立,bi'zhi'yi'cheng'li
彼之因非有,bi'zhi'yin'fei'you
彼中成如何,bi'zhong'cheng'ru'he
彼住无过患,bi'zhu'wu'guo'huan
彼住因作何,bi'zhu'yin'zuo'he
彼总或分支,bi'zong'huo'fen'zhi
变小非异类,bian'xiao'fei'yi'lei
别增非性故,bie'zeng'fei'xing'gu
并非无解脱,bing'fei'wu'jie'tuo
并非悉皆无,bing'fei'xi'jie'wu
并非越自性,bing'fei'yue'zi'xing
不变近取果,bu'bian'jin'qu'guo
不变瓶子等,bu'bian'ping'zi'deng
不成其分支,bu'cheng'qi'fen'zhi
不成无差异,bu'cheng'wu'cha'yi
不定皆会生,bu'ding'jie'hui'sheng
不定一女精,bu'ding'yi'nv'jing
不定有彼故,bu'ding'you'bi'gu
不复生有者,bu'fu'sheng'you'zhe
不见彼等境,bu'jian'bi'deng'jing
不见此固定,bu'jian'ci'gu'ding
不见轻微烟,bu'jian'qing'wei'yan
不见所谓我,bu'jian'suo'wei'wo
不结生余故,bu'jie'sheng'yu'gu
不可说无常,bu'ke'shuo'wu'chang
不离贪我所,bu'li'tan'wo'suo
不能断除彼,bu'neng'duan'chu'bi
不起我所心,bu'qi'wo'suo'xin
不容观待故,bu'rong'guan'dai'gu
不舍事业故,bu'she'shi'ye'gu
不生次第者,bu'sheng'ci'di'zhe
不生苦因解,bu'sheng'ku'yin'jie
不生诸垢心,bu'sheng'zhu'gou'xin
不稳如蛇识,bu'wen'ru'she'shi
不现讲彼难,bu'xian'jiang'bi'nan
不许非为因,bu'xu'fei'wei'yin
不以求乐转,bu'yi'qiu'le'zhuan
不引诸其余,bu'yin'zhu'qi'yu
不执德亦尔,bu'zhi'de'yi'er
不知而知故,bu'zhi'er'zhi'gu
不知于所说,bu'zhi'yu'suo'shuo
不住自性中,bu'zhu'zi'xing'zhong
草等尖百象,cao'deng'jian'bai'xiang
差别非能害,cha'bie'fei'neng'hai
刹那除彼心,cha'na'chu'bi'xin
产生多体法,chan'sheng'duo'ti'fa
常不观待故,chang'bu'guan'dai'gu
常法何有彼,chang'fa'he'you'bi
常力亦不成,chang'li'yi'bu'cheng
常岂是能生,chang'qi'shi'neng'sheng
长时修习中,chang'shi'xiu'xi'zhong
常无消逝故,chang'wu'xiao'shi'gu
常性或无法,chang'xing'huo'wu'fa
常性量非有,chang'xing'liang'fei'you
超胜不能增,chao'sheng'bu'neng'zeng
超越有爱业,chao'yue'you'ai'ye
彻知取舍性,che'zhi'qu'she'xing
嗔具苦因故,chen'ju'ku'yin'gu
成办力无故,cheng'ban'li'wu'gu
称此是彼因,cheng'ci'shi'bi'yin
成立是正量,cheng'li'shi'zheng'liang
成立之名总,cheng'li'zhi'ming'zong
称为复退转,cheng'wei'fu'tui'zhuan
承许是导师,cheng'xu'shi'dao'shi
承许为具心,cheng'xu'wei'ju'xin
承许有我者,cheng'xu'you'wo'zhe
称之为离贪,cheng'zhi'wei'li'tan
痴乃过之本,chi'nai'guo'zhi'ben
持受得彼意,chi'shou'de'bi'yi
除此相反非,chu'ci'xiang'fan'fei
初道无有有,chu'dao'wu'you'you
初非如后跳,chu'fei'ru'hou'tiao
除色等力别,chu'se'deng'li'bie
触是色因故,chu'shi'se'yin'gu
初微亦非返,chu'wei'yi'fei'fan
出息异有境,chu'xi'yi'you'jing
串习贪等明,chuan'xi'tan'deng'ming
此变彼亦变,ci'bian'bi'yi'bian
此嗔非离贪,ci'chen'fei'li'tan
此称流转者,ci'cheng'liu'zhuan'zhe
此等成无因,ci'deng'cheng'wu'yin
慈等痴无违,ci'deng'chi'wu'wei
