啊就一般性,a'jiu'yi'ban'xing
安昌,an'chang
安昌镇,an'chang'zhen
暗落落,an'luo'luo
安职,an'zhi
傲慢了,ao'man'le
奥毛,ao'mao
澳门豆捞,ao'men'dou'lao
懊恼,ao'nao
懊恼了,ao'nao'le
懊恼死了,ao'nao'si'le
巴贝,ba'bei
八吊,ba'diao
巴厘纱,ba'li'sha
拔茅,ba'mao
巴食,ba'shi
八字桥,ba'zi'qiao
百草园,bai'cao'yuan
百福园,bai'fu'yuan
百官,bai'guan
百官街道,bai'guan'jie'dao
百合花园,bai'he'hua'yuan
白鹭金滩,bai'lu'jin'tan
白马湖,bai'ma'hu
白马新村,bai'ma'xin'cun
拜菩萨,bai'pu'sa
白塔湖,bai'ta'hu
白云山庄,bai'yun'shan'zhuang
百丈飞瀑,bai'zhang'fei'pu
办办,ban'ban
半光,ban'guang
半漂,ban'piao
办证中心,ban'zheng'zhong'xin
包缸费,bao'gang'fei
宝利德,bao'li'de
宝马会,bao'ma'hui
宝顺,bao'shun
包袜子,bao'wa'zi
宝业,bao'ye
保佑桥,bao'you'qiao
北复线,bei'fu'xian
被你知道了,bei'ni'zhi'dao'le
北市场,bei'shi'chang
北直街,bei'zhi'jie
比不来,bi'bu'lai
碧水苑,bi'shui'yuan
便民中心,bian'min'zhong'xin
波影,bo'ying
不大有,bu'da'you
不倒绒,bu'dao'rong
不来吃,bu'lai'chi
不来吃了,bu'lai'chi'le
不老神鸡,bu'lao'shen'ji
不灵清,bu'ling'qing
不难为情,bu'nan'wei'qing
步森,bu'sen
不太有,bu'tai'you
埠头,bu'tou
不要读书,bu'yao'du'shu
不要好,bu'yao'hao
不要好的,bu'yao'hao'de
不要说起,bu'yao'shuo'qi
布业,bu'ye
不在绍兴,bu'zai'shao'xing
不做客,bu'zuo'ke
菜干饼,cai'gan'bing
彩虹坊,cai'hong'fang
仓桥直街,cang'qiao'zhi'jie
曹娥,cao'e
曹娥江,cao'e'jiang
草塔镇,cao'ta'zhen
茶场,cha'chang
拆牌子,chai'pai'zi
昌安,chang'an
长安桥,chang'an'qiao
场地考,chang'di'kao
陈蔡,chen'cai
陈溪,chen'xi
陈宅,chen'zhai
城北桥,cheng'bei'qiao
城隍山,cheng'huang'shan
成绩报告单,cheng'ji'bao'gao'dan
城市广场,cheng'shi'guang'chang
澄潭,cheng'tan
吃巴掌,chi'ba'zhang
赤诚,chi'cheng
吃的空,chi'de'kong
吃空,chi'kong
崇福,chong'fu
川味观,chuan'wei'guan
春晖中学,chun'hui'zhong'xue
春天百货,chun'tian'bai'huo
次坞打面,ci'wu'da'mian
凑不好,cou'bu'hao
粗菜馆,cu'cai'guan
翠苑新村,cui'yuan'xin'cun
大爸爸,da'ba'ba
大佛寺,da'fo'si
打卷,da'juan
大龙市场,da'long'shi'chang
大明市,da'ming'shi
打色,da'se
打色卡,da'se'ka
大上虞,da'shang'yu
