阿比克,a'bi'ke
挨不起,ai'bu'qi
挨得起,ai'de'qi
挨卵了,ai'luan'le
矮山,ai'shan
矮山塘,ai'shan'tang
哎呀咧,ai'ya'lie
哎哟咧,ai'yo'lie
哎哟捏,ai'yo'nie
安新小区,an'xin'xiao'qu
安新洲,an'xin'zhou
奥林匹克花园,ao'lin'pi'ke'hua'yuan
澳门酒家,ao'men'jiu'jia
澳洲花园,ao'zhou'hua'yuan
澳洲假日,ao'zhou'jia'ri
八步,ba'bu
八步区,ba'bu'qu
八桂,ba'gui
八角寨,ba'jiao'zhai
八里街,ba'li'jie
把爷,ba'ye
八一桥,ba'yi'qiao
白打工,bai'da'gong
百迪乐,bai'di'le
白公馆,bai'gong'guan
拜话,bai'hua
百货大楼,bai'huo'da'lou
摆看,bai'kan
掰毛,bai'mao
掰屁,bai'pi
白沙,bai'sha
百味佳,bai'wei'jia
百味香,bai'wei'xiang
半边街,ban'bian'jie
板火,ban'huo
板路,ban'lu
半塘尾,ban'tang'wei
帮交,bang'jiao
帮介绍,bang'jie'shao
饱完了,bao'wan'le
北极广场,bei'ji'guang'chang
北流,bei'liu
本来讲,ben'lai'jiang
比不到,bi'bu'dao
比桂林,bi'gui'lin
笔库,bi'ku
比如讲,bi'ru'jiang
碧水康城,bi'shui'kang'cheng
碧园,bi'yuan
编辑评价,bian'ji'ping'jia
博爱医院,bo'ai'yi'yuan
玻璃桥,bo'li'qiao
波斯宫,bo'si'gong
不懂写,bu'dong'xie
不给笑,bu'gei'xiao
不是讲,bu'shi'jiang
不是讲了,bu'shi'jiang'le
不在桂林,bu'zai'gui'lin
彩调,cai'diao
才克,cai'ke
菜市,cai'shi
骖鸾路,can'luan'lu
草莓岛,cao'mei'dao
茶洞,cha'dong
差火,cha'huo
茶江,cha'jiang
婵娟,chan'juan
长海,chang'hai
超然派,chao'ran'pai
超越神话,chao'yue'shen'hua
城市便捷,cheng'shi'bian'jie
吃不克,chi'bu'ke
吃不去,chi'bu'qu
吃米粉,chi'mi'fen
吃夜,chi'ye
崇信路,chong'xin'lu
崇左,chong'zuo
崇左市,chong'zuo'shi
出不克,chu'bu'ke
出克,chu'ke
出克了,chu'ke'le
出克耍,chu'ke'shua
穿山,chuan'shan
穿山公园,chuan'shan'gong'yuan
穿山桥,chuan'shan'qiao
创新杯,chuang'xin'bei
椿记烧鹅,chun'ji'shao'e
戳毛,chuo'mao
从桂林,cong'gui'lin
从南宁,cong'nan'ning
醋血鸭,cu'xue'ya
翠竹路,cui'zhu'lu
大把多,da'ba'duo
大村,da'cun
大村门,da'cun'men
大风山,da'feng'shan
大桂林,da'gui'lin
打屁虫,da'pi'chong
大瀑布,da'pu'bu
大桥头,da'qiao'tou
大榕树,da'rong'shu
大西江,da'xi'jiang
大圩,da'xu
大圩古镇,da'xu'gu'zhen
大圩镇,da'xu'zhen
打一转,da'yi'zhuan
打油茶,da'you'cha
打鱼仔,da'yu'zai
大圆盘,da'yuan'pan
大寨,da'zhai
打证,da'zheng
打字牌,da'zi'pai
带你克,dai'ni'ke
带女,dai'nv
带我克,dai'wo'ke
单间配套,dan'jian'pei'tao
到桂林,dao'gui'lin
到桂林了,dao'gui'lin'le
到柳州,dao'liu'zhou
到南宁,dao'nan'ning
到阳朔,dao'yang'shuo
到夜,dao'ye
德保,de'bao
的啵,de'bo
得了咯,de'le'ge
得了嘛,de'le'ma
得了没,de'le'mei
等子,deng'zi
第五街,di'wu'jie
帝苑,di'yuan
点不想,dian'bu'xiang
电单车,dian'dan'che
癫子,dian'zi
叼杠,diao'gang
叼你妈,diao'ni'ma
叠彩,die'cai
叠彩区,die'cai'qu
叠彩山,die'cai'shan
定江镇,ding'jiang'zhen
东安街,dong'an'jie
