安全风速,an'quan'feng'su
安装角,an'zhuang'jiao
保护系统,bao'hu'xi'tong
包装材料,bao'zhuang'cai'liao
包装尺寸,bao'zhuang'chi'cun
变桨距,bian'jiang'ju
变速恒频风电机组,bian'su'heng'pin'feng'dian'ji'zu
变转速风轮,bian'zhuan'su'feng'lun
测风塔,ce'feng'ta
测量功率曲线,ce'liang'gong'lv'qu'xian
超强超韧工程塑料,chao'qiang'chao'ren'gong'cheng'su'liao
传动系统,chuan'dong'xi'tong
垂直轴风轮,chui'zhi'zhou'feng'lun
代表年,dai'biao'nian
电磁刹车,dian'ci'sha'che
电磁制动,dian'ci'zhi'dong
电力汇集系统,dian'li'hui'ji'xi'tong
电网连接点,dian'wang'lian'jie'dian
顶部重量,ding'bu'zhong'liang
定桨距,ding'jiang'ju
定转速风轮,ding'zhuan'su'feng'lun
额定风速,e'ding'feng'su
额定功率,e'ding'gong'lv
额定交流输出,e'ding'jiao'liu'shu'chu
额定直流电压,e'ding'zhi'liu'dian'ya
额定转速,e'ding'zhuan'su
发电机形式,fa'dian'ji'xing'shi
风场,feng'chang
风电场,feng'dian'chang
风电机组,feng'dian'ji'zu
风功率密度,feng'gong'lv'mi'du
风光互补控制器,feng'guang'hu'bu'kong'zhi'qi
风光互补系统,feng'guang'hu'bu'xi'tong
风力发电,feng'li'fa'dian
风力发电机组,feng'li'fa'dian'ji'zu
风力机,feng'li'ji
风轮,feng'lun
风轮扫掠面积,feng'lun'sao'lue'mian'ji
风轮直径,feng'lun'zhi'jing
风轮轴,feng'lun'zhou
风能,feng'neng
风能利用率,feng'neng'li'yong'lv
风能玫瑰图,feng'neng'mei'gui'tu
风能密度,feng'neng'mi'du
风能资源,feng'neng'zi'yuan
风能资源评估,feng'neng'zi'yuan'ping'gu
风切变,feng'qie'bian
风切变指数,feng'qie'bian'zhi'shu
风数据记录器,feng'shu'ju'ji'lu'qi
风速,feng'su
风速廓线,feng'su'kuo'xian
风向,feng'xiang
风向玫瑰图,feng'xiang'mei'gui'tu
复杂地形带,fu'za'di'xing'dai
功率曲线,gong'lv'qu'xian
功率特性,gong'lv'te'xing
功率系数,gong'lv'xi'shu
工作风速,gong'zuo'feng'su
关机,guan'ji
过风保护方式,guo'feng'bao'hu'fang'shi
桁架式塔架,heng'jia'shi'ta'jia
恒速恒频风电机组,heng'su'heng'pin'feng'dian'ji'zu
机舱,ji'cang
基础,ji'chu
极大风速,ji'da'feng'su
机身长度,ji'shen'chang'du
桨距角,jiang'ju'jiao
桨距调节,jiang'ju'tiao'jie
近海风电场,jin'hai'feng'dian'chang
紧急关机,jin'ji'guan'ji
净电功率输出,jing'dian'gong'lv'shu'chu
可带负载,ke'dai'fu'zai
可利用率,ke'li'yong'lv
空气动力刹车,kong'qi'dong'li'sha'che
控制器,kong'zhi'qi
控制系统,kong'zhi'xi'tong
空转,kong'zhuan
拉锁钢管,la'suo'gang'guan
轮毂,lun'gu
轮毂高度,lun'gu'gao'du
毛重,mao'zhong
逆变器,ni'bian'qi
年变化,nian'bian'hua
年风速频率分布,nian'feng'su'pin'lv'fen'bu
年际变化,nian'ji'bian'hua
年理论发电量,nian'li'lun'fa'dian'liang
年平均风速,nian'ping'jun'feng'su
扭角,niu'jiao
配套蓄电池,pei'tao'xu'dian'chi
偏航机构,pian'hang'ji'gou
平均风速,ping'jun'feng'su
启动风速,qi'dong'feng'su
切出风速,qie'chu'feng'su
切入风速,qie'ru'feng'su
日变化,ri'bian'hua
瑞利分布,rui'li'fen'bu
上风向式风电机组,shang'feng'xiang'shi'feng'dian'ji'zu
失速调节,shi'su'tiao'jie
使用寿命,shi'yong'shou'ming
输出电压,shu'chu'dian'ya
输出控制系统,shu'chu'kong'zhi'xi'tong
水平轴风轮,shui'ping'zhou'feng'lun
顺桨,shun'jiang
速发电机的风电机组,su'fa'dian'ji'de'feng'dian'ji'zu
塔杆,ta'gan
塔高,ta'gao
塔架,ta'jia
塔架类型,ta'jia'lei'xing
太阳能光伏板,tai'yang'neng'guang'fu'ban
湍流强度,tuan'liu'qiang'du
推力系数,tui'li'xi'shu
威布尔分布,wei'bu'er'fen'bu
尾流效应损失,wei'liu'xiao'ying'sun'shi
下风向式风电机组,xia'feng'xiang'shi'feng'dian'ji'zu
蓄电池,xu'dian'chi
叶根,ye'gen
叶尖,ye'jian
叶尖速比,ye'jian'su'bi
叶尖速度,ye'jian'su'du
叶轮直径,ye'lun'zhi'jing
叶片,ye'pian
叶片材料,ye'pian'cai'liao
叶片长度,ye'pian'chang'du
异步发电机,yi'bu'fa'dian'ji
翼型,yi'xing
永磁同步发电机,yong'ci'tong'bu'fa'dian'ji
圆筒式塔架,yuan'tong'shi'ta'jia
阵风,zhen'feng
正常关机,zheng'chang'guan'ji
整流罩,zheng'liu'zhao
直驱式风电机组,zhi'qu'shi'feng'dian'ji'zu
主风向,zhu'feng'xiang
最大风速,zui'da'feng'su
最大功率,zui'da'gong'lv
