把人类拉向,ba'ren'lei'la'xiang
把他变成暴君,ba'ta'bian'cheng'bao'jun
摆脱兽性,bai'tuo'shou'xing
暴政和,bao'zheng'he
被统治者,bei'tong'zhi'zhe
本国政治,ben'guo'zheng'zhi
本质联系,ben'zhi'lian'xi
比较政治,bi'jiao'zheng'zhi
比较政治学,bi'jiao'zheng'zhi'xue
毕竟是,bi'jing'shi
必须有,bi'xu'you
别无其他目的,bie'wu'qi'ta'mu'di
并非十足的,bing'fei'shi'zu'de
不得不从,bu'de'bu'cong
不能过分,bu'neng'guo'fen
不是倾听,bu'shi'qing'ting
不是以信赖,bu'shi'yi'xin'lai
不无启示,bu'wu'qi'shi
才休止,cai'xiu'zhi
长久地保持,chang'jiu'de'bao'chi
城邦社会,cheng'bang'she'hui
程度上的差异,cheng'du'shang'de'cha'yi
成为近代,cheng'wei'jin'dai
崇尚法律,chong'shang'fa'lv
出发描绘,chu'fa'miao'hui
除了谋求,chu'le'mou'qiu
出自信赖,chu'zi'xin'lai
从而限制其他人,cong'er'xian'zhi'qi'ta'ren
从人性,cong'ren'xing
从事情的,cong'shi'qing'de
从事研究,cong'shi'yan'jiu
脆弱的人,cui'ruo'de'ren
达到极至,da'dao'ji'zhi
大声疾呼,da'sheng'ji'hu
但是经验,dan'shi'jing'yan
道德教化,dao'de'jiao'hua
道德问题,dao'de'wen'ti
道德治国,dao'de'zhi'guo
的把握,de'ba'wo
的必要性,de'bi'yao'xing
得多些,de'duo'xie
的发展规律,de'fa'zhan'gui'lv
的核心,de'he'xin
的基本,de'ji'ben
的角度,de'jiao'du
的可能,de'ke'neng
的科学,de'ke'xue
的描述,de'miao'shu
的趋势,de'qu'shi
的人们,de'ren'men
的人性,de'ren'xing
的人治,de'ren'zhi
的生活,de'sheng'huo
的实质,de'shi'zhi
的死,de'si
的特征,de'te'zheng
的统一,de'tong'yi
的性质,de'xing'zhi
的一个,de'yi'ge
的一条经验,de'yi'tiao'jing'yan
的一种,de'yi'zhong
的政府时,de'zheng'fu'shi
的政府在,de'zheng'fu'zai
的制度安排,de'zhi'du'an'pai
的知识,de'zhi'shi
的制约,de'zhi'yue
的主流意识,de'zhu'liu'yi'shi
的主要控制,de'zhu'yao'kong'zhi
等特点,deng'te'dian
动物界,dong'wu'jie
都容易,dou'rong'yi
都是天使,dou'shi'tian'shi
独立的学科,du'li'de'xue'ke
对人的信赖,dui'ren'de'xin'lai
对我国实施,dui'wo'guo'shi'shi
对政治,dui'zheng'zhi
扼杀人性,e'sha'ren'xing
二重性,er'chong'xing
而毫无理性地去,er'hao'wu'li'xing'de'qu
而是来自猜疑,er'shi'lai'zi'cai'yi
而是需要,er'shi'xu'yao
而是以猜疑,er'shi'yi'cai'yi
法德兼治,fa'de'jian'zhi
发展规律,fa'zhan'gui'lv
发展运动,fa'zhan'yun'dong
法治思想,fa'zhi'si'xiang
方略具有,fang'lue'ju'you
分析性,fen'xi'xing
否则他们,fou'ze'ta'men
辅助性的,fu'zhu'xing'de
公共政策,gong'gong'zheng'ce
管理自身,guan'li'zi'shen
规定和实现,gui'ding'he'shi'xian
规范性,gui'fan'xing
国际政治,guo'ji'zheng'zhi
国家的目的,guo'jia'de'mu'di
国家的任务,guo'jia'de'ren'wu
国家关系,guo'jia'guan'xi
国家为,guo'jia'wei
国王的权力,guo'wang'de'quan'li
好能量,hao'neng'liang
好人也不例外,hao'ren'ye'bu'li'wai
好声音,hao'sheng'yin
毫无保留,hao'wu'bao'liu
毫无疑问,hao'wu'yi'wen
和共识,he'gong'shi
和控制,he'kong'zhi
和确定,he'que'ding
和人性,he'ren'xing
和社会,he'she'hui
和制度研究方法,he'zhi'du'yan'jiu'fang'fa
很难找到,hen'nan'zhao'dao
坏人是如此,huai'ren'shi'ru'ci
坏政府,huai'zheng'fu
或内在的,huo'nei'zai'de
或完善的,huo'wan'shan'de
或者少些,huo'zhe'shao'xie
基本观点,ji'ben'guan'dian
基本内容,ji'ben'nei'rong
基础上的,ji'chu'shang'de
即从一定的,ji'cong'yi'ding'de
即使是,ji'shi'shi
即在设计,ji'zai'she'ji
几种宪法,ji'zhong'xian'fa
加以信赖,jia'yi'xin'lai
加以约束,jia'yi'yue'shu
坚持以,jian'chi'yi
监国者,jian'guo'zhe
建立的,jian'li'de
建立规范,jian'li'gui'fan
将会像,jiang'hui'xiang
教导人们,jiao'dao'ren'men
杰弗逊,jie'fu'xun
解释性,jie'shi'xing
界限的,jie'xian'de
借助于,jie'zhu'yu
经典著作研究,jing'dian'zhu'zuo'yan'jiu
经济基础,jing'ji'ji'chu
精辟表述过,jing'pi'biao'shu'guo
就必须,jiu'bi'xu
就不需要,jiu'bu'xu'yao
就是品德本身,jiu'shi'pin'de'ben'shen
就是性恶论,jiu'shi'xing'e'lun
就是研究,jiu'shi'yan'jiu
就是制度,jiu'shi'zhi'du
具有多种,ju'you'duo'zhong
客观政治关系,ke'guan'zheng'zhi'guan'xi
可能是,ke'neng'shi
科学成果,ke'xue'cheng'guo
科学方法,ke'xue'fang'fa
科学态度,ke'xue'tai'du
控制了,kong'zhi'le
来划分,lai'hua'fen
滥用权力,lan'yong'quan'li
理论分析框架,li'lun'fen'xi'kuang'jia
理论和方法,li'lun'he'fang'fa
理论基础,li'lun'ji'chu
理想国,li'xiang'guo
理想国的,li'xiang'guo'de
另一方面是,ling'yi'fang'mian'shi
垄断城邦的,long'duan'cheng'bang'de
马恩列斯,ma'en'lie'si
麦迪逊,mai'di'xun
毛泽东政治学,mao'ze'dong'zheng'zhi'xue
们已经,men'yi'jing
孟德斯鸠,meng'de'si'jiu
目标和任务,mu'biao'he'ren'wu
那样坏,na'yang'huai
清醒的消遣,qing'xing'de'xiao'qian
权力也能,quan'li'ye'neng
确立了,que'li'le
然后再,ran'hou'zai
任何政府,ren'he'zheng'fu
任何政府制度,ren'he'zheng'fu'zhi'du
人来源于,ren'lai'yuan'yu
人类必须,ren'lei'bi'xu
人类社会,ren'lei'she'hui
人们使用权力,ren'men'shi'yong'quan'li
人人可建,ren'ren'ke'jian
人人可建中国梦,ren'ren'ke'jian'zhong'guo'meng
人统治人,ren'tong'zhi'ren
人性发展,ren'xing'fa'zhan
人性总是,ren'xing'zong'shi
人永远不能,ren'yong'yuan'bu'neng
人治的痼疾,ren'zhi'de'gu'ji
如果人,ru'guo'ren
如果是,ru'guo'shi
三十寡头,san'shi'gua'tou
善德和智慧,shan'de'he'zhi'hui
善良和聪明,shan'liang'he'cong'ming
社会公共权力,she'hui'gong'gong'quan'li
社会关系,she'hui'guan'xi
社会政治,she'hui'zheng'zhi
社会主义思想发展史,she'hui'zhu'yi'si'xiang'fa'zhan'shi
神权压制,shen'quan'ya'zhi
深入研究,shen'ru'yan'jiu
是按照,shi'an'zhao
是柏拉图,shi'bo'la'tu
使对权力,shi'dui'quan'li
是对政府,shi'dui'zheng'fu
是符合,shi'fu'he
是人们,shi'ren'men
是善的化身,shi'shan'de'hua'shen
是实现德行,shi'shi'xian'de'xing
使他修正,shi'ta'xiu'zheng
施特劳斯,shi'te'lao'si
视为无赖,shi'wei'wu'lai
实行绝对,shi'xing'jue'dui
视野和范畴,shi'ye'he'fan'chou
使政府,shi'zheng'fu
是政治哲学,shi'zheng'zhi'zhe'xue
是自然,shi'zi'ran
受托于权力,shou'tuo'yu'quan'li
首先使,shou'xian'shi
说得更,shuo'de'geng
说明法律,shuo'ming'fa'lv
说也奇怪,shuo'ye'qi'guai
思想体系,si'xiang'ti'xi
苏格拉底,su'ge'la'di
所以问题,suo'yi'wen'ti
所有政治权力,suo'you'zheng'zhi'quan'li
他才能,ta'cai'neng
他先是把,ta'xian'shi'ba
它要求,ta'yao'qiu
贪婪和自私,tan'lan'he'zi'si
逃避痛苦,tao'bi'tong'ku
特定的,te'ding'de
特定利益,te'ding'li'yi
特定权利,te'ding'quan'li
天使统治人,tian'shi'tong'zhi'ren
统治者是,tong'zhi'zhe'shi
统治者应该,tong'zhi'zhe'ying'gai
外延形态,wai'yan'xing'tai
万古不易,wan'gu'bu'yi
晚年思想,wan'nian'si'xiang
为基础,wei'ji'chu
问题上,wen'ti'shang
我国的,wo'guo'de
我们对其,wo'men'dui'qi
我们用,wo'men'yong
五大类,wu'da'lei
无论怎样,wu'lun'zen'yang
西方当代政治思潮,xi'fang'dang'dai'zheng'zhi'si'chao
西方哲学,xi'fang'zhe'xue
西方政治哲学,xi'fang'zheng'zhi'zhe'xue
