阿发拔后篙,a'fa'ba'hou'gao
便望见月下的平桥内,bian'wang'jian'yue'xia'de'ping'qiao'nei
泊着一支白篷的航船,bo'zhe'yi'zhi'bai'peng'de'hang'chuan
大家跳下船,da'jia'tiao'xia'chuan
淡黑的起伏的连山,dan'hei'de'qi'fu'de'lian'shan
但我却还以为船慢,dan'wo'que'hai'yi'wei'chuan'man
豆麦田地的河流中,dou'mai'tian'di'de'he'liu'zhong
都远远地向船尾跑去了,dou'yuan'yuan'de'xiang'chuan'wei'pao'qu'le
仿佛是,fang'fu'shi
飞一般径向赵庄前进了,fei'yi'ban'jing'xiang'zhao'zhuang'qian'jin'le
吩咐要小心的时候,fen'fu'yao'xiao'xin'de'shi'hou
河底的水草,he'di'de'shui'cao
激水的声音,ji'shui'de'sheng'yin
即又上前出了桥,ji'you'shang'qian'chu'le'qiao
夹杂在水气中扑面的吹来,jia'za'zai'shui'qi'zhong'pu'mian'de'chui'lai
夹着潺潺的船头,jia'zhe'chan'chan'de'chuan'tou
较大的聚在船尾,jiao'da'de'ju'zai'chuan'wei
两岸的豆麦和,liang'an'de'dou'mai'he
母亲送出来,mu'qin'song'chu'lai
年幼的都陪我坐在舱中,nian'you'de'dou'pei'wo'zuo'zai'cang'zhong
身体也似乎舒展到,shen'ti'ye'si'hu'shu'zhan'dao
双喜拔前篙,shuang'xi'ba'qian'gao
说不出的大,shuo'bu'chu'de'da
所发散出来的清香,suo'fa'san'chu'lai'de'qing'xiang
退后几尺,tui'hou'ji'chi
我的很重的心忽而轻松了,wo'de'hen'zhong'de'xin'hu'er'qing'song'le
我们已经点开船,wo'men'yi'jing'dian'kai'chuan
一出门,yi'chu'men
一里一换,yi'li'yi'huan
一支两人,yi'zhi'liang'ren
踊跃的铁的兽脊似的,yong'yue'de'tie'de'shou'ji'shi'de
有嚷的,you'rang'de
有说笑的,you'shuo'xiao'de
于是架起两支橹,yu'shi'jia'qi'liang'zhi'lu
月色便朦胧在这水气里,yue'se'bian'meng'long'zai'zhe'shui'qi'li
在桥石上一磕,zai'qiao'shi'shang'yi'ke
在左右都是碧绿的,zai'zuo'you'dou'shi'bi'lv'de
