阿卡波糖,a'ka'bo'tang
阿克林霉素,a'ke'lin'mei'su
阿莫西林,a'mo'xi'lin
阿莫西林克拉维酸钾分散,a'mo'xi'lin'ke'la'wei'suan'jia'fen'san
阿莫西林克拉维酸钾颗,a'mo'xi'lin'ke'la'wei'suan'jia'ke
阿司匹林肠溶,a'si'pi'lin'chang'rong
阿糖胞苷,a'tang'bao'gan
阿托伐他丁钙,a'tuo'fa'ta'ding'gai
阿托伐他汀,a'tuo'fa'ta'ting
阿托伐他汀钙,a'tuo'fa'ta'ting'gai
阿托品,a'tuo'pin
阿托品静推,a'tuo'pin'jing'tui
阿托品试验,a'tuo'pin'shi'yan
阿昔洛韦乳膏,a'xi'luo'wei'ru'gao
阿昔莫司,a'xi'mo'si
阿扎司琼,a'zha'si'qiong
艾迪,ai'di
艾迪注射液,ai'di'zhu'she'ye
艾司唑仑,ai'si'zuo'lun
埃索拉唑肠溶,ai'suo'la'zuo'chang'rong
氨茶碱,an'cha'jian
胺碘酮,an'dian'tong
氨酚双氢可待因,an'fen'shuang'qing'ke'dai'yin
氨酚双氢可待因路盖克,an'fen'shuang'qing'ke'dai'yin'lu'gai'ke
氨基酸相当于氮,an'ji'suan'xiang'dang'yu'dan
氨基酸相当于气氮,an'ji'suan'xiang'dang'yu'qi'dan
氨基乙酸,an'ji'yi'suan
氨基已酸,an'ji'yi'suan
安络血,an'luo'xue
安络血肾上腺色腙,an'luo'xue'shen'shang'xian'se'zong
氨氯地平,an'lv'di'ping
按内科常规护理,an'nei'ke'chang'gui'hu'li
氨曲南,an'qu'nan
安溴索,an'xiu'suo
氨溴索,an'xiu'suo
奥美拉唑,ao'mei'la'zuo
奥美拉唑肠溶,ao'mei'la'zuo'chang'rong
奥美拉唑专用溶媒,ao'mei'la'zuo'zhuan'yong'rong'mei
奥曲肽,ao'qu'tai
白醋,bai'cu
白介素,bai'jie'su
百令胶囊,bai'ling'jiao'nang
百灵胶囊,bai'ling'jiao'nang
白色念珠菌,bai'se'nian'zhu'jun
拜新同,bai'xin'tong
半小时内滴完,ban'xiao'shi'nei'di'wan
保持呼吸道通畅,bao'chi'hu'xi'dao'tong'chang
保留灌肠,bao'liu'guan'chang
保留尿管,bao'liu'niao'guan
保留胃管,bao'liu'wei'guan
贝纳普利,bei'na'pu'li
贝特类,bei'te'lei
苯海拉明,ben'hai'la'ming
苯磺酸氨氯地平,ben'huang'suan'an'lv'di'ping
苯磺酸氨氯地平洛活喜,ben'huang'suan'an'lv'di'ping'luo'huo'xi
苯磺酸氨氯地平络活喜,ben'huang'suan'an'lv'di'ping'luo'huo'xi
泵入,beng'ru
泵入另一通道,beng'ru'ling'yi'tong'dao
泵入浓度,beng'ru'nong'du
吡诺克辛滴眼液,bi'nuo'ke'xin'di'yan'ye
吡嗪酰胺,bi'qin'xian'an
吡柔比星,bi'rou'bi'xing
必要时,bi'yao'shi
憋肝醇,bie'gan'chun
别嘌醇,bie'piao'chun
丙氨酸谷氨酰胺,bing'an'suan'gu'an'xian'an
丙氨酸钠,bing'an'suan'na
丙氨酰谷氨酰胺,bing'an'xian'gu'an'xian'an
丙泊酚注射液,bing'bo'fen'zhu'she'ye
丙硫氧嘧啶,bing'liu'yang'mi'ding
