阿迪,a'di
阿罗海,a'luo'hai
阿曼尼,a'man'ni
阿妹糕,a'mei'gao
阿骚,a'sao
艾菲儿,ai'fei'er
爱拉友,ai'la'you
艾力艾,ai'li'ai
爱心岛,ai'xin'dao
爱心桃,ai'xin'tao
安德鲁森,an'de'lu'sen
安福,an'fu
八二五,ba'er'wu
拔花生,ba'hua'sheng
巴山夜雨,ba'shan'ye'yu
八十分,ba'shi'fen
八十亩,ba'shi'mu
百达,bai'da
白黑,bai'hei
白红,bai'hong
白金汉,bai'jin'han
白水洋,bai'shui'yang
白塘镇,bai'tang'zhen
坂头,ban'tou
榜头,bang'tou
榜头镇,bang'tou'zhen
帮我一起,bang'wo'yi'qi
抱抱啦,bao'bao'la
保尾,bao'wei
北高镇,bei'gao'zhen
北磨,bei'mo
本地话,ben'di'hua
本店,ben'dian
本一,ben'yi
碧华,bi'hua
扁食,bian'shi
标准码,biao'zhun'ma
补充包,bu'chong'bao
不会读书,bu'hui'du'shu
裁断,cai'duan
菜溪,cai'xi
菜溪岩,cai'xi'yan
参军,can'jun
曹溪,cao'xi
插粉,cha'fen
茶叶店,cha'ye'dian
茶之道,cha'zhi'dao
常太,chang'tai
长汀,chang'ting
陈凡,chen'fan
城关,cheng'guan
埕头,cheng'tou
城厢区,cheng'xiang'qu
吃饱撑着,chi'bao'cheng'zhe
吃大便,chi'da'bian
吃点心,chi'dian'xin
吃饭下,chi'fan'xia
赤港,chi'gang
吃狗屎,chi'gou'shi
池头,chi'tou
赤溪,chi'xi
抽成,chou'cheng
吹瓶,chui'ping
从莆田,cong'pu'tian
大茶杯,da'cha'bei
大底,da'di
大蜚山,da'fei'shan
大古,da'gu
大济,da'ji
大济镇,da'ji'zhen
大甲,da'jia
大莆田,da'pu'tian
打通关,da'tong'guan
埭里,dai'li
埭头,dai'tou
埭头镇,dai'tou'zhen
单个人,dan'ge'ren
单面街,dan'mian'jie
担仔面,dan'zai'mian
党校路,dang'xiao'lu
到福建,dao'fu'jian
到福州,dao'fu'zhou
到莆田,dao'pu'tian
帝宝,di'bao
地瓜粉,di'gua'fen
电风吹,dian'feng'chui
电脑雕,dian'nao'diao
顶社路,ding'she'lu
动车站,dong'che'zhan
东城一号,dong'cheng'yi'hao
东大路,dong'da'lu
东方国际,dong'fang'guo'ji
东海镇,dong'hai'zhen
东井街,dong'jing'jie
东梅,dong'mei
东峤,dong'qiao
东桥头,dong'qiao'tou
东峤镇,dong'qiao'zhen
东沙,dong'sha
东肖,dong'xiao
东岩山,dong'yan'shan
东园,dong'yuan
东圳路,dong'zhen'lu
东圳水库,dong'zhen'shui'ku
东庄,dong'zhuang
豆浆炒,dou'jiang'chao
独辫子,du'bian'zi
度顶,du'ding
度尾,du'wei
度尾镇,du'wei'zhen
断码,duan'ma
哆头,duo'tou
发货员,fa'huo'yuan
翻毛皮,fan'mao'pi
放店,fang'dian
方家铺子,fang'jia'pu'zi
放贱,fang'jian
凤达,feng'da
凤凰百货,feng'huang'bai'huo
凤凰山,feng'huang'shan
丰美健城,feng'mei'jian'cheng
丰美路,feng'mei'lu
丰美桥,feng'mei'qiao
枫亭,feng'ting
枫亭镇,feng'ting'zhen
复古,fu'gu
福建,fu'jian
福建莆田,fu'jian'pu'tian
福建省,fu'jian'sheng
福建师范,fu'jian'shi'fan
福建师范大学,fu'jian'shi'fan'da'xue
福建体彩,fu'jian'ti'cai
复茂,fu'mao
福师大,fu'shi'da
福州,fu'zhou
福州吧,fu'zhou'ba
福州的,fu'zhou'de
福州了,fu'zhou'le
福州南,fu'zhou'nan
盖尾,gai'wei
盖尾镇,gai'wei'zhen
干饭,gan'fan
干嘛不敢,gan'ma'bu'gan
干嘛不能,gan'ma'bu'neng
干嘛不行,gan'ma'bu'xing
干嘛没有,gan'ma'mei'you
刚要吃,gang'yao'chi
刚要回去,gang'yao'hui'qu
刚要去,gang'yao'qu
搞死掉,gao'si'diao
隔壁村,ge'bi'cun
给没了,gei'mei'le
给睡着,gei'shui'zhao
给睡着了,gei'shui'zhao'le
公务员局,gong'wu'yuan'ju
工艺城,gong'yi'cheng
沟头,gou'tou
古奇天伦,gu'qi'tian'lun
鼓山,gu'shan
古田,gu'tian
挂点滴,gua'dian'di
