阿拉坦,a'la'tan
阿鲁科尔沁,a'lu'ke'er'qin
阿鲁科尔沁旗,a'lu'ke'er'qin'qi
阿荣旗,a'rong'qi
阿斯哈图,a'si'ha'tu
氨咖黄敏,an'ka'huang'min
安庆沟,an'qing'gou
敖包山,ao'bao'shan
敖汉,ao'han
敖汉吧,ao'han'ba
敖汉的,ao'han'de
敖汉旗,ao'han'qi
巴根,ba'gen
八家,ba'jia
八里罕,ba'li'han
巴林石,ba'lin'shi
巴林右旗,ba'lin'you'qi
巴林左旗,ba'lin'zuo'qi
霸王河,ba'wang'he
八仙筒,ba'xian'tong
巴雅尔,ba'ya'er
巴彦高勒,ba'yan'gao'le
巴彦花,ba'yan'hua
巴彦塔拉,ba'yan'ta'la
白城子,bai'cheng'zi
百合花园,bai'he'hua'yuan
白塔子,bai'ta'zi
白音敖包,bai'yin'ao'bao
白音查干,bai'yin'cha'gan
白音沟,bai'yin'gou
白音华,bai'yin'hua
白音诺尔,bai'yin'nuo'er
白音他拉,bai'yin'ta'la
宝国吐,bao'guo'tu
宝力格,bao'li'ge
宝日勿苏,bao'ri'wu'su
宝日勿苏镇,bao'ri'wu'su'zhen
包商银行,bao'shang'yin'hang
北京北,bei'jing'bei
贝子府,bei'zi'fu
贝子庙,bei'zi'miao
毕力格,bi'li'ge
碧流台,bi'liu'tai
逼色,bi'se
不车车,bu'che'che
不要想得太多,bu'yao'xiang'de'tai'duo
不在赤峰,bu'zai'chi'feng
草原歌曲,cao'yuan'ge'qu
查布嘎,cha'bu'ga
查干,cha'gan
查干哈达,cha'gan'ha'da
柴达木,chai'da'mu
长青公园,chang'qing'gong'yuan
长青街,chang'qing'jie
朝格图,chao'ge'tu
朝鲁,chao'lu
朝鲁门,chao'lu'men
朝中,chao'zhong
车车我,che'che'wo
吃的你的,chi'de'ni'de
吃等人,chi'deng'ren
池典,chi'dian
赤峰,chi'feng
赤峰啊,chi'feng'a
赤峰宾馆,chi'feng'bin'guan
赤峰车管所,chi'feng'che'guan'suo
赤峰到,chi'feng'dao
赤峰的,chi'feng'de
赤峰二中,chi'feng'er'zhong
赤峰话,chi'feng'hua
赤峰了,chi'feng'le
赤峰吗,chi'feng'ma
赤峰哪的,chi'feng'na'de
赤峰呢,chi'feng'ne
赤峰人,chi'feng'ren
赤峰日报,chi'feng'ri'bao
赤峰商厦,chi'feng'shang'sha
赤峰市,chi'feng'shi
赤峰四中,chi'feng'si'zhong
赤峰天气,chi'feng'tian'qi
赤峰天气预报,chi'feng'tian'qi'yu'bao
赤峰学院,chi'feng'xue'yuan
臭美精,chou'mei'jing
初头朗,chu'tou'lang
从赤峰,cong'chi'feng
从呼市,cong'hu'shi
从哪呢,cong'na'ne
大坝沟,da'ba'gou
大板,da'ban
大板镇,da'ban'zhen
大城子,da'cheng'zi
打对调,da'dui'diao
达尔罕,da'er'han
大黑山,da'hei'shan
打虎石,da'hu'shi
达里湖,da'li'hu
大牧场,da'mu'chang
大内蒙,da'nei'meng
