阿多诺,a'duo'nuo
阿尔都塞,a'er'du'sai
阿加德米,a'jia'de'mi
阿赖耶识,a'lai'ye'shi
阿里斯托勒斯,a'li'si'tuo'le'si
阿摩尼阿斯,a'mo'ni'a'si
阿摩尼阿斯萨卡斯,a'mo'ni'a'si'sa'ka'si
阿那克萨戈拉,a'na'ke'sa'ge'la
阿那克西曼德,a'na'ke'xi'man'de
阿纳克西曼德,a'na'ke'xi'man'de
阿那克西美尼,a'na'ke'xi'mei'ni
阿纳克西美尼,a'na'ke'xi'mei'ni
阿那克西米尼,a'na'ke'xi'mi'ni
阿菩黎阿黎,a'pu'li'a'li
阿屯,a'tun
爱比克泰德,ai'bi'ke'tai'de
爱非斯,ai'fei'si
艾菲索斯,ai'fei'suo'si
爱力,ai'li
爱利亚派,ai'li'ya'pai
爱利亚学派,ai'li'ya'xue'pai
艾思奇,ai'si'qi
爱无寻差,ai'wu'xun'cha
爱智,ai'zhi
安般守意,an'ban'shou'yi
暗极则光,an'ji'ze'guang
安年柯夫,an'nian'ke'fu
安贫乐道,an'pin'le'dao
安时处顺,an'shi'chu'shun
安世高,an'shi'gao
安提斯泰尼,an'ti'si'tai'ni
安性乐命,an'xing'le'ming
案兆察迹,an'zhao'cha'ji
奥伏赫变,ao'fu'he'bian
奥古斯丁,ao'gu'si'ding
奥勒留,ao'le'liu
八不中道,ba'bu'zhong'dao
罢黜百家,ba'chu'bai'jia
巴枯宁,ba'ku'ning
巴曼尼得斯篇,ba'man'ni'de'si'pian
巴门尼德,ba'men'ni'de
巴门尼德毕达哥拉斯,ba'men'ni'de'bi'da'ge'la'si
八识,ba'shi
八正,ba'zheng
八正道,ba'zheng'dao
百代同道,bai'dai'tong'dao
白狗黑,bai'gou'hei
捭阖术,bai'he'shu
白马非马,bai'ma'fei'ma
百姓日用之学,bai'xing'ri'yong'zhi'xue
百战不殆,bai'zhan'bu'dai
班固,ban'gu
般舟三昧,ban'zhou'san'mei
抱法处势,bao'fa'chu'shi
葆光,bao'guang
保教非尊孔,bao'jiao'fei'zun'kong
鲍敬言,bao'jing'yan
抱朴子,bao'pu'zi
包世臣,bao'shi'chen
鲍威尔,bao'wei'er
葆真,bao'zhen
被继承,bei'ji'cheng
贝莱,bei'lai
被誉为,bei'yu'wei
本根,ben'gen
本寂,ben'ji
本觉,ben'jue
本末,ben'mo
本然,ben'ran
本始,ben'shi
本体,ben'ti
本无,ben'wu
本心,ben'xin
本原,ben'yuan
本质换出一般,ben'zhi'huan'chu'yi'ban
彼岸世界,bi'an'shi'jie
毕达哥拉斯学派,bi'da'ge'la'si'xue'pai
比德,bi'de
辟谷,bi'gu
壁观,bi'guan
必开心意,bi'kai'xin'yi
