安不得,an'bu'de
奥赛班,ao'sai'ban
柏家坪,bai'jia'ping
白马渡,bai'ma'du
白芒营,bai'mang'ying
白竹湖,bai'zhu'hu
差差不多,cha'cha'bu'duo
扯胡子,che'hu'zi
城标,cheng'biao
出不得,chu'bu'de
粗石江,cu'shi'jiang
打摆子,da'bai'zi
大路铺,da'lu'pu
大庙口,da'miao'kou
大忠桥,da'zhong'qiao
到干什么,dao'gan'shen'me
到屋里,dao'wu'li
道县,dao'xian
到永州,dao'yong'zhou
抵不起,di'bu'qi
点不想,dian'bu'xiang
东安,dong'an
东安的,dong'an'de
东安鸡,dong'an'ji
东安了,dong'an'le
东安县,dong'an'xian
东田镇,dong'tian'zhen
懂味,dong'wei
都晓不得,dou'xiao'bu'de
豆子鬼,dou'zi'gui
多喜来,duo'xi'lai
法律系,fa'lv'xi
凤凰园,feng'huang'yuan
富家桥,fu'jia'qiao
富家桥镇,fu'jia'qiao'zhen
干嘻嘻,gan'xi'xi
柑子园,gan'zi'yuan
港不死,gang'bu'si
港话,gang'hua
搞起我,gao'qi'wo
龚家坪,gong'jia'ping
古歌,gu'ge
观音滩,guan'yin'tan
观音滩镇,guan'yin'tan'zhen
过人家,guo'ren'jia
哈巴狗,ha'ba'gou
哈里哈气,ha'li'ha'qi
还不克,hai'bu'ke
还不也,hai'bu'ye
还不也是,hai'bu'ye'shi
还晓不得,hai'xiao'bu'de
和啊,he'a
河路口,he'lu'kou
禾亭,he'ting
红么,hong'me
湖南科技,hu'nan'ke'ji
湖南科技学院,hu'nan'ke'ji'xue'yuan
湖南永州,hu'nan'yong'zhou
虎岩公园,hu'yan'gong'yuan
花桥街,hua'qiao'jie
花桥街镇,hua'qiao'jie'zhen
黄古山,huang'gu'shan
黄田铺,huang'tian'pu
黄阳司,huang'yang'si
回龙圩,hui'long'xu
回祁阳,hui'qi'yang
家家福,jia'jia'fu
江华,jiang'hua
江华县,jiang'hua'xian
江华瑶族自治县,jiang'hua'yao'zu'zi'zhi'xian
江铃汽车,jiang'ling'qi'che
江永,jiang'yong
江永县,jiang'yong'xian
井头圩,jing'tou'xu
九嶷山,jiu'yi'shan
咖啡地带,ka'fei'di'dai
看母亲,kan'mu'qin
克不克,ke'bu'ke
来我屋里,lai'wo'wu'li
来永州,lai'yong'zhou
岚角山,lan'jiao'shan
蓝山,lan'shan
蓝山县,lan'shan'xian
老庚,lao'geng
老婆人,lao'po'ren
老子老娘,lao'zi'lao'niang
乐满地,le'man'di
冷疏忽,leng'shu'hu
冷水滩,leng'shui'tan
冷水滩区,leng'shui'tan'qu
冷水躺,leng'shui'tang
冷滩,leng'tan
里高,li'gao
黎家坪,li'jia'ping
凉拌粉,liang'ban'fen
零陵,ling'ling
零陵区,ling'ling'qu
柳子庙,liu'zi'miao
龙泉镇,long'quan'zhen
卤粉,lu'fen
芦洪市,lu'hong'shi
卵扯,luan'che
乱港,luan'gang
麻拐,ma'guai
麻癖,ma'pi
马坪,ma'ping
满姑,man'gu
蛮好耍,man'hao'shua
蛮很,man'hen
慢慢游,man'man'you
毛俊,mao'jun
毛里乡,mao'li'xiang
梅花镇,mei'hua'zhen
美女你好啊,mei'nv'ni'hao'a
梅湾,mei'wan
梅湾路,mei'wan'lu
梅溪,mei'xi
闷几,men'ji
哪么,na'me
那么搞,na'me'gao
那么讲,na'me'jiang
那么样,na'me'yang
那木,na'mu
南津渡,nan'jin'du
男卡,nan'ka
楠市,nan'shi
你港,ni'gang
你来蛮,ni'lai'man
你哪么,ni'na'me
你晓不得,ni'xiao'bu'de
宁远,ning'yuan
宁远县,ning'yuan'xian
牛角坝,niu'jiao'ba
女卡,nv'ka
女人噶,nv'ren'ga
女书,nv'shu
女崽,nv'zai
女仔们,nv'zai'men
欧家,ou'jia
跑胡子,pao'hu'zi
平安在线,ping'an'zai'xian
坪塘,ping'tang
普利桥,pu'li'qiao
七里桥,qi'li'qiao
祁阳,qi'yang
祁阳的,qi'yang'de
祁阳县,qi'yang'xian
桥头铺,qiao'tou'pu
桥头市场,qiao'tou'shi'chang
清水桥,qing'shui'qiao
曲河,qu'he
三多亭,san'duo'ting
珊瑚路,shan'hu'lu
上洞,shang'dong
上关,shang'guan
上岭桥,shang'ling'qiao
省不到,sheng'bu'dao
生化系,sheng'hua'xi
数毛,shu'mao
熟悉人,shu'xi'ren
双碧,shuang'bi
双牌,shuang'pai
双牌县,shuang'pai'xian
水话,shui'hua
水考,shui'kao
水口,shui'kou
水口山,shui'kou'shan
水市,shui'shi
水滩,shui'tan
舜德,shun'de
舜帝,shun'di
舜皇,shun'huang
舜皇山,shun'huang'shan
舜陵,shun'ling
舜陵镇,shun'ling'zhen
死开些,si'kai'xie
宋家洲,song'jia'zhou
算不到,suan'bu'dao
太平镇,tai'ping'zhen
谈白,tan'bai
桃川,tao'chuan
通学,tong'xue
通学生,tong'xue'sheng
土建系,tu'jian'xi
沱江,tuo'jiang
晚边,wan'bian
万喜登,wan'xi'deng
文明铺,wen'ming'pu
我都晓不得,wo'dou'xiao'bu'de
我老子,wo'lao'zi
我莫,wo'mo
我哪么,wo'na'me
我十,wo'shi
我晓不得,wo'xiao'bu'de
我在湖南,wo'zai'hu'nan
五里沟,wu'li'gou
五里牌,wu'li'pai
浯溪,wu'xi
西门桥,xi'men'qiao
夏层铺,xia'ceng'pu
下马渡,xia'ma'du
显火,xian'huo
湘江,xiang'jiang
湘科院,xiang'ke'yuan
晓不得,xiao'bu'de
小桂,xiao'gui
肖家,xiao'jia
小女仔,xiao'nv'zai
潇水,xiao'shui
潇水人家,xiao'shui'ren'jia
小圩,xiao'wei
逍遥楼,xiao'yao'lou
新步步高,xin'bu'bu'gao
新田,xin'tian
新田县,xin'tian'xian
徐家井,xu'jia'jing
血鸭,xue'ya
杨家桥,yang'jia'qiao
羊角塘,yang'jiao'tang
阳明山,yang'ming'shan
杨梓塘,yang'zi'tang
瑶山,yao'shan
要要的,yao'yao'de
耶嘿,ye'hei
也晓不得,ye'xiao'bu'de
野崽,ye'zai
哟呀,yo'ya
永州,yong'zhou
永州的,yong'zhou'de
永州了,yong'zhou'le
永州人,yong'zhou'ren
永州市,yong'zhou'shi
永州四中,yong'zhou'si'zhong
有不有,you'bu'you
源口,yuan'kou
在道县,zai'dao'xian
在东安,zai'dong'an
在冷水滩,zai'leng'shui'tan
在祁阳,zai'qi'yang
在永州,zai'yong'zhou
珍珠路,zhen'zhu'lu
芝山,zhi'shan
职业中专,zhi'ye'zhong'zhuan
珠山,zhu'shan
紫溪,zi'xi
总不得,zong'bu'de
