安吉安园路口,an'ji'an'yuan'lu'kou
凤岭儿童公园,feng'ling'er'tong'gong'yuan
凤岭恒大苹果园,feng'ling'heng'da'ping'guo'yuan
凤岭立交北,feng'ling'li'jiao'bei
凤岭南桂花路口,feng'ling'nan'gui'hua'lu'kou
凤岭南青秀路口,feng'ling'nan'qing'xiu'lu'kou
凤岭云景路口,feng'ling'yun'jing'lu'kou
凤翔长湖路口,feng'xiang'chang'hu'lu'kou
凤翔佛子岭路口,feng'xiang'fo'zi'ling'lu'kou
凤翔民族路口,feng'xiang'min'zu'lu'kou
凤翔云景路口,feng'xiang'yun'jing'lu'kou
佛子岭,fo'zi'ling
佛子岭翠竹路口,fo'zi'ling'cui'zhu'lu'kou
佛子岭凤凰岭路口,fo'zi'ling'feng'huang'ling'lu'kou
佛子岭凤岭路口,fo'zi'ling'feng'ling'lu'kou
佛子岭凤翔路口,fo'zi'ling'feng'xiang'lu'kou
佛子岭路中,fo'zi'ling'lu'zhong
佛子岭厢竹路口,fo'zi'ling'xiang'zhu'lu'kou
佛子岭玉兰路口,fo'zi'ling'yu'lan'lu'kou
富德新村,fu'de'xin'cun
富宁新兴苑,fu'ning'xin'xing'yuan
妇幼保健院,fu'you'bao'jian'yuan
高峰人造板公司,gao'feng'ren'zao'ban'gong'si
高峰市场,gao'feng'shi'chang
高峰中学,gao'feng'zhong'xue
高岭,gao'ling
高炮团,gao'pao'tuan
高七西十路口,gao'qi'xi'shi'lu'kou
高三创新路口,gao'san'chuang'xin'lu'kou
高速公路管理处,gao'su'gong'lu'guan'li'chu
高五创新路口,gao'wu'chuang'xin'lu'kou
高新滨河路口,gao'xin'bin'he'lu'kou
高新车场,gao'xin'che'chang
高新东车场,gao'xin'dong'che'chang
高新发展路口,gao'xin'fa'zhan'lu'kou
高新丰达路口,gao'xin'feng'da'lu'kou
高新管委会,gao'xin'guan'wei'hui
高新科园路口,gao'xin'ke'yuan'lu'kou
高新相思湖东路口,gao'xin'xiang'si'hu'dong'lu'kou
高新总部路口,gao'xin'zong'bu'lu'kou
葛村东宝路口,ge'cun'dong'bao'lu'kou
葛村东葛路口,ge'cun'dong'ge'lu'kou
葛村新竹路口,ge'cun'xin'zhu'lu'kou
共和民乐路口,gong'he'min'yue'lu'kou
工人医院,gong'ren'yi'yuan
古城东葛路口,gu'cheng'dong'ge'lu'kou
古城建政路口,gu'cheng'jian'zheng'lu'kou
古城民主路口,gu'cheng'min'zhu'lu'kou
古城民族路口,gu'cheng'min'zu'lu'kou
古城新竹路口,gu'cheng'xin'zhu'lu'kou
古城星湖路口,gu'cheng'xing'hu'lu'kou
广电中心,guang'dian'zhong'xin
广西备灾中心,guang'xi'bei'zai'zhong'xin
广西财经学院,guang'xi'cai'jing'xue'yuan
广西财经学院相思湖校区,guang'xi'cai'jing'xue'yuan'xiang'si'hu'xiao'qu
广西大学,guang'xi'da'xue
广西东蒙乳业,guang'xi'dong'meng'ru'ye
广西工商学校,guang'xi'gong'shang'xue'xiao
广西工业学院,guang'xi'gong'ye'xue'yuan
广西花鸟交易市场,guang'xi'hua'niao'jiao'yi'shi'chang
广西华侨学校,guang'xi'hua'qiao'xue'xiao
广西机电学校,guang'xi'ji'dian'xue'xiao
广西机电职业技术学院,guang'xi'ji'dian'zhi'ye'ji'shu'xue'yuan
广西建机公司,guang'xi'jian'ji'gong'si
广西建设学院,guang'xi'jian'she'xue'yuan
广西经干院,guang'xi'jing'gan'yuan
广西民族大学,guang'xi'min'zu'da'xue
广西民族大学东门,guang'xi'min'zu'da'xue'dong'men
广西民族医院,guang'xi'min'zu'yi'yuan
广西人才市场,guang'xi'ren'cai'shi'chang
广西日报社,guang'xi'ri'bao'she
广西水利电业集团,guang'xi'shui'li'dian'ye'ji'tuan
广西税务学校,guang'xi'shui'wu'xue'xiao
广西体育中心,guang'xi'ti'yu'zhong'xin
广西外国语学院,guang'xi'wai'guo'yu'xue'yuan
广西一安公司,guang'xi'yi'an'gong'si
广西艺术学院,guang'xi'yi'shu'xue'yuan
广西中医药大学仙葫校区,guang'xi'zhong'yi'yao'da'xue'xian'hu'xiao'qu
广艺相思湖校区,guang'yi'xiang'si'hu'xiao'qu
广园平湖路口,guang'yuan'ping'hu'lu'kou
广中医仙葫校区,guang'zhong'yi'xian'hu'xiao'qu
圭贝白沙路口,gui'bei'bai'sha'lu'kou
圭贝桥,gui'bei'qiao
龟背桥,gui'bei'qiao
圭贝燕敦路口,gui'bei'yan'dun'lu'kou
桂春金湖路口,gui'chun'jin'hu'lu'kou
桂春金洲路口,gui'chun'jin'zhou'lu'kou
桂春双拥路口,gui'chun'shuang'yong'lu'kou
桂花朱槿路口,gui'hua'zhu'jin'lu'kou
桂雅合作路口,gui'ya'he'zuo'lu'kou
桂雅路中,gui'ya'lu'zhong
桂雅青秀路口,gui'ya'qing'xiu'lu'kou
国凯友谊路口,guo'kai'you'yi'lu'kou
海茵国际花城,hai'yin'guo'ji'hua'cheng
和美春天,he'mei'chun'tian
合作桂雅路口,he'zuo'gui'ya'lu'kou
合作中柬路口,he'zuo'zhong'jian'lu'kou
恒安新城,heng'an'xin'cheng
横岭村,heng'ling'cun
衡阳北大路口,heng'yang'bei'da'lu'kou
衡阳北湖路口,heng'yang'bei'hu'lu'kou
衡阳地洞路口,heng'yang'di'dong'lu'kou
衡阳路中,heng'yang'lu'zhong
衡阳南铁二街,heng'yang'nan'tie'er'jie
衡阳秀灵路口,heng'yang'xiu'ling'lu'kou
衡阳友爱路口,heng'yang'you'ai'lu'kou
衡阳园湖路口,heng'yang'yuan'hu'lu'kou
红光农场,hong'guang'nong'chang
红光园艺场四队,hong'guang'yuan'yi'chang'si'dui
洪历那历路口,hong'li'na'li'lu'kou
洪历同德路口,hong'li'tong'de'lu'kou
洪历同兴路口,hong'li'tong'xing'lu'kou
红星建设路口,hong'xing'jian'she'lu'kou
洪运公交车场,hong'yun'gong'jiao'che'chang
葫芦鼎,hu'lu'ding
葫芦鼎桥北,hu'lu'ding'qiao'bei
虎邱,hu'qiu
华成都市广场,hua'cheng'du'shi'guang'chang
华东友爱路口,hua'dong'you'ai'lu'kou
华东朝阳路口,hua'dong'zhao'yang'lu'kou
华劲南宁纸业,hua'jin'nan'ning'zhi'ye
华南城,hua'nan'cheng
华西北大路口,hua'xi'bei'da'lu'kou
华西路中,hua'xi'lu'zhong
环城高速路口,huan'cheng'gao'su'lu'kou
黄茅坪,huang'mao'ping
黄牛场,huang'niu'chang
会展检察院路口,hui'zhan'jian'cha'yuan'lu'kou
会展路南,hui'zhan'lu'nan
会展民族路口,hui'zhan'min'zu'lu'kou
会展中心,hui'zhan'zhong'xin
火车南站,huo'che'nan'zhan
火车南站东,huo'che'nan'zhan'dong
火车站,huo'che'zhan
火炬农院路口,huo'ju'nong'yuan'lu'kou
火炬一支路,huo'ju'yi'zhi'lu
火炬一支路口,huo'ju'yi'zhi'lu'kou
货运北站,huo'yun'bei'zhan
鸡村四队,ji'cun'si'dui
嘉和城,jia'he'cheng
家饰材料市场,jia'shi'cai'liao'shi'chang
尖坡岭,jian'po'ling
建设步行街路口,jian'she'bu'xing'jie'lu'kou
建设银海路口,jian'she'yin'hai'lu'kou
建业三街,jian'ye'san'jie
建业银海路口,jian'ye'yin'hai'lu'kou
建政葛村路口,jian'zheng'ge'cun'lu'kou
建政路东,jian'zheng'lu'dong
建政思贤路口,jian'zheng'si'xian'lu'kou
建政园湖路口,jian'zheng'yuan'hu'lu'kou
江北北大路口,jiang'bei'bei'da'lu'kou
江北边阳路口,jiang'bei'bian'yang'lu'kou
江北教育路口,jiang'bei'jiao'yu'lu'kou
江北津头路口,jiang'bei'jin'tou'lu'kou
江北可利路口,jiang'bei'ke'li'lu'kou
江北桃源路口,jiang'bei'tao'yuan'lu'kou
江北桃源路口东,jiang'bei'tao'yuan'lu'kou'dong
江北义忠路口,jiang'bei'yi'zhong'lu'kou
江北永宁路口,jiang'bei'yong'ning'lu'kou
江北植物路口,jiang'bei'zhi'wu'lu'kou
江滨医院,jiang'bin'yi'yuan
江南公路局,jiang'nan'gong'lu'ju
江南客运站,jiang'nan'ke'yun'zhan
江南污水处理厂,jiang'nan'wu'shui'chu'li'chang
江南站,jiang'nan'zhan
降桥村路口,jiang'qiao'cun'lu'kou
交警三大队,jiao'jing'san'da'dui
教育桃源路口,jiao'yu'tao'yuan'lu'kou
解放高峰路口,jie'fang'gao'feng'lu'kou
解放民生路口,jie'fang'min'sheng'lu'kou
解放人民路口,jie'fang'ren'min'lu'kou
锦春金湖路口,jin'chun'jin'hu'lu'kou
金地花园,jin'di'hua'yuan
锦宏加油站,jin'hong'jia'you'zhan
金湖广场,jin'hu'guang'chang
金湖桂春路口,jin'hu'gui'chun'lu'kou
金湖汇春路口,jin'hu'hui'chun'lu'kou
金湖金浦路口,jin'hu'jin'pu'lu'kou
金湖金洲路口,jin'hu'jin'zhou'lu'kou
金湖祥宾路口,jin'hu'xiang'bin'lu'kou
金花茶公园,jin'hua'cha'gong'yuan
金凯开源路口,jin'kai'kai'yuan'lu'kou
金凯朋展路口,jin'kai'peng'zhan'lu'kou
金凯通源路口,jin'kai'tong'yuan'lu'kou
金凯友谊路口,jin'kai'you'yi'lu'kou
金康苑,jin'kang'yuan
金浦桂春路口,jin'pu'gui'chun'lu'kou
金浦汇春路口,jin'pu'hui'chun'lu'kou
金浦锦春路口,jin'pu'jin'chun'lu'kou
金浦民族路口,jin'pu'min'zu'lu'kou
金桥客运站,jin'qiao'ke'yun'zhan
金桥农产品市场南门,jin'qiao'nong'chan'pin'shi'chang'nan'men
金桥站,jin'qiao'zhan
金沙湖,jin'sha'hu
金湾花城西门,jin'wan'hua'cheng'xi'men
金象大道北,jin'xiang'da'dao'bei
金象二区,jin'xiang'er'qu
金象建设路口,jin'xiang'jian'she'lu'kou
金象金沙路口,jin'xiang'jin'sha'lu'kou
金象锦绣路口,jin'xiang'jin'xiu'lu'kou
金象三区,jin'xiang'san'qu
金象亭江路口,jin'xiang'ting'jiang'lu'kou
金象五象路口,jin'xiang'wu'xiang'lu'kou
金象一区,jin'xiang'yi'qu
金阳金凯路口,jin'yang'jin'kai'lu'kou
金阳沛鸿路口,jin'yang'pei'hong'lu'kou
金阳五象路口,jin'yang'wu'xiang'lu'kou
金源城,jin'yuan'cheng
金洲桂春路口,jin'zhou'gui'chun'lu'kou
金州嘉宾路口,jin'zhou'jia'bin'lu'kou
金洲嘉宾路口,jin'zhou'jia'bin'lu'kou
金洲锦春路口,jin'zhou'jin'chun'lu'kou
金洲金湖路口,jin'zhou'jin'hu'lu'kou
金洲金浦路口,jin'zhou'jin'pu'lu'kou
金州民族路口,jin'zhou'min'zu'lu'kou
金洲民族路口,jin'zhou'min'zu'lu'kou
景秀广场,jing'xiu'guang'chang
九曲湾路口,jiu'qu'wan'lu'kou
九曲湾农场,jiu'qu'wan'nong'chang
九曲湾温泉,jiu'qu'wan'wen'quan
聚丰苑,ju'feng'yuan
开泰通福路口,kai'tai'tong'fu'lu'kou
开泰仙葫路口,kai'tai'xian'hu'lu'kou
科德科园路口,ke'de'ke'yuan'lu'kou
科德科园路口东,ke'de'ke'yuan'lu'kou'dong
科德鲁班路口,ke'de'lu'ban'lu'kou
科德路中,ke'de'lu'zhong
科德南二路口,ke'de'nan'er'lu'kou
科德五金机电城,ke'de'wu'jin'ji'dian'cheng
可利滨河路口,ke'li'bin'he'lu'kou
可利科园大道路口,ke'li'ke'yuan'da'dao'lu'kou
可利科园路口,ke'li'ke'yuan'lu'kou
可利鲁班路口,ke'li'lu'ban'lu'kou
可利总部路口,ke'li'zong'bu'lu'kou
科同公司,ke'tong'gong'si
科园大学路口,ke'yuan'da'xue'lu'kou
科园德科路口,ke'yuan'de'ke'lu'kou
科园东五路口,ke'yuan'dong'wu'lu'kou
科园高新路口,ke'yuan'gao'xin'lu'kou
科园科德路口,ke'yuan'ke'de'lu'kou
科园可利路口,ke'yuan'ke'li'lu'kou
科园西九路口,ke'yuan'xi'jiu'lu'kou
科园西十路口,ke'yuan'xi'shi'lu'kou
科园秀厢路口,ke'yuan'xiu'xiang'lu'kou
快环建材市场,kuai'huan'jian'cai'shi'chang
昆仑高速路口,kun'lun'gao'su'lu'kou
昆仑嘉和城路口,kun'lun'jia'he'cheng'lu'kou
昆仑九曲湾路口,kun'lun'jiu'qu'wan'lu'kou
昆仑旧邕宾路口,kun'lun'jiu'yong'bin'lu'kou
莱茵湖畔,lai'yin'hu'pan
埌东,lang'dong
埌东客运站,lang'dong'ke'yun'zhan
埌东汽车站,lang'dong'qi'che'zhan
埌东站,lang'dong'zhan
埌西市场,lang'xi'shi'chang
乐富村,le'fu'cun
楞塘村,leng'tang'cun
利福村路口,li'fu'cun'lu'kou
丽江村小区,li'jiang'cun'xiao'qu
李宁体育园,li'ning'ti'yu'yuan
鲤湾路,li'wan'lu
里香江,li'xiang'jiang
连畴村,lian'chou'cun
连畴村路口,lian'chou'cun'lu'kou
良凤江,liang'feng'jiang
良庆,liang'qing
良庆镇,liang'qing'zhen
林科院,lin'ke'yuan
临时站,lin'shi'zhan
林屋村,lin'wu'cun
柳沙路口,liu'sha'lu'kou
柳沙路中,liu'sha'lu'zhong
柳沙英华路口,liu'sha'ying'hua'lu'kou
龙岗村,long'gang'cun
龙岗大道五号路口,long'gang'da'dao'wu'hao'lu'kou
龙岗五象路口,long'gang'wu'xiang'lu'kou
龙腾北大路口,long'teng'bei'da'lu'kou
龙腾江北路口,long'teng'jiang'bei'lu'kou
龙腾路南,long'teng'lu'nan
龙腾路中,long'teng'lu'zhong
龙腾铁路立交,long'teng'tie'lu'li'jiao
龙腾新阳路口,long'teng'xin'yang'lu'kou
鲁班大学路口,lu'ban'da'xue'lu'kou
鲁班科德路口,lu'ban'ke'de'lu'kou
鲁班可利路口,lu'ban'ke'li'lu'kou
鲁班路北,lu'ban'lu'bei
鲁班路南,lu'ban'lu'nan
卢屋坡,lu'wu'po
罗赖小学,luo'lai'xiao'xue
罗文大学路口,luo'wen'da'xue'lu'kou
罗文奶场,luo'wen'nai'chang
罗文西庄路口,luo'wen'xi'zhuang'lu'kou
罗文相思湖北路口,luo'wen'xiang'si'hu'bei'lu'kou
罗文相思湖西路口,luo'wen'xiang'si'hu'xi'lu'kou
罗文相贤路口,luo'wen'xiang'xian'lu'kou
麻村,ma'cun
麻村平湖路口,ma'cun'ping'hu'lu'kou
茅桥,mao'qiao
茅桥站,mao'qiao'zhan
蒙村,meng'cun
民歌湖,min'ge'hu
民生共和路口,min'sheng'gong'he'lu'kou
民生广场,min'sheng'guang'chang
民生新民路口,min'sheng'xin'min'lu'kou
民生朝阳路口,min'sheng'zhao'yang'lu'kou
民乐友爱路口,min'yue'you'ai'lu'kou
民主望州南路口,min'zhu'wang'zhou'nan'lu'kou
民主新民路口,min'zhu'xin'min'lu'kou
民主园湖路口,min'zhu'yuan'hu'lu'kou
民族茶花园路口,min'zu'cha'hua'yuan'lu'kou
民族大学西校区,min'zu'da'xue'xi'xiao'qu
民族共和路口,min'zu'gong'he'lu'kou
民族古城路口,min'zu'gu'cheng'lu'kou
民族广场,min'zu'guang'chang
民族会展路口,min'zu'hui'zhan'lu'kou
民族江北路口,min'zu'jiang'bei'lu'kou
民族金浦路口,min'zu'jin'pu'lu'kou
民族金州路口,min'zu'jin'zhou'lu'kou
民族金洲路口,min'zu'jin'zhou'lu'kou
民族青秀路口,min'zu'qing'xiu'lu'kou
民族星湖北一里,min'zu'xing'hu'bei'yi'li
民族星湖北一里路口,min'zu'xing'hu'bei'yi'li'lu'kou
民族园湖路口,min'zu'yuan'hu'lu'kou
民族中学路口,min'zu'zhong'xue'lu'kou
明秀北湖路口,ming'xiu'bei'hu'lu'kou
明秀大学路口,ming'xiu'da'xue'lu'kou
明秀路中,ming'xiu'lu'zhong
明秀农院路口,ming'xiu'nong'yuan'lu'kou
明秀市场,ming'xiu'shi'chang
明秀望州路口,ming'xiu'wang'zhou'lu'kou
明秀小区,ming'xiu'xiao'qu
明秀新阳路口,ming'xiu'xin'yang'lu'kou
明秀秀灵路口,ming'xiu'xiu'ling'lu'kou
明秀友爱路口,ming'xiu'you'ai'lu'kou
莫村路口,mo'cun'lu'kou
莫屋坡,mo'wu'po
木槿路,mu'jin'lu
那丹桥,na'dan'qiao
那道坡,na'dao'po
那洪富源路口,na'hong'fu'yuan'lu'kou
那洪那历路口,na'hong'na'li'lu'kou
那洪壮锦路口,na'hong'zhuang'jin'lu'kou
那元路口,na'yuan'lu'kou
南地教育学院,nan'di'jiao'yu'xue'yuan
南地一师,nan'di'yi'shi
南二科德路口,nan'er'ke'de'lu'kou
南国花园,nan'guo'hua'yuan
南湖碧湖路口,nan'hu'bi'hu'lu'kou
南湖公务员小区,nan'hu'gong'wu'yuan'xiao'qu
南湖公园,nan'hu'gong'yuan
南湖广场,nan'hu'guang'chang
南环路,nan'huan'lu
南建白沙路口,nan'jian'bai'sha'lu'kou
南建亭洪路口,nan'jian'ting'hong'lu'kou
南建五一立交,nan'jian'wu'yi'li'jiao
南京中华路口,nan'jing'zhong'hua'lu'kou
南宁爱尔眼科医院,nan'ning'ai'er'yan'ke'yi'yuan
南宁奥园,nan'ning'ao'yuan
南宁保税物流中心,nan'ning'bao'shui'wu'liu'zhong'xin
南宁大桥北,nan'ning'da'qiao'bei
南宁大桥南,nan'ning'da'qiao'nan
南宁港,nan'ning'gang
南宁火车站,nan'ning'huo'che'zhan
南宁经济技术开发区,nan'ning'jing'ji'ji'shu'kai'fa'qu
南宁经济开发区,nan'ning'jing'ji'kai'fa'qu
南宁科技馆,nan'ning'ke'ji'guan
南宁三中,nan'ning'san'zhong
南宁市协和医院,nan'ning'shi'xie'he'yi'yuan
南宁市英华学校,nan'ning'shi'ying'hua'xue'xiao
南宁外国语学校,nan'ning'wai'guo'yu'xue'xiao
南宁英华学校,nan'ning'ying'hua'xue'xiao
南宁职业技术学院,nan'ning'zhi'ye'ji'shu'xue'yuan
南宁中心血站,nan'ning'zhong'xin'xue'zhan
南梧高速路口,nan'wu'gao'su'lu'kou
南梧景观路口,nan'wu'jing'guan'lu'kou
南梧旧邕宾路口,nan'wu'jiu'yong'bin'lu'kou
南梧望州路口,nan'wu'wang'zhou'lu'kou
南梧温泉路口,nan'wu'wen'quan'lu'kou
南梧畜牧所路口,nan'wu'xu'mu'suo'lu'kou
南梧邕宾路口,nan'wu'yong'bin'lu'kou
南乡村,nan'xiang'cun
南站车辆段,nan'zhan'che'liang'duan
南站大道西,nan'zhan'da'dao'xi
南站二区,nan'zhan'er'qu
南站公寓,nan'zhan'gong'yu
南站粮油市场,nan'zhan'liang'you'shi'chang
南站路口,nan'zhan'lu'kou
