奥运,ao'yun
奥运会,ao'yun'hui
巴塞尔,ba'sai'er
百业凋敝,bai'ye'diao'bi
版权,ban'quan
暴跌,bao'die
保险,bao'xian
保障房,bao'zhang'fang
悲观,bei'guan
崩溃,beng'kui
崩盘,beng'pan
贬值,bian'zhi
并轨,bing'gui
不动产统一登记制度,bu'dong'chan'tong'yi'deng'ji'zhi'du
不公平,bu'gong'ping
不佳,bu'jia
不景气,bu'jing'qi
不看好,bu'kan'hao
不乐观,bu'le'guan
不满,bu'man
不确定,bu'que'ding
不容乐观,bu'rong'le'guan
不透明,bu'tou'ming
不稳定,bu'wen'ding
不正当行为改革,bu'zheng'dang'xing'wei'gai'ge
不足,bu'zu
财竭力尽,cai'jie'li'jin
财匮力绌,cai'kui'li'chu
财税改革,cai'shui'gai'ge
财政,cai'zheng
财政刺激,cai'zheng'ci'ji
财政金融双管齐下,cai'zheng'jin'rong'shuang'guan'qi'xia
财政政策,cai'zheng'zheng'ce
残疾保险,can'ji'bao'xian
差别化房贷,cha'bie'hua'fang'dai
差别化房贷政策,cha'bie'hua'fang'dai'zheng'ce
产出,chan'chu
产能过剩,chan'neng'guo'sheng
产业资本,chan'ye'zi'ben
惩罚性损害赔偿,cheng'fa'xing'sun'hai'pei'chang
城居保,cheng'ju'bao
成品油,cheng'pin'you
成品油价,cheng'pin'you'jia
成品油调价,cheng'pin'you'tiao'jia
承压,cheng'ya
城镇化,cheng'zhen'hua
持谨慎态度,chi'jin'shen'tai'du
赤字,chi'zi
冲击,chong'ji
冲突,chong'tu
触底,chu'di
处方药,chu'fang'yao
出口退税,chu'kou'tui'shui
创汇,chuang'hui
创新驱动发展战略,chuang'xin'qu'dong'fa'zhan'zhan'lue
创业板,chuang'ye'ban
刺激,ci'ji
促进就业规划,cu'jin'jiu'ye'gui'hua
存贷款基准利率,cun'dai'kuan'ji'zhun'li'lv
存款保险,cun'kuan'bao'xian
存款保险条例,cun'kuan'bao'xian'tiao'li
存款准备金率,cun'kuan'zhun'bei'jin'lv
大病保险,da'bing'bao'xian
大病医保,da'bing'yi'bao
