阿隆,a'long
阿什利,a'shi'li
爱德华卡尔,ai'de'hua'ka'er
艾克斯罗德,ai'ke'si'luo'de
安全共同体,an'quan'gong'tong'ti
安全困境,an'quan'kun'jing
奥尔森,ao'er'sen
霸权国家,ba'quan'guo'jia
霸权稳定理论,ba'quan'wen'ding'li'lun
霸权之后,ba'quan'zhi'hou
保守主义,bao'shou'zhu'yi
本体论,ben'ti'lun
柏拉图,bo'la'tu
波普尔,bo'pu'er
层次分析,ceng'ci'fen'xi
冲突博弈矩阵,chong'tu'bo'yi'ju'zhen
传统现实主义,chuan'tong'xian'shi'zhu'yi
次品市场,ci'pin'shi'chang
脆弱性相互依赖,cui'ruo'xing'xiang'hu'yi'lai
搭便车,da'bian'che
大家为一人一人为大家,da'jia'wei'yi'ren'yi'ren'wei'da'jia
戴辛,dai'xin
道义问题绝对化,dao'yi'wen'ti'jue'dui'hua
迪尔凯姆,di'er'kai'mu
帝国主义,di'guo'zhu'yi
笛卡尔,di'ka'er
第三种意象,di'san'zhong'yi'xiang
儿童认知实验,er'tong'ren'zhi'shi'yan
反射评价,fan'she'ping'jia
范式,fan'shi
反思主义,fan'si'zhu'yi
方法论,fang'fa'lun
分析层次,fen'xi'ceng'ci
符号互动论,fu'hao'hu'dong'lun
复合相互依赖,fu'he'xiang'hu'yi'lai
概念分析,gai'nian'fen'xi
概念关系模型,gai'nian'guan'xi'mo'xing
高浚生,gao'jun'sheng
高尚涛,gao'shang'tao
高尚涛权力与规范,gao'shang'tao'quan'li'yu'gui'fan
格拉塞斯菲尔德,ge'la'sai'si'fei'er'de
格里科,ge'li'ke
个体理性,ge'ti'li'xing
个体主义,ge'ti'zhu'yi
个体主义本体论,ge'ti'zhu'yi'ben'ti'lun
个体主义方法论,ge'ti'zhu'yi'fang'fa'lun
公共物品,gong'gong'wu'pin
共识的事实,gong'shi'de'shi'shi
共同知识,gong'tong'zhi'shi
共有知识,gong'you'zhi'shi
关联分析,guan'lian'fen'xi
观念分配及,guan'nian'fen'pei'ji
广义国际关系,guang'yi'guo'ji'guan'xi
规范,gui'fan
规范理论,gui'fan'li'lun
规范使用者,gui'fan'shi'yong'zhe
规范研究方法,gui'fan'yan'jiu'fang'fa
归纳五法,gui'na'wu'fa
国际法,guo'ji'fa
国际关系理论史导论,guo'ji'guan'xi'li'lun'shi'dao'lun
国际结构,guo'ji'jie'gou
国际经济,guo'ji'jing'ji
国际利益和谐论,guo'ji'li'yi'he'xie'lun
国际体系的观念结构,guo'ji'ti'xi'de'guan'nian'jie'gou
国际体系规范结构,guo'ji'ti'xi'gui'fan'jie'gou
国际体系结构,guo'ji'ti'xi'jie'gou
国际性国家,guo'ji'xing'guo'jia
国际政治,guo'ji'zheng'zhi
国际政治的社会理论,guo'ji'zheng'zhi'de'she'hui'li'lun
国际政治理论,guo'ji'zheng'zhi'li'lun
国际制度的功能理论,guo'ji'zhi'du'de'gong'neng'li'lun
国际组织,guo'ji'zu'zhi
国际组织解释模式,guo'ji'zu'zhi'jie'shi'mo'shi
国家的施动性问题,guo'jia'de'shi'dong'xing'wen'ti
国家间冲突,guo'jia'jian'chong'tu
国家间政治,guo'jia'jian'zheng'zhi
国家利益,guo'jia'li'yi
国家利益的冲突,guo'jia'li'yi'de'chong'tu
