阿玛仕,a'ma'shi
爱尔康,ai'er'kang
爱尔眼科,ai'er'yan'ke
白内障,bai'nei'zhang
白内障专科,bai'nei'zhang'zhuan'ke
变色片,bian'se'pian
玻璃酸钠滴眼液,bo'li'suan'na'di'yan'ye
玻璃体切除术,bo'li'ti'qie'chu'shu
玻切手术,bo'qie'shou'shu
博士伦,bo'shi'lun
层流手术室,ceng'liu'shou'shu'shi
超高频,chao'gao'pin
超声乳化术,chao'sheng'ru'hua'shu
陈春梅,chen'chun'mei
重庆爱尔麦格眼科医院,chong'qing'ai'er'mai'ge'yan'ke'yi'yuan
倒睫,dao'jie
导诊台,dao'zhen'tai
邓淑珍,deng'shu'zhen
电脑验光,dian'nao'yan'guang
多焦晶体,duo'jiao'jing'ti
飞秒激光,fei'miao'ji'guang
飞蚊症,fei'wen'zheng
副主任医师,fu'zhu'ren'yi'shi
干眼症,gan'yan'zheng
高度近视,gao'du'jin'shi
个体化,ge'ti'hua
桂君民,gui'jun'min
红眼病,hong'yan'bing
护理液,hu'li'ye
黄斑病变,huang'ban'bing'bian
黄斑裂孔,huang'ban'lie'kong
黄斑前膜,huang'ban'qian'mo
黄斑退化,huang'ban'tui'hua
黄斑营养不良,huang'ban'ying'yang'bu'liang
激光,ji'guang
急诊,ji'zhen
渐进片,jian'jin'pian
睑内翻,jian'nei'fan
检影验光,jian'ying'yan'guang
蒋立军,jiang'li'jun
角膜病,jiao'mo'bing
角膜地形图,jiao'mo'di'xing'tu
角膜及眼表,jiao'mo'ji'yan'biao
角膜溃疡,jiao'mo'kui'yang
角膜上皮磨损,jiao'mo'shang'pi'mo'sun
角膜上皮脱落,jiao'mo'shang'pi'tuo'luo
角膜塑形镜,jiao'mo'su'xing'jing
角膜炎,jiao'mo'yan
角膜移植,jiao'mo'yi'zhi
近视手术,jin'shi'shou'shu
近视套镜,jin'shi'tao'jing
晶体,jing'ti
晶体置换,jing'ti'zhi'huan
晶体植入,jing'ti'zhi'ru
框架眼镜,kuang'jia'yan'jing
老光,lao'guang
泪道病,lei'dao'bing
泪道冲洗,lei'dao'chong'xi
泪道置管,lei'dao'zhi'guan
泪囊炎,lei'nang'yan
泪小管,lei'xiao'guan
李红梅,li'hong'mei
联合术,lian'he'shu
刘建娣,liu'jian'di
罗世珍,luo'shi'zhen
麦格,mai'ge
南岸区,nan'an'qu
南城大道,nan'cheng'da'dao
南坪爱尔,nan'ping'ai'er
南坪医院,nan'ping'yi'yuan
内斜,nei'xie
彭艳丽,peng'yan'li
偏光镜,pian'guang'jing
青白联合术,qing'bai'lian'he'shu
青光眼,qing'guang'yan
青少年近视防治中心,qing'shao'nian'jin'shi'fang'zhi'zhong'xin
屈光不正,qu'guang'bu'zheng
屈光参差,qu'guang'cen'ci
屈光手术中心,qu'guang'shou'shu'zhong'xin
全飞秒,quan'fei'miao
全飞秒激光手术,quan'fei'miao'ji'guang'shou'shu
全国连锁,quan'guo'lian'suo
软晶体,ruan'jing'ti
弱视,ruo'shi
散光,san'guang
散瞳,san'tong
色盲,se'mang
色弱,se'ruo
上睑下垂,shang'jian'xia'chui
上市眼科,shang'shi'yan'ke
湿房镜,shi'fang'jing
视功能检查,shi'gong'neng'jian'cha
视功能训练,shi'gong'neng'xun'lian
视觉训练,shi'jue'xun'lian
视网膜病变,shi'wang'mo'bing'bian
视网膜色素变性,shi'wang'mo'se'su'bian'xing
视网膜脱离,shi'wang'mo'tuo'li
手术室,shou'shu'shi
术后用药,shu'hou'yong'yao
术前检查,shu'qian'jian'cha
双眼视功能,shuang'yan'shi'gong'neng
四小区,si'xiao'qu
谭吉林,tan'ji'lin
糖尿病视网膜病变,tang'niao'bing'shi'wang'mo'bing'bian
特检,te'jian
外斜,wai'xie
王红霞,wang'hong'xia
微切口,wei'qie'kou
吴明跃,wu'ming'yue
小儿眼病及斜弱视专科,xiao'er'yan'bing'ji'xie'ruo'shi'zhuan'ke
小儿眼科,xiao'er'yan'ke
小切口,xiao'qie'kou
斜视,xie'shi
斜视手术,xie'shi'shou'shu
血常规,xue'chang'gui
眼底病,yan'di'bing
眼底出血,yan'di'chu'xie
眼底激光,yan'di'ji'guang
验光,yan'guang
眼健康门诊,yan'jian'kang'men'zhen
眼睑炎,yan'jian'yan
眼科,yan'ke
眼压,yan'ya
眼整形,yan'zheng'xing
杨和平,yang'he'ping
医保报销,yi'bao'bao'xiao
医保定点,yi'bao'ding'dian
医学验光,yi'xue'yan'guang
义眼片,yi'yan'pian
义眼台,yi'yan'tai
翼状胬肉,yi'zhuang'nu'rou
隐形眼镜,yin'xing'yan'jing
荧光造影,ying'guang'zao'ying
硬晶体,ying'jing'ti
硬性透氧性角膜接触镜,ying'xing'tou'yang'xing'jiao'mo'jie'chu'jing
远视,yuan'shi
圆锥角膜,yuan'zhui'jiao'mo
张晓城,zhang'xiao'cheng
中心性视网膜炎,zhong'xin'xing'shi'wang'mo'yan
周晓虹,zhou'xiao'hong
主任医师,zhu'ren'yi'shi
住院部,zhu'yuan'bu
专家号,zhuan'jia'hao
准分子激光手术,zhun'fen'zi'ji'guang'shou'shu
