阿泊加,a'bo'jia
阿托品,a'tuo'pin
爱人姓名,ai'ren'xing'ming
安定,an'ding
安定用法,an'ding'yong'fa
按费用类别分组,an'fei'yong'lei'bie'fen'zu
安排标志,an'pai'biao'zhi
安排日期,an'pai'ri'qi
按天发药,an'tian'fa'yao
版本号,ban'ben'hao
半成品检验判断标识,ban'cheng'pin'jian'yan'pan'duan'biao'zhi
报表编号,bao'biao'bian'hao
报表编码,bao'biao'bian'ma
报表标题,bao'biao'biao'ti
报表来源,bao'biao'lai'yuan
报表类别,bao'biao'lei'bie
报表类型,bao'biao'lei'xing
报表名称,bao'biao'ming'cheng
报表明细,bao'biao'ming'xi
报表年度,bao'biao'nian'du
报表判别,bao'biao'pan'bie
报表数据,bao'biao'shu'ju
报表序号,bao'biao'xu'hao
报到时间,bao'dao'shi'jian
报告编号,bao'gao'bian'hao
报告日期,bao'gao'ri'qi
报告书编号,bao'gao'shu'bian'hao
保管工号,bao'guan'gong'hao
报关口岸,bao'guan'kou'an
保管人,bao'guan'ren
包裹编号,bao'guo'bian'hao
包裹类别,bao'guo'lei'bie
包裹名称,bao'guo'ming'cheng
包裹条码,bao'guo'tiao'ma
包裹状态,bao'guo'zhuang'tai
保留属性,bao'liu'shu'xing
报损单号,bao'sun'dan'hao
报损类型,bao'sun'lei'xing
报损日期,bao'sun'ri'qi
报损数量,bao'sun'shu'liang
报损原因,bao'sun'yuan'yin
报损原由,bao'sun'yuan'you
保险编号,bao'xian'bian'hao
保险代号,bao'xian'dai'hao
保险名称,bao'xian'ming'cheng
保险年份,bao'xian'nian'fen
保险判别,bao'xian'pan'bie
保险项目,bao'xian'xiang'mu
保险月份,bao'xian'yue'fen
保修结束,bao'xiu'jie'shu
保修开始,bao'xiu'kai'shi
保修条件,bao'xiu'tiao'jian
包装,bao'zhuang
包装材料,bao'zhuang'cai'liao
包装类别,bao'zhuang'lei'bie
包装日期,bao'zhuang'ri'qi
包装序号,bao'zhuang'xu'hao
包装贮存,bao'zhuang'zhu'cun
备货科室,bei'huo'ke'shi
备货人,bei'huo'ren
备货时间,bei'huo'shi'jian
备货状态,bei'huo'zhuang'tai
被检人员,bei'jian'ren'yuan
被检物品,bei'jian'wu'pin
背景颜色,bei'jing'yan'se
备用项二,bei'yong'xiang'er
备用项一,bei'yong'xiang'yi
备注,bei'zhu
备注说明,bei'zhu'shuo'ming
备注信息,bei'zhu'xin'xi
苯巴比妥钠,ben'ba'bi'tuo'na
本次付款,ben'ci'fu'kuan
本次折旧,ben'ci'zhe'jiu
本单位经办人,ben'dan'wei'jing'ban'ren
本单位审批日期,ben'dan'wei'shen'pi'ri'qi
本单位意见,ben'dan'wei'yi'jian
本期发生,ben'qi'fa'sheng
本期结存,ben'qi'jie'cun
本期结算,ben'qi'jie'suan
本期余额,ben'qi'yu'e
本日结存,ben'ri'jie'cun
本日收入,ben'ri'shou'ru
本日支出,ben'ri'zhi'chu
本专业技术业务素质,ben'zhuan'ye'ji'shu'ye'wu'su'zhi
本专业技术业务质量,ben'zhuan'ye'ji'shu'ye'wu'zhi'liang
笔划宽度,bi'hua'kuan'du
笔划序划,bi'hua'xu'hua
笔划颜色,bi'hua'yan'se
比例序号,bi'li'xu'hao
毕业时间,bi'ye'shi'jian
变动类别,bian'dong'lei'bie
变动日期,bian'dong'ri'qi
变动文号,bian'dong'wen'hao
变更金额,bian'geng'jin'e
编号,bian'hao
编码长度,bian'ma'chang'du
编码分类,bian'ma'fen'lei
编码名称,bian'ma'ming'cheng
编码序号,bian'ma'xu'hao
编码医生,bian'ma'yi'sheng
编码字段,bian'ma'zi'duan
编制餐型,bian'zhi'can'xing
编制时间,bian'zhi'shi'jian
标称值,biao'cheng'zhi
表达式值,biao'da'shi'zhi
表达显示,biao'da'xian'shi
表名称,biao'ming'cheng
表头,biao'tou
表头长度,biao'tou'chang'du
表头说明,biao'tou'shuo'ming
标志,biao'zhi
标准编码,biao'zhun'bian'ma
标准价格,biao'zhun'jia'ge
标准鉴别,biao'zhun'jian'bie
标准零价,biao'zhun'ling'jia
标准配量,biao'zhun'pei'liang
标准项目,biao'zhun'xiang'mu
标准性状,biao'zhun'xing'zhuang
标准序号,biao'zhun'xu'hao
别名序号,bie'ming'xu'hao
病案抽查,bing'an'chou'cha
病案号,bing'an'hao
病案号码,bing'an'hao'ma
病案判别,bing'an'pan'bie
病案质量,bing'an'zhi'liang
病程纪录内容,bing'cheng'ji'lu'nei'rong
病程记录序号,bing'cheng'ji'lu'xu'hao
病程序号,bing'cheng'xu'hao
病床诊疗人次,bing'chuang'zhen'liao'ren'ci
并发编码,bing'fa'bian'ma
并发次数,bing'fa'ci'shu
并发结果,bing'fa'jie'guo
并发类型,bing'fa'lei'xing
病房包装,bing'fang'bao'zhuang
病房单位,bing'fang'dan'wei
病房低储,bing'fang'di'chu
病房高储,bing'fang'gao'chu
病房规格,bing'fang'gui'ge
病房作废,bing'fang'zuo'fei
丙级病案,bing'ji'bing'an
丙级份数,bing'ji'fen'shu
病假,bing'jia
病家要求,bing'jia'yao'qiu
病理编号,bing'li'bian'hao
病理不符,bing'li'bu'fu
病理符合,bing'li'fu'he
病理符合数,bing'li'fu'he'shu
病历金额,bing'li'jin'e
病理疑诊,bing'li'yi'zhen
病理诊断,bing'li'zhen'duan
病历状态,bing'li'zhuang'tai
病例总数,bing'li'zong'shu
病情急症,bing'qing'ji'zheng
病情危重,bing'qing'wei'zhong
病情疑难,bing'qing'yi'nan
病区病死,bing'qu'bing'si
病区代码,bing'qu'dai'ma
病区科室,bing'qu'ke'shi
病区判别,bing'qu'pan'bie
病区人数,bing'qu'ren'shu
病区申请工号,bing'qu'shen'qing'gong'hao
