安装调试,an'zhuang'tiao'shi
安装调试时间,an'zhuang'tiao'shi'shi'jian
被授权人签字,bei'shou'quan'ren'qian'zi
标书售价,biao'shu'shou'jia
采购代理机构,cai'gou'dai'li'ji'gou
采购合同,cai'gou'he'tong
采购人,cai'gou'ren
采购信息查阅,cai'gou'xin'xi'cha'yue
初步审查表,chu'bu'shen'cha'biao
地点,di'dian
定标原则,ding'biao'yuan'ze
法定代表人,fa'ding'dai'biao'ren
法定代表人签字,fa'ding'dai'biao'ren'qian'zi
法定代表人授权书,fa'ding'dai'biao'ren'shou'quan'shu
范围,fan'wei
附件,fu'jian
公司简介,gong'si'jian'jie
供应商资格要求,gong'ying'shang'zi'ge'yao'qiu
购买标书,gou'mai'biao'shu
购买标书时间,gou'mai'biao'shu'shi'jian
关于资格声明函,guan'yu'zi'ge'sheng'ming'han
规格响应表,gui'ge'xiang'ying'biao
国产仪器设备,guo'chan'yi'qi'she'bei
合同条款及格式,he'tong'tiao'kuan'ji'ge'shi
交保证金银行账户,jiao'bao'zheng'jin'yin'hang'zhang'hu
交货地点,jiao'huo'di'dian
交货及安装调试时间,jiao'huo'ji'an'zhuang'tiao'shi'shi'jian
进口仪器设备,jin'kou'yi'qi'she'bei
开标地点,kai'biao'di'dian
开标时间,kai'biao'shi'jian
开标一览表,kai'biao'yi'lan'biao
其他服务承诺,qi'ta'fu'wu'cheng'nuo
设备报价,she'bei'bao'jia
设备名称,she'bei'ming'cheng
售后服务计划,shou'hou'fu'wu'ji'hua
投标保证金,tou'biao'bao'zheng'jin
投标人须知,tou'biao'ren'xu'zhi
投标人资格声明,tou'biao'ren'zi'ge'sheng'ming
投标书,tou'biao'shu
投标邀请函,tou'biao'yao'qing'han
投标一览表,tou'biao'yi'lan'biao
维修服务收费标准,wei'xiu'fu'wu'shou'fei'biao'zhun
维修技术人员情况,wei'xiu'ji'shu'ren'yuan'qing'kuang
项目名称,xiang'mu'ming'cheng
项目预算,xiang'mu'yu'suan
项目总预算,xiang'mu'zong'yu'suan
协议供货,xie'yi'gong'huo
询价采购,xun'jia'cai'gou
询价采购邀请函,xun'jia'cai'gou'yao'qing'han
业主指定地点,ye'zhu'zhi'ding'di'dian
仪器设备交付时间,yi'qi'she'bei'jiao'fu'shi'jian
已做工程简介,yi'zuo'gong'cheng'jian'jie
应急维修时间安排,ying'ji'wei'xiu'shi'jian'an'pai
营业执照,ying'ye'zhi'zhao
招标编号,zhao'biao'bian'hao
招标文件说明,zhao'biao'wen'jian'shuo'ming
招标项目,zhao'biao'xiang'mu
招标项目需求,zhao'biao'xiang'mu'xu'qiu
招标项目要求,zhao'biao'xiang'mu'yao'qiu
招标中心,zhao'biao'zhong'xin
政府采购,zheng'fu'cai'gou
质量保证,zhi'liang'bao'zheng
中标服务费,zhong'biao'fu'wu'fei
中标服务费承诺书,zhong'biao'fu'wu'fei'cheng'nuo'shu
主要零配件价格,zhu'yao'ling'pei'jian'jia'ge
资格声明函,zi'ge'sheng'ming'han
资格证明文件,zi'ge'zheng'ming'wen'jian
