按股分红,an'gu'fen'hong
按劳分红,an'lao'fen'hong
安全生产责任制,an'quan'sheng'chan'ze'ren'zhi
巴克制,ba'ke'zhi
八小时工作制,ba'xiao'shi'gong'zuo'zhi
半失业,ban'shi'ye
本企业工龄,ben'qi'ye'gong'ling
编制定员,bian'zhi'ding'yuan
不劳动者不得食,bu'lao'dong'zhe'bu'de'shi
超额劳动报酬,chao'e'lao'dong'bao'chou
城镇劳动力平衡表,cheng'zhen'lao'dong'li'ping'heng'biao
出勤率,chu'qin'lv
待业人员,dai'ye'ren'yuan
定员,ding'yuan
定员标准,ding'yuan'biao'zhun
定员方法,ding'yuan'fang'fa
法定假日,fa'ding'jia'ri
非定额时间,fei'ding'e'shi'jian
非工伤,fei'gong'shang
非工伤事故,fei'gong'shang'shi'gu
非劳动收入,fei'lao'dong'shou'ru
非直接生产人员,fei'zhi'jie'sheng'chan'ren'yuan
各尽所能按劳分配,ge'jin'suo'neng'an'lao'fen'pei
各尽所能按需分配,ge'jin'suo'neng'an'xu'fen'pei
个体劳动者,ge'ti'lao'dong'zhe
工票,gong'piao
工日,gong'ri
工伤,gong'shang
工时,gong'shi
工时定额,gong'shi'ding'e
工时利用率,gong'shi'li'yong'lv
公务员制度,gong'wu'yuan'zhi'du
工序,gong'xu
工种,gong'zhong
工作时间,gong'zuo'shi'jian
固定工制度,gu'ding'gong'zhi'du
国家职工人数计划,guo'jia'zhi'gong'ren'shu'ji'hua
技工培训计划,ji'gong'pei'xun'ji'hua
计划外用工,ji'hua'wai'yong'gong
家务劳动,jia'wu'lao'dong
结构性失业,jie'gou'xing'shi'ye
就业率,jiu'ye'lv
考勤制度,kao'qin'zhi'du
劳动,lao'dong
劳动报酬,lao'dong'bao'chou
劳动保护,lao'dong'bao'hu
劳动保险,lao'dong'bao'xian
劳动定员,lao'dong'ding'yuan
劳动二重性,lao'dong'er'chong'xing
劳动负荷量,lao'dong'fu'he'liang
劳动服务公司,lao'dong'fu'wu'gong'si
劳动工作,lao'dong'gong'zuo
劳动管理,lao'dong'guan'li
劳动合同,lao'dong'he'tong
劳动计划,lao'dong'ji'hua
劳动积极性,lao'dong'ji'ji'xing
劳动纪律,lao'dong'ji'lv
劳动经济效益,lao'dong'jing'ji'xiao'yi
劳动就业,lao'dong'jiu'ye
劳动就业方针,lao'dong'jiu'ye'fang'zhen
劳动科学,lao'dong'ke'xue
劳动力分配,lao'dong'li'fen'pei
劳动力管理,lao'dong'li'guan'li
劳动力计划,lao'dong'li'ji'hua
劳动力流动,lao'dong'li'liu'dong
劳动力平衡表,lao'dong'li'ping'heng'biao
劳动力素质,lao'dong'li'su'zhi
劳动力调配,lao'dong'li'tiao'pei
劳动力资源,lao'dong'li'zi'yuan
劳动力资源量,lao'dong'li'zi'yuan'liang
劳动力资源率,lao'dong'li'zi'yuan'lv
劳动力资源总量,lao'dong'li'zi'yuan'zong'liang
劳动强度,lao'dong'qiang'du
劳动生产力,lao'dong'sheng'chan'li
劳动生产率计划,lao'dong'sheng'chan'lv'ji'hua
劳动生理学,lao'dong'sheng'li'xue
劳动熟练程度,lao'dong'shu'lian'cheng'du
劳动卫生,lao'dong'wei'sheng
劳动消耗,lao'dong'xiao'hao
劳动效益,lao'dong'xiao'yi
劳动心理学,lao'dong'xin'li'xue
劳动预备制度,lao'dong'yu'bei'zhi'du
劳动争议,lao'dong'zheng'yi
劳动制度,lao'dong'zhi'du
劳动组合,lao'dong'zu'he
劳务出口,lao'wu'chu'kou
劳务费,lao'wu'fei
劳务合作,lao'wu'he'zuo
劳务价格,lao'wu'jia'ge
利润分享,li'run'fen'xiang
离休,li'xiu
联产到劳,lian'chan'dao'lao
连续工龄,lian'xu'gong'ling
两种劳动制度,liang'zhong'lao'dong'zhi'du
聘任制,pin'ren'zhi
平均先进定额,ping'jun'xian'jin'ding'e
平准化法,ping'zhun'hua'fa
全员劳动生产率,quan'yuan'lao'dong'sheng'chan'lv
全员培训,quan'yuan'pei'xun
社会保险,she'hui'bao'xian
社会保障,she'hui'bao'zhang
社会保障制度,she'hui'bao'zhang'zhi'du
社会劳动力计划,she'hui'lao'dong'li'ji'hua
社会劳动力平衡表,she'hui'lao'dong'li'ping'heng'biao
社会劳动者,she'hui'lao'dong'zhe
实际工时,shi'ji'gong'shi
失业率,shi'ye'lv
特殊保护,te'shu'bao'hu
铁饭碗,tie'fan'wan
统包统配,tong'bao'tong'pei
同工同酬,tong'gong'tong'chou
退休,tui'xiu
退职,tui'zhi
先培训后就业,xian'pei'xun'hou'jiu'ye
医务劳动鉴定,yi'wu'lao'dong'jian'ding
用工制度,yong'gong'zhi'du
有效时间,you'xiao'shi'jian
职工自然减员,zhi'gong'zi'ran'jian'yuan
职业病,zhi'ye'bing
职业道德,zhi'ye'dao'de
