阿达帕林,a'da'pa'lin
阿狄森病,a'di'sen'bing
阿尔新蓝,a'er'xin'lan
阿夫他热,a'fu'ta're
阿弗它腺周炎,a'fu'ta'xian'zhou'yan
阿根廷出血热,a'gen'ting'chu'xue're
阿洛西林,a'luo'xi'lin
阿米巴性包皮龟头炎,a'mi'ba'xing'bao'pi'gui'tou'yan
阿米卡星,a'mi'ka'xing
阿米替林,a'mi'ti'lin
阿莫西林,a'mo'xi'lin
阿姆斯特丹侏儒,a'mu'si'te'dan'zhu'ru
阿司匹林,a'si'pi'lin
阿糖胞苷,a'tang'bao'gan
阿糖腺苷,a'tang'xian'gan
阿替洛尔,a'ti'luo'er
阿昔洛韦,a'xi'luo'wei
阿扎利宾,a'zha'li'bin
阿扎立平,a'zha'li'ping
阿扎他啶,a'zha'ta'ding
埃可病毒,ai'ke'bing'du
埃克病毒疹,ai'ke'bing'du'zhen
矮小软下疳,ai'xiao'ruan'xia'gan
矮妖精貌样综合症,ai'yao'jing'mao'yang'zong'he'zheng
艾滋病,ai'zi'bing
氨苯砜,an'ben'feng
氨苯磺胺,an'ben'huang'an
氨苯硫脲,an'ben'liu'niao
氨苄西林,an'bian'xi'lin
胺碘酮,an'dian'tong
氨蝶呤,an'die'ling
安定,an'ding
氨基本尿陪拉格小脑性共济失调,an'ji'ben'niao'pei'la'ge'xiao'nao'xing'gong'ji'shi'tiao
氨基多糖病,an'ji'duo'tang'bing
氨甲环酸,an'jia'huan'suan
暗色丝孢霉病,an'se'si'bao'mei'bing
安体舒通,an'ti'shu'tong
氨西林,an'xi'lin
昂丹司琼,ang'dan'si'qiong
奥格汀丁,ao'ge'ting'ding
奥罗亚热,ao'luo'ya're
奥沙米特,ao'sha'mi'te
奥昔康唑,ao'xi'kang'zuo
八叠球菌,ba'die'qiu'jun
巴尔通体病,ba'er'tong'ti'bing
八碱基基元,ba'jian'ji'ji'yuan
八碱基结合蛋白,ba'jian'ji'jie'he'dan'bai
巴龙霉素,ba'long'mei'su
拔毛癖,ba'mao'pi
巴蒲白蛉,ba'pu'bai'ling
巴氏反应,ba'shi'fan'ying
拔食毛癖,ba'shi'mao'pi
巴斯德土拉热杆菌,ba'si'de'tu'la're'gan'jun
巴西利士曼原虫,ba'xi'li'shi'man'yuan'chong
巴西奴卡菌,ba'xi'nu'ka'jun
巴西天疱疮,ba'xi'tian'pao'chuang
白斑黑皮病,bai'ban'hei'pi'bing
百部,bai'bu
白点病,bai'dian'bing
白癜风,bai'dian'feng
百多邦,bai'duo'bang
白垩土,bai'e'tu
白发,bai'fa
白喉棒状杆菌,bai'hou'bang'zhuang'gan'jun
白化病,bai'hua'bing
白化病出血性素质,bai'hua'bing'chu'xue'xing'su'zhi
白化病血小板病,bai'hua'bing'xue'xiao'ban'bing
白甲,bai'jia
白杰尔白色毛结节菌,bai'jie'er'bai'se'mao'jie'jie'jun
白介素,bai'jie'su
白蜡,bai'la
白蛉叮咬,bai'ling'ding'yao
白蛉热,bai'ling're
白内障,bai'nei'zhang
白色海绵状痣,bai'se'hai'mian'zhuang'zhi
白色糠疹,bai'se'kang'zhen
白色苔藓,bai'se'tai'xian
白色萎缩,bai'se'wei'suo
白色皱折病,bai'se'zhou'zhe'bing
白色皱褶性齿龈口腔炎,bai'se'zhou'zhe'xing'chi'yin'kou'qiang'yan
白细胞碎裂,bai'xi'bao'sui'lie
白细胞碎裂性血管炎,bai'xi'bao'sui'lie'xing'xue'guan'yan
白细胞透析,bai'xi'bao'tou'xi
白线,bai'xian
白消安,bai'xiao'an
败血症的皮肤表现,bai'xue'zheng'de'pi'fu'biao'xian
半孢子蛙粪霉菌,ban'bao'zi'wa'fen'mei'jun
斑驳病,ban'bo'bing
半侧面肥大,ban'ce'mian'fei'da
板层,ban'ceng
板层颗粒,ban'ceng'ke'li
板层素,ban'ceng'su
斑点热类,ban'dian're'lei
瘢痕,ban'hen
瘢痕疙瘩性痤疮,ban'hen'ge'da'xing'cuo'chuang
瘢痕结节病,ban'hen'jie'jie'bing
瘢痕性红斑皮肤萎缩,ban'hen'xing'hong'ban'pi'fu'wei'suo
瘢痕性类天疱疮,ban'hen'xing'lei'tian'pao'chuang
瘢痕性脱发毛周角化病,ban'hen'xing'tuo'fa'mao'zhou'jiao'hua'bing
瘢痕型芽生菌病,ban'hen'xing'ya'sheng'jun'bing
半抗原,ban'kang'yuan
斑块,ban'kuai
斑块型副银屑病,ban'kuai'xing'fu'yin'xie'bing
斑块状硬斑病,ban'kuai'zhuang'ying'ban'bing
斑片,ban'pian
半桥粒,ban'qiao'li
半桥粒内斑块,ban'qiao'li'nei'ban'kuai
斑丘疹,ban'qiu'zhen
斑贴试验,ban'tie'shi'yan
斑秃,ban'tu
斑疹,ban'zhen
斑疹伤寒类,ban'zhen'shang'han'lei
斑痣性错构瘤病,ban'zhi'xing'cuo'gou'liu'bing
斑状淀粉样变,ban'zhuang'dian'fen'yang'bian
斑状皮肤萎缩,ban'zhuang'pi'fu'wei'suo
斑状萎缩,ban'zhuang'wei'suo
斑状萎缩性皮炎,ban'zhuang'wei'suo'xing'pi'yan
棒状杆菌属,bang'zhuang'gan'jun'shu
豹斑状白癜风,bao'ban'zhuang'bai'dian'feng
胞壁酰二肽类,bao'bi'xian'er'tai'lei
包虫病,bao'chong'bing
暴发性紫癜,bao'fa'xing'zi'dian
包涵疣,bao'han'you
包膜,bao'mo
包皮龟头炎,bao'pi'gui'tou'yan
鲍温样丘疹病,bao'wen'yang'qiu'zhen'bing
胞质内包涵体,bao'zhi'nei'bao'han'ti
孢子虫纲,bao'zi'chong'gang
孢子丝菌病,bao'zi'si'jun'bing
豹综合征,bao'zong'he'zheng
背部弹性纤维瘤,bei'bu'tan'xing'xian'wei'liu
贝壳样小体,bei'ke'yang'xiao'ti
被膜颗粒,bei'mo'ke'li
倍他米松,bei'ta'mi'song
倍他米松戊酸酯,bei'ta'mi'song'wu'suan'zhi
苯丙胺,ben'bing'an
苯丙酸诺龙,ben'bing'suan'nuo'long
苯丙酮尿症,ben'bing'tong'niao'zheng
苯丁酸氮芥,ben'ding'suan'dan'jie
苯恶洛芬,ben'e'luo'fen
苯甲醇,ben'jia'chun
苯甲酸,ben'jia'suan
苯甲酸下酯,ben'jia'suan'xia'zhi
苯甲酰苯乙烯,ben'jia'xian'ben'yi'xi
苯佐卡因,ben'zuo'ka'yin
苯唑卡因,ben'zuo'ka'yin
苯唑西林,ben'zuo'xi'lin
崩溃性龟头炎,beng'kui'xing'gui'tou'yan
崩蚀性软下疳,beng'shi'xing'ruan'xia'gan
鼻孢子菌病,bi'bao'zi'jun'bing
鼻病毒,bi'bing'du
鼻横沟,bi'heng'gou
鼻红粒病,bi'hong'li'bing
鼻疽,bi'ju
秘鲁疣,bi'lu'you
吡咯烷酮,bi'luo'wan'tong
蓖麻油,bi'ma'you
必麦森,bi'mai'sen
鼻毛假性毛囊炎,bi'mao'jia'xing'mao'nang'yan
吡嗪酰胺,bi'qin'xian'an
臂桡侧夏令瘙痒病,bi'rao'ce'xia'ling'sao'yang'bing
