巴甫洛夫学说,ba'fu'luo'fu'xue'shuo
辩证法,bian'zheng'fa
超个人心理学,chao'ge'ren'xin'li'xue
存在主义,cun'zai'zhu'yi
动力心理学,dong'li'xin'li'xue
东西方心理学,dong'xi'fang'xin'li'xue
杜威的反射弧概念,du'wei'de'fan'she'hu'gai'nian
泛灵论,fan'ling'lun
反射学,fan'she'xue
反映论,fan'ying'lun
反应学,fan'ying'xue
冯特的生理心理学原理,feng'te'de'sheng'li'xin'li'xue'yuan'li
冯特的心理复合体,feng'te'de'xin'li'fu'he'ti
冯特的意志过程理论,feng'te'de'yi'zhi'guo'cheng'li'lun
符茨堡学派,fu'ci'bao'xue'pai
感觉的通则,gan'jue'de'tong'ze
感染论,gan'ran'lun
功利主义,gong'li'zhu'yi
构造主义,gou'zao'zhu'yi
官能心理学,guan'neng'xin'li'xue
观念的联合,guan'nian'de'lian'he
关系论,guan'xi'lun
海林的光觉学说,hai'lin'de'guang'jue'xue'shuo
赫尔姆霍茨的色彩视觉说,he'er'mu'huo'ci'de'se'cai'shi'jue'shuo
胡塞尔的现象学,hu'sai'er'de'xian'xiang'xue
还原论,huan'yuan'lun
机能主义,ji'neng'zhu'yi
假设演绎推理,jia'she'yan'yi'tui'li
进化的理论,jin'hua'de'li'lun
精神分析,jing'shen'fen'xi
经验主义,jing'yan'zhu'yi
决定论和非决定论,jue'ding'lun'he'fei'jue'ding'lun
科学边缘的研究,ke'xue'bian'yuan'de'yan'jiu
科学哲学,ke'xue'zhe'xue
控制理论,kong'zhi'li'lun
控制系统,kong'zhi'xi'tong
跨文化心理学,kua'wen'hua'xin'li'xue
兰格的情绪机制说,lan'ge'de'qing'xu'ji'zhi'shuo
勒温的意向活动理论,le'wen'de'yi'xiang'huo'dong'li'lun
历时与共时模式,li'shi'yu'gong'shi'mo'shi
理性主义,li'xing'zhu'yi
联想主义,lian'xiang'zhu'yi
联想主义心理学,lian'xiang'zhu'yi'xin'li'xue
灵学研究,ling'xue'yan'jiu
颅相学,lu'xiang'xue
逻辑实证主义,luo'ji'shi'zheng'zhu'yi
马赫的感觉分析说,ma'he'de'gan'jue'fen'xi'shuo
描述心理学,miao'shu'xin'li'xue
目的心理学,mu'di'xin'li'xue
穆勒的归纳规则,mu'le'de'gui'na'gui'ze
拟人化思维,ni'ren'hua'si'wei
拟人论,ni'ren'lun
拟心理学,ni'xin'li'xue
培因的理智论,pei'yin'de'li'zhi'lun
人文科学心理学,ren'wen'ke'xue'xin'li'xue
日内瓦学派,ri'nei'wa'xue'pai
神秘主义,shen'mi'zhu'yi
生活史的研究,sheng'huo'shi'de'yan'jiu
生机论,sheng'ji'lun
史蒂文斯心理学概念的操作定义,shi'di'wen'si'xin'li'xue'gai'nian'de'cao'zuo'ding'yi
实验生理学,shi'yan'sheng'li'xue
释义学,shi'yi'xue
实证主义,shi'zheng'zhu'yi
叔本华的心理学思想,shu'ben'hua'de'xin'li'xue'si'xiang
斯宾塞的心的构成理论,si'bin'sai'de'xin'de'gou'cheng'li'lun
斯力图姆夫协和音理论,si'li'tu'mu'fu'xie'he'yin'li'lun
铁钦纳的构造心理学,tie'qin'na'de'gou'zao'xin'li'xue
拓扑心理学,tuo'pu'xin'li'xue
完形心理学,wan'xing'xin'li'xue
维果茨基及其社会文化历史学派,wei'guo'ci'ji'ji'qi'she'hui'wen'hua'li'shi'xue'pai
文化决定论,wen'hua'jue'ding'lun
文化适应,wen'hua'shi'ying
文学与心理学,wen'xue'yu'xin'li'xue
物理学与行为科学,wu'li'xue'yu'xing'wei'ke'xue
系统论,xi'tong'lun
相互作用说,xiang'hu'zuo'yong'shuo
象征互动论,xiang'zheng'hu'dong'lun
信号与符号,xin'hao'yu'fu'hao
新精神分析学派,xin'jing'shen'fen'xi'xue'pai
心理,xin'li
心理历史说,xin'li'li'shi'shuo
心理现象,xin'li'xian'xiang
心理玄学,xin'li'xuan'xue
心理学史,xin'li'xue'shi
心理学史体系与理论,xin'li'xue'shi'ti'xi'yu'li'lun
心理学研究中的理论问题,xin'li'xue'yan'jiu'zhong'de'li'lun'wen'ti
心理主义,xin'li'zhu'yi
心灵主义,xin'ling'zhu'yi
心身关系,xin'shen'guan'xi
心身交感论,xin'shen'jiao'gan'lun
心身平行论,xin'shen'ping'xing'lun
心身同一论,xin'shen'tong'yi'lun
新行为主义,xin'xing'wei'zhu'yi
行为间心理学,xing'wei'jian'xin'li'xue
行为主义,xing'wei'zhu'yi
意动心理学,yi'dong'xin'li'xue
一元论与二元论,yi'yuan'lun'yu'er'yuan'lun
詹姆斯的情绪理论,zhan'mu'si'de'qing'xu'li'lun
詹姆斯的意识流理论,zhan'mu'si'de'yi'shi'liu'li'lun
占星术,zhan'xing'shu
哲学心理学,zhe'xue'xin'li'xue
折衷主义,zhe'zhong'zhu'yi
植物的行为,zhi'wu'de'xing'wei
中世纪的思维方式,zhong'shi'ji'de'si'wei'fang'shi
自然主义,zi'ran'zhu'yi
自由,zi'you
