保管,bao'guan
本质,ben'zhi
必须具备,bi'xu'ju'bei
必要条件,bi'yao'tiao'jian
便利,bian'li
表现形式,biao'xian'xing'shi
不利,bu'li
部门,bu'men
不平衡,bu'ping'heng
不一定,bu'yi'ding
不振,bu'zhen
不足值,bu'zu'zhi
财政政策,cai'zheng'zheng'ce
查询,cha'xun
长远发展,chang'yuan'fa'zhan
成本,cheng'ben
持卡人,chi'ka'ren
持票人,chi'piao'ren
持续快速,chi'xu'kuai'su
出口,chu'kou
出票,chu'piao
刺激,ci'ji
存款,cun'kuan
等价交换,deng'jia'jiao'huan
第二课,di'er'ke
第一单元,di'yi'dan'yuan
第一课,di'yi'ke
地域,di'yu
兑换比率,dui'huan'bi'lv
对立统一,dui'li'tong'yi
多变的价格,duo'bian'de'jia'ge
恶化,e'hua
发行,fa'xing
发行国债,fa'xing'guo'zhai
分配,fen'pei
浮动汇率,fu'dong'hui'lv
改进技术,gai'jin'ji'shu
个别劳动时间,ge'bie'lao'dong'shi'jian
供不应求,gong'bu'ying'qiu
供大于求,gong'da'yu'qiu
供过于求,gong'guo'yu'qiu
供求关系,gong'qiu'guan'xi
供求影响价格,gong'qiu'ying'xiang'jia'ge
购买力,gou'mai'li
够满,gou'man
购物消费,gou'wu'xiao'fei
观念,guan'nian
国际储备,guo'ji'chu'bei
国际间结算,guo'ji'jian'jie'suan
国民经济,guo'min'jing'ji
国民收入,guo'min'shou'ru
含义,han'yi
环境设施,huan'jing'she'shi
汇价,hui'jia
汇率,hui'lv
汇率制度,hui'lv'zhi'du
汇票,hui'piao
货币,huo'bi
货币表现,huo'bi'biao'xian
货币量,huo'bi'liang
货币流通次数,huo'bi'liu'tong'ci'shu
货币政策,huo'bi'zheng'ce
基本,ji'ben
基本属性,ji'ben'shu'xing
基本特征,ji'ben'te'zheng
基础,ji'chu
积极性,ji'ji'xing
价格,jia'ge
价格降低,jia'ge'jiang'di
价格与价值的关系,jia'ge'yu'jia'zhi'de'guan'xi
价值,jia'zhi
价值尺度,jia'zhi'chi'du
价值符号,jia'zhi'fu'hao
价值规律,jia'zhi'gui'lv
价值决定价格,jia'zhi'jue'ding'jia'ge
健康发展,jian'kang'fa'zhan
减少,jian'shao
交换,jiao'huan
解决方法,jie'jue'fang'fa
结算,jie'suan
进口,jin'kou
金融机构,jin'rong'ji'gou
金融秩序,jin'rong'zhi'xu
金属货币,jin'shu'huo'bi
金属铸币,jin'shu'zhu'bi
金银,jin'yin
金银条块,jin'yin'tiao'kuai
金支票,jin'zhi'piao
经济,jing'ji
经济地位,jing'ji'di'wei
经济萧条,jing'ji'xiao'tiao
经济秩序,jing'ji'zhi'xu
经营管理,jing'ying'guan'li
具有,ju'you
决定,jue'ding
决定因素,jue'ding'yin'su
客户,ke'hu
扩大,kuo'da
扩大出口,kuo'da'chu'kou
扩大就业,kuo'da'jiu'ye
劳动产品,lao'dong'chan'pin
劳动力,lao'dong'li
劳动强度,lao'dong'qiang'du
劳动生产率,lao'dong'sheng'chan'lv
劳动时间,lao'dong'shi'jian
劳动熟练程度,lao'dong'shu'lian'cheng'du
量入为出,liang'ru'wei'chu
两者关系,liang'zhe'guan'xi
流通,liu'tong
流通领域,liu'tong'ling'yu
流通手段,liu'tong'shou'duan
买方市场,mai'fang'shi'chang
卖方市场,mai'fang'shi'chang
贸易环境,mao'yi'huan'jing
媒介,mei'jie
内容,nei'rong
凝结,ning'jie
票据,piao'ju
气候,qi'hou
企业生产,qi'ye'sheng'chan
强制使用,qiang'zhi'shi'yong
取款,qu'kuan
缺一不可,que'yi'bu'ke
人类劳动,ren'lei'lao'dong
商品,shang'pin
商品价格,shang'pin'jia'ge
商品价格总额,shang'pin'jia'ge'zong'e
商品价值量,shang'pin'jia'zhi'liang
商品交换,shang'pin'jiao'huan
商品生产者,shang'pin'sheng'chan'zhe
商品销售,shang'pin'xiao'shou
上下波动,shang'xia'bo'dong
商业汇票,shang'ye'hui'piao
社会必要劳动时间,she'hui'bi'yao'lao'dong'shi'jian
社会生产,she'hui'sheng'chan
社会属性,she'hui'shu'xing
社会正常,she'hui'zheng'chang
社会总需求,she'hui'zong'xu'qiu
神奇的货币,shen'qi'de'huo'bi
生产,sheng'chan
生产率,sheng'chan'lv
生产条件,sheng'chan'tiao'jian
生产资料,sheng'chan'zi'liao
生活水平,sheng'huo'shui'ping
生活与消费,sheng'huo'yu'xiao'fei
市场供求为,shi'chang'gong'qiu'wei
市场交易,shi'chang'jiao'yi
市场经济中,shi'chang'jing'ji'zhong
市场类型,shi'chang'lei'xing
市场消费,shi'chang'xiao'fei
适度从紧,shi'du'cong'jin
时间,shi'jian
世界,shi'jie
世界货币,shi'jie'huo'bi
使用价值,shi'yong'jia'zhi
受供求关系,shou'gong'qiu'guan'xi
受款人,shou'kuan'ren
收支平衡,shou'zhi'ping'heng
提高,ti'gao
条件,tiao'jian
调节,tiao'jie
同城结算,tong'cheng'jie'suan
通货紧缩,tong'huo'jin'suo
通货膨胀,tong'huo'peng'zhang
统一体,tong'yi'ti
投资,tou'zi
外埠结算,wai'bu'jie'suan
外汇,wai'hui
围绕价值,wei'rao'jia'zhi
委托,wei'tuo
稳定物价,wen'ding'wu'jia
稳健,wen'jian
无差别,wu'cha'bie
物价上涨,wu'jia'shang'zhang
物价总水平,wu'jia'zong'shui'ping
无条件,wu'tiao'jian
