罢其,ba'qi
罢其不与秦文合作者,ba'qi'bu'yu'qin'wen'he'zuo'zhe
八岁入小学,ba'sui'ru'xiao'xue
八曰隶书,ba'yue'li'shu
百工以乂,bai'gong'yi'yi
保氏,bao'shi
保氏教国子先以六书,bao'shi'jiao'guo'zi'xian'yi'liu'shu
北平侯张苍,bei'ping'hou'zhang'cang
悖哉,bei'zai
被泽,bei'ze
本立,ben'li
本立而道生,ben'li'er'dao'sheng
本无,ben'wu
本无其字,ben'wu'qi'zi
比类,bi'lei
比类合谊,bi'lei'he'yi
蔽所希闻,bi'suo'xi'wen
壁中书,bi'zhong'shu
壁中书者,bi'zhong'shu'zhe
毕终于亥,bi'zhong'yu'hai
变乱,bian'luan
变乱常行,bian'luan'chang'xing
博采,bo'cai
博采通人,bo'cai'tong'ren
不穿凿,bu'chuan'zao
不合孔氏古文,bu'he'kong'shi'gu'wen
不见通学,bu'jian'tong'xue
部居,bu'ju
不课,bu'ke
不统于王,bu'tong'yu'wang
不相杂厕,bu'xiang'za'ce
不与秦文合作者,bu'yu'qin'wen'he'zuo'zhe
不知而不问,bu'zhi'er'bu'wen
采以作训纂篇,cai'yi'zuo'xun'zuan'pian
仓颉,cang'jie
仓颉以下十四篇,cang'jie'yi'xia'shi'si'pian
仓颉之初作书,cang'jie'zhi'chu'zuo'shu
曾曾,ceng'ceng
察而,cha'er
察而见意,cha'er'jian'yi
车途,che'tu
车途异轨,che'tu'yi'gui
丞相李斯,cheng'xiang'li'si
丞相李斯乃奏同之,cheng'xiang'li'si'nai'zou'tong'zhi
虫者屈中也,chong'zhe'qu'zhong'ye
初始天下,chu'shi'tian'xia
初有隶书,chu'you'li'shu
初造书契,chu'zao'shu'qi
初作书,chu'zuo'shu
春秋,chun'qiu
春秋左氏传,chun'qiu'zuo'shi'zhuan
大发隶卒,da'fa'li'zu
达神恉,da'shen'zhi
大司空甄丰,da'si'kong'zhen'feng
道生,dao'sheng
得鼎彝,de'ding'yi
涤除旧典,di'chu'jiu'dian
地之宜,di'zhi'yi
鼎彝,ding'yi
杜人程邈,du'ren'cheng'miao
独体为文,du'ti'wei'wen
覩字例之条,du'zi'li'zhi'tiao
段氏云,duan'shi'yun
恶礼乐之,e'li'yue'zhi
恶礼乐之害己,e'li'yue'zhi'hai'ji
而古文由此绝矣,er'gu'wen'you'ci'jue'yi
而皆去其典籍,er'jie'qu'qi'dian'ji
而世人大共非訾,er'shi'ren'da'gong'fei'zi
而统其事,er'tong'qi'shi
二曰奇字,er'yue'qi'zi
二曰象形,er'yue'xiang'xing
二曰小篆,er'yue'xiao'zhuan
凡仓颉以下十四篇,fan'cang'jie'yi'xia'shi'si'pian
凡五千三百四十字,fan'wu'qian'san'bai'si'shi'zi
方以类聚,fang'yi'lei'ju
非訾,fei'zi
分别部居,fen'bie'bu'ju
分理,fen'li
分为七国,fen'wei'qi'guo
封于泰山,feng'yu'tai'shan
封于泰山者七十有二代,feng'yu'tai'shan'zhe'qi'shi'you'er'dai
讽籀书九千字乃得为吏,feng'zhou'shu'jiu'qian'zi'nai'de'wei'li
敷崇,fu'chong
俯则,fu'ze
俯则观法于地,fu'ze'guan'fa'yu'di
父子相传,fu'zi'xiang'chuan
父子相传何得改易,fu'zi'xiang'chuan'he'de'gai'yi
盖非其不知而不问,gai'fei'qi'bu'zhi'er'bu'wen
盖取诸夬,gai'qu'zhu'jue
盖阙如也,gai'que'ru'ye
盖文字者,gai'wen'zi'zhe
改易,gai'yi
盖依类象形,gai'yi'lei'xiang'xing
改易殊体,gai'yi'shu'ti
故诡更正文,gu'gui'geng'zheng'wen
故谓之文,gu'wei'zhi'wen
古文由此绝矣,gu'wen'you'ci'jue'yi
故曰,gu'yue
古者,gu'zhe
古者庖羲氏之王天下也,gu'zhe'pao'xi'shi'zhi'wang'tian'xia'ye
怪旧艺,guai'jiu'yi
怪旧艺而善野言,guai'jiu'yi'er'shan'ye'yan
观法于地,guan'fa'yu'di
观古人之象,guan'gu'ren'zhi'xiang
观鸟兽之文与地之宜,guan'niao'shou'zhi'wen'yu'di'zhi'yi
观象于天,guan'xiang'yu'tian
官狱职务,guan'yu'zhi'wu
官狱职务日繁,guan'yu'zhi'wu'ri'fan
广业,guang'ye
诡更正文,gui'geng'zheng'wen
汉兴有草书,han'xing'you'cao'shu
何得改易,he'de'gai'yi
合体为字,he'ti'wei'zi
合谊,he'yi
合以古籀,he'yi'gu'zhou
后人所以识古,hou'ren'suo'yi'shi'gu
画成其物,hua'cheng'qi'wu
黄帝之史,huang'di'zhi'shi
黄帝之史仓颉,huang'di'zhi'shi'cang'jie
黄帝之史官仓颉,huang'di'zhi'shi'guan'cang'jie
黄门侍郎,huang'men'shi'lang
黄门侍郎扬雄,huang'men'shi'lang'yang'xiong
黄门侍郎扬雄采以作训纂篇,huang'men'shi'lang'yang'xiong'cai'yi'zuo'xun'zuan'pian
会意,hui'yi
会意者,hui'yi'zhe
或颇省改,huo'po'sheng'gai
即古文而异者,ji'gu'wen'er'yi'zhe
即古文而异者也,ji'gu'wen'er'yi'zhe'ye
即秦隶书,ji'qin'li'shu
诘诎,ji'qu
及神农氏,ji'shen'nong'shi
稽唐,ji'tang
及亡新居摄,ji'wang'xin'ju'she
即谓之字,ji'wei'zhi'zi
即小篆,ji'xiao'zhuan
及宣王,ji'xuan'wang
及宣王太史籀,ji'xuan'wang'tai'shi'zhou
及宣王太史籀著大篆十五篇,ji'xuan'wang'tai'shi'zhou'zhu'da'zhuan'shi'wu'pian
稽撰,ji'zhuan
稽撰其说,ji'zhuan'qi'shuo
假借,jia'jie
假借者,jia'jie'zhe
见仓颉篇中,jian'cang'jie'pian'zhong
建类一首,jian'lei'yi'shou
见鸟兽蹄迒之迹,jian'niao'shou'ti'hang'zhi'ji
见意,jian'yi
江河,jiang'he
江河是也,jiang'he'shi'ye
讲学大夫,jiang'xue'dai'fu
讲学大夫秦近,jiang'xue'dai'fu'qin'jin
将以理群类,jiang'yi'li'qun'lei
教国子,jiao'guo'zi
教国子先以六书,jiao'guo'zi'xian'yi'liu'shu
皆不合,jie'bu'he
皆不合孔氏古文,jie'bu'he'kong'shi'gu'wen
皆古文也,jie'gu'wen'ye
解廖误,jie'liao'wu
皆去其典籍,jie'qu'qi'dian'ji
皆取史籀大篆,jie'qu'shi'zhou'da'zhuan
结绳,jie'sheng
结绳为治,jie'sheng'wei'zhi
皆以古文,jie'yi'gu'wen
皆自相似,jie'zi'xiang'si
浸多,jin'duo
近取诸身,jin'qu'zhu'shen
今虽有尉律,jin'sui'you'wei'lv
今亡也夫,jin'wang'ye'fu
今叙篆文,jin'xu'zhuan'wen
今者,jin'zhe
经艺之本,jing'yi'zhi'ben
究洞圣人之微恉,jiu'dong'sheng'ren'zhi'wei'zhi
久矣,jiu'yi
居德则忌,ju'de'ze'ji
居德则忌也,ju'de'ze'ji'ye
夬扬于王庭,jue'yang'yu'wang'ting
厥谊,jue'yi
厥宜不昭,jue'yi'bu'zhao
厥意可得,jue'yi'ke'de
厥意可得而说,jue'yi'ke'de'er'shuo
郡国亦往往于山川得鼎彝,jun'guo'yi'wang'wang'yu'shan'chuan'de'ding'yi
郡移太史并课,jun'yi'tai'shi'bing'ke
君子所以施禄及下,jun'zi'suo'yi'shi'lu'ji'xia
考老,kao'lao
考老是也,kao'lao'shi'ye
可得略说,ke'de'lue'shuo
刻符,ke'fu
苛人受钱,ke'ren'shou'qian
可识,ke'shi
苛之字止句,ke'zhi'zi'zhi'ju
苛之字止句也,ke'zhi'zi'zhi'ju'ye
孔氏,kong'shi
孔氏古文,kong'shi'gu'wen
孔子壁中书也,kong'zi'bi'zhong'shu'ye
孔子屋,kong'zi'wu
孔子曰,kong'zi'yue
礼记,li'ji
理群类,li'qun'lei
凉州刺史,liang'zhou'ci'shi
凉州刺史杜业,liang'zhou'ci'shi'du'ye
令长,ling'chang
令长是也,ling'chang'shi'ye
令说文字未央廷中,ling'shuo'wen'zi'wei'yang'ting'zhong
六曰假借,liu'yue'jia'jie
六曰鸟虫书,liu'yue'niao'chong'shu
六曰署书,liu'yue'shu'shu
鲁恭王坏孔子屋而得,lu'gong'wang'huai'kong'zi'wu'er'de
略存之矣,lue'cun'zhi'yi
论语,lun'yu
律令,lv'ling
律令异法,lv'ling'yi'fa
马头人,ma'tou'ren
马头人为长,ma'tou'ren'wei'zhang
毛氏,mao'shi
孟氏,meng'shi
靡不兼载,mi'bu'jian'zai
秘妙,mi'miao
迷误不谕,mi'wu'bu'yu
靡有,mi'you
靡有同焉,mi'you'tong'yan
谬于史籀,miu'yu'shi'zhou
缪篆,miu'zhuan
莫达其说,mo'da'qi'shuo
莫达其说久矣,mo'da'qi'shuo'jiu'yi
摹印,mo'yin
摹印也,mo'yin'ye
乃猥曰,nai'wei'yue
曩者,nang'zhe
鸟虫书,niao'chong'shu
鸟兽之文,niao'shou'zhi'wen
庖羲氏,pao'xi'shi
沛人爰礼,pei'ren'yuan'li
叵复见远流,po'fu'jian'yuan'liu
颇改定古文,po'gai'ding'gu'wen
岂不,qi'bu
岂不悖哉,qi'bu'bei'zai
其不与秦文合作者,qi'bu'yu'qin'wen'he'zuo'zhe
其称易,qi'cheng'yi
其辞有神仙之术焉,qi'ci'you'shen'xian'zhi'shu'yan
其后形声相益,qi'hou'xing'sheng'xiang'yi
其后诸侯力政,qi'hou'zhu'hou'li'zheng
其迷误不谕,qi'mi'wu'bu'yu
其铭即,qi'ming'ji
其铭即前代之古文,qi'ming'ji'qian'dai'zhi'gu'wen
七十有二代,qi'shi'you'er'dai
其物,qi'wu
迄五帝三王之世,qi'wu'di'san'wang'zhi'shi
其详,qi'xiang
其详可得略说也,qi'xiang'ke'de'lue'shuo'ye
其于所不知,qi'yu'suo'bu'zhi
七曰殳书,qi'yue'shu'shu
其字,qi'zi
前代之古文,qian'dai'zhi'gu'wen
前人所以垂后,qian'ren'suo'yi'chui'hou
