半月裂,ban'yue'lie
鼻出血,bi'chu'xue
鼻骨嵴,bi'gu'ji
鼻内镜,bi'nei'jing
鼻粘膜,bi'nian'mo
鼻腔,bi'qiang
鼻腔底,bi'qiang'di
鼻腔顶后段,bi'qiang'ding'hou'duan
鼻腔外侧壁,bi'qiang'wai'ce'bi
鼻息肉,bi'xi'rou
鼻息肉样变,bi'xi'rou'yang'bian
鼻囟门,bi'xin'men
鼻咽,bi'yan
鼻咽顶,bi'yan'ding
鼻中隔,bi'zhong'ge
鼻中隔穿孔,bi'zhong'ge'chuan'kong
鼻中隔偏曲,bi'zhong'ge'pian'qu
鼻中隔软骨,bi'zhong'ge'ruan'gu
扁桃体肥大,bian'tao'ti'fei'da
促红细胞生成素,cu'hong'xi'bao'sheng'cheng'su
打鼾,da'han
大翼软骨内侧脚,da'yi'ruan'gu'nei'ce'jiao
单纯型慢性鼻炎,dan'chun'xing'man'xing'bi'yan
单发鼻窦炎,dan'fa'bi'dou'yan
单发鼻窦炎伴单发性鼻息肉,dan'fa'bi'dou'yan'ban'dan'fa'xing'bi'xi'rou
蝶鞍,die'an
蝶窦,die'dou
蝶窦自然口,die'dou'zi'ran'kou
蝶骨翼突结构,die'gu'yi'tu'jie'gou
蝶筛板,die'shai'ban
蝶嘴和蝶嵴,die'zui'he'die'ji
窦内积脓,dou'nei'ji'nong
多发鼻窦炎,duo'fa'bi'dou'yan
多发鼻窦炎伴多发性鼻息肉,duo'fa'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou
多发性鼻窦炎或全组鼻窦炎伴多发性鼻息肉和或筛窦骨质增生,duo'fa'xing'bi'dou'yan'huo'quan'zu'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou'he'huo'shai'dou'gu'zhi'zeng'sheng
额窦,e'dou
腭骨鼻嵴,e'gu'bi'ji
额骨鼻棘,e'gu'bi'ji
颚骨垂直板,e'gu'chui'zhi'ban
额骨内骨板,e'gu'nei'gu'ban
额骨外骨板,e'gu'wai'gu'ban
额隐窝,e'yin'wo
儿茶酚胺,er'cha'fen'an
儿童腺样体增生,er'tong'xian'yang'ti'zeng'sheng
反流性食管炎,fan'liu'xing'shi'guan'yan
钩突,gou'tu
冠心病,guan'xin'bing
海绵窦,hai'mian'dou
喉腔,hou'qiang
喉咽,hou'yan
后组筛窦,hou'zu'shai'dou
即利特尔动脉,ji'li'te'er'dong'mai
极期,ji'qi
急性鼻窦炎,ji'xing'bi'dou'yan
急性鼻炎,ji'xing'bi'yan
尖牙窝,jian'ya'wo
颈内动脉,jing'nei'dong'mai
颈围,jing'wei
卡他,ka'ta
克氏静脉丛,ke'shi'jing'mai'cong
眶顶顶壁,kuang'ding'ding'bi
眶顶延,kuang'ding'yan
眶下孔,kuang'xia'kong
眶下血管神经,kuang'xia'xue'guan'shen'jing
泪骨,lei'gu
犁骨,li'gu
颅前窝,lu'qian'wo
颅中窝,lu'zhong'wo
慢性鼻窦炎,man'xing'bi'dou'yan
慢性鼻窦炎伴鼻息肉,man'xing'bi'dou'yan'ban'bi'xi'rou
脑血栓,nao'xue'shuan
粘膜水肿,nian'mo'shui'zhong
颞下窝,nie'xia'wo
排尿反射弧,pai'niao'fan'she'hu
气流强度,qi'liu'qiang'du
前组筛窦,qian'zu'shai'dou
全组鼻窦炎,quan'zu'bi'dou'yan
全组鼻窦炎伴多发性鼻息肉,quan'zu'bi'dou'yan'ban'duo'fa'xing'bi'xi'rou
容垂体,rong'chui'ti
软腭组织,ruan'e'zu'zhi
筛窦后壁,shai'dou'hou'bi
筛骨迷路,shai'gu'mi'lu
筛骨筛切迹,shai'gu'shai'qie'ji
筛骨水平板,shai'gu'shui'ping'ban
筛骨正中板,shai'gu'zheng'zhong'ban
筛漏斗,shai'lou'dou
筛泡,shai'pao
上鼻道,shang'bi'dao
上鼻甲,shang'bi'jia
上颌窦,shang'he'dou
上颌窦口,shang'he'dou'kou
上颌窦自然孔,shang'he'dou'zi'ran'kong
上颌骨,shang'he'gu
上颌骨鼻嵴,shang'he'gu'bi'ji
上颌骨额突,shang'he'gu'e'tu
上气道,shang'qi'dao
上下颌骨发育障碍,shang'xia'he'gu'fa'yu'zhang'ai
舌扁桃体肥大,she'bian'tao'ti'fei'da
舌根肥厚,she'gen'fei'hou
肾小球率过量,shen'xiao'qiu'lv'guo'liang
生长激素,sheng'zhang'ji'su
视神经,shi'shen'jing
下鼻道,xia'bi'dao
下鼻甲,xia'bi'jia
下鼻甲骨,xia'bi'jia'gu
腺样体肥大,xian'yang'ti'fei'da
小下颏畸形,xiao'xia'ke'ji'xing
心脏功能,xin'zang'gong'neng
胸廓畸形,xiong'kuo'ji'xing
胸腔负压值,xiong'qiang'fu'ya'zhi
悬雍垂,xuan'yong'chui
血氧饱和度,xue'yang'bao'he'du
牙槽突,ya'cao'tu
眼眶底壁,yan'kuang'di'bi
眼眶内侧壁,yan'kuang'nei'ce'bi
咽腔负压值,yan'qiang'fu'ya'zhi
夜间心绞疼,ye'jian'xin'jiao'teng
夜尿,ye'niao
翼腭窝,yi'e'wo
遗尿,yi'niao
枕骨斜坡,zhen'gu'xie'po
中鼻道,zhong'bi'dao
中鼻道变窄,zhong'bi'dao'bian'zhai
中鼻甲,zhong'bi'jia
