爱国诗人,ai'guo'shi'ren
安邑,an'yi
巴蜀互攻,ba'shu'hu'gong
巴蜀全境,ba'shu'quan'jing
百家争鸣,bai'jia'zheng'ming
白起,bai'qi
摆脱亡国,bai'tuo'wang'guo
百姓反攻,bai'xing'fan'gong
半个月前,ban'ge'yue'qian
鲍彪,bao'biao
包括盗法,bao'kuo'dao'fa
包围在了,bao'wei'zai'le
北部和中部,bei'bu'he'zhong'bu
北出大漠,bei'chu'da'mo
被扣留,bei'kou'liu
被乱箭射死,bei'luan'jian'she'si
被迫撤退,bei'po'che'tui
被驱逐,bei'qu'zhu
卑身事贤,bei'shen'shi'xian
被围的中军,bei'wei'de'zhong'jun
被雪风撕扯,bei'xue'feng'si'che
被赵国,bei'zhao'guo
奔走于,ben'zou'yu
比较巩固的,bi'jiao'gong'gu'de
编成一本书,bian'cheng'yi'ben'shu
编定为,bian'ding'wei
变法鼓励,bian'fa'gu'li
变法内容,bian'fa'nei'rong
变法运动,bian'fa'yun'dong
辩家鹊起,bian'jia'que'qi
边将,bian'jiang
编制户口,bian'zhi'hu'kou
便只能是,bian'zhi'neng'shi
编著的,bian'zhu'de
兵不过万,bing'bu'guo'wan
兵符,bing'fu
并将其,bing'jiang'qi
兵强马壮,bing'qiang'ma'zhuang
并有,bing'you
不得不将其,bu'de'bu'jiang'qi
不得不于,bu'de'bu'yu
不断地,bu'duan'de
不断进击,bu'duan'jin'ji
捕法,bu'fa
不复存在,bu'fu'cun'zai
不负他白起,bu'fu'ta'bai'qi
不过是赵国,bu'guo'shi'zhao'guo
不好过,bu'hao'guo
补释,bu'shi
不惜以自己,bu'xi'yi'zi'ji
裁减官吏,cai'jian'guan'li
裁减冗官,cai'jian'rong'guan
才设将军,cai'she'jiang'jun
蔡叔,cai'shu
策略的,ce'lue'de
策谋,ce'mou
层层监督,ceng'ceng'jian'du
察觉受骗,cha'jue'shou'pian
长安君,chang'an'jun
长平,chang'ping
长平才是,chang'ping'cai'shi
长平川谷,chang'ping'chuan'gu
长平关,chang'ping'guan
长平之战,chang'ping'zhi'zhan
常山,chang'shan
长书,chang'shu
倡议弭兵,chang'yi'mi'bing
朝楚,chao'chu
朝晋,chao'jin
车裂而死,che'lie'er'si
车骑奇兵,che'qi'qi'bing
撤退后,che'tui'hou
称霸一时,cheng'ba'yi'shi
成皋,cheng'gao
成了无用,cheng'le'wu'yong
城濮之战,cheng'pu'zhi'zhan
称秦王,cheng'qin'wang
称王,cheng'wang
成为秦国,cheng'wei'qin'guo
成为天下第一,cheng'wei'tian'xia'di'yi
称为战国时期,cheng'wei'zhan'guo'shi'qi
成为中原,cheng'wei'zhong'yuan
丞相一职,cheng'xiang'yi'zhi
丞相中,cheng'xiang'zhong
称之为,cheng'zhi'wei
成周,cheng'zhou
赤甲赵军,chi'jia'zhao'jun
重新任用,chong'xin'ren'yong
抽肋,chou'lei
出兵伐韩,chu'bing'fa'han
出兵占领了,chu'bing'zhan'ling'le
楚部落,chu'bu'luo
楚成王,chu'cheng'wang
楚春申君,chu'chun'shen'jun
楚悼王,chu'dao'wang
楚悼王刚死,chu'dao'wang'gang'si
楚的领土,chu'de'ling'tu
除掉了,chu'diao'le
初都,chu'dou
楚都,chu'dou
楚国,chu'guo
楚国的,chu'guo'de
楚国令尹,chu'guo'ling'yin
楚国一直以,chu'guo'yi'zhi'yi
楚国有戮,chu'guo'you'lu
楚韩,chu'han
楚怀王,chu'huai'wang
楚齐联盟,chu'qi'lian'meng
出使楚国,chu'shi'chu'guo
出使齐国,chu'shi'qi'guo
初有,chu'you
楚庄王,chu'zhuang'wang
出走后,chu'zou'hou
创造了,chuang'zao'le
春秋末年,chun'qiu'mo'nian
春秋时,chun'qiu'shi
春秋战国,chun'qiu'zhan'guo
春秋之后,chun'qiu'zhi'hou
春秋中后期,chun'qiu'zhong'hou'qi
春申君,chun'shen'jun
此事证明,ci'shi'zheng'ming
从壁垒中,cong'bi'lei'zhong
从而将,cong'er'jiang
从义渠戎人,cong'yi'qu'rong'ren
促进了,cu'jin'le
促使魏,cu'shi'wei
蹿起的,cuan'qi'de
摧枯拉朽,cui'ku'la'xiu
摧枯拉朽的,cui'ku'la'xiu'de
错估了,cuo'gu'le
打败楚军,da'bai'chu'jun
大封诸侯,da'feng'zhu'hou
大将军蒙骜,da'jiang'jun'meng'ao
大军,da'jun
大力整顿政治,da'li'zheng'dun'zheng'zhi
大梁,da'liang
大粮山,da'liang'shan
大良造,da'liang'zao
大辟,da'pi
大秦,da'qin
大秦子弟兵们,da'qin'zi'di'bing'men
大为增强,da'wei'zeng'qiang
大小战争,da'xiao'zhan'zheng
大业,da'ye
带兵,dai'bing
丹河之北的,dan'he'zhi'bei'de
但仍在,dan'reng'zai
丹阳,dan'yang
盗法治偷窃,dao'fa'zhi'tou'qie
到秦昭王时,dao'qin'zhao'wang'shi
到魏,dao'wei
导演了一幕,dao'yan'le'yi'mu
盗贼以外犯罪,dao'zei'yi'wai'fan'zui
的白起,de'bai'qi
的摆设,de'bai'she
的编制,de'bian'zhi
的不满,de'bu'man
的惩罚规定,de'cheng'fa'gui'ding
的承认,de'cheng'ren
的处理程序,de'chu'li'cheng'xu
的大国,de'da'guo
的打击,de'da'ji
的大势,de'da'shi
得到不同程度,de'dao'bu'tong'cheng'du
的地方,de'di'fang
的地盘,de'di'pan
的斗争,de'dou'zheng
的发展,de'fa'zhan
的格局,de'ge'ju
的规定,de'gui'ding
的国家,de'guo'jia
的核心,de'he'xin
的活剧,de'huo'ju
的机会,de'ji'hui
的加深,de'jia'shen
的进攻,de'jin'gong
的经济,de'jing'ji
的力量,de'li'liang
的吕不韦,de'lv'bu'wei
的命令,de'ming'ling
的命运,de'ming'yun
的叛乱,de'pan'luan
的配合下,de'pei'he'xia
的偏师,de'pian'shi
的强国,de'qiang'guo
的秦国面前,de'qin'guo'mian'qian
的勤王命,de'qin'wang'ming
