阿隆等人,a'long'deng'ren
埃德蒙德,ai'de'meng'de
本世纪前,ben'shi'ji'qian
便被政治,bian'bei'zheng'zhi
并且一同构成了,bing'qie'yi'tong'gou'cheng'le
才再次得到弘扬,cai'zai'ci'de'dao'hong'yang
产生出来,chan'sheng'chu'lai
成就不,cheng'jiu'bu
处于沉寂状态,chu'yu'chen'ji'zhuang'tai
创造性的,chuang'zao'xing'de
纯粹现象学与现象学哲学的观念,chun'cui'xian'xiang'xue'yu'xian'xiang'xue'zhe'xue'de'guan'nian
存在与时间,cun'zai'yu'shi'jian
存在与虚无,cun'zai'yu'xu'wu
到胡塞尔,dao'hu'sai'er
的德国,de'de'guo
的各个领域,de'ge'ge'ling'yu
德国哲学,de'guo'zhe'xue
的思想加以展开,de'si'xiang'jia'yi'zhan'kai
的特殊风景线,de'te'shu'feng'jing'xian
的一次复兴,de'yi'ci'fu'xing
等一系列,deng'yi'xi'lie
笛卡尔的沉思,di'ka'er'de'chen'si
第一次公开而,di'yi'ci'gong'kai'er
第一卷,di'yi'juan
都标志着,dou'biao'zhi'zhe
断绝了,duan'jue'le
对胡塞尔,dui'hu'sai'er
法国思维,fa'guo'si'wei
法国现象学,fa'guo'xian'xiang'xue
法国找到了它的,fa'guo'zhao'dao'le'ta'de
盖格尔,gai'ge'er
更有人甚至说,geng'you'ren'shen'zhi'shuo
关于一门现象学的本体论的论述,guan'yu'yi'men'xian'xiang'xue'de'ben'ti'lun'de'lun'shu
海德格尔曾,hai'de'ge'er'ceng
和海德格尔,he'hai'de'ge'er
胡塞尔和海德格尔,hu'sai'er'he'hai'de'ge'er
胡塞尔隐居家中,hu'sai'er'yin'ju'jia'zhong
胡塞尔在,hu'sai'er'zai
回顾说,hui'gu'shuo
基本著作的问世,ji'ben'zhu'zuo'de'wen'shi
纪念现象学运动,ji'nian'xian'xiang'xue'yun'dong
加之第二次,jia'zhi'di'er'ci
坚定地,jian'ding'de
精神生活,jing'shen'sheng'huo
精神生活中,jing'shen'sheng'huo'zhong
局势的变化,ju'shi'de'bian'hua
决定着这个,jue'ding'zhe'zhe'ge
莱纳赫,lai'na'he
莱维纳斯,lai'wei'na'si
利科,li'ke
两卷本的,liang'juan'ben'de
流亡国外,liu'wang'guo'wai
