安其格纳芬,an'qi'ge'na'fen
凹陷型,ao'xian'xing
靶环征,ba'huan'zheng
斑片状,ban'pian'zhuang
斑条状,ban'tiao'zhuang
半月板损伤的介入诊疗术,ban'yue'ban'sun'shang'de'jie'ru'zhen'liao'shu
半月综合征,ban'yue'zong'he'zheng
包裹性,bao'guo'xing
背段,bei'duan
贲门,ben'men
笔杆样,bi'gan'yang
笔杆征,bi'gan'zheng
鼻骨侧位,bi'gu'ce'wei
壁较薄,bi'jiao'bo
表面遮盖显示,biao'mian'zhe'gai'xian'shi
髌骨轴位,bin'gu'zhou'wei
波浪膈,bo'lang'ge
波谱,bo'pu
布加综合征,bu'jia'zong'he'zheng
不连续,bu'lian'xu
彩色多普勒,cai'se'duo'pu'le
彩色多普勒能量图,cai'se'duo'pu'le'neng'liang'tu
彩色多普勒血流显像,cai'se'duo'pu'le'xue'liu'xian'xiang
层面,ceng'mian
长钩型,chang'gou'xing
肠结核,chang'jie'he
肠套叠,chang'tao'die
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上静脉,chang'xi'mo'shang'jing'mai
超声,chao'sheng
超声成像,chao'sheng'cheng'xiang
超声内镜,chao'sheng'nei'jing
超声心动图,chao'sheng'xin'dong'tu
超声诊断学,chao'sheng'zhen'duan'xue
陈旧性结核,chen'jiu'xing'jie'he
成像,cheng'xiang
弛豫,chi'yu
重建,chong'jian
虫蚀状,chong'shi'zhuang
充盈缺损,chong'ying'que'sun
穿孔性,chuan'kong'xing
穿透性,chuan'tou'xing
串珠状,chuan'zhu'zhuang
窗宽,chuang'kuan
窗位,chuang'wei
磁共振,ci'gong'zhen
磁共振成像,ci'gong'zhen'cheng'xiang
磁共振成像术,ci'gong'zhen'cheng'xiang'shu
磁源成像,ci'yuan'cheng'xiang
葱皮状,cong'pi'zhuang
大叶性肺炎,da'ye'xing'fei'yan
单光子发射体层显像,dan'guang'zi'fa'she'ti'ceng'xian'xiang
灯泡征,deng'pao'zheng
等信号,deng'xin'hao
低回声,di'hui'sheng
低信号,di'xin'hao
碘海醇,dian'hai'chun
电影显示,dian'ying'xian'shi
碘油造影,dian'you'zao'ying
顶颏位,ding'ke'wei
断层,duan'ceng
对比剂,dui'bi'ji
多平面重建,duo'ping'mian'chong'jian
多普勒,duo'pu'le
多普勒频移效应,duo'pu'le'pin'yi'xiao'ying
发射体层显像,fa'she'ti'ceng'xian'xiang
返流性,fan'liu'xing
反转恢复,fan'zhuan'hui'fu
放射,fang'she
放射线,fang'she'xian
放射线科,fang'she'xian'ke
放射医学,fang'she'yi'xue
放射医学技术,fang'she'yi'xue'ji'shu
放射诊断学,fang'she'zhen'duan'xue
放射状,fang'she'zhuang
方叶,fang'ye
仿真内镜,fang'zhen'nei'jing
肺不张,fei'bu'zhang
肺大泡,fei'da'pao
肺底积液,fei'di'ji'ye
肺动脉,fei'dong'mai
肺段,fei'duan
肥厚,fei'hou
肺结节分析技术,fei'jie'jie'fen'xi'ji'shu
肺静脉,fei'jing'mai
肺门,fei'men
肺泡癌,fei'pao'ai
肺泡性,fei'pao'xing
肺气肿,fei'qi'zhong
肺实变,fei'shi'bian
肺水肿,fei'shui'zhong
肺纹理,fei'wen'li
肺下积液,fei'xia'ji'ye
肺野,fei'ye
肺叶,fei'ye
分辨力,fen'bian'li
分房,fen'fang
分叶状,fen'ye'zhuang
分子影像学,fen'zi'ying'xiang'xue
复方泛影葡胺,fu'fang'fan'ying'pu'an
腐蚀性,fu'shi'xing
副叶,fu'ye
钙化影,gai'hua'ying
钙化灶,gai'hua'zao
肝大,gan'da
肝短静脉,gan'duan'jing'mai
肝门,gan'men
肝囊肿驼峰状,gan'nang'zhong'tuo'feng'zhuang
肝脓肿,gan'nong'zhong
肝叶,gan'ye
肝硬化,gan'ying'hua
肝右静脉,gan'you'jing'mai
肝右叶,gan'you'ye
肝淤血,gan'yu'xue
肝中静脉,gan'zhong'jing'mai
肝左静脉,gan'zuo'jing'mai
肝左叶,gan'zuo'ye
肛门闭锁,gang'men'bi'suo
高回声,gao'hui'sheng
高密度影,gao'mi'du'ying
高信号,gao'xin'hao
膈面,ge'mian
膈膨隆,ge'peng'long
跟骨侧位,gen'gu'ce'wei
跟骨轴位,gen'gu'zhou'wei
钩突,gou'tu
钩型,gou'xing
骨密度分析技术,gu'mi'du'fen'xi'ji'shu
骨膜反应,gu'mo'fan'ying
骨皮质,gu'pi'zhi
骨皮质中断,gu'pi'zhi'zhong'duan
骨破坏,gu'po'huai
骨性肋骨,gu'xing'lei'gu
骨硬化,gu'ying'hua
骨质破坏,gu'zhi'po'huai
骨质增生,gu'zhi'zeng'sheng
骨赘,gu'zhui
冠脉造影支架术,guan'mai'zao'ying'zhi'jia'shu
灌注加权成像,guan'zhu'jia'quan'cheng'xiang
光亮肝,guang'liang'gan
核素,he'su
核素显像,he'su'xian'xiang
核医学,he'yi'xue
黑化度,hei'hua'du
横膈,heng'ge
横轴型,heng'zhou'xing
后段,hou'duan
后基底段,hou'ji'di'duan
后纵隔,hou'zong'ge
葫芦形,hu'lu'xing
呼吸系统,hu'xi'xi'tong
花边状,hua'bian'zhuang
环堤,huan'di
环形征,huan'xing'zheng
环征,huan'zheng
灰度,hui'du
灰阶,hui'jie
回盲部,hui'mang'bu
会厌谿,hui'yan'xi
混合型,hun'he'xing
混杂信号,hun'za'xin'hao
继发性肺结核,ji'fa'xing'fei'jie'he
激惹,ji're
计算机体层成像,ji'suan'ji'ti'ceng'cheng'xiang
脊髓造影,ji'sui'zao'ying
急性粟粒型肺结核,ji'xing'su'li'xing'fei'jie'he
积液,ji'ye
加权,jia'quan
尖段,jian'duan
间隔线,jian'ge'xian
尖后段,jian'hou'duan
肩胛征,jian'jia'zheng
间质性,jian'zhi'xing
间质性炎症,jian'zhi'xing'yan'zheng
降段,jiang'duan
结肠袋,jie'chang'dai
结核球,jie'he'qiu
结节影,jie'jie'ying
结节状,jie'jie'zhuang
介入,jie'ru
介入医学,jie'ru'yi'xue
浸润溃疡型,jin'run'kui'yang'xing
浸润型,jin'run'xing
静脉曲张,jing'mai'qu'zhang
静脉肾盂造影,jing'mai'shen'yu'zao'ying
锯齿状,ju'chi'zhuang
局限性膈膨出,ju'xian'xing'ge'peng'chu
局灶性结节性增生,ju'zao'xing'jie'jie'xing'zeng'sheng
龛影,kan'ying
蝌蚪状,ke'dou'zhuang
克罗恩病,ke'luo'en'bing
柯氏位,ke'shi'wei
柯瓦氏位,ke'wa'shi'wei
空洞,kong'dong
空气半月征,kong'qi'ban'yue'zheng
空腔,kong'qiang
枯否细胞,ku'fou'xi'bao
枯枝征,ku'zhi'zheng
快进快出,kuai'jin'kuai'chu
溃疡型,kui'yang'xing
溃疡性结肠炎,kui'yang'xing'jie'chang'yan
扩散加权成像,kuo'san'jia'quan'cheng'xiang
括约肌,kuo'yue'ji
劳伦氏位,lao'lun'shi'wei
肋单位,lei'dan'wei
肋膈角,lei'ge'jiao
肋膈角变钝,lei'ge'jiao'bian'dun
肋膈角锐利,lei'ge'jiao'rui'li
肋骨,lei'gu
肋骨走行自然,lei'gu'zou'xing'zi'ran
肋间隙,lei'jian'xi
连续波多普勒,lian'xu'bo'duo'pu'le
两肺门,liang'fei'men
两肺野清晰,liang'fei'ye'qing'xi
两快一慢,liang'kuai'yi'man
隆起型,long'qi'xing
漏斗状,lou'dou'zhuang
卵石征,luan'shi'zheng
伦琴,lun'qin
脉冲式多普勒,mai'chong'shi'duo'pu'le
慢性支气管炎,man'xing'zhi'qi'guan'yan
梅氏位,mei'shi'wei
门静脉,men'jing'mai
门静脉高压,men'jing'mai'gao'ya
门静脉支架植入术,men'jing'mai'zhi'jia'zhi'ru'shu
密度不均,mi'du'bu'jun
密度均匀,mi'du'jun'yun
磨玻璃样,mo'bo'li'yang
模糊影,mo'hu'ying
囊袋状,nang'dai'zhuang
囊内分离,nang'nei'fen'li
囊内囊,nang'nei'nang
囊肿,nang'zhong
囊状,nang'zhuang
脑池造影,nao'chi'zao'ying
脑室造影,nao'shi'zao'ying
内侧段,nei'ce'duan
内段,nei'duan
内基底段,nei'ji'di'duan
内前基底段,nei'qian'ji'di'duan
粘膜脱垂,nian'mo'tuo'chui
粘膜线,nian'mo'xian
尿道造影,niao'dao'zao'ying
鸟嘴状,niao'zui'zhuang
牛角型,niu'jiao'xing
牛眼征,niu'yan'zheng
脓肿壁,nong'zhong'bi
膀胱造影,pang'guang'zao'ying
膨隆,peng'long
脾大,pi'da
皮革胃,pi'ge'wei
片絮状,pian'xu'zhuang
胼胝性,pian'zhi'xing
片状,pian'zhuang
飘带征,piao'dai'zheng
频谱多普勒,pin'pu'duo'pu'le
平板,ping'ban
平滑肌瘤,ping'hua'ji'liu
平面回波,ping'mian'hui'bo
平扫,ping'sao
平坦型,ping'tan'xing
瀑布型,pu'bu'xing
气管,qi'guan
气管分叉,qi'guan'fen'cha
气管隆突,qi'guan'long'tu
器官轴型,qi'guan'zhou'xing
憩室,qi'shi
气胸,qi'xiong
奇叶,qi'ye
前段,qian'duan
前基底段,qian'ji'di'duan
前纵隔,qian'zong'ge
腔内超声,qiang'nei'chao'sheng
腔内型,qiang'nei'xing
切线位,qie'xian'wei
球部,qiu'bu
球管,qiu'guan
蚯蚓状,qiu'yin'zhuang
曲菌球,qu'jun'qiu
曲面重建,qu'mian'chong'jian
容积再现技术,rong'ji'zai'xian'ji'shu
蠕动波,ru'dong'bo
软藤征,ruan'teng'zheng
三环征,san'huan'zheng
三维超声成像,san'wei'chao'sheng'cheng'xiang
三维容积显示技术,san'wei'rong'ji'xian'shi'ji'shu
三叶形,san'ye'xing
疝囊,shan'nang
山字形,shan'zi'xing
上段,shang'duan
上舌段,shang'she'duan
上消化道气钡双重造影,shang'xiao'hua'dao'qi'bei'shuang'chong'zao'ying
升段,sheng'duan
声学造影,sheng'xue'zao'ying
食道癌,shi'dao'ai
食道闭锁,shi'dao'bi'suo
食道裂孔疝,shi'dao'lie'kong'shan
食管气管瘘,shi'guan'qi'guan'lou
食管胃环,shi'guan'wei'huan
食管炎,shi'guan'yan
实时成像,shi'shi'cheng'xiang
实时灰阶二维超声断面图,shi'shi'hui'jie'er'wei'chao'sheng'duan'mian'tu
树上挂果征,shu'shang'gua'guo'zheng
树芽征,shu'ya'zheng
数字化,shu'zi'hua
数字血管减影造影术,shu'zi'xue'guan'jian'ying'zao'ying'shu
双边征,shuang'bian'zheng
双肺野清晰,shuang'fei'ye'qing'xi
双膈面光滑,shuang'ge'mian'guang'hua
双环征,shuang'huan'zheng
水平段,shui'ping'duan
水平裂,shui'ping'lie
水上百合征,shui'shang'bai'he'zheng
顺磁性,shun'ci'xing
四肢造影,si'zhi'zao'ying
粟粒样,su'li'yang
髓质型,sui'zhi'xing
体层,ti'ceng
条片状,tiao'pian'zhuang
条索状,tiao'suo'zhuang
跳跃征,tiao'yue'zheng
透亮区,tou'liang'qu
图像存档与传输系统,tu'xiang'cun'dang'yu'chuan'shu'xi'tong
吞钡,tun'bei
蛙式位,wa'shi'wei
瓦氏位,wa'shi'wei
外侧段,wai'ce'duan
外段,wai'duan
外基底段,wai'ji'di'duan
腕关节轴位,wan'guan'jie'zhou'wei
网格状,wang'ge'zhuang
网膜轴型,wang'mo'zhou'xing
胃大弯,wei'da'wan
胃底,wei'di
胃窦,wei'dou
未见,wei'jian
胃溃疡,wei'kui'yang
胃扭转,wei'niu'zhuan
胃体,wei'ti
胃下垂,wei'xia'chui
胃小沟,wei'xiao'gou
胃小区,wei'xiao'qu
胃小弯,wei'xiao'wan
尾叶,wei'ye
伪影,wei'ying
无回声,wu'hui'sheng
无力型,wu'li'xing
膝关节侧位,xi'guan'jie'ce'wei
膝关节造影,xi'guan'jie'zao'ying
膝关节正位,xi'guan'jie'zheng'wei
西甲硅油,xi'jia'gui'you
狭颈征,xia'jing'zheng
下舌段,xia'she'duan
下肢动脉造影,xia'zhi'dong'mai'zao'ying
下肢静脉造影,xia'zhi'jing'mai'zao'ying
纤维化,xian'wei'hua
显像,xian'xiang
线样征,xian'yang'zheng
项圈征,xiang'quan'zheng
小肠造影,xiao'chang'zao'ying
小叶性肺炎,xiao'ye'xing'fei'yan
斜裂,xie'lie
心膈影正常,xin'ge'ying'zheng'chang
心脏分析技术,xin'zang'fen'xi'ji'shu
心脏起搏器植入术,xin'zang'qi'bo'qi'zhi'ru'shu
星状瘢痕征,xing'zhuang'ban'hen'zheng
胸廓,xiong'kuo
胸廓对称,xiong'kuo'dui'chen
胸膜,xiong'mo
胸膜间皮瘤,xiong'mo'jian'pi'liu
胸膜增厚,xiong'mo'zeng'hou
胸腔,xiong'qiang
胸腔积液,xiong'qiang'ji'ye
胸上段,xiong'shang'duan
胸下段,xiong'xia'duan
胸中段,xiong'zhong'duan
袖口征,xiu'kou'zheng
许梅氏位,xu'mei'shi'wei
许氏位,xu'shi'wei
血管瘤,xue'guan'liu
血管造影,xue'guan'zao'ying
血行播散型肺结核,xue'hang'bo'san'xing'fei'jie'he
血红蛋白沉着症,xue'hong'dan'bai'chen'zhuo'zheng
血流显像,xue'liu'xian'xiang
蕈伞型,xun'san'xing
压迹,ya'ji
压力复整法,ya'li'fu'zheng'fa
炎性假瘤,yan'xing'jia'liu
阳极效应,yang'ji'xiao'ying
叶间积液,ye'jian'ji'ye
液气平面,ye'qi'ping'mian
液气胸,ye'qi'xiong
伊索显,yi'suo'xian
胰体,yi'ti
胰头,yi'tou
胰尾,yi'wei
医学影像学,yi'xue'ying'xiang'xue
抑脂,yi'zhi
硬化型,ying'hua'xing
影像,ying'xiang
影像学,ying'xiang'xue
影像诊断学,ying'xiang'zhen'duan'xue
壅积,yong'ji
右肺上叶,you'fei'shang'ye
右肺上叶后段,you'fei'shang'ye'hou'duan
右肺上叶尖段,you'fei'shang'ye'jian'duan
右肺上叶前段,you'fei'shang'ye'qian'duan
右肺上叶支气管,you'fei'shang'ye'zhi'qi'guan
右肺下叶,you'fei'xia'ye
右肺下叶背段,you'fei'xia'ye'bei'duan
右肺下叶后基底段,you'fei'xia'ye'hou'ji'di'duan
右肺下叶前基底段,you'fei'xia'ye'qian'ji'di'duan
右肺下叶外基底段,you'fei'xia'ye'wai'ji'di'duan
右肺下叶支气管,you'fei'xia'ye'zhi'qi'guan
右肺中叶,you'fei'zhong'ye
右肺中叶内侧段,you'fei'zhong'ye'nei'ce'duan
右肺中叶外侧段,you'fei'zhong'ye'wai'ce'duan
右肺中叶支气管,you'fei'zhong'ye'zhi'qi'guan
幽门,you'men
右上肺,you'shang'fei
右下肺,you'xia'fei
右支,you'zhi
