半殖民地半封建,ban'zhi'min'di'ban'feng'jian
暴力手段,bao'li'shou'duan
闭关锁国,bi'guan'suo'guo
长江流域,chang'jiang'liu'yu
地主土地所有制,di'zhu'tu'di'suo'you'zhi
地租剥削,di'zu'bo'xue
独尊儒术,du'zun'ru'shu
封建地主制经济,feng'jian'di'zhu'zhi'jing'ji
封建社会,feng'jian'she'hui
封建统治阶级,feng'jian'tong'zhi'jie'ji
工业革命,gong'ye'ge'ming
古代文明,gu'dai'wen'ming
官营工商业,guan'ying'gong'shang'ye
国债制度,guo'zhai'zhi'du
虎门销烟,hu'men'xiao'yan
黄河流域,huang'he'liu'yu
黄埔条约,huang'pu'tiao'yue
家天下,jia'tian'xia
兼并土地,jian'bing'tu'di
阶级矛盾,jie'ji'mao'dun
经世济民,jing'shi'ji'min
居安思危,ju'an'si'wei
君主专制制度,jun'zhu'zhuan'zhi'zhi'du
开元之治,kai'yuan'zhi'zhi
康华丽,kang'hua'li
康雍乾盛世,kang'yong'qian'sheng'shi
苛捐杂税,ke'juan'za'shui
厉行改革,li'xing'gai'ge
贸易逆差,mao'yi'ni'cha
蒙昧主义,meng'mei'zhu'yi
民族精神,min'zu'jing'shen
南京条约,nan'jing'tiao'yue
凝聚力,ning'ju'li
奴隶贩卖,nu'li'fan'mai
耆英,qi'ying
轻徭薄赋,qing'yao'bo'fu
圈地运动,quan'di'yun'dong
日不落帝国,ri'bu'luo'di'guo
入超,ru'chao
三纲五常,san'gang'wu'chang
商品倾销,shang'pin'qing'xiao
社会矛盾,she'hui'mao'dun
世界,shi'jie
税收制度,shui'shou'zhi'du
摊派徭役,tan'pai'yao'yi
望厦条约,wang'xia'tiao'yue
文化专制主义,wen'hua'zhuan'zhi'zhu'yi
文景之治,wen'jing'zhi'zhi
文艺复兴,wen'yi'fu'xing
文字狱,wen'zi'yu
五口通商章程,wu'kou'tong'shang'zhang'cheng
小农经济,xiao'nong'jing'ji
鸦片战争,ya'pian'zhan'zheng
鸦片走私,ya'pian'zou'si
伊里布,yi'li'bu
贞观之治,zhen'guan'zhi'zhi
政治经济危机,zheng'zhi'jing'ji'wei'ji
政治特权,zheng'zhi'te'quan
殖民主义,zhi'min'zhu'yi
殖民主义世界体系,zhi'min'zhu'yi'shi'jie'ti'xi
殖民主义者,zhi'min'zhu'yi'zhe
中国,zhong'guo
中华民族,zhong'hua'min'zu
重农抑商,zhong'nong'yi'shang
中央集权,zhong'yang'ji'quan
资本输出,zi'ben'shu'chu
资本原始积累,zi'ben'yuan'shi'ji'lei
资本主义制度,zi'ben'zhu'yi'zhi'du
资产阶级革命,zi'chan'jie'ji'ge'ming
资产阶级民主革命,zi'chan'jie'ji'min'zhu'ge'ming
自给自足,zi'ji'zi'zu
自强不息,zi'qiang'bu'xi
自然经济,zi'ran'jing'ji
宗教改革,zong'jiao'gai'ge
宗族家长制,zong'zu'jia'zhang'zhi
