爱尔兰制,ai'er'lan'zhi
埃米拉制,ai'mi'la'zhi
奥本制,ao'ben'zhi
百分考核制,bai'fen'kao'he'zhi
保外就医,bao'wai'jiu'yi
宾夕法尼亚制,bin'xi'fa'ni'ya'zhi
裁定释放,cai'ding'shi'fang
惩役监,cheng'yi'jian
出监队,chu'jian'dui
出监鉴定,chu'jian'jian'ding
出监教育,chu'jian'jiao'yu
处遇,chu'yu
处遇分类,chu'yu'fen'lei
单人监禁制,dan'ren'jian'jin'zhi
对犯人的法律奖励,dui'fan'ren'de'fa'lv'jiang'li
对犯人的考核制度,dui'fan'ren'de'kao'he'zhi'du
对犯人的行政处罚,dui'fan'ren'de'xing'zheng'chu'fa
对犯人的行政奖励,dui'fan'ren'de'xing'zheng'jiang'li
对失犯劳动改造村,dui'shi'fan'lao'dong'gai'zao'cun
犯人,fan'ren
犯人档案卡片,fan'ren'dang'an'ka'pian
犯人合法权利,fan'ren'he'fa'quan'li
犯人技术教育,fan'ren'ji'shu'jiao'yu
犯人技术津贴,fan'ren'ji'shu'jin'tie
犯人假定工资,fan'ren'jia'ding'gong'zi
犯人奖金,fan'ren'jiang'jin
犯人接见,fan'ren'jie'jian
犯人考工定级,fan'ren'kao'gong'ding'ji
犯人零用钱,fan'ren'ling'yong'qian
犯人守则,fan'ren'shou'ze
犯人通信,fan'ren'tong'xin
犯人文化教育,fan'ren'wen'hua'jiao'yu
犯人小组长,fan'ren'xiao'zu'zhang
犯人义务,fan'ren'yi'wu
犯人邮汇,fan'ren'you'hui
犯人政治思想教育,fan'ren'zheng'zhi'si'xiang'jiao'yu
犯罪少年,fan'zui'shao'nian
分管分押,fen'guan'fen'ya
分类教育,fen'lei'jiao'yu
分数制,fen'shu'zhi
服刑人,fu'xing'ren
辅助教育,fu'zhu'jiao'yu
改造第一生产第二的方针,gai'zao'di'yi'sheng'chan'di'er'de'fang'zhen
改造心理学,gai'zao'xin'li'xue
改造质量,gai'zao'zhi'liang
感化教育,gan'hua'jiao'yu
给出路,gei'chu'lu
管教结合,guan'jiao'jie'he
加强管束的劳动改造队,jia'qiang'guan'shu'de'lao'dong'gai'zao'dui
加强管束的劳动教养营,jia'qiang'guan'shu'de'lao'dong'jiao'yang'ying
假释合同制,jia'shi'he'tong'zhi
监房检查,jian'fang'jian'cha
监规纪律,jian'gui'ji'lv
监内传习犯罪,jian'nei'chuan'xi'fan'zui
监外执行,jian'wai'zhi'xing
监狱,jian'yu
监狱劳动队管教工作细则,jian'yu'lao'dong'dui'guan'jiao'gong'zuo'xi'ze
监狱学,jian'yu'xue
教育改造,jiao'yu'gai'zao
矫正,jiao'zheng
戒具,jie'ju
禁闭,jin'bi
禁闭室,jin'bi'shi
禁锢监,jin'gu'jian
警戒设施,jing'jie'she'shi
警戒线,jing'jie'xian
开放式机构,kai'fang'shi'ji'gou
看押部队,kan'ya'bu'dui
科学文明管理,ke'xue'wen'ming'guan'li
宽大释放,kuan'da'shi'fang
劳动改造,lao'dong'gai'zao
劳动改造村,lao'dong'gai'zao'cun
劳动改造法,lao'dong'gai'zao'fa
劳动改造法学,lao'dong'gai'zao'fa'xue
劳动改造管教队,lao'dong'gai'zao'guan'jiao'dui
劳动改造管理局,lao'dong'gai'zao'guan'li'ju
劳动改造机关,lao'dong'gai'zao'ji'guan
劳动工作方针,lao'dong'gong'zuo'fang'zhen
劳动教养营,lao'dong'jiao'yang'ying
劳改积极分子,lao'gai'ji'ji'fen'zi
劳改积极分子委员会,lao'gai'ji'ji'fen'zi'wei'yuan'hui
劳改企业管理,lao'gai'qi'ye'guan'li
劳改生产,lao'gai'sheng'chan
劳改事业费,lao'gai'shi'ye'fei
劳改业务费,lao'gai'ye'wu'fei
牢头狱霸,lao'tou'yu'ba
累进处遇委员会,lei'jin'chu'yu'wei'yuan'hui
累进处遇制,lei'jin'chu'yu'zhi
累进制度,lei'jin'zhi'du
两个结合的方针,liang'ge'jie'he'de'fang'zhen
六不准,liu'bu'zhun
六个字,liu'ge'zi
内看守,nei'kan'shou
年终评审,nian'zhong'ping'shen
女犯,nv'fan
普通管束的劳动改造队,pu'tong'guan'shu'de'lao'dong'gai'zao'dui
普通管束的劳动教养营,pu'tong'guan'shu'de'lao'dong'jiao'yang'ying
强制留场就业,qiang'zhi'liu'chang'jiu'ye
囚服,qiu'fu
区别对待,qu'bie'dui'dai
认罪服法教育,ren'zui'fu'fa'jiao'yu
入监队,ru'jian'dui
三大现场,san'da'xian'chang
三道防线,san'dao'fang'xian
三个为了的方针,san'ge'wei'le'de'fang'zhen
三个象,san'ge'xiang
善行折减制,shan'xing'zhe'jian'zhi
少管所,shao'guan'suo
少年犯,shao'nian'fan
少年犯管教所,shao'nian'fan'guan'jiao'suo
少年犯监狱,shao'nian'fan'jian'yu
少年刑务所,shao'nian'xing'wu'suo
社会参与教育,she'hui'can'yu'jiao'yu
社会为基础处遇制度,she'hui'wei'ji'chu'chu'yu'zhi'du
社会主义人道主义劳改原则,she'hui'zhu'yi'ren'dao'zhu'yi'lao'gai'yuan'ze
释放证明,shi'fang'zheng'ming
收监,shou'jian
收容分类,shou'rong'fen'lei
受刑人分类制,shou'xing'ren'fen'lei'zhi
受刑人自治制,shou'xing'ren'zi'zhi'zhi
收押,shou'ya
收押凭证,shou'ya'ping'zheng
四固定,si'gu'ding
四留四不留,si'liu'si'bu'liu
四知道,si'zhi'dao
苏联劳动改造机构,su'lian'lao'dong'gai'zao'ji'gou
特别管束的劳动改造队,te'bie'guan'shu'de'lao'dong'gai'zao'dui
特殊学校,te'shu'xue'xiao
提前释放,ti'qian'shi'fang
外籍犯,wai'ji'fan
外役犯,wai'yi'fan
顽固犯,wan'gu'fan
文明管理八件事,wen'ming'guan'li'ba'jian'shi
武装警戒,wu'zhuang'jing'jie
刑满留场就业,xing'man'liu'chang'jiu'ye
刑满释放,xing'man'shi'fang
刑期届满,xing'qi'jie'man
行刑累进处遇令,xing'xing'lei'jin'chu'yu'ling
行刑学,xing'xing'xue
行刑制度,xing'xing'zhi'du
押犯,ya'fan
押解警戒,ya'jie'jing'jie
严格管理与教育感化相结合,yan'ge'guan'li'yu'jiao'yu'gan'hua'xiang'jie'he
严格管束的劳动改造队,yan'ge'guan'shu'de'lao'dong'gai'zao'dui
严管队,yan'guan'dui
狱分制,yu'fen'zhi
狱内电子监控,yu'nei'dian'zi'jian'kong
狱内违禁品,yu'nei'wei'jin'pin
狱内文化,yu'nei'wen'hua
狱内侦察,yu'nei'zhen'cha
狱政管理,yu'zheng'guan'li
狱政文书,yu'zheng'wen'shu
直接管理,zhi'jie'guan'li
知密犯,zhi'mi'fan
中华人民共和国劳动改造条例,zhong'hua'ren'min'gong'he'guo'lao'dong'gai'zao'tiao'li
中间监狱制,zhong'jian'jian'yu'zhi
罪犯处遇,zui'fan'chu'yu
罪犯心理,zui'fan'xin'li
