摆动投点,bai'dong'tou'dian
帮坡稳定性监测,bang'po'wen'ding'xing'jian'ce
保护煤柱图,bao'hu'mei'zhu'tu
闭合导线,bi'he'dao'xian
边界角,bian'jie'jiao
变形,bian'xing
变形观测,bian'xing'guan'ce
标定,biao'ding
标高,biao'gao
标准偏差,biao'zhun'pian'cha
采剥工程断面图,cai'bo'gong'cheng'duan'mian'tu
采剥工程综合平面图,cai'bo'gong'cheng'zong'he'ping'mian'tu
采掘工程平面图,cai'jue'gong'cheng'ping'mian'tu
采煤工作面测量,cai'mei'gong'zuo'mian'ce'liang
采区测量,cai'qu'ce'liang
采区控制导线,cai'qu'kong'zhi'dao'xian
采区联系测量,cai'qu'lian'xi'ce'liang
侧方交会,ce'fang'jiao'hui
测回法,ce'hui'fa
测量误差,ce'liang'wu'cha
测站,ce'zhan
超充分采动,chao'chong'fen'cai'dong
超临界开采,chao'lin'jie'kai'cai
充分采动,chong'fen'cai'dong
储量管理,chu'liang'guan'li
垂线投点,chui'xian'tou'dian
磁方位角,ci'fang'wei'jiao
大地水准面,da'di'shui'zhun'mian
导线边,dao'xian'bian
导线测量,dao'xian'ce'liang
导线点,dao'xian'dian
导线角度闭合差,dao'xian'jiao'du'bi'he'cha
导线结点,dao'xian'jie'dian
导线全长闭合差,dao'xian'quan'chang'bi'he'cha
导线网,dao'xian'wang
导线相对闭合差,dao'xian'xiang'dui'bi'he'cha
导线转折角,dao'xian'zhuan'zhe'jiao
导向层,dao'xiang'ceng
等高距,deng'gao'ju
等高线,deng'gao'xian
等高线间距,deng'gao'xian'jian'ju
底板测点,di'ban'ce'dian
地表临界变形值,di'biao'lin'jie'bian'xing'zhi
地表下沉盆地,di'biao'xia'chen'pen'di
地表移动观测站,di'biao'yi'dong'guan'ce'zhan
地表移动曲线图,di'biao'yi'dong'qu'xian'tu
地理信息系统,di'li'xin'xi'xi'tong
地形数据库,di'xing'shu'ju'ku
地形图,di'xing'tu
地学空间数据,di'xue'kong'jian'shu'ju
地学信息系统,di'xue'xin'xi'xi'tong
地质测量,di'zhi'ce'liang
地质点测量,di'zhi'dian'ce'liang
地质数据库,di'zhi'shu'ju'ku
地质统计学,di'zhi'tong'ji'xue
电磁波测距仪,dian'ci'bo'ce'ju'yi
点下对中,dian'xia'dui'zhong
电子矿图,dian'zi'kuang'tu
电子速测仪,dian'zi'su'ce'yi
顶板测点,ding'ban'ce'dian
定向基点,ding'xiang'ji'dian
定向近井点,ding'xiang'jin'jing'dian
定向连接点,ding'xiang'lian'jie'dian
定向投点,ding'xiang'tou'dian
定向误差,ding'xiang'wu'cha
放样,fang'yang
非充分采动,fei'chong'fen'cai'dong
复测法,fu'ce'fa
附合导线,fu'he'dao'xian
附合水准路线,fu'he'shui'zhun'lu'xian
高差,gao'cha
高程,gao'cheng
高程闭合差,gao'cheng'bi'he'cha
高程测量,gao'cheng'ce'liang
高程基准面,gao'cheng'ji'zhun'mian
