艾窝窝,ai'wo'wo
鲜豆苗,xian'dou'miao
鲜蘑菜心,xian'mo'cai'xin
鲜鱼肉,xian'yu'rou
香辣黄瓜条,xiang'la'huang'gua'tiao
祥龙双飞,xiang'long'shuang'fei
香烹狍脊,xiang'peng'pao'ji
香酥苹果,xiang'su'ping'guo
香油膳糊,xiang'you'shan'hu
小豆糕,xiao'dou'gao
信阳毛尖,xin'yang'mao'jian
杏仁豆腐,xing'ren'dou'fu
杏仁佛手,xing'ren'fo'shou
绣球乾贝,xiu'qiu'qian'bei
雪里蕻,xue'li'hong
雪山梅,xue'shan'mei
盐煎肉,yan'jian'rou
腌水芥皮,yan'shui'jie'pi
盐水里脊,yan'shui'li'ji
杨河春绿,yang'he'chun'lv
腰果芹心,yao'guo'qin'xin
野味火锅,ye'wei'huo'guo
野鸭脯,ye'ya'pu
野鸭桃仁丁,ye'ya'tao'ren'ding
野猪肉,ye'zhu'rou
一品豆腐,yi'pin'dou'fu
一品官燕,yi'pin'guan'yan
油焖草菇,you'men'cao'gu
油焖鲜蘑,you'men'xian'mo
鱿鱼卷,you'yu'juan
御菜三品,yu'cai'san'pin
御菜四品,yu'cai'si'pin
御菜五品,yu'cai'wu'pin
御菜一品,yu'cai'yi'pin
玉面葫芦,yu'mian'hu'lu
御膳豆黄,yu'shan'dou'huang
御膳烤鸡,yu'shan'kao'ji
玉笋蕨菜,yu'sun'jue'cai
玉兔白菜,yu'tu'bai'cai
玉掌献寿,yu'zhang'xian'shou
芫爆仔鸽,yuan'bao'zi'ge
芸豆卷,yun'dou'juan
枣泥糕,zao'ni'gao
芝麻卷,zhi'ma'juan
芝麻南糖,zhi'ma'nan'tang
芝麻鱼,zhi'ma'yu
珠兰大方,zhu'lan'da'fang
紫香乾,zi'xiang'qian
