阿尔伯特,a'er'bo'te
哀帝哀帝有,ai'di'ai'di'you
哀帝去世,ai'di'qu'shi
矮而粗壮,ai'er'cu'zhuang
把头看作,ba'tou'kan'zuo
白登,bai'deng
白登之围从此以后,bai'deng'zhi'wei'cong'ci'yi'hou
百夫长,bai'fu'zhang
百余位,bai'yu'wei
班婕妤,ban'jie'yu
扮演的角色,ban'yan'de'jiao'se
保持和平,bao'chi'he'ping
北部之戎,bei'bu'zhi'rong
被从游牧民,bei'cong'you'mu'min
北京西部和西北部,bei'jing'xi'bu'he'xi'bei'bu
被他杀死的,bei'ta'sha'si'de
被统称为,bei'tong'cheng'wei
被中国人所知,bei'zhong'guo'ren'suo'zhi
被组织得,bei'zu'zhi'de
本始元年,ben'shi'yuan'nian
鼻翼宽,bi'yi'kuan
变得更为强大,bian'de'geng'wei'qiang'da
编年史上,bian'nian'shi'shang
并采纳,bing'cai'na
并创立,bing'chuang'li
并未,bing'wei
并先后,bing'xian'hou
并以,bing'yi
并一一处死,bing'yi'yi'chu'si
并迎接,bing'ying'jie
并迎立太子,bing'ying'li'tai'zi
不纯,bu'chun
部分亦将,bu'fen'yi'jiang
不能生育,bu'neng'sheng'yu
不至于败亡,bu'zhi'yu'bai'wang
采取了,cai'qu'le
才在中国,cai'zai'zhong'guo
残害杀死,can'hai'sha'si
曹参,cao'shen
草原地带的东部,cao'yuan'di'dai'de'dong'bu
草原地带西部,cao'yuan'di'dai'xi'bu
草粥,cao'zhou
曾被,ceng'bei
曾发表,ceng'fa'biao
曾提到,ceng'ti'dao
产生巨大冲击导致汉朝,chan'sheng'ju'da'chong'ji'dao'zhi'han'chao
单于的,chan'yu'de
单于的继承人,chan'yu'de'ji'cheng'ren
单于的全名,chan'yu'de'quan'ming
单于住在,chan'yu'zhu'zai
昌邑王,chang'yi'wang
朝代史中,chao'dai'shi'zhong
彻底变化,che'di'bian'hua
陈豨,chen'xi
成帝,cheng'di
成帝不理朝政,cheng'di'bu'li'chao'zheng
成帝死后,cheng'di'si'hou
成帝与,cheng'di'yu
成帝最后,cheng'di'zui'hou
称呼自己为,cheng'hu'zi'ji'wei
撑犁,cheng'li
撑犁孤涂单于,cheng'li'gu'tu'chan'yu
城墙的建筑,cheng'qiang'de'jian'zhu
成为东亚霸主,cheng'wei'dong'ya'ba'zhu
成为了长城,cheng'wei'le'chang'cheng
成为了中国,cheng'wei'le'zhong'guo
称为严狁,cheng'wei'yan'yun
成为一支,cheng'wei'yi'zhi
称羡的时期,cheng'xian'de'shi'qi
呈现一片,cheng'xian'yi'pian
楚汉之争,chu'han'zhi'zheng
出使西域,chu'shi'xi'yu
出现的朝代,chu'xian'de'chao'dai
传统历史学家,chuan'tong'li'shi'xue'jia
创造了,chuang'zao'le
垂在左腿的前面,chui'zai'zuo'tui'de'qian'mian
此后宣帝,ci'hou'xuan'di
此时期,ci'shi'qi
从此确立,cong'ci'que'li
从此时起,cong'ci'shi'qi
从游牧民那里,cong'you'mu'min'na'li
打败了,da'bai'le
达到了,da'dao'le
大权独揽,da'quan'du'lan
大司马,da'si'ma
大一统时代,da'yi'tong'shi'dai
大约公元前,da'yue'gong'yuan'qian
带来的,dai'lai'de
带来了中国,dai'lai'le'zhong'guo
带来影响,dai'lai'ying'xiang
但大部分说法,dan'da'bu'fen'shuo'fa
但反被霍光废掉,dan'fan'bei'huo'guang'fei'diao
但吕后,dan'lv'hou
但是仅,dan'shi'jin
但是在此期间,dan'shi'zai'ci'qi'jian
但因,dan'yin
当国,dang'guo
当时居住在,dang'shi'ju'zhu'zai
当伊朗人种,dang'yi'lang'ren'zhong
到汉武帝时,dao'han'wu'di'shi
到现在,dao'xian'zai
导致皇权旁落,dao'zhi'huang'quan'pang'luo
的长袍,de'chang'pao
得到了大大的加强,de'dao'le'da'da'de'jia'qiang
的帝国,de'di'guo
的对象,de'dui'xiang
的风俗,de'feng'su
的建议,de'jian'yi
的建议施行,de'jian'yi'shi'xing
的爵位,de'jue'wei
的例子中,de'li'zi'zhong
的帽子三尾服,de'mao'zi'san'wei'fu
的蒙古人中,de'meng'gu'ren'zhong
的民族,de'min'zu
的目的,de'mu'di
的墓上,de'mu'shang
的那些民族,de'na'xie'min'zu
的权力,de'quan'li
的权限,de'quan'xian
的誓言,de'shi'yan
的手段,de'shou'duan
的首月,de'shou'yue
的数目成比例,de'shu'mu'cheng'bi'li
的特征,de'te'zheng
的同时,de'tong'shi
的统治之下,de'tong'zhi'zhi'xia
的效果,de'xiao'guo
的兴起,de'xing'qi
的休养生息,de'xiu'yang'sheng'xi
的血,de'xue
的一部份,de'yi'bu'fen
的艺术,de'yi'shu
的译音,de'yi'yin
的游牧民,de'you'mu'min
的政策,de'zheng'ce
的政治,de'zheng'zhi
的子女,de'zi'nv
等措施来积极备战,deng'cuo'shi'lai'ji'ji'bei'zhan
登基后,deng'ji'hou
登基之初,deng'ji'zhi'chu
等人的,deng'ren'de
等天才将领,deng'tian'cai'jiang'ling
等为王等到政权稳固,deng'wei'wang'deng'dao'zheng'quan'wen'gu
地节二年,di'jie'er'nian
敌人的,di'ren'de
敌人的血,di'ren'de'xue
帝位,di'wei
第一次被,di'yi'ci'bei
第一个敌人,di'yi'ge'di'ren
定国号,ding'guo'hao
定国号汉汉朝就此开始,ding'guo'hao'han'han'chao'jiu'ci'kai'shi
订立了,ding'li'le
定陶王,ding'tao'wang
定正朔为水德,ding'zheng'shuo'wei'shui'de
东汉及,dong'han'ji
东汉王朝,dong'han'wang'chao
东汉为,dong'han'wei
董贤,dong'xian
董仲舒罢黜百家,dong'zhong'shu'ba'chu'bai'jia
都改他们的,dou'gai'ta'men'de
都可以看到,dou'ke'yi'kan'dao
都是共同的,dou'shi'gong'tong'de
都是在酋长,dou'shi'zai'qiu'zhang
独尊儒术,du'zun'ru'shu
短弯刀上,duan'wan'dao'shang
断袖之癖终日与,duan'xiu'zhi'pi'zhong'ri'yu
短暂的自立,duan'zan'de'zi'li
对汉朝,dui'han'chao
对经济,dui'jing'ji
对名为,dui'ming'wei
对内继续,dui'nei'ji'xu
对匈奴人,dui'xiong'nu'ren
多年战争,duo'nian'zhan'zheng
夺取了,duo'qu'le
鄂尔浑河,e'er'hun'he
恩威并施,en'wei'bing'shi
而称,er'cheng
而达到了,er'da'dao'le
而将其归入汉朝,er'jiang'qi'gui'ru'han'chao
而领下仅有一小撮硬须长长的耳垂上穿着孔,er'ling'xia'jin'you'yi'xiao'cuo'ying'xu'chang'chang'de'er'chui'shang'chuan'zhuo'kong
而中华民族中,er'zhong'hua'min'zu'zhong
发生了,fa'sheng'le
发生了著名的,fa'sheng'le'zhu'ming'de
方才采用,fang'cai'cai'yong
防御匈奴,fang'yu'xiong'nu
废除了,fei'chu'le
非刘氏而王者,fei'liu'shi'er'wang'zhe
分布在今天的,fen'bu'zai'jin'tian'de
坟墩上的石头,fen'dun'shang'de'shi'tou
分封,fen'feng
分掌,fen'zhang
奉行霍光的治国路线大力整顿吏治,feng'xing'huo'guang'de'zhi'guo'lu'xian'da'li'zheng'dun'li'zhi
负担得到减轻,fu'dan'de'dao'jian'qing
辅政但是在,fu'zheng'dan'shi'zai
辅助下垓下之战,fu'zhu'xia'gai'xia'zhi'zhan
服装上的,fu'zhuang'shang'de
父子的说法,fu'zi'de'shuo'fa
改封刘氏宗亲为王,gai'feng'liu'shi'zong'qin'wei'wang
改革措施,gai'ge'cuo'shi
割开其,ge'kai'qi
各民族中,ge'min'zu'zhong
更早一些的时候,geng'zao'yi'xie'de'shi'hou
功臣,gong'chen
弓箭袋系在腰带上,gong'jian'dai'xi'zai'yao'dai'shang
弓箭时代,gong'jian'shi'dai
公元一世纪,gong'yuan'yi'shi'ji
固定居住地而言,gu'ding'ju'zhu'di'er'yan
鼓励生产轻徭薄赋,gu'li'sheng'chan'qing'yao'bo'fu
故仍,gu'reng
挂在马缰绳上的,gua'zai'ma'jiang'sheng'shang'de
官奴,guan'nu
光复汉室之后,guang'fu'han'shi'zhi'hou
光武帝,guang'wu'di
光武中兴,guang'wu'zhong'xing
归入三国,gui'ru'san'guo
国家大事,guo'jia'da'shi
国家经济,guo'jia'jing'ji
国家已经,guo'jia'yi'jing
