半径,ban'jing
半开式叶轮,ban'kai'shi'ye'lun
报警点,bao'jing'dian
包容了转子的壳体,bao'rong'le'zhuan'zi'de'qiao'ti
备件,bei'jian
背靠背型,bei'kao'bei'xing
本体,ben'ti
比的静止的,bi'de'jing'zhi'de
比流量,bi'liu'liang
闭路试验,bi'lu'shi'yan
比容,bi'rong
闭式叶轮,bi'shi'ye'lun
闭式叶轮轮,bi'shi'ye'lun'lun
比直径,bi'zhi'jing
比转速,bi'zhuan'su
编号,bian'hao
变转速调节,bian'zhuan'su'tiao'jie
标准空气,biao'zhun'kong'qi
标准状态,biao'zhun'zhuang'tai
并联运行,bing'lian'yun'xing
部分负荷,bu'fen'fu'he
参考气,can'kao'qi
侧板,ce'ban
测振装置,ce'zhen'zhuang'zhi
超速试验,chao'su'shi'yan
称为反应度或反动度,cheng'wei'fan'ying'du'huo'fan'dong'du
尺寸效应,chi'cun'xiao'ying
冲击损失,chong'ji'sun'shi
稠度,chou'du
抽气器,chou'qi'qi
出厂检验,chu'chang'jian'yan
出进口气流角,chu'jin'kou'qi'liu'jiao
出口的终了的,chu'kou'de'zhong'liao'de
出口几何角,chu'kou'ji'he'jiao
出口气流角,chu'kou'qi'liu'jiao
出口条件,chu'kou'tiao'jian
出气试验装置,chu'qi'shi'yan'zhuang'zhi
除湿装置,chu'shi'zhuang'zhi
串联运行,chuan'lian'yun'xing
喘振,chuan'zhen
喘振点,chuan'zhen'dian
喘振界线,chuan'zhen'jie'xian
垂直剖分型,chui'zhi'pou'fen'xing
单吸入,dan'xi'ru
当量转速,dang'liang'zhuan'su
导杆,dao'gan
导流器,dao'liu'qi
导叶,dao'ye
等流量调节,deng'liu'liang'tiao'jie
等熵的,deng'shang'de
等熵能量头,deng'shang'neng'liang'tou
等熵效率,deng'shang'xiao'lv
等熵压缩过程,deng'shang'ya'suo'guo'cheng
等熵指数,deng'shang'zhi'shu
等温的,deng'wen'de
等温能量头,deng'wen'neng'liang'tou
等温效率,deng'wen'xiao'lv
等温型,deng'wen'xing
等温压缩过程,deng'wen'ya'suo'guo'cheng
等压偏差系数,deng'ya'pian'cha'xi'shu
等压调节,deng'ya'tiao'jie
低速鼓风机,di'su'gu'feng'ji
底座,di'zuo
垫板,dian'ban
定位键,ding'wei'jian
定子,ding'zi
动力的,dong'li'de
动力相似,dong'li'xiang'si
动能试验,dong'neng'shi'yan
动平衡,dong'ping'heng
动叶,dong'ye
动叶栅或静叶栅图形,dong'ye'shan'huo'jing'ye'zha'tu'xing
端盖,duan'gai
对比,dui'bi
对数性能曲线,dui'shu'xing'neng'qu'xian
多变的,duo'bian'de
多变能量头,duo'bian'neng'liang'tou
多变效率,duo'bian'xiao'lv
多变压缩过程,duo'bian'ya'suo'guo'cheng
多变指数,duo'bian'zhi'shu
多叶通风机,duo'ye'tong'feng'ji
多轴型,duo'zhou'xing
惰转时间,duo'zhuan'shi'jian
二次流,er'ci'liu
二次平衡气,er'ci'ping'heng'qi
反作用度,fan'zuo'yong'du
防喘振装置,fang'chuan'zhen'zhuang'zhi
非工作面,fei'gong'zuo'mian
风洞,feng'dong
风机,feng'ji
风机试验时进出口的接管,feng'ji'shi'yan'shi'jin'chu'kou'de'jie'guan
风机运行时,feng'ji'yun'xing'shi
风机噪声,feng'ji'zao'sheng
风室,feng'shi
风筒,feng'tong
蜂窝密封,feng'wo'mi'feng
浮环密封,fu'huan'mi'feng
辅助设备,fu'zhu'she'bei
辅助通风机,fu'zhu'tong'feng'ji
干空气,gan'kong'qi
干气密封,gan'qi'mi'feng
刚性转子,gang'xing'zhuan'zi
高工作压力,gao'gong'zuo'ya'li
高速鼓风机,gao'su'gu'feng'ji
高位油箱,gao'wei'you'xiang
隔板,ge'ban
隔离器,ge'li'qi
隔声罩,ge'sheng'zhao
隔叶块,ge'ye'kuai
根据相似理论作设计,gen'ju'xiang'si'li'lun'zuo'she'ji
工况点,gong'kuang'dian
功率裕度,gong'lv'yu'du
功能试验,gong'neng'shi'yan
公用底座,gong'yong'di'zuo
工作面,gong'zuo'mian
鼓风机,gu'feng'ji
鼓筒式转子,gu'tong'shi'zhuan'zi
管网,guan'wang
管网特性,guan'wang'te'xing
管线型,guan'xian'xing
光轴,guang'zhou
过滤器,guo'lv'qi
海平的松动的,hai'ping'de'song'dong'de
焊接叶轮,han'jie'ye'lun
厚度与弦长之比,hou'du'yu'xian'chang'zhi'bi
后机壳,hou'ji'ke
后向叶片,hou'xiang'ye'pian
后缘点,hou'yuan'dian
后缘方向角,hou'yuan'fang'xiang'jiao
滑动,hua'dong
滑动系数,hua'dong'xi'shu
环列叶栅,huan'lie'ye'zha
环型叶栅,huan'xing'ye'zha
回转效应,hui'zhuan'xiao'ying
混流风机,hun'liu'feng'ji
机号,ji'hao
几何角,ji'he'jiao
几何相似,ji'he'xiang'si
机壳,ji'ke
计入流动损失,ji'ru'liu'dong'sun'shi
计算性能曲线,ji'suan'xing'neng'qu'xian
机械,ji'xie
机械密封,ji'xie'mi'feng
机械损失,ji'xie'sun'shi
机械效率,ji'xie'xiao'lv
机械运转试验,ji'xie'yun'zhuan'shi'yan
见证试验,jian'zheng'shi'yan
角速度,jiao'su'du
节鞭轴,jie'bian'zhou
阶梯轴,jie'ti'zhou
进出气试验装置,jin'chu'qi'shi'yan'zhuang'zhi
进口冲角,jin'kou'chong'jiao
进口的初始的,jin'kou'de'chu'shi'de
进口几何角,jin'kou'ji'he'jiao
进口气流角,jin'kou'qi'liu'jiao
进口圈,jin'kou'quan
进口条件,jin'kou'tiao'jian
进气节流调节,jin'qi'jie'liu'tiao'jie
进气室,jin'qi'shi
进气试验装置,jin'qi'shi'yan'zhuang'zhi
进气预旋调节,jin'qi'yu'xuan'tiao'jie
