阿不都,a'bu'dou
阿布都拉,a'bu'dou'la
阿不都热合曼,a'bu'dou're'he'man
阿不都热依木,a'bu'dou're'yi'mu
阿卜杜,a'bu'du
阿不都拉,a'bu'du'la
阿布拉,a'bu'la
阿不来提,a'bu'lai'ti
阿不力克木,a'bu'li'ke'mu
阿不力米提,a'bu'li'mi'ti
阿不力孜,a'bu'li'zi
阿达西,a'da'xi
阿迪拉,a'di'la
阿迪力,a'di'li
阿迪力江,a'di'li'jiang
阿尔曼,a'er'man
阿合奇,a'he'qi
阿克江,a'ke'jiang
阿克苏,a'ke'su
阿克苏的,a'ke'su'de
阿克苏地区,a'ke'su'di'qu
阿克苏了,a'ke'su'le
阿克苏市,a'ke'su'shi
阿克陶,a'ke'tao
阿拉尔,a'la'er
阿拉木图,a'la'mu'tu
阿拉山口,a'la'shan'kou
阿老师,a'lao'shi
阿勒泰,a'le'tai
阿勒泰的,a'le'tai'de
阿勒泰了,a'le'tai'le
阿勒泰路,a'le'tai'lu
阿勒泰市,a'le'tai'shi
阿里木,a'li'mu
阿里木江,a'li'mu'jiang
阿丽亚,a'li'ya
阿罗十八品,a'luo'shi'ba'pin
阿曼古丽,a'man'gu'li
阿米娜,a'mi'na
阿米乃,a'mi'nai
阿娜尔汗,a'na'er'han
啊囊死给,a'nang'si'gei
阿诺玛,a'nuo'ma
阿斯塔纳,a'si'ta'na
阿斯亚,a'si'ya
阿图什,a'tu'shi
阿瓦提,a'wa'ti
阿魏菇,a'wei'gu
阿依古丽,a'yi'gu'li
阿依努尔,a'yi'nu'er
阿依夏木,a'yi'xia'mu
阿孜古丽,a'zi'gu'li
艾比湖,ai'bi'hu
爱的礼物,ai'de'li'wu
艾丁湖,ai'ding'hu
艾尔肯,ai'er'ken
艾海提,ai'hai'ti
艾合买提,ai'he'mai'ti
艾合买提江,ai'he'mai'ti'jiang
爱家超市,ai'jia'chao'shi
艾克拜尔,ai'ke'bai'er
爱来白来,ai'lai'bai'lai
艾力,ai'li
艾力江,ai'li'jiang
艾买提,ai'mai'ti
艾尼瓦尔,ai'ni'wa'er
艾沙,ai'sha
艾山,ai'shan
艾山江,ai'shan'jiang
爱尚鲜,ai'shang'xian
艾斯卡尔,ai'si'ka'er
艾维尔沟,ai'wei'er'gou
哎西吧,ai'xi'ba
艾则孜,ai'ze'zi
艾孜买提,ai'zi'mai'ti
安明亮,an'ming'liang
安宁渠,an'ning'qu
安全厅,an'quan'ting
嗷嚎,ao'hao
嗷吼,ao'hou
