爱尔维修,ai'er'wei'xiu
爱尔维修和贝卡利亚,ai'er'wei'xiu'he'bei'ka'li'ya
巴甫洛夫的,ba'fu'luo'fu'de
巴甫洛夫的原理,ba'fu'luo'fu'de'yuan'li
巴甫洛夫的原理是这样,ba'fu'luo'fu'de'yuan'li'shi'zhe'yang
巴甫洛夫讲的,ba'fu'luo'fu'jiang'de
巴甫洛夫原理时,ba'fu'luo'fu'yuan'li'shi
把联想原理,ba'lian'xiang'yuan'li
包含的快乐,bao'han'de'kuai'le
包含着快乐,bao'han'zhe'kuai'le
贝卡利亚,bei'ka'li'ya
比较新近的,bi'jiao'xin'jin'de
比刑罚严厉重要,bi'xing'fa'yan'li'zhong'yao
边泌的功绩,bian'mi'de'gong'ji
边沁把它归功于,bian'qin'ba'ta'gui'gong'yu
边沁不仅主张,bian'qin'bu'jin'zhu'zhang
边沁和他的,bian'qin'he'ta'de
边沁及其,bian'qin'ji'qi
边沁是,bian'qin'shi
边沁提倡,bian'qin'ti'chang
边沁主张,bian'qin'zhu'zhang
边沁追随,bian'qin'zhui'sui
便是痛苦,bian'shi'tong'ku
并不是什么新东西,bing'bu'shi'shen'me'xin'dong'xi
并不算专门,bing'bu'suan'zhuan'men
丙反应,bing'fan'ying
丙换成观念,bing'huan'cheng'guan'nian
不过普利斯特里,bu'guo'pu'li'si'te'li
不过他是,bu'guo'ta'shi
不如说是,bu'ru'shuo'shi
不是因为我们,bu'shi'yin'wei'wo'men
不在于该学说本身,bu'zai'yu'gai'xue'shuo'ben'shen
仓猝地,cang'cu'di
操心去发表,cao'xin'qu'fa'biao
产生丙反应,chan'sheng'bing'fan'ying
常常不肯判罪,chang'chang'bu'ken'pan'zui
超过快乐的盈余,chao'guo'kuai'le'de'ying'yu
超过痛苦的,chao'guo'tong'ku'de
超过痛苦的盈余,chao'guo'tong'ku'de'ying'yu
除极恶犯外,chu'ji'e'fan'wai
纯粹心理,chun'cui'xin'li
从科学上讲,cong'ke'xue'shang'jiang
存在的理由,cun'zai'de'li'you
存在着,cun'zai'zhe
大家虽然承认,da'jia'sui'ran'cheng'ren
大家意料当中,da'jia'yi'liao'dang'zhong
大于另一种事态,da'yu'ling'yi'zhong'shi'tai
但是除非,dan'shi'chu'fei
但是他从来不,dan'shi'ta'cong'lai'bu
但是他们,dan'shi'ta'men
但是直到,dan'shi'zhi'dao
当时在英国,dang'shi'zai'ying'guo
当同义词使用,dang'tong'yi'ci'shi'yong
当作心理学,dang'zuo'xin'li'xue
到了苦痛的程度,dao'le'ku'tong'de'cheng'du
到尼采,dao'ni'cai
到最后即使,dao'zui'hou'ji'shi
的承认,de'cheng'ren
的法典,de'fa'dian
的公认领袖,de'gong'ren'ling'xiu
的广度,de'guang'du
德国浪漫主义者,de'guo'lang'man'zhu'yi'zhe
德国人的影响,de'guo'ren'de'ying'xiang
的基本原理,de'ji'ben'yuan'li
的来源,de'lai'yuan
的联合,de'lian'he
的领袖,de'ling'xiu
的那种人,de'na'zhong'ren
的朋友们,de'peng'you'men
的前驱,de'qian'qu
的社会制度,de'she'hui'zhi'du
的同时屡次,de'tong'shi'lv'ci
的问题是,de'wen'ti'shi
的一个方法,de'yi'ge'fang'fa
的影响很深,de'ying'xiang'hen'shen
的著作中,de'zhu'zuo'zhong
动物在受到,dong'wu'zai'shou'dao
都是被他,dou'shi'bei'ta
都是从洛克,dou'shi'cong'luo'ke
都是正确的,dou'shi'zheng'que'de
对边沁来说,dui'bian'qin'lai'shuo
对此倒没有特别资格,dui'ci'dao'mei'you'te'bie'zi'ge
对一切犯罪,dui'yi'qie'fan'zui
多大影响的人,duo'da'ying'xiang'de'ren
而观念联合却,er'guan'nian'lian'he'que
而观念联合则是,er'guan'nian'lian'he'ze'shi
而且主张,er'qie'zhu'zhang
而在于他把它,er'zai'yu'ta'ba'ta
发表的东西,fa'biao'de'dong'xi
发展到,fa'zhan'dao
仿佛某人,fang'fu'mou'ren
方面的事,fang'mian'de'shi
防止犯罪,fang'zhi'fan'zui
费希特和,fei'xi'te'he
废止死刑,fei'zhi'si'xing
该学说,gai'xue'shuo
个人的利益,ge'ren'de'li'yi
给种种,gei'zhong'zhong
更广地说,geng'guang'de'shuo
公众利益的,gong'zhong'li'yi'de
固然受康德,gu'ran'shou'kang'de
观念和语言,guan'nian'he'yu'yan
观念联合,guan'nian'lian'he
观念联合原理,guan'nian'lian'he'yuan'li
观念与观念的联合,guan'nian'yu'guan'nian'de'lian'he
关于德国人,guan'yu'de'guo'ren
广度问题,guang'du'wen'ti
哈契逊,ha'qi'xun
哈特里,ha'te'li
哈特里原理,ha'te'li'yuan'li
哈特里在,ha'te'li'zai
还承认,hai'cheng'ren
汉密尔顿爵士,han'mi'er'dun'jue'shi
毫无疑问条件反射,hao'wu'yi'wen'tiao'jian'fan'she
和卡莱尔,he'ka'lai'er
和社会的,he'she'hui'de
会自动使人,hui'zi'dong'shi'ren
或者痛苦,huo'zhe'tong'ku
积极地应用到,ji'ji'de'ying'yong'dao
急进主义,ji'jin'zhu'yi
急进主义者,ji'jin'zhu'yi'zhe
即由乙刺激,ji'you'yi'ci'ji
即最大幸福原理,ji'zui'da'xing'fu'yuan'li
甲刺激,jia'ci'ji
甲刺激也会产生,jia'ci'ji'ye'hui'chan'sheng
加给它的,jia'ji'ta'de
结果被人称作,jie'guo'bei'ren'cheng'zuo
结果陪审员们,jie'guo'pei'shen'yuan'men
杰罗密,jie'luo'mi
精神现象,jing'shen'xian'xiang
就包含有这个学说,jiu'bao'han'you'zhe'ge'xue'shuo
就抱这个看法,jiu'bao'zhe'ge'kan'fa
就成了,jiu'cheng'le
就是必要的了,jiu'shi'bi'yao'de'le
就像某些,jiu'xiang'mou'xie
居这类运动首位,ju'zhe'lei'yun'dong'shou'wei
决定论很重要,jue'ding'lun'hen'zhong'yao
决定这种事,jue'ding'zhe'zhong'shi
康德的著作,kang'de'de'zhu'zuo
柯勒律治,ke'le'lv'zhi
可怜的康德,ke'lian'de'kang'de
夸大了,kua'da'le
快乐或幸福,kuai'le'huo'xing'fu
来惩治,lai'cheng'zhi
了这个范围,le'zhe'ge'fan'wei
立法者的职责,li'fa'zhe'de'zhi'ze
例如洛克,li'ru'luo'ke
利益一致,li'yi'yi'zhi
联想原理,lian'xiang'yuan'li
两个原理,liang'ge'yuan'li
