阿米卡星,a'mi'ka'xing
阿莫西林,a'mo'xi'lin
阿奇霉素,a'qi'mei'su
氨苄西林,an'bian'xi'lin
氨甲苯酸,an'jia'ben'suan
安痛定,an'tong'ding
奥美拉唑,ao'mei'la'zuo
奥硝唑,ao'xiao'zuo
苯乙哌啶,ben'yi'pai'ding
布洛芬,bu'luo'fen
大黄苏打,da'huang'su'da
大黄苏打片,da'huang'su'da'pian
达力欣,da'li'xin
地芬诺酯,di'fen'nuo'zhi
丁胺卡那霉素,ding'an'ka'na'mei'su
对乙酰氨基酚,dui'yi'xian'an'ji'fen
法莫替丁,fa'mo'ti'ding
芬必得,fen'bi'de
酚磺乙胺,fen'huang'yi'an
酚酞,fen'tai
复方氨基比林,fu'fang'an'ji'bi'lin
氟嗪酸,fu'qin'suan
果导,guo'dao
缓士芬,huan'shi'fen
加替沙星,jia'ti'sha'xing
甲氧氯普胺,jia'yang'lv'pu'an
凯复定,kai'fu'ding
克拉霉素,ke'la'mei'su
来立信,lai'li'xin
兰索拉唑,lan'suo'la'zuo
雷米封,lei'mi'feng
雷尼替丁,lei'ni'ti'ding
利福平胶囊,li'fu'ping'jiao'nang
立止血,li'zhi'xue
联苯双酯,lian'ben'shuang'zhi
柳氮磺胺吡啶,liu'dan'huang'an'bi'ding
硫糖铝,liu'tang'lv
洛哌丁胺,luo'pai'ding'an
铝碳酸镁,lv'tan'suan'mei
吗丁啉,ma'ding'lin
马斯平,ma'si'ping
哌拉西林,pai'la'xi'lin
哌仑西平,pai'lun'xi'ping
普鲁苯辛,pu'lu'ben'xin
庆大霉素,qing'da'mei'su
山莨菪碱,shan'lang'dang'jian
思密达,si'mi'da
头孢氨苄,tou'bao'an'bian
头孢吡肟,tou'bao'bi'wo
头孢呋辛,tou'bao'fu'xin
头孢克肟,tou'bao'ke'wo
头孢哌酮舒巴坦钠,tou'bao'pai'tong'shu'ba'tan'na
头孢曲松钠,tou'bao'qu'song'na
头孢噻肟,tou'bao'sai'wo
头孢他定,tou'bao'ta'ding
头孢唑啉,tou'bao'zuo'lin
胃达喜,wei'da'xi
胃复安,wei'fu'an
西力欣,xi'li'xin
西咪替丁,xi'mi'ti'ding
希舒美,xi'shu'mei
先锋号,xian'feng'hao
先锋霉素,xian'feng'mei'su
消炎痛,xiao'yan'tong
溴丙胺太林,xiu'bing'an'tai'lin
血凝酶,xue'ning'mei
氧氟沙星,yang'fu'sha'xing
乙胺丁醇,yi'an'ding'chun
易蒙停,yi'meng'ting
异烟肼,yi'yan'jing
吲哚美辛,yin'duo'mei'xin
止血芳酸,zhi'xue'fang'suan
止血敏,zhi'xue'min
左氧氟沙星,zuo'yang'fu'sha'xing
