胺碘酮,an'dian'tong
氨基酸,an'ji'suan
巴德吉亚利二氏综合征,ba'de'ji'ya'li'er'shi'zong'he'zheng
白血病骨髓移植,bai'xue'bing'gu'sui'yi'zhi
保质期,bao'zhi'qi
本能行为,ben'neng'xing'wei
臂丛,bi'cong
变性,bian'xing
病窦综合征,bing'dou'zong'he'zheng
病毒包涵体,bing'du'bao'han'ti
病理,bing'li
部位器官,bu'wei'qi'guan
肠梗阻,chang'geng'zu
肠管破裂,chang'guan'po'lie
肠结核,chang'jie'he
超滤液吸收,chao'lv'ye'xi'shou
成人疝修补术,cheng'ren'shan'xiu'bu'shu
纯化酶抑制剂,chun'hua'mei'yi'zhi'ji
大白肾,da'bai'shen
代酸,dai'suan
单纯扩散通透性,dan'chun'kuo'san'tong'tou'xing
胆道感染并发症,dan'dao'gan'ran'bing'fa'zheng
单核巨噬细胞,dan'he'ju'shi'xi'bao
单核细胞,dan'he'xi'bao
胆红素代谢,dan'hong'su'dai'xie
胆碱酯酶复能药抗胆碱能药,dan'jian'zhi'mei'fu'neng'yao'kang'dan'jian'neng'yao
胆汁酸盐,dan'zhi'suan'yan
胆汁性肝硬化,dan'zhi'xing'gan'ying'hua
等渗,deng'shen
第二信使,di'er'xin'shi
地塞米松抑制试验,di'sai'mi'song'yi'zhi'shi'yan
动脉导管未闭,dong'mai'dao'guan'wei'bi
动态心电图,dong'tai'xin'dian'tu
窦缓,dou'huan
断肢再植,duan'zhi'zai'zhi
多发性骨髓瘤,duo'fa'xing'gu'sui'liu
多肽氨基酸测定,duo'tai'an'ji'suan'ce'ding
二闭病因,er'bi'bing'yin
二尖瓣脱垂,er'jian'ban'tuo'chui
二狭二闭主狭主闭,er'xia'er'bi'zhu'xia'zhu'bi
放射性标记,fang'she'xing'biao'ji
房速,fang'su
肺癌流行病学,fei'ai'liu'xing'bing'xue
肺癌手术禁忌,fei'ai'shou'shu'jin'ji
非霍奇金淋巴瘤,fei'huo'qi'jin'lin'ba'liu
肺结核治疗,fei'jie'he'zhi'liao
肺气肿,fei'qi'zhong
肺下界肋间位置,fei'xia'jie'lei'jian'wei'zhi
肺心病呼衰氧疗,fei'xin'bing'hu'shuai'yang'liao
肺心病诱发心衰,fei'xin'bing'you'fa'xin'shuai
肺炎抗生素,fei'yan'kang'sheng'su
非阵发性交界性,fei'zhen'fa'xing'jiao'jie'xing
飞总量,fei'zong'liang
分泌蛋白进入内质网,fen'mi'dan'bai'jin'ru'nei'zhi'wang
风湿性疾病,feng'shi'xing'ji'bing
风心病,feng'xin'bing
腹部损伤手术,fu'bu'sun'shang'shou'shu
腹部异常肿块,fu'bu'yi'chang'zhong'kuai
腹股沟管解剖,fu'gu'gou'guan'jie'pou
腹股沟疝解剖,fu'gu'gou'shan'jie'pou
负荷对横桥的影响,fu'he'dui'heng'qiao'de'ying'xiang
腹膜间内外位,fu'mo'jian'nei'wai'wei
腹腔间隔室综合征,fu'qiang'jian'ge'shi'zong'he'zheng
腹水少时,fu'shui'shao'shi
腹外疝腹部损伤急腹症,fu'wai'shan'fu'bu'sun'shang'ji'fu'zheng
复杂尿感,fu'za'niao'gan
腹主动脉瘤,fu'zhu'dong'mai'liu
肝胆胰脾血管外科,gan'dan'yi'pi'xue'guan'wai'ke
肝动脉瘤,gan'dong'mai'liu
肝脾破裂,gan'pi'po'lie
感染性心内膜炎,gan'ran'xing'xin'nei'mo'yan
感染性休克,gan'ran'xing'xiu'ke
肝肾综合征,gan'shen'zong'he'zheng
肝生化,gan'sheng'hua
感受器视网膜,gan'shou'qi'shi'wang'mo
感受器通路,gan'shou'qi'tong'lu
肝细胞肝癌,gan'xi'bao'gan'ai
肝性脑病肝切除,gan'xing'nao'bing'gan'qie'chu
肝星状细胞,gan'xing'zhuang'xi'bao
肝炎后肝硬化,gan'yan'hou'gan'ying'hua
肝硬化,gan'ying'hua
肝脏移植,gan'zang'yi'zhi
干燥综合征,gan'zao'zong'he'zheng
肛门部鲜血,gang'men'bu'xian'xue
高动力循环状态,gao'dong'li'xun'huan'zhuang'tai
高血压治疗目标,gao'xue'ya'zhi'liao'mu'biao
高血脂治疗,gao'xue'zhi'zhi'liao
膈下脓肿切开引流,ge'xia'nong'zhong'qie'kai'yin'liu
膈下脓肿诊断,ge'xia'nong'zhong'zhen'duan
肱骨干骨折,gong'gu'gan'gu'zhe
肱骨外上髁炎,gong'gu'wai'shang'ke'yan
钩椎关节,gou'zhui'guan'jie
股骨干骨折,gu'gu'gan'gu'zhe
股骨髁上骨折,gu'gu'ke'shang'gu'zhe
股骨头骨软骨病,gu'gu'tou'gu'ruan'gu'bing
股骨头坏死,gu'gu'tou'huai'si
骨关节结核病灶清除术,gu'guan'jie'jie'he'bing'zao'qing'chu'shu
骨关节结核好发,gu'guan'jie'jie'he'hao'fa
股管解剖,gu'guan'jie'pou
骨关节炎,gu'guan'jie'yan
孤立性房颤,gu'li'xing'fang'chan
骨软骨瘤病,gu'ruan'gu'liu'bing
股疝,gu'shan
骨髓瘤,gu'sui'liu
骨折并发症,gu'zhe'bing'fa'zheng
骨折成因,gu'zhe'cheng'yin
骨折其他部分,gu'zhe'qi'ta'bu'fen
骨折特有体征,gu'zhe'te'you'ti'zheng
骨折脱位,gu'zhe'tuo'wei
骨折愈合过程,gu'zhe'yu'he'guo'cheng
骨折总论,gu'zhe'zong'lun
硅肺,gui'fei
国际分型,guo'ji'fen'xing
含高能磷酸键,han'gao'neng'lin'suan'jian
核酶,he'mei
核酸分子杂交,he'suan'fen'zi'za'jiao
黑色素瘤,hei'se'su'liu
横纹肌收缩,heng'wen'ji'shou'suo
红黄本,hong'huang'ben
红细胞沉降率血沉,hong'xi'bao'chen'jiang'lv'xue'chen
红细胞渗透脆性,hong'xi'bao'shen'tou'cui'xing
红细胞血小板寿命,hong'xi'bao'xue'xiao'ban'shou'ming
呼吸,hu'xi
呼吸呼吸,hu'xi'hu'xi
呼吸链,hu'xi'lian
呼吸膜面积因素,hu'xi'mo'mian'ji'yin'su
呼吸兴奋剂,hu'xi'xing'fen'ji
呼吸影响,hu'xi'ying'xiang
踝部骨折,huai'bu'gu'zhe
坏死,huai'si
混合气体正常值,hun'he'qi'ti'zheng'chang'zhi
活动性消化道出血,huo'dong'xing'xiao'hua'dao'chu'xie
急进型肾炎,ji'jin'xing'shen'yan
激素半衰期,ji'su'ban'shuai'qi
激素分泌部位,ji'su'fen'mi'bu'wei
激素水平测定,ji'su'shui'ping'ce'ding
计算,ji'suan
肌无力综合症,ji'wu'li'zong'he'zheng
机械通气,ji'xie'tong'qi
急性腹膜炎,ji'xing'fu'mo'yan
急性腹膜炎手术指征,ji'xing'fu'mo'yan'shou'shu'zhi'zheng
急性腐蚀性胃炎,ji'xing'fu'shi'xing'wei'yan
急性梗阻性胆管炎,ji'xing'geng'zu'xing'dan'guan'yan
急性肾衰多尿期临床,ji'xing'shen'shuai'duo'niao'qi'lin'chuang
急性肾衰多尿期治疗,ji'xing'shen'shuai'duo'niao'qi'zhi'liao
急性肾炎,ji'xing'shen'yan
急性胃炎,ji'xing'wei'yan
挤压综合征,ji'ya'zong'he'zheng
基因诊断,ji'yin'zhen'duan
基因治疗,ji'yin'zhi'liao
基因转移真核细胞转染,ji'yin'zhuan'yi'zhen'he'xi'bao'zhuan'ran
脊柱侧凸,ji'zhu'ce'tu
甲亢治疗停药指针,jia'kang'zhi'liao'ting'yao'zhi'zhen
甲状旁腺素,jia'zhuang'pang'xian'su
甲状腺舌管囊肿,jia'zhuang'xian'she'guan'nang'zhong
甲状腺素合成先天性甲状腺垂体,jia'zhuang'xian'su'he'cheng'xian'tian'xing'jia'zhuang'xian'chui'ti
肩关节脱位,jian'guan'jie'tuo'wei
肩关节旋转肌袖,jian'guan'jie'xuan'zhuan'ji'xiu
降压方案,jiang'ya'fang'an
交感缩血管纤维,jiao'gan'suo'xue'guan'xian'wei
交界性肿瘤,jiao'jie'xing'zhong'liu
阶段特异性,jie'duan'te'yi'xing
结核性胸腹脑膜炎,jie'he'xing'xiong'fu'nao'mo'yan
结核性胸膜炎,jie'he'xing'xiong'mo'yan
结节性甲状腺肿甲状腺瘤,jie'jie'xing'jia'zhuang'xian'zhong'jia'zhuang'xian'liu
解剖复位功能复位,jie'pou'fu'wei'gong'neng'fu'wei
金属辅助因子,jin'shu'fu'zhu'yin'zi
胫骨结节骨软骨病,jing'gu'jie'jie'gu'ruan'gu'bing
静脉回心血量,jing'mai'hui'xin'xue'liang
静息电位,jing'xi'dian'wei
九区分法,jiu'qu'fen'fa
聚合酶链反应,ju'he'mei'lian'fan'ying
局麻药,ju'ma'yao
绝对不应期,jue'dui'bu'ying'qi
可发生穿孔,ke'fa'sheng'chuan'kong
可有乳头内陷的疾病,ke'you'ru'tou'nei'xian'de'ji'bing
空腔破裂,kong'qiang'po'lie
喹巴因,kui'ba'yin
扩散速率,kuo'san'su'lv
扩散速率肺扩散容量,kuo'san'su'lv'fei'kuo'san'rong'liang
扩张型心肌病肥厚性心肌病,kuo'zhang'xing'xin'ji'bing'fei'hou'xing'xin'ji'bing
阑尾炎,lan'wei'yan
