不完全竞争论,bu'wan'quan'jing'zheng'lun
财政统借统还国外贷款,cai'zheng'tong'jie'tong'hai'guo'wai'dai'kuan
差别待遇,cha'bie'dai'yu
产品生产周期论,chan'pin'sheng'chan'zhou'qi'lun
产品周期说,chan'pin'zhou'qi'shuo
代位权,dai'wei'quan
帝国主义资本输出论,di'guo'zhu'yi'zi'ben'shu'chu'lun
地缘经营模式论,di'yuan'jing'ying'mo'shi'lun
东道国经济评价,dong'dao'guo'jing'ji'ping'jia
东道国市场预测,dong'dao'guo'shi'chang'yu'ce
东道国文化评价,dong'dao'guo'wen'hua'ping'jia
对外承包工程,dui'wai'cheng'bao'gong'cheng
对外投资,dui'wai'tou'zi
对外投资风险预测,dui'wai'tou'zi'feng'xian'yu'ce
对外投资规模,dui'wai'tou'zi'gui'mo
对外投资结构,dui'wai'tou'zi'jie'gou
多边官方贷款,duo'bian'guan'fang'dai'kuan
多边投资公约,duo'bian'tou'zi'gong'yue
分享股权贷款,fen'xiang'gu'quan'dai'kuan
购买美国,gou'mai'mei'guo
鼓励性控制,gu'li'xing'kong'zhi
寡头论,gua'tou'lun
官方发展资金融通,guan'fang'fa'zhan'zi'jin'rong'tong
国际贷款,guo'ji'dai'kuan
国际官方贷款,guo'ji'guan'fang'dai'kuan
国际间接投资,guo'ji'jian'jie'tou'zi
国际经济组织贷款,guo'ji'jing'ji'zu'zhi'dai'kuan
国际劳动力指向型投资,guo'ji'lao'dong'li'zhi'xiang'xing'tou'zi
国际灵活方式投资,guo'ji'ling'huo'fang'shi'tou'zi
国际贸易租赁,guo'ji'mao'yi'zu'lin
国际商务,guo'ji'shang'wu
国际商业银行贷款,guo'ji'shang'ye'yin'hang'dai'kuan
国际生产,guo'ji'sheng'chan
国际生产折衷论,guo'ji'sheng'chan'zhe'zhong'lun
国际市场指向型投资,guo'ji'shi'chang'zhi'xiang'xing'tou'zi
国际私人贷款,guo'ji'si'ren'dai'kuan
国际投资,guo'ji'tou'zi
国际投资财务风险,guo'ji'tou'zi'cai'wu'feng'xian
国际投资风险,guo'ji'tou'zi'feng'xian
国际投资环境,guo'ji'tou'zi'huan'jing
