闭合差,bi'he'cha
比例尺,bi'li'chi
边长中误差,bian'chang'zhong'wu'cha
编图,bian'tu
测绘标准,ce'hui'biao'zhun
测绘学,ce'hui'xue
测绘仪器,ce'hui'yi'qi
测角中误差,ce'jiao'zhong'wu'cha
测距仪,ce'ju'yi
测量标志,ce'liang'biao'zhi
测量觇标,ce'liang'chan'biao
测量规范,ce'liang'gui'fan
测量平差,ce'liang'ping'cha
常差,chang'cha
粗差,cu'cha
大地测量学,da'di'ce'liang'xue
大地测量仪器,da'di'ce'liang'yi'qi
大地控制数据库,da'di'kong'zhi'shu'ju'ku
大地原点,da'di'yuan'dian
等高距,deng'gao'ju
等高线,deng'gao'xian
地籍信息系统,di'ji'xin'xi'xi'tong
地理信息系统,di'li'xin'xi'xi'tong
地理坐标参考系,di'li'zuo'biao'can'kao'xi
地理坐标网,di'li'zuo'biao'wang
地名,di'ming
地名数据库,di'ming'shu'ju'ku
地名学,di'ming'xue
地球椭球,di'qiu'tuo'qiu
地球形状,di'qiu'xing'zhuang
地球仪,di'qiu'yi
地图,di'tu
地图编制,di'tu'bian'zhi
地图复制,di'tu'fu'zhi
地图规范,di'tu'gui'fan
地图集,di'tu'ji
地图利用,di'tu'li'yong
地图量算,di'tu'liang'suan
地图生产,di'tu'sheng'chan
地图数据库,di'tu'shu'ju'ku
地图数据库管理系统,di'tu'shu'ju'ku'guan'li'xi'tong
地图投影,di'tu'tou'ying
地图学,di'tu'xue
地图印刷,di'tu'yin'shua
地图制图学,di'tu'zhi'tu'xue
地心坐标系,di'xin'zuo'biao'xi
地形数据库,di'xing'shu'ju'ku
地形图,di'xing'tu
地形图图式,di'xing'tu'tu'shi
点位中误差,dian'wei'zhong'wu'cha
定位系统,ding'wei'xi'tong
多余观测,duo'yu'guan'ce
方里网,fang'li'wang
方位角中误差,fang'wei'jiao'zhong'wu'cha
非地形摄影测量,fei'di'xing'she'ying'ce'liang
高程基准,gao'cheng'ji'zhun
高程系统,gao'cheng'xi'tong
高程中误差,gao'cheng'zhong'wu'cha
工程测量学,gong'cheng'ce'liang'xue
惯性测量系统,guan'xing'ce'liang'xi'tong
国际测绘联合会,guo'ji'ce'hui'lian'he'hui
国际测量师联合会,guo'ji'ce'liang'shi'lian'he'hui
国际大地测量学协会,guo'ji'da'di'ce'liang'xue'xie'hui
国际大地测量学与地球物理学,guo'ji'da'di'ce'liang'xue'yu'di'qiu'wu'li'xue
国际地图学协会,guo'ji'di'tu'xue'xie'hui
国际海道测量组织,guo'ji'hai'dao'ce'liang'zu'zhi
国际摄影测量与遥感学会,guo'ji'she'ying'ce'liang'yu'yao'gan'xue'hui
国土基础信息系统,guo'tu'ji'chu'xin'xi'xi'tong
海拔,hai'ba
海军导航卫星系统,hai'jun'dao'hang'wei'xing'xi'tong
海洋测绘,hai'yang'ce'hui
航空航天摄影,hang'kong'hang'tian'she'ying
航空摄影测量,hang'kong'she'ying'ce'liang
航空遥感,hang'kong'yao'gan
航天摄影测量,hang'tian'she'ying'ce'liang
航天遥感,hang'tian'yao'gan
黄海平均海,huang'hai'ping'jun'hai
基本比例尺,ji'ben'bi'li'chi
机助地图制图,ji'zhu'di'tu'zhi'tu
解析摄影测量,jie'xi'she'ying'ce'liang
解译,jie'yi
精,jing
精度估计,jing'du'gu'ji
经纬网,jing'wei'wang
绝对误差,jue'dui'wu'cha
立体测图仪,li'ti'ce'tu'yi
邻带方里网,lin'dai'fang'li'wang
模拟摄影测量,mo'ni'she'ying'ce'liang
偶然误差,ou'ran'wu'cha
判读,pan'du
判释,pan'shi
平均海,ping'jun'hai
平面图,ping'mian'tu
普通地图,pu'tong'di'tu
全数字化自测图系统,quan'shu'zi'hua'zi'ce'tu'xi'tong
摄影测量仪器,she'ying'ce'liang'yi'qi
摄影测量与遥感学,she'ying'ce'liang'yu'yao'gan'xue
数值地型,shu'zhi'di'xing
数字地图模型,shu'zi'di'tu'mo'xing
数字摄影测量,shu'zi'she'ying'ce'liang
数字摄影测量工作站,shu'zi'she'ying'ce'liang'gong'zuo'zhan
水下摄影测量,shui'xia'she'ying'ce'liang
水准原点,shui'zhun'yuan'dian
太空摄影测量,tai'kong'she'ying'ce'liang
土地信息系统,tu'di'xin'xi'xi'tong
图像,tu'xiang
图形,tu'xing
图形输出设备,tu'xing'shu'chu'she'bei
图形输入设备,tu'xing'shu'ru'she'bei
图形显示,tu'xing'xian'shi
误差椭圆,wu'cha'tuo'yuan
系统误差,xi'tong'wu'cha
限差,xian'cha
相对误差,xiang'dui'wu'cha
遥感模式识别,yao'gan'mo'shi'shi'bie
遥感图象处理,yao'gan'tu'xiang'chu'li
遥感制图,yao'gan'zhi'tu
影像,ying'xiang
制图专家系统,zhi'tu'zhuan'jia'xi'tong
中国测绘学会,zhong'guo'ce'hui'xue'hui
中华人民共和国测绘法,zhong'hua'ren'min'gong'he'guo'ce'hui'fa
重力场,zhong'li'chang
重力基准网,zhong'li'ji'zhun'wang
重力数据库,zhong'li'shu'ju'ku
重力仪,zhong'li'yi
中误差,zhong'wu'cha
专题地图,zhuan'ti'di'tu
准确度,zhun'que'du
自动化制图,zi'dong'hua'zhi'tu
自动绘图,zi'dong'hui'tu
坐标格网,zuo'biao'ge'wang
坐标中误差,zuo'biao'zhong'wu'cha
