靶道工程测量,ba'dao'gong'cheng'ce'liang
坝址勘查,ba'zhi'kan'cha
摆动锤投影,bai'dong'chui'tou'ying
颁岔放样,ban'cha'fang'yang
贝塞尔法,bei'sai'er'fa
闭合差,bi'he'cha
闭合导线,bi'he'dao'xian
闭合水准路线,bi'he'shui'zhun'lu'xian
边垂线标定,bian'chui'xian'biao'ding
边角测量,bian'jiao'ce'liang
边交会法,bian'jiao'hui'fa
边角交会法,bian'jiao'jiao'hui'fa
边角网,bian'jiao'wang
边界角,bian'jie'jiao
边坡稳定性观测,bian'po'wen'ding'xing'guan'ce
边坡桩测设,bian'po'zhuang'ce'she
变形观测,bian'xing'guan'ce
变形观测控制网,bian'xing'guan'ce'kong'zhi'wang
标界测量,biao'jie'ce'liang
标准检定场,biao'zhun'jian'ding'chang
采剥工程断面图,cai'bo'gong'cheng'duan'mian'tu
采剥工程综合平面图,cai'bo'gong'cheng'zong'he'ping'mian'tu
采场测量,cai'chang'ce'liang
采掘场验收测量,cai'jue'chang'yan'shou'ce'liang
采掘工程平面图,cai'jue'gong'cheng'ping'mian'tu
采区测量,cai'qu'ce'liang
采区联系测量,cai'qu'lian'xi'ce'liang
草测,cao'ce
侧方交会,ce'fang'jiao'hui
测量,ce'liang
测量控制网,ce'liang'kong'zhi'wang
测量学,ce'liang'xue
测区代号,ce'qu'dai'hao
测区范围,ce'qu'fan'wei
测区名称,ce'qu'ming'cheng
测站,ce'zhan
测站归心,ce'zhan'gui'xin
沉降观测,chen'jiang'guan'ce
沉井法施工测量,chen'jing'fa'shi'gong'ce'liang
城市测量,cheng'shi'ce'liang
城市测量数据库,cheng'shi'ce'liang'shu'ju'ku
城市地形测量,cheng'shi'di'xing'ce'liang
城市地形图,cheng'shi'di'xing'tu
城市规划测量,cheng'shi'gui'hua'ce'liang
城市控制测量,cheng'shi'kong'zhi'ce'liang
初测,chu'ce
储量管理,chu'liang'guan'li
垂直角,chui'zhi'jiao
磁方位角,ci'fang'wei'jiao
磁偏角,ci'pian'jiao
磁倾角,ci'qing'jiao
磁象限角,ci'xiang'xian'jiao
磁子午线,ci'zi'wu'xian
粗略定向,cu'lue'ding'xiang
大比例尺地形图,da'bi'li'chi'di'xing'tu
大地测量,da'di'ce'liang
