阿斐,a'fei
阿奎那,a'kui'na
阿拉伯,a'la'bo
阿拉伯文,a'la'bo'wen
阿拉法,a'la'fa
阿们,a'men
阿们哈利路亚,a'men'ha'li'lu'ya
阿摩司,a'mo'si
阿摩司书,a'mo'si'shu
阿尼西母,a'ni'xi'mu
艾城,ai'cheng
艾达恩,ai'da'en
哀告,ai'gao
哀歌,ai'ge
埃及,ai'ji
埃及河,ai'ji'he
哀哭,ai'ku
爱慕你屈膝在你面前,ai'mu'ni'qu'xi'zai'ni'mian'qian
哀嫩,ai'nen
爱琴海,ai'qin'hai
埃提阿伯,ai'ti'a'bo
爱我愿意,ai'wo'yuan'yi
爱喜乐生命,ai'xi'le'sheng'ming
爱雅,ai'ya
爱雅的女儿利斯巴,ai'ya'de'nv'er'li'si'ba
爱宴,ai'yan
爱主爱人,ai'zhu'ai'ren
暗伯利罗,an'bo'li'luo
安伯若修,an'bo'ruo'xiu
安得烈,an'de'lie
暗妃波里,an'fei'bo'li
安靖,an'jing
暗拉非,an'la'fei
暗拉非作示拿王,an'la'fei'zuo'shi'na'wang
暗兰,an'lan
暗利,an'li
按立长老,an'li'zhang'lao
安曼,an'man
安密巴,an'mi'ba
暗嫩,an'nen
按时用粮,an'shi'yong'liang
按手,an'shou
安提阿,an'ti'a
安慰,an'wei
安慰受伤灵魂,an'wei'shou'shang'ling'hun
安慰者,an'wei'zhe
安息,an'xi
安息日,an'xi'ri
盎格鲁人,ang'ge'lu'ren
奥格司丁,ao'ge'si'ding
奥古斯丁,ao'gu'si'ding
熬炼我的肺腑心肠,ao'lian'wo'de'fei'fu'xin'chang
奥林帕,ao'lin'pa
奥林匹克运动会,ao'lin'pi'ke'yun'dong'hui
奥秘,ao'mi
巴比伦,ba'bi'lun
巴比伦年鉴,ba'bi'lun'nian'jian
巴别,ba'bie
巴别塔,ba'bie'ta
巴卜,ba'bu
把床榻漂起,ba'chuang'ta'piao'qi
巴旦亚兰,ba'dan'ya'lan
巴底,ba'di
巴底买,ba'di'mai
巴顿,ba'dun
巴多罗买,ba'duo'luo'mai
巴革希,ba'ge'xi
巴哈摩押,ba'ha'mo'ya
巴户琳,ba'hu'lin
巴柯,ba'ke
巴科米斯,ba'ke'mi'si
巴拉,ba'la
巴拉巴,ba'la'ba
巴拉达,ba'la'da
巴拉但,ba'la'dan
巴拉加,ba'la'jia
巴拉迦,ba'la'jia
巴拉犹大,ba'la'you'da
巴兰,ba'lan
