安装工程一切险,an'zhuang'gong'cheng'yi'qie'xian
保险,bao'xian
保险保障基金,bao'xian'bao'zhang'ji'jin
保险标的,bao'xian'biao'di
保险代理人,bao'xian'dai'li'ren
保险单,bao'xian'dan
保险法,bao'xian'fa
保险费,bao'xian'fei
保险费率,bao'xian'fei'lv
保险公司,bao'xian'gong'si
保险公证人,bao'xian'gong'zheng'ren
保险合同,bao'xian'he'tong
保险基金,bao'xian'ji'jin
保险价值,bao'xian'jia'zhi
保险金额,bao'xian'jin'e
保险经纪人,bao'xian'jing'ji'ren
保险凭证,bao'xian'ping'zheng
保险期限,bao'xian'qi'xian
保险人,bao'xian'ren
保险条款,bao'xian'tiao'kuan
保障与赔偿保险,bao'zhang'yu'pei'chang'bao'xian
被保险人,bei'bao'xian'ren
变额年金保险,bian'e'nian'jin'bao'xian
补偿原则,bu'chang'yuan'ze
不定值保险,bu'ding'zhi'bao'xian
纯益手续费,chun'yi'shou'xu'fei
大数法则,da'shu'fa'ze
大学生团体平安保险,da'xue'sheng'tuan'ti'ping'an'bao'xian
代位求偿权,dai'wei'qiu'chang'quan
单独费用,dan'du'fei'yong
单独海损,dan'du'hai'sun
盗窃保险,dao'qie'bao'xian
第一损失保险,di'yi'sun'shi'bao'xian
定期生存保险,ding'qi'sheng'cun'bao'xian
定期寿险,ding'qi'shou'xian
定值保险,ding'zhi'bao'xian
额外费用,e'wai'fei'yong
方便国旗,fang'bian'guo'qi
飞机保险,fei'ji'bao'xian
个人养老保险,ge'ren'yang'lao'bao'xian
共同保险,gong'tong'bao'xian
共同海损,gong'tong'hai'sun
共同海损理算,gong'tong'hai'sun'li'suan
公众责任保险,gong'zhong'ze'ren'bao'xian
过失责任,guo'shi'ze'ren
海上保险,hai'shang'bao'xian
海上石油勘探开发保险,hai'shang'shi'you'kan'tan'kai'fa'bao'xian
海洋运输货物保险,hai'yang'yun'shu'huo'wu'bao'xian
核电站保险,he'dian'zhan'bao'xian
和约再保险,he'yue'zai'bao'xian
红利制度,hong'li'zhi'du
换算表,huan'suan'biao
婚嫁金保险,hun'jia'jin'bao'xian
火灾保险,huo'zai'bao'xian
疾病保险,ji'bing'bao'xian
机动车辆保险,ji'dong'che'liang'bao'xian
机器损坏保险,ji'qi'sun'huai'bao'xian
家庭财产保险,jia'ting'cai'chan'bao'xian
简易人身保险,jian'yi'ren'shen'bao'xian
建筑工程一切险,jian'zhu'gong'cheng'yi'qie'xian
近因,jin'yin
救助费用,jiu'zhu'fei'yong
