埃殆为病,ai'dai'wei'bing
艾封人之子也,ai'feng'ren'zhi'zi'ye
哀公异日以告闵子曰,ai'gong'yi'ri'yi'gao'min'zi'yue
哀公曰,ai'gong'yue
爱己而造哀也,ai'ji'er'zao'ai'ye
爱利出乎仁义,ai'li'chu'hu'ren'yi
爱民,ai'min
爱人利物之谓仁,ai'ren'li'wu'zhi'wei'ren
爱使其形者也,ai'shi'qi'xing'zhe'ye
爱以身于为天下,ai'yi'shen'yu'wei'tian'xia
哀又继之,ai'you'ji'zhi
哀乐不能入也,ai'yue'bu'neng'ru'ye
哀乐不易施乎前,ai'yue'bu'yi'shi'hu'qian
哀乐之来,ai'yue'zhi'lai
哀之末也,ai'zhi'mo'ye
爱之所以成,ai'zhi'suo'yi'cheng
爱之则亲,ai'zhi'ze'qin
安藏人心,an'cang'ren'xin
安得而至焉,an'de'er'zhi'yan
黯而不明,an'er'bu'ming
安化安不化,an'hua'an'bu'hua
案剑嗔目,an'jian'chen'mu
安可解,an'ke'jie
安可久长也,an'ke'jiu'chang'ye
安能化人,an'neng'hua'ren
安能治人,an'neng'zhi'ren
安排而去化,an'pai'er'qu'hua
安其居,an'qi'ju
安取道,an'qu'dao
安取仁义,an'qu'ren'yi
安时而处顺,an'shi'er'chu'shun
安所困苦哉,an'suo'kun'ku'zai
安往而不爱哉,an'wang'er'bu'ai'zai
安危相易,an'wei'xiang'yi
暗意物也,an'yi'wu'ye
安用礼乐,an'yong'li'yue
安与之相靡,an'yu'zhi'xiang'mi
安知夫子之犹若是也,an'zhi'fu'zi'zhi'you'ruo'shi'ye
安知我不知鱼之乐,an'zhi'wo'bu'zhi'yu'zhi'le
案之无下,an'zhi'wu'xia
案之亦无下,an'zhi'yi'wu'xia
安知鱼之乐,an'zhi'yu'zhi'le
鏊乎大哉,ao'hu'da'zai
鏊乎其未可制也,ao'hu'qi'wei'ke'zhi'ye
骜然不顾,ao'ran'bu'gu
翱翔蓬蒿之间,ao'xiang'peng'hao'zhi'jian
罢兵休卒,ba'bing'xiu'zu
拔出公忠之属,ba'chu'gong'zhong'zhi'shu
拔举而不失其能,ba'ju'er'bu'shi'qi'neng
八年而不知死不知生,ba'nian'er'bu'zhi'si'bu'zhi'sheng
八年七旱,ba'nian'qi'han
八千岁为秋,ba'qian'sui'wei'qiu
八窍者卵生,ba'qiao'zhe'luan'sheng
八者俱过人也,ba'zhe'ju'guo'ren'ye
白波若山,bai'bo'ruo'shan
百步一饮,bai'bu'yi'yin
百材皆度,bai'cai'jie'du
百川灌河,bai'chuan'guan'he
百工有器械之巧则壮,bai'gong'you'qi'xie'zhi'qiao'ze'zhuang
白公争而灭,bai'gong'zheng'er'mie
白狗黑,bai'gou'hei
百官以此相齿,bai'guan'yi'ci'xiang'chi
百骸,bai'hai
百家往而不反,bai'jia'wang'er'bu'fan
百家之学时或称道之,bai'jia'zhi'xue'shi'huo'cheng'dao'zhi
柏矩学于老聃,bai'ju'xue'yu'lao'dan
百里奚爵禄不入于心,bai'li'xi'jue'lu'bu'ru'yu'xin
百年之木,bai'nian'zhi'mu
白刃交于前,bai'ren'jiao'yu'qian
百姓淫乱,bai'xing'yin'luan
百姓悦之,bai'xing'yue'zhi
白玉不毁,bai'yu'bu'hui
百余重研而不敢息,bai'yu'zhong'yan'er'bu'gan'xi
抱德炀和,bao'de'yang'he
苞裹六极,bao'guo'liu'ji
鲍焦饰行非世抱木而死,bao'jiao'shi'xing'fei'shi'bao'mu'er'si
报孔子,bao'kong'zi
葆力之士也,bao'li'zhi'shi'ye
抱梁柱而死,bao'liang'zhu'er'si
抱木而播死,bao'mu'er'bo'si
抱其天乎,bao'qi'tian'hu
曝然放杖而笑,bao'ran'fang'zhang'er'xiao
抱汝生,bao'ru'sheng
抱神以静,bao'shen'yi'jing
饱食而敖游,bao'shi'er'ao'you
鲍叔牙,bao'shu'ya
抱瓮而出灌,bao'weng'er'chu'guan
豹养其内而虎食其外,bao'yang'qi'nei'er'hu'shi'qi'wai
包以四夷,bao'yi'si'yi
胞有重阆,bao'you'zhong'lang
宝之至也,bao'zhi'zhi'ye
鲍子立干,bao'zi'li'gan
倍阿蛙蛰跃之,bei'a'wa'zhe'yue'zhi
卑而不可不因者,bei'er'bu'ke'bu'yin'zhe
被发行歌而游于塘下,bei'fa'xing'ge'er'you'yu'tang'xia
被发揄袂,bei'fa'yu'mei
北方之贤者也,bei'fang'zhi'xian'zhe'ye
悲夫,bei'fu
背负青天而莫之夭厄者,bei'fu'qing'tian'er'mo'zhi'yao'e'zhe
北宫奢为卫灵公赋敛以为钟,bei'gong'she'wei'wei'ling'gong'fu'lian'yi'wei'zhong
北海若曰,bei'hai'ruo'yue
北海之帝为忽,bei'hai'zhi'di'wei'hu
悲乐者,bei'le'zhe
北门成问于黄帝曰,bei'men'cheng'wen'yu'huang'di'yue
北面而不见冥山,bei'mian'er'bu'jian'ming'shan
北面而问曰,bei'mian'er'wen'yue
北面之祸也,bei'mian'zhi'huo'ye
北冥有鱼,bei'ming'you'yu
背逡巡,bei'qun'xun
北人无择曰,bei'ren'wu'ze'yue
背若泰山,bei'ruo'tai'shan
卑身而伏,bei'shen'er'fu
北使齐鲁,bei'shi'qi'lu
备物以将形,bei'wu'yi'jiang'xing
惫也,bei'ye
被衣大说,bei'yi'da'shuo
被衣曰,bei'yi'yue
悲哉乎,bei'zai'hu
奔蜂不能化藿躅,ben'feng'bu'neng'hua'huo'zhu
本乎天,ben'hu'tian
贲骄而不可系者,ben'jiao'er'bu'ke'xi'zhe
本在于上,ben'zai'yu'shang
彼必啮啮挽裂,bi'bi'nie'nie'wan'lie
彼必相与异其好恶,bi'bi'xiang'yu'yi'qi'hao'e
彼不得梦,bi'bu'de'meng
必不合矣,bi'bu'he'yi
必不胜任矣,bi'bu'sheng'ren'yi
彼曾史杨墨师旷工捶离朱,bi'ceng'shi'yang'mo'shi'kuang'gong'chui'li'zhu
必察其所以之与其所以为,bi'cha'qi'suo'yi'zhi'yu'qi'suo'yi'wei
鼻彻为颤,bi'che'wei'chan
必持其名,bi'chi'qi'ming
必出乎无有,bi'chu'hu'wu'you
彼出于是,bi'chu'yu'shi
彼得全于酒而犹若是,bi'de'quan'yu'jiu'er'you'ruo'shi
彼恶得而鬻之,bi'e'de'er'yu'zhi
彼恶得而知之,bi'e'de'er'zhi'zhi
彼方且与造物者为人,bi'fang'qie'yu'zao'wu'zhe'wei'ren
彼非以兴名誉也,bi'fei'yi'xing'ming'yu'ye
彼非至人,bi'fei'zhi'ren
必分其能,bi'fen'qi'neng
必服恭俭,bi'fu'gong'jian
彼富则人归之,bi'fu'ze'ren'gui'zhi
比干戮,bi'gan'lu
比干剖,bi'gan'pou
比干剖心,bi'gan'pou'xin
彼固惑而来矣,bi'gu'huo'er'lai'yi
彼故使彼,bi'gu'shi'bi
彼故鬻之,bi'gu'yu'zhi
彼故知之,bi'gu'zhi'zhi
必归其天,bi'gui'qi'tian
彼何宾宾以学子为,bi'he'bin'bin'yi'xue'zi'wei
彼何人哉,bi'he'ren'zai
彼何人者邪,bi'he'ren'zhe'xie
彼何为者也,bi'he'wei'zhe'ye
彼何暇安其性命之情哉,bi'he'xia'an'qi'xing'ming'zhi'qing'zai
彼何罪焉,bi'he'zui'yan
彼假修浑沌氏之术者也,bi'jia'xiu'hun'dun'shi'zhi'shu'zhe'ye
毕见其情事而行其所为,bi'jian'qi'qing'shi'er'xing'qi'suo'wei
彼将处乎不淫之度,bi'jiang'chu'hu'bu'yin'zhi'du
彼将内求于己而不得,bi'jiang'nei'qiu'yu'ji'er'bu'de
彼将任我以事,bi'jiang'ren'wo'yi'shi
彼教不学,bi'jiao'bu'xue
彼节者有间,bi'jie'zhe'you'jian
