八步,ba'bu
百色,bai'se
白沙,bai'sha
北部湾,bei'bu'wan
北海市,bei'hai'shi
才得,cai'de
吃粉,chi'fen
崇左,chong'zuo
崇左市,chong'zuo'shi
大沙田,da'sha'tian
大维,da'wei
代办,dai'ban
到南宁,dao'nan'ning
得钱,de'qian
电单车,dian'dan'che
东葛路,dong'ge'lu
段考,duan'kao
防城港,fang'cheng'gang
扶绥,fu'sui
扶绥县,fu'sui'xian
刚得,gang'de
广汇,guang'hui
广西,guang'xi
桂电,gui'dian
黑哦,hei'o
回南宁,hui'nan'ning
江南区,jiang'nan'qu
江州区,jiang'zhou'qu
久不久,jiu'bu'jiu
卷筒粉,juan'tong'fen
来南宁,lai'nan'ning
来喂,lai'wei
琅东,lang'dong
老友粉,lao'you'fen
乐巢,le'chao
乐满地,le'man'di
累多,lei'duo
临桂,lin'gui
隆安,long'an
龙胜,long'sheng
龙州县,long'zhou'xian
漏野,lou'ye
陆川,lu'chuan
螺蛳粉,luo'si'fen
妈黑,ma'hei
忙住,mang'zhu
蒙山,meng'shan
梦之岛,meng'zhi'dao
那凯,na'kai
那隆,na'long
南宁,nan'ning
南宁的,nan'ning'de
南宁了,nan'ning'le
南宁人,nan'ning'ren
南宁市,nan'ning'shi
你又懂,ni'you'dong
你友女,ni'you'nv
你友仔,ni'you'zai
你在南宁,ni'zai'nan'ning
欧迪,ou'di
平果,ping'guo
平南,ping'nan
凭祥,ping'xiang
凭祥市,ping'xiang'shi
期考,qi'kao
气排球,qi'pai'qiu
请酒,qing'jiu
青秀山,qing'xiu'shan
去桂林,qu'gui'lin
去南宁,qu'nan'ning
全州,quan'zhou
人保,ren'bao
三月三,san'yue'san
山圩,shan'xu
上不得,shang'bu'de
上南宁,shang'nan'ning
上思,shang'si
水口,shui'kou
说为,shuo'wei
糖厂,tang'chang
天等,tian'deng
天等县,tian'deng'xian
田东,tian'dong
瓦窑,wa'yao
涠洲岛,wei'zhou'dao
我友女,wo'you'nv
我在南宁,wo'zai'nan'ning
西乡塘,xi'xiang'tang
信都,xin'du
兴安,xing'an
阳朔,yang'shuo
银滩,yin'tan
邕江,yong'jiang
油车,you'che
友女,you'nv
友谊关,you'yi'guan
在北海,zai'bei'hai
在扶绥,zai'fu'sui
在桂林,zai'gui'lin
在南宁,zai'nan'ning
昭平,zhao'ping
壮族,zhuang'zu
自治区,zi'zhi'qu
