爱恶相攻而吉凶生,ai'e'xiang'gong'er'ji'xiong'sheng
爱星,ai'xing
安得禽也,an'de'qin'ye
暗动,an'dong
安节,an'jie
安节之亨,an'jie'zhi'heng
安吴四种,an'wu'si'zhong
安宅,an'zhai
安贞,an'zhen
安贞之吉,an'zhen'zhi'ji
八步赶蝉,ba'bu'gan'chan
八宫,ba'gong
八宫宫头,ba'gong'gong'tou
八卦,ba'gua
八卦成列,ba'gua'cheng'lie
八卦相错,ba'gua'xiang'cuo
拔茅贞吉,ba'mao'zhen'ji
拔茅貞吉志在君也,ba'mao'zhen'ji'zhi'zai'jun'ye
拔茅征吉,ba'mao'zheng'ji
八专,ba'zhuan
八字,ba'zi
八字官星太多,ba'zi'guan'xing'tai'duo
八字金书,ba'zi'jin'shu
八座,ba'zuo
白贲,bai'ben
白賁无咎,bai'ben'wu'jiu
白贲无咎,bai'ben'wu'jiu
白賁无咎上得志也,bai'ben'wu'jiu'shang'de'zhi'ye
败财,bai'cai
败地,bai'di
百官以治,bai'guan'yi'zhi
白虎,bai'hu
白虎猖狂,bai'hu'chang'kuang
白虎持势,bai'hu'chi'shi
白虎出力,bai'hu'chu'li
白虎干格,bai'hu'gan'ge
白虎通义,bai'hu'tong'yi
白馬翰如,bai'ma'han'ru
白马翰如,bai'ma'han'ru
百物不废,bai'wu'bu'fei
白心,bai'xin
百姓日用不知,bai'xing'ri'yong'bu'zhi
百姓与能,bai'xing'yu'neng
半拱,ban'gong
半合,ban'he
帮扶,bang'fu
帮身,bang'shen
棒杖,bang'zhang
剝不利有攸往,bao'bu'li'you'you'wang
包承,bao'cheng
剝床以辨未有與也,bao'chuang'yi'bian'wei'you'yu'ye
剝床以膚切近災也,bao'chuang'yi'fu'qie'jin'zai'ye
剝床以足以滅下也,bao'chuang'yi'zu'yi'mie'xia'ye
保合大和,bao'he'da'he
包荒,bao'huang
保民无疆,bao'min'wu'jiang
包羲氏没,bao'xi'shi'mei
包羞,bao'xiu
包羞位不當也,bao'xiu'wei'bu'dang'ye
剝之无咎,bao'zhi'wu'jiu
剝之无咎失上下也,bao'zhi'wu'jiu'shi'shang'xia'ye
卑高以陈,bei'gao'yi'chen
北交,bei'jiao
背禄逐马,bei'lu'zhu'ma
备物致用,bei'wu'zhi'yong
北溪字义,bei'xi'zi'yi
惫也,bei'ye
本卦,ben'gua
贲卦,ben'gua
賁亨,ben'heng
本乎地者亲下,ben'hu'di'zhe'qin'xia
本乎地者親下,ben'hu'di'zhe'qin'xia
本乎天者亲上,ben'hu'tian'zhe'qin'shang
本乎天者親上,ben'hu'tian'zhe'qin'shang
本命,ben'ming
本末弱也,ben'mo'ruo'ye
本气,ben'qi
賁如皤如,ben'ru'po'ru
贲如皤如,ben'ru'po'ru
贲如皤如白马翰如匪寇婚媾,ben'ru'po'ru'bai'ma'han'ru'fei'kou'hun'gou
贲如濡如,ben'ru'ru'ru
贲无色也,ben'wu'se'ye
贲于丘园,ben'yu'qiu'yuan
贲者饰也,ben'zhe'shi'ye
本柱,ben'zhu
比必有所畜也,bi'bi'you'suo'chu'ye
必反其家,bi'fan'qi'jia
比卦,bi'gua
必济,bi'ji
比肩,bi'jian
必见销熔,bi'jian'xiao'rong
比劫,bi'jie
比劫帮身,bi'jie'bang'shen
比劫夺财,bi'jie'duo'cai
比劫克财,bi'jie'ke'cai
必决,bi'jue
必困,bi'kun
比乐,bi'le
必乱邦也,bi'luan'bang'ye
