包括,bao'kuo
保守旧规的上座部,bao'shou'jiu'gui'de'shang'zuo'bu
曾经先后经历过四次大结集,ceng'jing'xian'hou'jing'li'guo'si'ci'da'jie'ji
出现了尊崇传统,chu'xian'le'zun'chong'chuan'tong
此后,ci'hou
大约在公元前世纪,da'yue'zai'gong'yuan'qian'shi'ji
大众部,da'zhong'bu
第一次大分裂,di'yi'ci'da'fen'lie
而成为十二派,er'cheng'wei'shi'er'pai
佛教经典,fo'jiao'jing'dian
佛教徒发生了,fo'jiao'tu'fa'sheng'le
佛教为部派佛教,fo'jiao'wei'bu'pai'fo'jiao
汉语,han'yu
经过集会诵读,jing'guo'ji'hui'song'du
经过四次分裂而成为八派,jing'guo'si'ci'fen'lie'er'cheng'wei'ba'pai
举行第二次大结集前后,ju'xing'di'er'ci'da'jie'ji'qian'hou
历史上,li'shi'shang
历史上称这一时期的,li'shi'shang'cheng'zhe'yi'shi'qi'de
目前,mu'qian
内容浩繁而庞杂,nei'rong'hao'fan'er'pang'za
倾向进取,qing'xiang'jin'qu
三大体系,san'da'ti'xi
三藏,san'zang
三藏有巴利语,san'zang'you'ba'li'yu
上座部又经过七次分裂,shang'zuo'bu'you'jing'guo'qi'ci'fen'lie
是指佛徒们,shi'zhi'fo'tu'men
所谓大结集,suo'wei'da'jie'ji
讨论而集结成佛典,tao'lun'er'ji'jie'cheng'fo'dian
统称,tong'cheng
为了继承佛陀的教法,wei'le'ji'cheng'fo'tuo'de'jiao'fa
又有所谓大乘佛教的兴起,you'you'suo'wei'da'cheng'fo'jiao'de'xing'qi
藏语,zang'yu
至公元世纪前后,zhi'gong'yuan'shi'ji'qian'hou
主张改革的大众部两大派,zhu'zhang'gai'ge'de'da'zhong'bu'liang'da'pai
