柏忌,bai'ji
北京朝阳高尔夫,bei'jing'chao'yang'gao'er'fu
比洞赛,bi'dong'sai
比杆赛,bi'gan'sai
闭合式,bi'he'shi
闭合式站姿,bi'he'shi'zhan'zi
比赛计分员,bi'sai'ji'fen'yuan
标准式握杆法,biao'zhun'shi'wo'gan'fa
滨海,bin'hai
滨海球场,bin'hai'qiu'chang
不可打,bu'ke'da
不可打之球,bu'ke'da'zhi'qiu
菜鸟,cai'niao
草坑,cao'keng
草皮,cao'pi
草皮断片,cao'pi'duan'pian
侧面水障碍,ce'mian'shui'zhang'ai
侧旋球,ce'xuan'qiu
差点,cha'dian
差点赛,cha'dian'sai
差杆,cha'gan
缠绕绑法,chan'rao'bang'fa
长铁杆,chang'tie'gan
重叠式握杆法,chong'die'shi'wo'gan'fa
重置球,chong'zhi'qiu
锄草,chu'cao
锄地,chu'di
出发台,chu'fa'tai
出界,chu'jie
出界球,chu'jie'qiu
初学者,chu'xue'zhe
垂直挥杆法,chui'zhi'hui'gan'fa
粗草区,cu'cao'qu
猝死延长赛,cu'si'yan'chang'sai
存包处,cun'bao'chu
打穿,da'chuan
打穿果岭,da'chuan'guo'ling
打穿球道,da'chuan'qiu'dao
打球策略,da'qiu'ce'lue
打球费,da'qiu'fei
大头娃娃,da'tou'wa'wa
待修复区,dai'xiu'fu'qu
单差点,dan'cha'dian
单差点球员,dan'cha'dian'qiu'yuan
蛋炒饭,dan'chao'fan
弹道,dan'dao
倒数第二名,dao'shu'di'er'ming
岛型果岭,dao'xing'guo'ling
倒旋球,dao'xuan'qiu
地滚球,di'gun'qiu
低于标准杆,di'yu'biao'zhun'gan
顶点,ding'dian
盯球,ding'qiu
短杆,duan'gan
短击,duan'ji
短铁杆,duan'tie'gan
二号木杆,er'hao'mu'gan
罚杆,fa'gan
发球标志,fa'qiu'biao'zhi
发球区,fa'qiu'qu
妨碍球,fang'ai'qiu
封闭式,feng'bi'shi
封闭式站姿,feng'bi'shi'zhan'zi
副果岭,fu'guo'ling
杆弟,gan'di
杆面,gan'mian
杆面角度,gan'mian'jiao'du
杆面开放,gan'mian'kai'fang
杆面斜角,gan'mian'xie'jiao
杆身,gan'shen
杆身材质,gan'shen'cai'zhi
杆身扭矩,gan'shen'niu'ju
杆身弹性,gan'shen'tan'xing
杆身硬度,gan'shen'ying'du
杆身重量,gan'shen'zhong'liang
杆头,gan'tou
杆头底部,gan'tou'di'bu
杆头跟部,gan'tou'gen'bu
杆头轨迹,gan'tou'gui'ji
杆头前缘,gan'tou'qian'yuan
杆头速度,gan'tou'su'du
杆头趾部,gan'tou'zhi'bu
钢杆身,gang'gan'shen
高尔夫,gao'er'fu
高尔夫规则,gao'er'fu'gui'ze
高尔夫俱乐部,gao'er'fu'ju'le'bu
高抛球,gao'pao'qiu
高于标准杆,gao'yu'biao'zhun'gan
攻岭,gong'ling
功岭策略,gong'ling'ce'lue
功岭角度,gong'ling'jiao'du
功岭距离,gong'ling'ju'li
功岭位置,gong'ling'wei'zhi
古老皇家高尔夫俱乐部,gu'lao'huang'jia'gao'er'fu'ju'le'bu
古塔球,gu'ta'qiu
拐点,guai'dian
灌溉,guan'gai
灌溉井,guan'gai'jing
灌溉渠,guan'gai'qu
冠军,guan'jun
观澜湖,guan'lan'hu
滚地球,gun'di'qiu
过度挥杆,guo'du'hui'gan
果岭,guo'ling
果岭边沙坑,guo'ling'bian'sha'keng
果岭边缘,guo'ling'bian'yuan
果岭费,guo'ling'fei
果岭坡度,guo'ling'po'du
好球,hao'qiu
荷包蛋,he'bao'dan
后九洞,hou'jiu'dong
后旋球,hou'xuan'qiu
