曾几何时,ceng'ji'he'shi
椎心呕血,chui'xin'ou'xue
椎心泣血,chui'xin'qi'xue
椎心饮泣,chui'xin'yin'qi
椎胸跌足,chui'xiong'die'zu
椎胸顿足,chui'xiong'dun'zu
椎膺顿足,chui'ying'dun'zu
攒锋聚镝,cuan'feng'ju'di
攒零合整,cuan'ling'he'zheng
攒眉蹙额,cuan'mei'cu'e
攒三集五,cuan'san'ji'wu
攒三聚五,cuan'san'ju'wu
攒心盒子,cuan'xin'he'zi
粘皮带骨,nian'pi'dai'gu
召父杜母,shao'fu'du'mu
折本买卖,she'ben'mai'mai
折箭为誓,she'jian'wei'shi
折腰五斗,she'yao'wu'dou
属纩含饭,shu'kuang'han'fan
属纩之际,shu'kuang'zhi'ji
属托不行,shu'tuo'bu'xing
擿伏发奸,ti'fu'fa'jian
擿伏发隐,ti'fu'fa'yin
擿奸发伏,ti'jian'fa'fu
擿抉细微,ti'jue'xi'wei
摘瑕指瑜,ti'xia'zhi'yu
擿埴冥行,ti'zhi'ming'xing
擿埴索涂,ti'zhi'suo'tu
擿植索涂,ti'zhi'suo'tu
於乎哀哉,wu'hu'ai'zai
吁地呼天,xu'di'hu'tian
轧敚排很,ya'dui'pai'hen
齗齿弹舌,yan'chi'dan'she
齗齗计较,yan'yan'ji'jiao
以白诋青,yi'bai'di'qing
以白为黑,yi'bai'wei'hei
以半击倍,yi'ban'ji'bei
倚傍门户,yi'bang'men'hu
抑暴扶弱,yi'bao'fu'ruo
异宝奇珍,yi'bao'qi'zhen
以暴易暴,yi'bao'yi'bao
以暴易乱,yi'bao'yi'luan
以备不虞,yi'bei'bu'yu
逸辈殊伦,yi'bei'shu'lun
以备万一,yi'bei'wan'yi
羿毙十日,yi'bi'shi'ri
蚁鼻之缺,yi'bi'zhi'que
挹彼注此,yi'bi'zhu'ci
挹彼注兹,yi'bi'zhu'zi
遗编断简,yi'bian'duan'jian
移编绝简,yi'bian'jue'jian
遗编絶简,yi'bian'jue'jian
遗编绝简,yi'bian'jue'jian
遗编坠简,yi'bian'zhui'jian
义兵不攻服,yi'bing'bu'gong'fu
以冰致蝇,yi'bing'zhi'ying
以博一粲,yi'bo'yi'can
义薄云天,yi'bo'yun'tian
义不背亲,yi'bu'bei'qin
以不变应万变,yi'bu'bian'ying'wan'bian
义不辞难,yi'bu'ci'nan
义不得辞,yi'bu'de'ci
义不反顾,yi'bu'fan'gu
议不反顾,yi'bu'fan'gu
谊不敢辞,yi'bu'gan'ci
移步换形,yi'bu'huan'xing
以不济可,yi'bu'ji'ke
义不屈节,yi'bu'qu'jie
义不取容,yi'bu'qu'rong
义不容辞,yi'bu'rong'ci
谊不容辞,yi'bu'rong'ci
义不容默,yi'bu'rong'mo
义不容却,yi'bu'rong'que
义不容隐,yi'bu'rong'yin
弋不射宿,yi'bu'she'su
义不生财,yi'bu'sheng'cai
义不旋踵,yi'bu'xuan'zhong
艺不压身,yi'bu'ya'shen
亦步亦趋,yi'bu'yi'qu
义不主财,yi'bu'zhu'cai
义不主财慈不主兵,yi'bu'zhu'cai'ci'bu'zhu'bing
倚财仗势,yi'cai'zhang'shi
倚草附木,yi'cao'fu'mu
异草奇花,yi'cao'qi'hua
以长攻短,yi'chang'gong'duan
异常之交,yi'chang'zhi'jiao
已陈刍狗,yi'chen'chu'gou
逸尘断鞅,yi'chen'duan'yang
宜嗔宜喜,yi'chen'yi'xi
已成定局,yi'cheng'ding'ju
以诚相见,yi'cheng'xiang'jian
遗臭千代,yi'chou'qian'dai
遗臭千年,yi'chou'qian'nian
遗臭千秋,yi'chou'qian'qiu
遗臭万代,yi'chou'wan'dai
贻臭万年,yi'chou'wan'nian
遗臭万年,yi'chou'wan'nian
遗臭万世,yi'chou'wan'shi
遗臭万载,yi'chou'wan'zai
遗臭无穷,yi'chou'wu'qiong
蚁出蚋飞,yi'chu'rui'fei
意出望外,yi'chu'wang'wai
意出象外,yi'chu'xiang'wai
意出言外,yi'chu'yan'wai
移船就岸,yi'chuan'jiu'an
移船就泊,yi'chuan'jiu'bo
宜春下苑,yi'chun'xia'yuan
以词害意,yi'ci'hai'yi
以辞害意,yi'ci'hai'yi
以此类推,yi'ci'lei'tui
以辞取人,yi'ci'qu'ren
以刺世事,yi'ci'shi'shi
倚此为命,yi'ci'wei'ming
倚翠偎红,yi'cui'wei'hong
蚁萃螽集,yi'cui'zhong'ji
意存笔先,yi'cun'bi'xian
以大恶细,yi'da'e'xi
以大欺小,yi'da'qi'xiao
倚大欺小,yi'da'qi'xiao
遗大投艰,yi'da'tou'jian
异代之交,yi'dai'zhi'jiao
以蛋碰石,yi'dan'peng'shi
义胆忠肝,yi'dan'zhong'gan
以党举官,yi'dang'ju'guan
意到笔随,yi'dao'bi'sui
易道良马,yi'dao'liang'ma
以德报德,yi'de'bao'de
以德报怨,yi'de'bao'yuan
以德服人,yi'de'fu'ren
遗德休烈,yi'de'xiu'lie
遗德余烈,yi'de'yu'lie
意得志满,yi'de'zhi'man
以德追祸,yi'de'zhui'huo
已登道岸,yi'deng'dao'an
易地而处,yi'di'er'chu
以敌借敌,yi'di'jie'di
易地皆然,yi'di'jie'ran
移的就箭,yi'di'jiu'jian
异地相逢,yi'di'xiang'feng
易地则皆然,yi'di'ze'jie'ran
以点带面,yi'dian'dai'mian
贻玷阀阅,yi'dian'fa'yue
遗钿坠舄,yi'dian'zhui'xi
彝鼎圭璋,yi'ding'gui'zhang
移东补西,yi'dong'bu'xi
移东换西,yi'dong'huan'xi
移东就西,yi'dong'jiu'xi
移东篱掩西障,yi'dong'li'yan'xi'zhang
移东掩西,yi'dong'yan'xi
蚁斗蜗争,yi'dou'wo'zheng
蚁鬭蜗争,yi'dou'wo'zheng
挹斗扬箕,yi'dou'yang'ji
以毒攻毒,yi'du'gong'du
意度过人,yi'du'guo'ren
义断恩絶,yi'duan'en'jue
义断恩绝,yi'duan'en'jue
意断恩绝,yi'duan'en'jue
以碫投卵,yi'duan'tou'luan
异端邪说,yi'duan'xie'shuo
异端邪説,yi'duan'xie'yue
艺多不压身,yi'duo'bu'ya'shen
意夺神骇,yi'duo'shen'hai
以恶报恶,yi'e'bao'e
以讹传讹,yi'e'chuan'e
抑恶扬善,yi'e'yang'shan
遗恩余烈,yi'en'yu'lie
倚儿不当,yi'er'bu'dang
以耳代目,yi'er'dai'mu
遗珥堕簪,yi'er'duo'zan
以耳为目,yi'er'wei'mu
疑贰之见,yi'er'zhi'jian
遗珥坠簪,yi'er'zhui'zan
以法为教,yi'fa'wei'jiao
懿范长存,yi'fan'chang'cun
贻范古今,yi'fan'gu'jin
以防不测,yi'fang'bu'ce
遗芳梦室,yi'fang'meng'shi
易放难收,yi'fang'nan'shou
以防万一,yi'fang'wan'yi
以防未然,yi'fang'wei'ran
遗芳余烈,yi'fang'yu'lie
义方之训,yi'fang'zhi'xun
遗芬剩馥,yi'fen'sheng'fu
义愤填胸,yi'fen'tian'xiong
义愤填膺,yi'fen'tian'ying
遗芬余荣,yi'fen'yu'rong
以丰补歉,yi'feng'bu'qian
移风崇教,yi'feng'chong'jiao
以风风人,yi'feng'feng'ren
移风改俗,yi'feng'gai'su
移风革俗,yi'feng'ge'su
遗风古道,yi'feng'gu'dao
遗风旧俗,yi'feng'jiu'su
蚁封盘马,yi'feng'pan'ma
移风平俗,yi'feng'ping'su
蚁封穴雨,yi'feng'xue'yu
遗风逸尘,yi'feng'yi'chen
移风易尚,yi'feng'yi'shang
移风易俗,yi'feng'yi'su
遗风遗泽,yi'feng'yi'ze
遗风余采,yi'feng'yu'cai
遗风余教,yi'feng'yu'jiao
遗风余烈,yi'feng'yu'lie
遗风余思,yi'feng'yu'si
遗风余俗,yi'feng'yu'su
遗风余习,yi'feng'yu'xi
遗风余象,yi'feng'yu'xiang
遗风余韵,yi'feng'yu'yun
遗风余泽,yi'feng'yu'ze
移风振俗,yi'feng'zhen'su
蚁附蜂屯,yi'fu'feng'tun
以附骥尾,yi'fu'ji'wei
义夫节妇,yi'fu'jie'fu
亦复如此,yi'fu'ru'ci
亦复如是,yi'fu'ru'shi
以副养农,yi'fu'yang'nong
蚁附蝇集,yi'fu'ying'ji
蚁附蝇趋,yi'fu'ying'qu
艺高胆大,yi'gao'dan'da
艺高胆壮,yi'gao'dan'zhuang
艺高人胆大,yi'gao'ren'dan'da
以戈舂米,yi'ge'chong'mi
以戈舂黍,yi'ge'chong'shu
移根换叶,yi'gen'huan'ye
移根接叶,yi'gen'jie'ye
以功补过,yi'gong'bu'guo
以工代赈,yi'gong'dai'zhen
以功覆过,yi'gong'fu'guo
移宫换羽,yi'gong'huan'yu
以公灭私,yi'gong'mie'si
以功赎罪,yi'gong'shu'zui
以攻为守,yi'gong'wei'shou
以宫笑角,yi'gong'xiao'jiao
移宫易羽,yi'gong'yi'yu
以古方今,yi'gu'fang'jin
以古非今,yi'gu'fei'jin
以骨去蚁,yi'gu'qu'yi
以古为鉴,yi'gu'wei'jian
以古为镜,yi'gu'wei'jing
以瞽引瞽,yi'gu'yin'gu
以古喻今,yi'gu'yu'jin
以古制今,yi'gu'zhi'jin
以寡敌众,yi'gua'di'zhong
以冠补履,yi'guan'bu'lv
以观后效,yi'guan'hou'xiao
以管窥豹,yi'guan'kui'bao
以筦窥天,yi'guan'kui'tian
以管窥天,yi'guan'kui'tian
以管窥天以蠡测海,yi'guan'kui'tian'yi'li'ce'hai
倚官挟势,yi'guan'xie'shi
倚官仗势,yi'guan'zhang'shi
意广才疏,yi'guang'cai'shu
已归道山,yi'gui'dao'shan
以规为瑱,yi'gui'wei'zhen
疑鬼疑神,yi'gui'yi'shen
移国动众,yi'guo'dong'zhong
益国利民,yi'guo'li'min
义海恩山,yi'hai'en'shan
贻害无穷,yi'hai'wu'qiong
遗害无穷,yi'hai'wu'qiong
饴含抱孙,yi'han'bao'sun
忆鹤华亭,yi'he'hua'ting
意合情投,yi'he'qing'tou
以荷析薪,yi'he'xi'xin
以黑为白,yi'hei'wei'bai
遗恨千古,yi'hen'qian'gu
遗恨终天,yi'hen'zhong'tian
异乎寻常,yi'hu'xun'chang
遗华反质,yi'hua'fan'zhi
移花换柳,yi'hua'huan'liu
移花接木,yi'hua'jie'mu
以华制华,yi'hua'zhi'hua
以华治华,yi'hua'zhi'hua
移缓就急,yi'huan'jiu'ji
以患为利,yi'huan'wei'li
贻患无穷,yi'huan'wu'qiong
遗患无穷,yi'huan'wu'qiong
异卉奇花,yi'hui'qi'hua
以毁为罚,yi'hui'wei'fa
遗惠余泽,yi'hui'yu'ze
遗魂亡魄,yi'hun'wang'po
疑惑不解,yi'huo'bu'jie
以火救火,yi'huo'jiu'huo
以火救火以水救水,yi'huo'jiu'huo'yi'shui'jiu'shui
移祸枯桑,yi'huo'ku'sang
以火去蛾,yi'huo'qu'e
遗祸无穷,yi'huo'wu'qiong
移祸于人,yi'huo'yu'ren
以火止沸,yi'huo'zhi'fei
以计代战,yi'ji'dai'zhan
以己度人,yi'ji'duo'ren
异己分子,yi'ji'fen'zi
蚁集蜂攒,yi'ji'feng'cuan
以己律人,yi'ji'lv'ren
驿寄梅花,yi'ji'mei'hua
遗迹谈虚,yi'ji'tan'xu
亿忌信谗,yi'ji'xin'chan
意忌信谗,yi'ji'xin'chan
意急心忙,yi'ji'xin'mang
以疾掩迟,yi'ji'yan'chi
以己养养鸟,yi'ji'yang'yang'niao
以己之心度人之腹,yi'ji'zhi'xin'duo'ren'zhi'fu
以己之心度人之心,yi'ji'zhi'xin'duo'ren'zhi'xin
以假乱真,yi'jia'luan'zhen
宜家宜室,yi'jia'yi'shi
宜家之乐,yi'jia'zhi'le
以剑补履,yi'jian'bu'lv
遗艰投大,yi'jian'tou'da
以贱雪贵,yi'jian'xue'gui
意简言赅,yi'jian'yan'gai
意见言外,yi'jian'yan'wai
以简御繁,yi'jian'yu'fan
以简驭繁,yi'jian'yu'fan
以煎止燔,yi'jian'zhi'fan
抑彊扶弱,yi'jiang'fu'ruo
义浆仁粟,yi'jiang'ren'su
以胶投漆,yi'jiao'tou'qi
倚姣作媚,yi'jiao'zuo'mei
以解倒悬,yi'jie'dao'xuan
义结金兰,yi'jie'jin'lan
以介眉寿,yi'jie'mei'shou
以讦为直,yi'jie'wei'zhi
疑今察古,yi'jin'cha'gu
以进为退,yi'jin'wei'tui
以尽吾齿,yi'jin'wu'chi
以近知远,yi'jin'zhi'yuan
意境融彻,yi'jing'rong'che
以儆效尤,yi'jing'xiao'you
颐精养气,yi'jing'yang'qi
颐精养神,yi'jing'yang'shen
以酒浇愁,yi'jiu'jiao'chou
以酒解酲,yi'jiu'jie'cheng
以酒解醒,yi'jiu'jie'xing
倚酒三分醉,yi'jiu'san'fen'zui
蚁聚蜂攒,yi'ju'feng'cuan
蚁聚蠭攒,yi'ju'feng'cuan
蚁聚蜂屯,yi'ju'feng'tun
以绝后患,yi'jue'hou'huan
诒厥孙谋,yi'jue'sun'mou
贻厥孙谋,yi'jue'sun'mou
诒厥之谋,yi'jue'zhi'mou
异军特起,yi'jun'te'qi
异军突起,yi'jun'tu'qi
以渴服马,yi'ke'fu'ma
异口同辞,yi'kou'tong'ci
异口同声,yi'kou'tong'sheng
异口同音,yi'kou'tong'yin
异口同韵,yi'kou'tong'yun
以口问心,yi'kou'wen'xin
易口以食,yi'kou'yi'shi
异口一言,yi'kou'yi'yan
忆苦思甜,yi'ku'si'tian
以快先睹,yi'kuai'xian'du
以快言论,yi'kuai'yan'lun
以宽服民,yi'kuan'fu'min
以匡不逮,yi'kuang'bu'dai
意况大旨,yi'kuang'da'zhi
蚁溃鼠骇,yi'kui'shu'hai
意懒情疏,yi'lan'qing'shu
意懒心灰,yi'lan'xin'hui
意懒心慵,yi'lan'xin'yong
遗老孤臣,yi'lao'gu'chen
以劳击逸,yi'lao'ji'yi
以老卖老,yi'lao'mai'lao
倚老卖老,yi'lao'mai'lao
遗老遗少,yi'lao'yi'shao
以乐慆忧,yi'le'tao'you
轶类超群,yi'lei'chao'qun
以泪洗面,yi'lei'xi'mian
以类相从,yi'lei'xiang'cong
屹立不动,yi'li'bu'dong
迤逦不绝,yi'li'bu'jue
以蠡测海,yi'li'ce'hai
以狸饵鼠,yi'li'er'shu
以貍饵鼠,yi'li'er'shu
以力服人,yi'li'fu'ren
以理服人,yi'li'fu'ren
遗黎故老,yi'li'gu'lao
以礼悔祸,yi'li'hui'huo
以利累形,yi'li'lei'xing
以理去官,yi'li'qu'guan
以礼相待,yi'li'xiang'dai
以利相倾,yi'li'xiang'qing
以蠡挹海,yi'li'yi'hai
以狸至鼠,yi'li'zhi'shu
以狸致鼠,yi'li'zhi'shu
以貍至鼠,yi'li'zhi'shu
以狸致鼠以冰致绳,yi'li'zhi'shu'yi'bing'zhi'sheng
意料之外,yi'liao'zhi'wai
疑邻盗斧,yi'lin'dao'fu
以邻为壑,yi'lin'wei'he
意领神会,yi'ling'shen'hui
以聋辨声,yi'long'bian'sheng
异路功名,yi'lu'gong'ming
驿路梅花,yi'lu'mei'hua
异路同归,yi'lu'tong'gui
以鹿为马,yi'lu'wei'ma
倚庐之望,yi'lu'zhi'wang
以卵敌石,yi'luan'di'shi
以卵击石,yi'luan'ji'shi
以卵就石,yi'luan'jiu'shi
意乱如麻,yi'luan'ru'ma
以卵投石,yi'luan'tou'shi
意乱心慌,yi'luan'xin'huang
意乱心忙,yi'luan'xin'mang
以乱易暴,yi'luan'yi'bao
意略纵横,yi'lue'zong'heng
议论纷错,yi'lun'fen'cuo
议论纷纷,yi'lun'fen'fen
议论纷纭,yi'lun'fen'yun
议论风发,yi'lun'feng'fa
议论蜂起,yi'lun'feng'qi
议论风生,yi'lun'feng'sheng
议论英发,yi'lun'ying'fa
彝伦攸斁,yi'lun'you'yi
轶伦越等,yi'lun'yue'deng
遗落世事,yi'luo'shi'shi
倚闾而望,yi'lv'er'wang
意虑乖僻,yi'lv'guai'pi
倚闾望切,yi'lv'wang'qie
以吕易嬴,yi'lv'yi'ying
倚闾之思,yi'lv'zhi'si
倚闾之望,yi'lv'zhi'wang
倚马长才,yi'ma'chang'cai
倚马可待,yi'ma'ke'dai
倚马立成,yi'ma'li'cheng
倚马七纸,yi'ma'qi'zhi
倚马千言,yi'ma'qian'yan
倚马万言,yi'ma'wan'yan
意马心猿,yi'ma'xin'yuan
倚马之才,yi'ma'zhi'cai
意满志得,yi'man'zhi'de
以盲辨色,yi'mang'bian'se
以貌取人,yi'mao'qu'ren
遗貌取神,yi'mao'qu'shen
以毛相马,yi'mao'xiang'ma
溢美溢恶,yi'mei'yi'e
溢美之辞,yi'mei'zhi'ci
溢美之言,yi'mei'zhi'yan
溢美之语,yi'mei'zhi'yu
倚门傍户,yi'men'bang'hu
倚门而望,yi'men'er'wang
倚门窥户,yi'men'kui'hu
倚门卖俏,yi'men'mai'qiao
倚门卖笑,yi'men'mai'xiao
倚门献笑,yi'men'xian'xiao
倚门倚闾,yi'men'yi'lv
倚门之望,yi'men'zhi'wang
移民并村,yi'min'bing'cun
遗名去利,yi'ming'qu'li
以名取士,yi'ming'qu'shi
异名同实,yi'ming'tong'shi
以沫相濡,yi'mo'xiang'ru
以谋为本,yi'mou'wei'ben
异木奇花,yi'mu'qi'hua
疑难杂症,yi'nan'za'zheng
旖旎风光,yi'ni'feng'guang
以溺自照,yi'ni'zi'zhao
遗孽余烈,yi'nie'yu'lie
异派同源,yi'pai'tong'yuan
遗篇断简,yi'pian'duan'jian
以偏概全,yi'pian'gai'quan
以偏盖全,yi'pian'gai'quan
遗篇坠款,yi'pian'zhui'kuan
溢气坌涌,yi'qi'ben'yong
意气飞扬,yi'qi'fei'yang
意气风发,yi'qi'feng'fa
意气高昂,yi'qi'gao'ang
以其昏昏使人昭昭,yi'qi'hun'hun'shi'ren'zhao'zhao
意气激昂,yi'qi'ji'ang
意气相得,yi'qi'xiang'de
意气相合,yi'qi'xiang'he
意气相亲,yi'qi'xiang'qin
意气相倾,yi'qi'xiang'qing
义气相投,yi'qi'xiang'tou
意气相投,yi'qi'xiang'tou
意气相许,yi'qi'xiang'xu
意气轩昂,yi'qi'xuan'ang
移气养体,yi'qi'yang'ti
意气扬扬,yi'qi'yang'yang
意气洋洋,yi'qi'yang'yang
意气用事,yi'qi'yong'shi
意气自得,yi'qi'zi'de
意气自如,yi'qi'zi'ru
意气自若,yi'qi'zi'ruo
意前笔后,yi'qian'bi'hou
意前笔启,yi'qian'bi'qi
益谦亏盈,yi'qian'kui'ying
抑强扶弱,yi'qiang'fu'ruo
以强凌弱,yi'qiang'ling'ruo
倚强凌弱,yi'qiang'ling'ruo
以强凌弱以众暴寡,yi'qiang'ling'ruo'yi'zhong'bao'gua
以强欺弱,yi'qiang'qi'ruo
以强胜弱,yi'qiang'sheng'ruo
贻诮多方,yi'qiao'duo'fang
意切辞尽,yi'qie'ci'jin
义切辞严,yi'qie'ci'yan
谊切苔岑,yi'qie'tai'cen
意切言尽,yi'qie'yan'jin
义切中抱,yi'qie'zhong'bao
以勤补拙,yi'qin'bu'zhuo
以亲为解,yi'qin'wei'jie
遗寝载怀,yi'qin'zai'huai
移情别恋,yi'qing'bie'lian
怡情理性,yi'qing'li'xing
移情遣意,yi'qing'qian'yi
怡情养性,yi'qing'yang'xing
怡情悦性,yi'qing'yue'xing
移丘换段,yi'qiu'huan'duan
以求一逞,yi'qiu'yi'cheng
逸趣横生,yi'qu'heng'sheng
以屈求伸,yi'qu'qiu'shen
异曲同工,yi'qu'tong'gong
亦趋亦步,yi'qu'yi'bu
以权达变,yi'quan'da'bian
以权谋私,yi'quan'mou'si
邑犬群吠,yi'quan'qun'fei
以筌为鱼,yi'quan'wei'yu
诒阙之谋,yi'que'zhi'mou
轶羣絶类,yi'qun'jue'lei
轶群绝类,yi'qun'jue'lei
轶群绝伦,yi'qun'jue'lun
逸羣绝伦,yi'qun'jue'lun
逸群绝伦,yi'qun'jue'lun
逸群之才,yi'qun'zhi'cai
屹然不动,yi'ran'bu'dong
夷然不屑,yi'ran'bu'xie
毅然决然,yi'ran'jue'ran
怡然理顺,yi'ran'li'shun
屹然山立,yi'ran'shan'li
屹然挺立,yi'ran'ting'li
怡然养寿,yi'ran'yang'shou
怡然养性,yi'ran'yang'xing
怡然自得,yi'ran'zi'de
怡然自乐,yi'ran'zi'le
夷然自若,yi'ran'zi'ruo
怡然自若,yi'ran'zi'ruo
怡然自娱,yi'ran'zi'yu
怡然自足,yi'ran'zi'zu
意攘心劳,yi'rang'xin'lao
意扰心烦,yi'rao'xin'fan
意惹情牵,yi're'qing'qian
以人废言,yi'ren'fei'yan
弋人何篡,yi'ren'he'cuan
贻人口实,yi'ren'kou'shi
倚人卢下,yi'ren'lu'xia
倚人庐下,yi'ren'lu'xia
益人神智,yi'ren'shen'zhi
异人同辞,yi'ren'tong'ci
以仁为本,yi'ren'wei'ben
以忍为阍,yi'ren'wei'hun
以人为鉴,yi'ren'wei'jian
以人为镜,yi'ren'wei'jing
疑人勿用用人勿疑,yi'ren'wu'yong'yong'ren'wu'yi
疑人疑鬼,yi'ren'yi'gui
以人择官,yi'ren'ze'guan
移日卜夜,yi'ri'bu'ye
以日继夜,yi'ri'ji'ye
以日为年,yi'ri'wei'nian
以日为岁,yi'ri'wei'sui
以日易月,yi'ri'yi'yue
以容取人,yi'rong'qu'ren
以肉啖虎,yi'rou'dan'hu
以柔克刚,yi'rou'ke'gang
以肉去蚁,yi'rou'qu'yi
以肉驱蝇,yi'rou'qu'ying
以肉餧虎,yi'rou'si'hu
以肉喂虎,yi'rou'wei'hu
以柔制刚,yi'rou'zhi'gang
易如反掌,yi'ru'fan'zhang
易如翻掌,yi'ru'fan'zhang
易如破竹,yi'ru'po'zhu
易如拾芥,yi'ru'shi'jie
以弱毙强,yi'ruo'bi'qiang
以弱胜强,yi'ruo'sheng'qiang
以弱示强,yi'ruo'shi'qiang
以弱为弱,yi'ruo'wei'ruo
以弱制强,yi'ruo'zhi'qiang
易若转圈,yi'ruo'zhuan'quan
抑塞磊落,yi'sai'lei'luo
疑三惑四,yi'san'huo'si
翳桑饿人,yi'sang'e'ren
遗臊撒粪,yi'sao'sa'fen
以色从人,yi'se'cong'ren
以色事人,yi'se'shi'ren
以杀去杀,yi'sha'qu'sha
以杀止杀,yi'sha'zhi'sha
移山拔海,yi'shan'ba'hai
倚山傍水,yi'shan'bang'shui
移山倒海,yi'shan'dao'hai
义山恩海,yi'shan'en'hai
移山回海,yi'shan'hui'hai
移山竭海,yi'shan'jie'hai
移山跨海,yi'shan'kua'hai
蚁羶鼠腐,yi'shan'shu'fu
蚁膻鼠腐,yi'shan'shu'fu
移山填海,yi'shan'tian'hai
移山造海,yi'shan'zao'hai
移商换羽,yi'shang'huan'yu
圯上老人,yi'shang'lao'ren
益上损下,yi'shang'sun'xia
逸少白鹅,yi'shao'bai'e
以少胜多,yi'shao'sheng'duo
羿射九日,yi'she'jiu'ri
以身报国,yi'shen'bao'guo
遗哂大方,yi'shen'da'fang
疑神见鬼,yi'shen'jian'gui
以身试法,yi'shen'shi'fa
以身试祸,yi'shen'shi'huo
以身试险,yi'shen'shi'xian
以慎为键,yi'shen'wei'jian
以身许国,yi'shen'xu'guo
以身殉国,yi'shen'xun'guo
以身殉职,yi'shen'xun'zhi
颐神养气,yi'shen'yang'qi
怡神养寿,yi'shen'yang'shou
颐神养寿,yi'shen'yang'shou
怡神养性,yi'shen'yang'xing
颐神养性,yi'shen'yang'xing
疑神疑鬼,yi'shen'yi'gui
以身作则,yi'shen'zuo'ze
以升量石,yi'sheng'liang'dan
怡声下气,yi'sheng'xia'qi
遗声余价,yi'sheng'yu'jia
遗声坠绪,yi'sheng'zhui'xu
遗世拔俗,yi'shi'ba'su
羿氏舛射,yi'shi'chuan'she
遗世独立,yi'shi'du'li
遗世绝俗,yi'shi'jue'su
倚势凌人,yi'shi'ling'ren
驿使梅花,yi'shi'mei'hua
倚势欺人,yi'shi'qi'ren
议事日程,yi'shi'ri'cheng
遗矢如冰,yi'shi'ru'bing
以石投卵,yi'shi'tou'luan
以石投水,yi'shi'tou'shui
遗世忘累,yi'shi'wang'lei
刈蓍亡簪,yi'shi'wang'zan
以是为恨,yi'shi'wei'hen
以实为虚,yi'shi'wei'xu
疑事无功,yi'shi'wu'gong
疑事无功疑行无名,yi'shi'wu'gong'yi'xing'wu'ming
倚势挟权,yi'shi'xie'quan
意识形态,yi'shi'xing'tai
以势压人,yi'shi'ya'ren
宜室宜家,yi'shi'yi'jia
