半年后复查免疫系列,ban'nian'hou'fu'cha'mian'yi'xi'lie
本病例病史明确,ben'bing'li'bing'shi'ming'que
本病例特点,ben'bing'li'te'dian
出院医嘱,chu'yuan'yi'zhu
出院诊断,chu'yuan'zhen'duan
创缘欠整齐,chuang'yuan'qian'zheng'qi
大小便正常,da'xiao'bian'zheng'chang
当时即感疼痛,dang'shi'ji'gan'teng'tong
非手术不能纠正,fei'shou'shu'bu'neng'jiu'zheng
敷料包扎,fu'liao'bao'za
辅助检查,fu'zhu'jian'cha
根据以上特点,gen'ju'yi'shang'te'dian
观察患者病情生命体征,guan'cha'huan'zhe'bing'qing'sheng'ming'ti'zheng
观察患者伤口情况,guan'cha'huan'zhe'shang'kou'qing'kuang
观察伤口变化情况,guan'cha'shang'kou'bian'hua'qing'kuang
患儿入院时,huan'er'ru'yuan'shi
患儿伤口愈合好,huan'er'shang'kou'yu'he'hao
患儿术后第二天,huan'er'shu'hou'di'er'tian
患儿术后第一天,huan'er'shu'hou'di'yi'tian
患者,huan'zhe
患者及家属表示理解,huan'zhe'ji'jia'shu'biao'shi'li'jie
肌肉注射破伤风抗毒素,ji'rou'zhu'she'po'shang'feng'kang'du'su
既往史,ji'wang'shi
既往体健,ji'wang'ti'jian
给予碘伏擦拭后,ji'yu'dian'fu'ca'shi'hou
给予明日出院,ji'yu'ming'ri'chu'yuan
急诊来我院就诊,ji'zhen'lai'wo'yuan'jiu'zhen
急诊手术行清创缝合,ji'zhen'shou'shu'xing'qing'chuang'feng'he
急诊收住院,ji'zhen'shou'zhu'yuan
家人立即用纱布压迫止血,jia'ren'li'ji'yong'sha'bu'ya'po'zhi'xue
鉴别诊断,jian'bie'zhen'duan
间断全层缝合伤口,jian'duan'quan'ceng'feng'he'shang'kou
简要病情,jian'yao'bing'qing
建议美皮护贴伤口两月,jian'yi'mei'pi'hu'tie'shang'kou'liang'yue
今日查房,jin'ri'cha'fang
今日继续抗炎对症支持治疗,jin'ri'ji'xu'kang'yan'dui'zheng'zhi'chi'zhi'liao
今日伤口换药,jin'ri'shang'kou'huan'yao
精神食欲好,jing'shen'shi'yu'hao
精神食欲欠佳,jing'shen'shi'yu'qian'jia
抗感染治疗,kang'gan'ran'zhi'liao
可诊断为,ke'zhen'duan'wei
氯胺酮麻醉,lv'an'tong'ma'zui
美皮护贴伤口,mei'pi'hu'tie'shang'kou
面部外伤后小时,mian'bu'wai'shang'hou'xiao'shi
拟实施麻醉方式,ni'shi'shi'ma'zui'fang'shi
拟实施手术名称和方式,ni'shi'shi'shou'shu'ming'cheng'he'fang'shi
平卧位,ping'wo'wei
清创缝合术,qing'chuang'feng'he'shu
如有不适请随时就诊,ru'you'bu'shi'qing'sui'shi'jiu'zhen
入院检查,ru'yuan'jian'cha
纱布压迫止血,sha'bu'ya'po'zhi'xue
伤口不规则,shang'kou'bu'gui'ze
伤口出血不止,shang'kou'chu'xie'bu'zhi
伤口敷料清洁干燥无渗出,shang'kou'fu'liao'qing'jie'gan'zao'wu'shen'chu
伤口污染严重,shang'kou'wu'ran'yan'zhong
伤口愈合好,shang'kou'yu'he'hao
深达肌层,shen'da'ji'ceng
深达皮下,shen'da'pi'xia
手术过程顺利,shou'shu'guo'cheng'shun'li
手术指征,shou'shu'zhi'zheng
术后病人安全返回病房,shu'hou'bing'ren'an'quan'fan'hui'bing'fang
术后处理措施,shu'hou'chu'li'cuo'shi
术后注意观察事项,shu'hou'zhu'yi'guan'cha'shi'xiang
术前已完善相关检查,shu'qian'yi'wan'shan'xiang'guan'jian'cha
术前诊断,shu'qian'zhen'duan
术前准备,shu'qian'zhun'bei
术中严格无菌操作并清创彻底,shu'zhong'yan'ge'wu'jun'cao'zuo'bing'qing'chuang'che'di
睡眠好,shui'mian'hao
同意手术并签字,tong'yi'shou'shu'bing'qian'zi
完善相关检查,wan'shan'xiang'guan'jian'cha
薇荞线,wei'qiao'xian
我科室以,wo'ke'shi'yi
无不适主诉,wu'bu'shi'zhu'su
无特殊不适主诉,wu'te'shu'bu'shi'zhu'su
无需鉴别,wu'xu'jian'bie
现病史,xian'bing'shi
向患者及家属交代病情,xiang'huan'zhe'ji'jia'shu'jiao'dai'bing'qing
心肺腹未见异常,xin'fei'fu'wei'jian'yi'chang
心肺腹无明显阳性体征,xin'fei'fu'wu'ming'xian'yang'xing'ti'zheng
杨韩芳副主任医师查房记录,yang'han'fang'fu'zhu'ren'yi'shi'cha'fang'ji'lu
杨主任看过病人指示,yang'zhu'ren'kan'guo'bing'ren'zhi'shi
有活动性出血,you'huo'dong'xing'chu'xie
油纱覆盖创面,you'sha'fu'gai'chuang'mian
预防瘢痕生长,yu'fang'ban'hen'sheng'zhang
暂缺,zan'que
诊断明确,zhen'duan'ming'que
诊疗计划,zhen'liao'ji'hua
主诉,zhu'su
注意事项,zhu'yi'shi'xiang
遵健康教育处方,zun'jian'kang'jiao'yu'chu'fang
