嗳腐,ai'fu
嗳气,ai'qi
百合病,bai'he'bing
白喉,bai'hou
白睛,bai'jing
白睛红赤,bai'jing'hong'chi
白睛混赤,bai'jing'hun'chi
白睛溢血,bai'jing'yi'xue
百日咳,bai'ri'ke
白涩症,bai'se'zheng
半坐卧位,ban'zuo'wo'wei
暴风客热,bao'feng'ke're
胞睑,bao'jian
暴露赤眼生翳,bao'lu'chi'yan'sheng'yi
抱轮红赤,bao'lun'hong'chi
暴泻,bao'xie
奔豚,ben'tun
鼻干,bi'gan
鼻根,bi'gen
鼻衄,bi'nv
鼻柱,bi'zhu
痹阻,bi'zu
闭阻,bi'zu
便闭,bian'bi
辨病,bian'bing
便秘,bian'mi
便溏,bian'tang
便溏泄,bian'tang'xie
便血,bian'xie
辨证,bian'zheng
病程记录,bing'cheng'ji'lu
病记,bing'ji
搏结,bo'jie
剥苔,bo'tai
不寐,bu'mei
不育,bu'yu
蚕豆黄,can'dou'huang
苍白,cang'bai
草莓舌,cao'mei'she
嘈杂,cao'za
查因,cha'yin
颤病,chan'bing
肠癌,chang'ai
肠痹,chang'bi
肠结,chang'jie
肠痨,chang'lao
肠瘤,chang'liu
长脉,chang'mai
长期医嘱,chang'qi'yi'zhu
肠痈,chang'yong
肠郁,chang'yu
长嘱,chang'zhu
潮红,chao'hong
沉迟,chen'chi
尘肺,chen'fei
沉脉,chen'mai
沉弦,chen'xian
迟脉,chi'mai
齿衄,chi'nv
抽搐,chou'chu
出血中风,chu'xie'zhong'feng
传染病史,chuan'ran'bing'shi
疮疡,chuang'yang
春温,chun'wen
唇周,chun'zhou
刺痛,ci'tong
促脉,cu'mai
大便可,da'bian'ke
大便溏泄,da'bian'tang'xie
大便调,da'bian'tiao
大瘕泄,da'jia'xie
大脉,da'mai
大肉下陷,da'rou'xia'xian
代脉,dai'mai
胆癌,dan'ai
淡白,dan'bai
胆疸,dan'dan
胆瘅,dan'dan
淡青,dan'qing
单声咳,dan'sheng'ke
胆石,dan'shi
胆胀,dan'zhang
盗汗,dao'han
得温则减,de'wen'ze'jian
癫病,dian'bing
癫狂病,dian'kuang'bing
疔疮,ding'chuang
疔疖,ding'jie
动脉,dong'mai
短脉,duan'mai
对侧,dui'ce
钝痛,dun'tong
多汗,duo'han
多寐,duo'mei
恶核,e'he
呃逆,e'ni
呃逆病,e'ni'bing
二便调,er'bian'tiao
耳聋,er'long
耳鸣,er'ming
乏力,fa'li
发热,fa're
乏源,fa'yuan
反酸,fan'suan
肺癌,fei'ai
肥甘厚腻,fei'gan'hou'ni
肺厥,fei'jue
肺咳,fei'ke
肺痨,fei'lao
肺络张,fei'luo'zhang
肥胖病,fei'pang'bing
肥气,fei'qi
肺热病,fei're'bing
肺衰,fei'shuai
肺水,fei'shui
肺痿,fei'wei
肺萎,fei'wei
肺系病类,fei'xi'bing'lei
肺心病,fei'xin'bing
肺痈,fei'yong
肺胀,fei'zhang
风痹,feng'bi
风痱,feng'fei
风关,feng'guan
风厥,feng'jue
风轮,feng'lun
风水,feng'shui
风邪,feng'xie
风眩,feng'xuan
风疹,feng'zhen
浮缓,fu'huan
趺蹶,fu'jue
伏梁,fu'liang
伏脉,fu'mai
浮脉,fu'mai
复视,fu'shi
腹水,fu'shui
浮数,fu'shuo
腹痛,fu'tong
腹压,fu'ya
肝癌,gan'ai
肝瘅,gan'dan
肝积,gan'ji
干脚气,gan'jiao'qi
肝厥,gan'jue
肝痨,gan'lao
肝瘤,gan'liu
干啰音,gan'luo'yin
感冒,gan'mao
肝癖,gan'pi
肝热病,gan're'bing
肝瘟,gan'wen
肝系病类,gan'xi'bing'lei
干胁痛,gan'xie'tong
肝痈,gan'yong
干燥病,gan'zao'bing
肝著,gan'zhu
高原胸痹,gao'yuan'xiong'bi
革脉,ge'mai
个人史,ge'ren'shi
膈疝,ge'shan
骨痹,gu'bi
骨蚀,gu'shi
鼓胀,gu'zhang
关节痛,guan'jie'tong
腘窝,guo'wo
寒痹,han'bi
汗味重,han'wei'zhong
寒邪,han'xie
黑疸,hei'dan
黑睛,hei'jing
洪脉,hong'mai
虹视,hong'shi
喉关,hou'guan
喉核,hou'he
后屈,hou'qu
后伸,hou'shen
狐惑病,hu'huo'bing
滑精,hua'jing
滑脉,hua'mai
患侧,huan'ce
缓脉,huan'mai
患肢,huan'zhi
晄白,huang'bai
黄疸,huang'dan
黄胖,huang'pang
黄胖病,huang'pang'bing
黄仁,huang'ren
黄液上冲,huang'ye'shang'chong
蛔厥,hui'jue
混睛障,hun'jing'zhang
火疳,huo'gan
霍乱,huo'luan
火邪,huo'xie
肌痹,ji'bi
脊痹,ji'bi
疾脉,ji'mai
既往史,ji'wang'shi
肌痿,ji'wei
急性肾衰,ji'xing'shen'shuai
肩痹,jian'bi
健侧,jian'ce
睑内结石,jian'nei'jie'shi
健忘,jian'wang
睑弦,jian'xian
健肢,jian'zhi
椒疮,jiao'chuang
脚气冲心,jiao'qi'chong'xin
接触史,jie'chu'shi
结代脉,jie'dai'mai
拮抗,jie'kang
结脉,jie'mai
筋痹,jin'bi
金疳,jin'gan
紧脉,jin'mai
筋痿,jin'wei
痉病,jing'bing
精神差,jing'shen'cha
精神佳,jing'shen'jia
精神可,jing'shen'ke
痉湿暍,jing'shi'ye
晶珠,jing'zhu
酒厥,jiu'jue
久泄,jiu'xie
拒按,ju'an
聚星障,ju'xing'zhang
倦怠,juan'dai
厥头痛,jue'tou'tong
厥心痛,jue'xin'tong
咳嗽,ke'sou
咳血,ke'xue
口臭,kou'chou
口唇,kou'chun
口干,kou'gan
口干不欲饮,kou'gan'bu'yu'yin
口渴欲饮,kou'ke'yu'yin
口苦,kou'ku
芤脉,kou'mai
口僻,kou'pi
口甜,kou'tian
叩诊,kou'zhen
枯槁,ku'gao
狂病,kuang'bing
癞皮病,lai'pi'bing
