包括清代,bao'kuo'qing'dai
便会发生争执,bian'hui'fa'sheng'zheng'zhi
并提出,bing'ti'chu
博学才能,bo'xue'cai'neng
才是继承,cai'shi'ji'cheng
才增加,cai'zeng'jia
常被与孟子的,chang'bei'yu'meng'zi'de
称秦国,cheng'qin'guo
成相篇,cheng'xiang'pian
春申君,chun'shen'jun
春申君以为,chun'shen'jun'yi'wei
大部分是,da'bu'fen'shi
代表人物之一,dai'biao'ren'wu'zhi'yi
但反对,dan'fan'dui
但有轻视,dan'you'qing'shi
当时民歌,dang'shi'min'ge
道德观念,dao'de'guan'nian
道德许多方面,dao'de'xu'duo'fang'mian
得不到满足,de'bu'dao'man'zu
的贡献,de'gong'xian
的规范,de'gui'fan
的见解,de'jian'jie
的教化,de'jiao'hua
的两名,de'liang'ming
的内容,de'nei'rong
的努力,de'nu'li
的抨击,de'peng'ji
的倾向,de'qing'xiang
的思想,de'si'xiang
的思想家,de'si'xiang'jia
的思想体系,de'si'xiang'ti'xi
的文学体裁,de'wen'xue'ti'cai
的文章,de'wen'zhang
的学者,de'xue'zhe
的政治,de'zheng'zhi
的重要性,de'zhong'yao'xing
的著作,de'zhu'zuo
弟子为,di'zi'wei
短赋,duan'fu
对重整,dui'chong'zheng
对后世说理文章,dui'hou'shi'shuo'li'wen'zhang
对后世也,dui'hou'shi'ye
对儒家思想,dui'ru'jia'si'xiang
二千年来之学,er'qian'nian'lai'zhi'xue
而在中国,er'zai'zhong'guo
法家代表人物,fa'jia'dai'biao'ren'wu
发展了古代,fa'zhan'le'gu'dai
反对神秘主义,fan'dui'shen'mi'zhu'yi
否认天赋的,fou'ren'tian'fu'de
改称孙卿,gai'cheng'sun'qing
感官作用,gan'guan'zuo'yong
各家的长处,ge'jia'de'chang'chu
躬行实践的,gong'xing'shi'jian'de
关于学习,guan'yu'xue'xi
汉宣帝讳,han'xuan'di'hui
和礼治法治相结合,he'li'zhi'fa'zhi'xiang'jie'he
和作用,he'zuo'yong
后避,hou'bi
后来被逸而,hou'lai'bei'yi'er
化性起伪,hua'xing'qi'wei
怀疑荀子,huai'yi'xun'zi
环境和,huan'jing'he
记录了,ji'lu'le
家居兰陵,jia'ju'lan'ling
加以综合,jia'yi'zong'he
建立起自己,jian'li'qi'zi'ji
较古代为多,jiao'gu'dai'wei'duo
教育对,jiao'yu'dui
结构严谨,jie'gou'yan'jin
皆乡愿也,jie'xiang'yuan'ye
今山西安泽,jin'shan'xi'an'ze
精诚专一,jing'cheng'zhuan'yi
就必须看重教师,jiu'bi'xu'kan'zhong'jiao'shi
就想满足欲望,jiu'xiang'man'zu'yu'wang
开创了,kai'chuang'le
考据学兴盛,kao'ju'xue'xing'sheng
肯定自然规律,ken'ding'zi'ran'gui'lv
孔子思想,kong'zi'si'xiang
孔子中心思想为,kong'zi'zhong'xin'si'xiang'wei
来表达自己,lai'biao'da'zi'ji
兰陵令,lan'ling'ling
历史上受到,li'shi'shang'shou'dao
李斯都是他的,li'si'dou'shi'ta'de
梁启雄,liang'qi'xiong
