艾莱依,ai'lai'yi
八百里,ba'bai'li
八都,ba'du
八千客,ba'qian'ke
百货大楼,bai'huo'da'lou
白马山,bai'ma'shan
百山祖,bai'shan'zu
白云山,bai'yun'shan
白云小区,bai'yun'xiao'qu
办公助手,ban'gong'zhu'shou
包铜,bao'tong
碧湖,bi'hu
彪将军,biao'jiang'jun
别噶,bie'ga
不在丽水,bu'zai'li'shui
采茶叶,cai'cha'ye
拆线器,chai'xian'qi
炒粉干,chao'fen'gan
吃不去,chi'bu'qu
赤石,chi'shi
处州公园,chu'zhou'gong'yuan
船寮,chuan'liao
村头,cun'tou
打打死,da'da'si
大东坝,da'dong'ba
大港头,da'gang'tou
大济,da'ji
大均,da'jun
大水门,da'shui'men
大星期,da'xing'qi
大洋河,da'yang'he
大洋路,da'yang'lu
大洋山,da'yang'shan
大源,da'yuan
呆不牢,dai'bu'lao
到丽水,dao'li'shui
到龙泉,dao'long'quan
等不牢,deng'bu'lao
灯塔街,deng'ta'jie
电话打开,dian'hua'da'kai
电话打来,dian'hua'da'lai
店口,dian'kou
东方镇,dong'fang'zhen
冻去,dong'qu
东西岩,dong'xi'yan
东源,dong'yuan
对噶,dui'ga
对给,dui'gei
多美味,duo'mei'wei
二中贴吧,er'zhong'tie'ba
烦死去,fan'si'qu
防洪坝,fang'hong'ba
防洪堤,fang'hong'di
方山乡,fang'shan'xiang
粉干,fen'gan
枫坪,feng'ping
凤阳山,feng'yang'shan
府前,fu'qian
干锅居,gan'guo'ju
干嘛哇,gan'ma'wa
港头,gang'tou
高湖,gao'hu
高坪,gao'ping
格瑞斯,ge'rui'si
宫前,gong'qian
古堰画乡,gu'yan'hua'xiang
官店,guan'dian
还好看的,hai'hao'kan'de
好的噶,hao'de'ga
好的内,hao'de'nei
好佛,hao'fo
好否,hao'fou
好给,hao'gei
好溪,hao'xi
鹤城,he'cheng
鹤城镇,he'cheng'zhen
贺村,he'cun
荷地,he'di
荷花塘,he'hua'tang
和家园,he'jia'yuan
鹤溪,he'xi
湖山,hu'shan
壶镇,hu'zhen
壶镇镇,hu'zhen'zhen
花梨木,hua'li'mu
华楼街,hua'lou'jie
花纹钢,hua'wen'gang
花园中学,hua'yuan'zhong'xue
黄包车,huang'bao'che
黄碧街,huang'bi'jie
黄沙腰,huang'sha'yao
回缙云,hui'jin'yun
回丽水,hui'li'shui
继光街,ji'guang'jie
江山,jiang'shan
解放店,jie'fang'dian
解放街,jie'fang'jie
接官亭,jie'guan'ting
金村,jin'cun
金丽温,jin'li'wen
紧水滩,jin'shui'tan
缙云,jin'yun
缙云的,jin'yun'de
缙云话,jin'yun'hua
缙云了,jin'yun'le
缙云人,jin'yun'ren
缙云县,jin'yun'xian
缙云中学,jin'yun'zhong'xue
景宁,jing'ning
景宁县,jing'ning'xian
就睡去了,jiu'shui'qu'le
巨化,ju'hua
菊水,ju'shui
开机睡,kai'ji'shui
考不起来,kao'bu'qi'lai
柯城,ke'cheng
柯城区,ke'cheng'qu
空了了,kong'le'le
括苍路,kuo'cang'lu
拉芳舍,la'fang'she
拉拉伯爵,la'la'bo'jue
来丽水,lai'li'shui
来龙泉,lai'long'quan
来青田,lai'qing'tian
老嘿,lao'hei
老混,lao'hun
老囧,lao'jiong
老人公园,lao'ren'gong'yuan
老艺人,lao'yi'ren
丽青路,li'qing'lu
丽水,li'shui
丽水啊,li'shui'a
丽水的,li'shui'de
丽水话,li'shui'hua
