阿爸,a'ba
阿斐,a'fei
阿谷,a'gu
啊哈,a'ha
阿哈,a'ha
阿哈的,a'ha'de
阿荷利巴啊,a'he'li'ba'a
阿黑,a'hei
阿拉法,a'la'fa
阿连,a'lian
阿们,a'men
阿们等字,a'men'deng'zi
阿抹,a'mo
阿摩司啊,a'mo'si'a
阿抹族长,a'mo'zu'zhang
阿拿尼,a'na'ni
阿南,a'nan
阿尼安,a'ni'an
阿挪,a'nuo
阿苏巴死了,a'su'ba'si'le
阿辖,a'xia
阿鲜,a'xian
艾城人倒在刀下,ai'cheng'ren'dao'zai'dao'xia
挨次前进,ai'ci'qian'jin
矮矬的,ai'cuo'de
挨到西门彼得,ai'dao'xi'men'bi'de
爱弟兄,ai'di'xiong
爱弟兄的,ai'di'xiong'de
爱儿女,ai'er'nv
哀告神,ai'gao'shen
爱膏油的,ai'gao'you'de
哀号,ai'hao
埃及,ai'ji
埃及啊,ai'ji'a
埃及必然荒凉,ai'ji'bi'ran'huang'liang
埃及遍地,ai'ji'bian'di
埃及的民,ai'ji'de'min
埃及的人,ai'ji'de'ren
埃及地,ai'ji'di
埃及人,ai'ji'ren
埃及人便欢喜,ai'ji'ren'bian'huan'xi
埃及人不过是人,ai'ji'ren'bu'guo'shi'ren
埃及人催促百姓,ai'ji'ren'cui'cu'bai'xing
埃及人恶待我们,ai'ji'ren'e'dai'wo'men
埃及人身高五肘,ai'ji'ren'shen'gao'wu'zhou
埃及人与他行淫,ai'ji'ren'yu'ta'xing'yin
埃及人追赶他们,ai'ji'ren'zhui'gan'ta'men
爱既完全,ai'ji'wan'quan
埃及王对他们说,ai'ji'wang'dui'ta'men'shuo
埃及王法老啊,ai'ji'wang'fa'lao'a
埃及王死了,ai'ji'wang'si'le
埃及行法术的,ai'ji'xing'fa'shu'de
埃及已经败坏了,ai'ji'yi'jing'bai'huai'le
埃及一切的居民,ai'ji'yi'qie'de'ju'min
埃及中,ai'ji'zhong
埃及族若不上来,ai'ji'zu'ruo'bu'shang'lai
埃及尊大之神,ai'ji'zun'da'zhi'shen
挨家闲游,ai'jia'xian'you
挨近楼门,ai'jin'lou'men
挨近你,ai'jin'ni
挨近相接之处,ai'jin'xiang'jie'zhi'chu
哀哭的,ai'ku'de
哀哭的日子过了,ai'ku'de'ri'zi'guo'le
哀哭他,ai'ku'ta
爱里没有惧怕,ai'li'mei'you'ju'pa
爱恋不舍,ai'lian'bu'she
哀鸣如鸽,ai'ming'ru'ge
哀鸣如鸵鸟,ai'ming'ru'tuo'niao
爱慕长寿,ai'mu'chang'shou
爱慕智慧的,ai'mu'zhi'hui'de
爱那个,ai'na'ge
