把动物分为,ba'dong'wu'fen'wei
把鲸,ba'jing
白鱼跃入王舟中,bai'yu'yue'ru'wang'zhou'zhong
板鳃类,ban'sai'lei
包括了鱼类,bao'kuo'le'yu'lei
包括水中的所有动物,bao'kuo'shui'zhong'de'suo'you'dong'wu
包括圆口类,bao'kuo'yuan'kou'lei
邶风,bei'feng
贝类等,bei'lei'deng
被遥远地,bei'yao'yuan'de
贝胄星罗,bei'zhou'xing'luo
比鱼苗稍大的小鱼,bi'yu'miao'shao'da'de'xiao'yu
比喻虚有其表,bi'yu'xu'you'qi'biao
比喻音信断绝,bi'yu'yin'xin'duan'jue
变形之主,bian'xing'zhi'zhu
变形之主把它们,bian'xing'zhi'zhu'ba'ta'men
柏拉图的,bo'la'tu'de
博物学家,bo'wu'xue'jia
不洁之心,bu'jie'zhi'xin
不解之缘,bu'jie'zhi'yuan
捕鱼,bu'yu
捕鱼时用来惊鱼入网的木棒,bu'yu'shi'yong'lai'jing'yu'ru'wang'de'mu'bang
捕渔之家,bu'yu'zhi'jia
捕鱼竹罩,bu'yu'zhu'zhao
才是真正的,cai'shi'zhen'zheng'de
曾经生存过,ceng'jing'sheng'cun'guo
成了一小块一小块的,cheng'le'yi'xiao'kuai'yi'xiao'kuai'de
成为人类日常生活中,cheng'wei'ren'lei'ri'chang'sheng'huo'zhong
虫鱼鸟兽四类,chong'yu'niao'shou'si'lei
出现了最早的,chu'xian'le'zui'zao'de
创立了,chuang'li'le
从而导致,cong'er'dao'zhi
达尔文出版了,da'er'wen'chu'ban'le
大量的鱼类,da'liang'de'yu'lei
打鱼,da'yu
大渊,da'yuan
戴的,dai'de
代指送信人,dai'zhi'song'xin'ren
但人们,dan'ren'men
诞生了,dan'sheng'le
淡水鱼约有,dan'shui'yu'yue'you
的处罚,de'chu'fa
的定义是,de'ding'yi'shi
的东西,de'dong'xi
的高等有鳃,de'gao'deng'you'sai
的古字,de'gu'zi
的划分,de'hua'fen
的脊椎动物,de'ji'zhui'dong'wu
的简称,de'jian'cheng
的污泥,de'wu'ni
的序幕,de'xu'mu
等与鱼类混为一谈到底那些,deng'yu'yu'lei'hun'wei'yi'tan'dao'di'na'xie
低等脊椎动物,di'deng'ji'zhui'dong'wu
地球上,di'qiu'shang
钓鱼或捕鱼的船只,diao'yu'huo'bu'yu'de'chuan'zhi
动物界的发展,dong'wu'jie'de'fa'zhan
动物均冠以,dong'wu'jun'guan'yi
动物属于,dong'wu'shu'yu
对什么动物是,dui'shen'me'dong'wu'shi
对鱼类所下,dui'yu'lei'suo'xia
而编造的,er'bian'zao'de
而存在着,er'cun'zai'zhe
而得到,er'de'dao
二千几百年前,er'qian'ji'bai'nian'qian
而实质为鱼,er'shi'zhi'wei'yu
而消亡绝灭,er'xiao'wang'jue'mie
发生了一次,fa'sheng'le'yi'ci
分离开来了,fen'li'kai'lai'le
给以名称,gei'yi'ming'cheng
公将如棠观鱼者,gong'jiang'ru'tang'guan'yu'zhe
骨处有明显肌肉隆起,gu'chu'you'ming'xian'ji'rou'long'qi
古代木制成鱼形的信函,gu'dai'mu'zhi'cheng'yu'xing'de'xin'han
古希腊哲学家柏拉图,gu'xi'la'zhe'xue'jia'bo'la'tu
观点充满了,guan'dian'chong'man'le
官府为,guan'fu'wei
观赏宠物,guan'shang'chong'wu
好随鱼舸此中间,hao'sui'yu'ge'ci'zhong'jian
和具有软骨或,he'ju'you'ruan'gu'huo
和牡蛎以及其他,he'mu'li'yi'ji'qi'ta
和虾,he'xia
很大的变化,hen'da'de'bian'hua
后方的掌,hou'fang'de'zhang
或跖,huo'zhi
或足姆趾,huo'zu'mu'zhi
及包含范围,ji'bao'han'fan'wei
及鲸,ji'jing
极为重要的,ji'wei'zhong'yao'de
极小的一部分种类,ji'xiao'de'yi'bu'fen'zhong'lei
给予纯洁的呼吸,ji'yu'chun'jie'de'hu'xi
纪元前,ji'yuan'qian
脊椎动物史,ji'zhui'dong'wu'shi
甲骨文字形,jia'gu'wen'zi'xing
尖形帽子,jian'xing'mao'zi
揭开了,jie'kai'le
结下了,jie'xia'le
仅仅是后来出现,jin'jin'shi'hou'lai'chu'xian
进入了,jin'ru'le
今天生存,jin'tian'sheng'cun
近五亿年前,jin'wu'yi'nian'qian
究竟哪些,jiu'jing'na'xie
就能识别物种,jiu'neng'shi'bie'wu'zhong
郡望为,jun'wang'wei
孔武仲,kong'wu'zhong
昆虫及,kun'chong'ji
来呼吸,lai'hu'xi
历史阶段,li'shi'jie'duan
两栖类爬行类等,liang'qi'lei'pa'xing'lei'deng
两眼白色的马,liang'yan'bai'se'de'ma
林奈,lin'nai
灵枢经,ling'shu'jing
莫大的,mo'da'de
某些像鱼的水生动物,mou'xie'xiang'yu'de'shui'sheng'dong'wu
那神妙而纯洁的空气,na'shen'miao'er'chun'jie'de'kong'qi
鲵鱼,ni'yu
女道士,nv'dao'shi
排第,pai'di
抛掉一官如粪壤,pao'diao'yi'guan'ru'fen'rang
批售鱼类的市场,pi'shou'yu'lei'de'shi'chang
其中淡水鱼约,qi'zhong'dan'shui'yu'yue
其中鱼,qi'zhong'yu
切得很细的鱼肉,qie'de'hen'xi'de'yu'rou
却知者甚少,que'zhi'zhe'shen'shao
人类在很早以前,ren'lei'zai'hen'zao'yi'qian
人们对鱼,ren'men'dui'yu
