八音能谐,ba'yin'neng'xie
八月,ba'yue
百工致功,bai'gong'zhi'gong
百穀时茂,bai'gu'shi'mao
百官时序,bai'guan'shi'xu
百兽率舞,bai'shou'shuai'wu
百姓悲哀,bai'xing'bei'ai
百姓不亲,bai'xing'bu'qin
百姓亲和,bai'xing'qin'he
百姓昭明,bai'xing'zhao'ming
班瑞,ban'rui
暴风雷雨,bao'feng'lei'yu
暴虐百姓,bao'nue'bai'xing
北过涿鹿,bei'guo'zhuo'lu
北山戎发息慎,bei'shan'rong'fa'xi'shen
北巡狩,bei'xun'shou
北至于幽陵,bei'zhi'yu'you'ling
北逐荤粥,bei'zhu'xun'yu
崩於苍梧之野,beng'yu'cang'wu'zhi'ye
鄙德忝帝位,bi'de'tian'di'wei
比之三凶,bi'zhi'san'xiong
便程东作,bian'cheng'dong'zuo
便程南为,bian'cheng'nan'wei
便程西成,bian'cheng'xi'cheng
遍告以言,bian'gao'yi'yan
辩于群神,bian'yu'qun'shen
便在伏物,bian'zai'fu'wu
便章百姓,bian'zhang'bai'xing
鞭作官刑,bian'zuo'guan'xing
宾於四门,bin'yu'si'men
伯夷,bo'yi
伯夷让夔龙,bo'yi'rang'kui'long
伯夷主礼,bo'yi'zhu'li
伯禹为司空,bo'yu'wei'si'kong
不可,bu'ke
不可得,bu'ke'de
不可教训,bu'ke'jiao'xun
不善,bu'shan
不失厥宜,bu'shi'jue'yi
不用,bu'yong
不用帝命,bu'yong'di'ming
不於其身,bu'yu'qi'shen
不陨其名,bu'yun'qi'ming
不知话言,bu'zhi'hua'yan
不至奸,bu'zhi'jian
不足授天下,bu'zu'shou'tian'xia
长而敦敏,chang'er'dun'min
昌意娶蜀山氏女,chang'yi'qu'shu'shan'shi'nv
常欲杀舜,chang'yu'sha'shun
尝在侧,chang'zai'ce
车服以庸,che'fu'yi'yong
成而聪明,cheng'er'cong'ming
蚩尤作乱,chi'you'zuo'luan
崇饰恶言,chong'shi'e'yan
垂主工师,chui'zhu'gong'shi
淳化鸟兽蟲蛾,chun'hua'niao'shou'chong'e
此二十二人咸成厥功,ci'er'shi'er'ren'xian'cheng'jue'gong
此三族世忧之,ci'san'zu'shi'you'zhi
此十六族者,ci'shi'liu'zu'zhe
聪以知远,cong'yi'zhi'yuan
存亡之难,cun'wang'zhi'nan
大小之神,da'xiao'zhi'shen
代神农氏,dai'shen'nong'shi
得不死,de'bu'si
登鸡头,deng'ji'tou
登丸山,deng'wan'shan
登熊湘,deng'xiong'xiang
弟傲,di'ao
帝出少典,di'chu'shao'dian
弟恭,di'gong
帝喾崩,di'ku'beng
帝喾溉执中而遍天下,di'ku'gai'zhi'zhong'er'bian'tian'xia
帝喾高辛者,di'ku'gao'xin'zhe
帝喾娶陈锋氏女,di'ku'qu'chen'feng'shi'nv
帝喾为高辛,di'ku'wei'gao'xin
帝舜为有虞,di'shun'wei'you'yu
弟象傲,di'xiang'ao
帝尧为陶唐,di'yao'wei'tao'tang
帝尧者,di'yao'zhe
帝禹为夏后而别氏,di'yu'wei'xia'hou'er'bie'shi
帝挚立,di'zhi'li
帝挚之弟,di'zhi'zhi'di
帝颛顼高阳者,di'zhuan'xu'gao'yang'zhe
帝颛顼生子曰穷蝉,di'zhuan'xu'sheng'zi'yue'qiong'chan
帝颛顼为高阳,di'zhuan'xu'wei'gao'yang
定九州,ding'jiu'zhou
东长鸟夷,dong'chang'niao'yi
东渐於海,dong'jian'yu'hai
动静之物,dong'jing'zhi'wu
东巡狩,dong'xun'shou
东至于海,dong'zhi'yu'hai
东至于蟠木,dong'zhi'yu'pan'mu
度四方,du'si'fang
而百家言黄帝,er'bai'jia'yan'huang'di
而蚩尤最为暴,er'chi'you'zui'wei'bao
而弟放勋立,er'di'fang'xun'li
而鬼神山川封禅与为多焉,er'gui'shen'shan'chuan'feng'shan'yu'wei'duo'yan
而敬敷五教,er'jing'fu'wu'jiao
二年成邑,er'nian'cheng'yi
尔其庶矣,er'qi'shu'yi
而娶於西陵之女,er'qu'yu'xi'ling'zhi'nv
而神农氏弗能征,er'shen'nong'shi'fu'neng'zheng
二十年而老,er'shi'nian'er'lao
而舜母死,er'shun'mu'si
而玄嚣之孙高辛立,er'xuan'xiao'zhi'sun'gao'xin'li
而尧使摄政,er'yao'shi'she'zheng
而邑于涿鹿之阿,er'yi'yu'zhuo'lu'zhi'a
而禹皋陶契后稷伯夷夔龙倕益彭祖自尧时而皆举用,er'yu'gao'tao'qi'hou'ji'bo'yi'kui'long'chui'yi'peng'zu'zi'yao'shi'er'jie'ju'yong
而挚代立,er'zhi'dai'li
而诸侯咸尊轩辕为天子,er'zhu'hou'xian'zun'xuan'yuan'wei'tian'zi
而卒授舜以天下,er'zu'shou'shun'yi'tian'xia
放驩兜於崇山,fang'huan'dou'yu'chong'shan
放齐曰,fang'qi'yue
方五千里,fang'wu'qian'li
放勋,fang'xun
非好学深思,fei'hao'xue'shen'si
匪有解,fei'you'jie
分北三苗,fen'bei'san'miao
分命羲仲,fen'ming'xi'zhong
封弟象为诸侯,feng'di'xiang'wei'zhu'hou
凤皇来翔,feng'huang'lai'xiang
风教固殊焉,feng'jiao'gu'shu'yan
风雨所至,feng'yu'suo'zhi
富而不骄,fu'er'bu'jiao
夫而後之中国践天子位焉,fu'er'hou'zhi'zhong'guo'jian'tian'zi'wei'yan
抚教万民而利诲之,fu'jiao'wan'min'er'li'hui'zhi
服其服,fu'qi'fu
父顽,fu'wan
抚万民,fu'wan'min
父义,fu'yi
刚而毋虐,gang'er'wu'nue
皋陶,gao'tao
皋陶为大理,gao'tao'wei'da'li
高辛父曰蟜极,gao'xin'fu'yue'jiao'ji
高辛生而神灵,gao'xin'sheng'er'shen'ling
高辛氏有才子八人,gao'xin'shi'you'cai'zi'ba'ren
高辛於颛顼为族子,gao'xin'yu'zhuan'xu'wei'zu'zi
高阳嗣位,gao'yang'si'wei
高阳有圣德焉,gao'yang'you'sheng'de'yan
歌长言,ge'chang'yan
各以其职来贡,ge'yi'qi'zhi'lai'gong
共工果淫辟,gong'gong'guo'yin'pi
共工旁聚布功,gong'gong'pang'ju'bu'gong
共工善言,gong'gong'shan'yan
功用不成,gong'yong'bu'cheng
故百姓不便,gu'bai'xing'bu'bian
顾弟弗深考,gu'di'fu'shen'kao
故号黄帝,gu'hao'huang'di
故黄帝为有熊,gu'huang'di'wei'you'xiong
固难为浅见寡闻道也,gu'nan'wei'qian'jian'gua'wen'dao'ye
鼓其琴,gu'qi'qin
瞽叟爱後妻子,gu'sou'ai'hou'qi'zi
瞽叟从下纵火焚廪,gu'sou'cong'xia'zong'huo'fen'lin
瞽叟父曰桥牛,gu'sou'fu'yue'qiao'niu
瞽叟更娶妻而生象,gu'sou'geng'qu'qi'er'sheng'xiang
瞽叟尚复欲杀之,gu'sou'shang'fu'yu'sha'zhi
瞽叟象喜,gu'sou'xiang'xi
瞽叟与象共下土实井,gu'sou'yu'xiang'gong'xia'tu'shi'jing
故著为本纪书首,gu'zhu'wei'ben'ji'shu'shou
官名皆以云命,guan'ming'jie'yi'yun'ming
观其德於二女,guan'qi'de'yu'er'nv
贵而不舒,gui'er'bu'shu
鲧负命毁族,gun'fu'ming'hui'zu
浩浩怀山襄陵,hao'hao'huai'shan'xiang'ling
好行凶慝,hao'xing'xiong'te
河滨器皆不苦窳,he'bin'qi'jie'bu'ku'yu
合符釜山,he'fu'fu'shan
合和万国,he'he'wan'guo
合时月正日,he'shi'yue'zheng'ri
後瞽叟又使舜穿井,hou'gu'sou'you'shi'shun'chuan'jing
怙终贼,hu'zhong'zei
讙兜进言共工,huan'dou'jin'yan'gong'gong
讙兜曰,huan'dou'yue
黄帝崩,huang'di'beng
黄帝从而征之,huang'di'cong'er'zheng'zhi
黄帝二十五子,huang'di'er'shi'wu'zi
黄帝居轩辕之丘,huang'di'ju'xuan'yuan'zhi'qiu
黄帝者,huang'di'zhe
黄帝之孙而昌意之子也,huang'di'zhi'sun'er'chang'yi'zhi'zi'ye
黄帝之曾孙也,huang'di'zhi'zeng'sun'ye
黄收纯衣,huang'shou'chun'yi
惠而信,hui'er'xin
毁信恶忠,hui'xin'e'zhong
获宝鼎,huo'bao'ding
既代炎历,ji'dai'yan'li
及岱宗,ji'dai'zong
殛鲧於羽山,ji'gun'yu'yu'shan
即求,ji'qiu
及有小过,ji'you'xiao'guo
冀州之人也,ji'zhou'zhi'ren'ye
践帝位三十九年,jian'di'wei'san'shi'jiu'nian
简而毋傲,jian'er'wu'ao
荐绅先生难言之,jian'shen'xian'sheng'nan'yan'zhi
见四岳诸牧,jian'si'yue'zhu'mu
监于万国,jian'yu'wan'guo
践朕位,jian'zhen'wei
荐之於天,jian'zhi'yu'tian
降居若水,jiang'ju'ruo'shui
蟜极父曰玄嚣,jiao'ji'fu'yue'xuan'xiao
教熊罴貔貅貙虎,jiao'xiong'pi'pi'xiu'chu'hu
教子,jiao'zi
皆如初,jie'ru'chu
皆同姓而异其国号,jie'tong'xing'er'yi'qi'guo'hao
皆微为庶人,jie'wei'wei'shu'ren
节用水火材物,jie'yong'shui'huo'cai'wu
皆有疆土,jie'you'jiang'tu
皆欲杀舜,jie'yu'sha'shun
皆曰,jie'yue
皆曰伯夷可,jie'yue'bo'yi'ke
皆曰垂可,jie'yue'chui'ke
皆曰鲧可,jie'yue'gun'ke
皆曰益可,jie'yue'yi'ke
皆治,jie'zhi
缙云氏有不才子,jin'yun'shi'you'bu'cai'zi
金作赎刑,jin'zuo'shu'xing
敬道日出,jing'dao'ri'chu
敬道日入,jing'dao'ri'ru
敬康父曰穷蝉,jing'kang'fu'yue'qiong'chan
静深有谋,jing'shen'you'mou
敬授民时,jing'shou'min'shi
敬顺昊天,jing'shun'hao'tian
静渊以有谋,jing'yuan'yi'you'mou
敬哉,jing'zai
敬致,jing'zhi
就时於负夏,jiu'shi'yu'fu'xia
九岁,jiu'sui
就之如日,jiu'zhi'ru'ri
九族既睦,jiu'zu'ji'mu
举八元,ju'ba'yuan
居北方,ju'bei'fang
举风后力牧常先大鸿以治民,ju'feng'hou'li'mu'chang'xian'da'hong'yi'zhi'min
居南交,ju'nan'jiao
句望父曰敬康,ju'wang'fu'yue'jing'kang
居西土,ju'xi'tu
居于轩丘,ju'yu'xuan'qiu
居郁夷,ju'yu'yi
决川,jue'chuan
决九河,jue'jiu'he
可美帝功,ke'mei'di'gong
可用,ke'yong
孔子所传宰予问五帝德及帝系姓,kong'zi'suo'chuan'zai'yu'wen'wu'di'de'ji'di'xi'xing
寇贼奸轨,kou'zei'jian'gui
宽而栗,kuan'er'li
夔夔唯谨,kui'kui'wei'jin
夔曰,kui'yue
劳勤心力耳目,lao'qin'xin'li'er'mu
雷泽上人皆让居,lei'ze'shang'ren'jie'rang'ju
嫘祖为黄帝正妃,lei'zu'wei'huang'di'zheng'fei
黎民始饥,li'min'shi'ji
历日月而迎送之,li'ri'yue'er'ying'song'zhi
历山之人皆让畔,li'shan'zhi'ren'jie'rang'pan
礼乐如之,li'yue'ru'zhi
烈风雷雨不迷,lie'feng'lei'yu'bu'mi
列圣同休,lie'sheng'tong'xiu
令舜摄行天子之政,ling'shun'she'xing'tian'zi'zhi'zheng
流宥五刑,liu'you'wu'xing
龙主宾客,long'zhu'bin'ke
律和声,lv'he'sheng
蛮夷猾夏,man'yi'hua'xia
盲者子,mang'zhe'zi
冒于货贿,mao'yu'huo'hui
昧谷西曛,mei'gu'xi'xun
民各伏得其实,min'ge'fu'de'qi'shi
明鬼神而敬事之,ming'gui'shen'er'jing'shi'zhi
命汝为纳言,ming'ru'wei'na'yan
命十二牧论帝德,ming'shi'er'mu'lun'di'de
明试以功,ming'shi'yi'gong
命舜摄行天子之政,ming'shun'she'xing'tian'zi'zhi'zheng
明通四方耳目,ming'tong'si'fang'er'mu
明扬仄陋,ming'yang'ze'lou
明以察微,ming'yi'cha'wei
名曰轩辕,ming'yue'xuan'yuan
名曰重华,ming'yue'zhong'hua
莫不从服,mo'bu'cong'fu
莫不砥属,mo'bu'di'shu
莫不怀柔,mo'bu'huai'rou
莫不时序,mo'bu'shi'xu
莫能伐,mo'neng'fa
谋于四岳,mou'yu'si'yue
母慈,mu'ci
母嚚,mu'yin
乃遍入百官,nai'bian'ru'bai'guan
乃流四凶族,nai'liu'si'xiong'zu
乃命羲和,nai'ming'xi'he
乃使舜慎和五典,nai'shi'shun'shen'he'wu'dian
南浮江淮矣,nan'fu'jiang'huai'yi
南抚交阯北发,nan'fu'jiao'zhi'bei'fa
南巡狩,nan'xun'shou
南至于江,nan'zhi'yu'jiang
南至于交阯,nan'zhi'yu'jiao'zhi
内行弥谨,nei'hang'mi'jin
内平外成,nei'ping'wai'cheng
能和以孝,neng'he'yi'xiao
能明驯德,neng'ming'xun'de
能让天下,neng'rang'tian'xia
年六十一代尧践帝位,nian'liu'shi'yi'dai'yao'jian'di'wei
年三十尧举之,nian'san'shi'yao'ju'zhi
年五十八尧崩,nian'wu'shi'ba'yao'beng
年五十摄行天子事,nian'wu'shi'she'xing'tian'zi'shi
鸟兽毛毨,niao'shou'mao'xian
鸟兽氄毛,niao'shou'rong'mao
鸟兽希革,niao'shou'xi'ge
鸟兽字微,niao'shou'zi'wei
牛羊仓廪予父母,niu'yang'cang'lin'yu'fu'mu
女登帝位,nv'deng'di'wei
女二十有二人,nv'er'shi'you'er'ren
女谋事至而言可绩,nv'mou'shi'zhi'er'yan'ke'ji
讴歌者不讴歌丹硃而讴歌舜,ou'ge'zhe'bu'ou'ge'dan'zhu'er'ou'ge'shun
