暗区,an'qu
斑块,ban'kuai
包块,bao'kuai
不均,bu'jun
充盈,chong'ying
错构瘤,cuo'gou'liu
大量,da'liang
大小,da'xiao
单层,dan'ceng
胆固醇,dan'gu'chun
胆结石,dan'jie'shi
胆囊,dan'nang
胆囊壁,dan'nang'bi
胆囊炎,dan'nang'yan
胆囊已切除,dan'nang'yi'qie'chu
单胎妊娠,dan'tai'ren'shen
胆盐沉积,dan'yan'chen'ji
胆总管,dan'zong'guan
低回声,di'hui'sheng
动脉,dong'mai
窦部,dou'bu
堆积,dui'ji
多发性,duo'fa'xing
多枚,duo'mei
发育中,fa'yu'zhong
分布,fen'bu
分叉处,fen'cha'chu
分离,fen'li
附睾,fu'gao
附睾头,fu'gao'tou
附睾尾,fu'gao'wei
腹股沟,fu'gu'gou
附件,fu'jian
腹径,fu'jing
腹腔,fu'qiang
副乳,fu'ru
钙化灶,gai'hua'zao
肝后叶,gan'hou'ye
肝囊肿,gan'nang'zhong
肝脓肿,gan'nong'zhong
肝前叶,gan'qian'ye
肝硬化,gan'ying'hua
肝右叶,gan'you'ye
肝脏,gan'zang
肝左叶,gan'zuo'ye
高回声,gao'hui'sheng
睾丸,gao'wan
宫颈,gong'jing
宫颈肥大,gong'jing'fei'da
宫内早孕,gong'nei'zao'yun
宫腔,gong'qiang
宫腔分离,gong'qiang'fen'li
股骨长,gu'gu'zhang
光带分隔,guang'dai'fen'ge
腘窝,guo'wo
后壁,hou'bi
后壁胎盘,hou'bi'tai'pan
后位,hou'wei
弧形,hu'xing
黄体血肿,huang'ti'xue'zhong
回声,hui'sheng
浑浊区,hun'zhuo'qu
火海样,huo'hai'yang
集合系统,ji'he'xi'tong
几枚,ji'mei
极少量,ji'shao'liang
畸胎瘤,ji'tai'liu
急性,ji'xing
积液,ji'ye
甲状腺,jia'zhuang'xian
建议进一步检查,jian'yi'jin'yi'bu'jian'cha
浆膜下,jiang'mo'xia
结节,jie'jie
结晶,jie'jing
结石,jie'shi
节育环,jie'yu'huan
颈部,jing'bu
颈动脉,jing'dong'mai
静脉,jing'mai
精索,jing'suo
空腹,kong'fu
扩张,kuo'zhang
阑尾,lan'wei
良好,liang'hao
淋巴结,lin'ba'jie
卵巢囊肿,luan'chao'nang'zhong
卵黄囊,luan'huang'nang
卵泡,luan'pao
略大,lue'da
略小,lue'xiao
慢性,man'xing
慢性肝病,man'xing'gan'bing
毛糙,mao'cao
门静脉,men'jing'mai
密集,mi'ji
内膜,nei'mo
内膜增厚,nei'mo'zeng'hou
粘膜下,nian'mo'xia
膀胱,pang'guang
膀胱壁,pang'guang'bi
膀胱结石,pang'guang'jie'shi
膀胱占位,pang'guang'zhan'wei
胚芽,pei'ya
盆腔,pen'qiang
盆腔积液,pen'qiang'ji'ye
脾静脉,pi'jing'mai
脾破裂,pi'po'lie
皮下,pi'xia
脾脏,pi'zang
皮质,pi'zhi
脾肿大,pi'zhong'da
脐带绕颈,qi'dai'rao'jing
前壁,qian'bi
前壁胎盘,qian'bi'tai'pan
欠佳,qian'jia
欠均,qian'jun
前列腺,qian'lie'xian
前位,qian'wei
前置胎盘,qian'zhi'tai'pan
强光斑,qiang'guang'ban
强光带,qiang'guang'dai
强光点,qiang'guang'dian
强光团,qiang'guang'tuan
强回声,qiang'hui'sheng
巧克力囊肿,qiao'ke'li'nang'zhong
鞘膜积液,qiao'mo'ji'ye
轻度,qing'du
请结合临床,qing'jie'he'lin'chuang
缺如,que'ru
乳房,ru'fang
上段,shang'duan
上级,shang'ji
尚可,shang'ke
稍低回声,shao'di'hui'sheng
稍高回声,shao'gao'hui'sheng
少量,shao'liang
肾囊肿,shen'nang'zhong
肾上腺,shen'shang'xian
肾盂,shen'yu
肾柱,shen'zhu
输卵管,shu'luan'guan
数枚,shu'mei
输尿管,shu'niao'guan
栓塞,shuan'se
双侧,shuang'ce
双侧胸腔,shuang'ce'xiong'qiang
双层,shuang'ceng
双顶径,shuang'ding'jing
双肾积水,shuang'shen'ji'shui
双肾囊肿,shuang'shen'nang'zhong
双胎妊娠,shuang'tai'ren'shen
水肿,shui'zhong
随诊,sui'zhen
胎儿,tai'er
胎儿存活,tai'er'cun'huo
体积,ti'ji
头臀长,tou'tun'chang
臀位,tun'wei
未见,wei'jian
无回声,wu'hui'sheng
下段,xia'duan
下级,xia'ji
下移,xia'yi
纤维瘤,xian'wei'liu
小暗区,xiao'an'qu
小房小梁,xiao'fang'xiao'liang
小结节,xiao'jie'jie
小叶增生,xiao'ye'zeng'sheng
心搏,xin'bo
胸径,xiong'jing
胸腔,xiong'qiang
血管瘤,xue'guan'liu
血流通畅,xue'liu'tong'chang
血流信号,xue'liu'xin'hao
血肿,xue'zhong
羊水深度,yang'shui'shen'du
液性,ye'xing
液性暗区,ye'xing'an'qu
一般,yi'ban
胰腺,yi'xian
移植肾,yi'zhi'shen
硬化,ying'hua
右侧睾丸,you'ce'gao'wan
右侧颈动脉,you'ce'jing'dong'mai
右侧卵巢,you'ce'luan'chao
右侧输卵管,you'ce'shu'luan'guan
右侧胸腔,you'ce'xiong'qiang
右侧叶,you'ce'ye
右后叶,you'hou'ye
右乳,you'ru
右上腹,you'shang'fu
右上肢,you'shang'zhi
右肾,you'shen
右肾积水,you'shen'ji'shui
右肾囊肿,you'shen'nang'zhong
右肾缺如,you'shen'que'ru
右肾已切除,you'shen'yi'qie'chu
优势,you'shi
右下腹,you'xia'fu
右下肢,you'xia'zhi
右枕后,you'zhen'hou
右枕前,you'zhen'qian
孕囊,yun'nang
早孕,zao'yun
早早孕,zao'zao'yun
增厚,zeng'hou
增强,zeng'qiang
增生,zeng'sheng
占位,zhan'wei
脂肪肝,zhi'fang'gan
脂肪瘤,zhi'fang'liu
肿大,zhong'da
重度,zhong'du
中度,zhong'du
中段,zhong'duan
中级,zhong'ji
中量,zhong'liang
中位,zhong'wei
粥样,zhou'yang
潴留性,zhu'liu'xing
赘生物,zhui'sheng'wu
子宫,zi'gong
子宫肌瘤,zi'gong'ji'liu
子宫腺肌瘤,zi'gong'xian'ji'liu
子宫腺肌症,zi'gong'xian'ji'zheng
阻力指数,zu'li'zhi'shu
左侧睾丸,zuo'ce'gao'wan
左侧颈动脉,zuo'ce'jing'dong'mai
左侧卵巢,zuo'ce'luan'chao
左侧输卵管,zuo'ce'shu'luan'guan
左侧胸腔,zuo'ce'xiong'qiang
左侧叶,zuo'ce'ye
左后叶,zuo'hou'ye
左乳,zuo'ru
左上腹,zuo'shang'fu
左上肢,zuo'shang'zhi
左肾,zuo'shen
左肾积水,zuo'shen'ji'shui
左肾囊肿,zuo'shen'nang'zhong
左肾缺如,zuo'shen'que'ru
左肾已切除,zuo'shen'yi'qie'chu
左下腹,zuo'xia'fu
左下肢,zuo'xia'zhi
左枕后,zuo'zhen'hou
左枕前,zuo'zhen'qian
