阿巴嘎旗,a'ba'ga'qi
阿尔山,a'er'shan
阿尔泰,a'er'tai
阿古达木,a'gu'da'mu
阿古拉,a'gu'la
阿拉伯宫,a'la'bo'gong
阿拉善,a'la'shan
阿拉善盟,a'la'shan'meng
阿拉坦,a'la'tan
阿拉腾,a'la'teng
阿丽玛,a'li'ma
阿鲁科尔沁旗,a'lu'ke'er'qin'qi
阿穆隆,a'mu'long
阿荣旗,a'rong'qi
阿如汗,a'ru'han
阿茹娜,a'ru'na
爱民街,ai'min'jie
爱民路,ai'min'lu
奥都,ao'du
敖汉旗,ao'han'qi
敖日格勒,ao'ri'ge'le
巴根,ba'gen
坝口子,ba'kou'zi
巴林右旗,ba'lin'you'qi
巴林左旗,ba'lin'zuo'qi
巴盟,ba'meng
巴盟的,ba'meng'de
巴盟人,ba'meng'ren
巴特尔,ba'te'er
巴图,ba'tu
八仙筒,ba'xian'tong
巴雅尔,ba'ya'er
巴彦高勒,ba'yan'gao'le
巴彦浩特,ba'yan'hao'te
巴彦淖尔,ba'yan'nao'er
巴彦淖尔市,ba'yan'nao'er'shi
巴彦塔拉,ba'yan'ta'la
把爷,ba'ye
八一市场,ba'yi'shi'chang
白半袖,bai'ban'xiu
白嘎力,bai'ga'li
百灵庙,bai'ling'miao
白毛风,bai'mao'feng
白庙子,bai'miao'zi
白塔机场,bai'ta'ji'chang
白音华,bai'yin'hua
半裤,ban'ku
半亩地,ban'mu'di
半腿裤,ban'tui'ku
搬呀,ban'ya
包百,bao'bai
宝贝高劳,bao'bei'gao'lao
宝蛋儿,bao'dan'er
包钢,bao'gang
保合少,bao'he'shao
保护管理,bao'hu'guan'li
宝力格,bao'li'ge
包丽娜,bao'li'na
宝龙山,bao'long'shan
包暖,bao'nuan
保全庄,bao'quan'zhuang
包商银行,bao'shang'yin'hang
包师院,bao'shi'yuan
包头,bao'tou
包头吧,bao'tou'ba
包头的,bao'tou'de
包头东,bao'tou'dong
包头了,bao'tou'le
包头乐园,bao'tou'le'yuan
包头呢,bao'tou'ne
包头人,bao'tou'ren
包头市,bao'tou'shi
包头呀,bao'tou'ya
包头站,bao'tou'zhan
报呀,bao'ya
贝多美乐,bei'duo'mei'yue
贝尔路,bei'er'lu
北方新报,bei'fang'xin'bao
北沙梁,bei'sha'liang
北垣,bei'yuan
北垣街,bei'yuan'jie
贝子庙,bei'zi'miao
逼背,bi'bei
逼兜,bi'dou
碧海云天,bi'hai'yun'tian
比呼市,bi'hu'shi
毕克齐,bi'ke'qi
毕力格,bi'li'ge
逼拧,bi'ning
必须的哇,bi'xu'de'wa
必须哇,bi'xu'wa
别么,bie'me
滨河湾,bin'he'wan
波士名人,bo'shi'ming'ren
博物院,bo'wu'yuan
不爱见,bu'ai'jian
不大大,bu'da'da
不带要,bu'dai'yao
不带要了,bu'dai'yao'le
不带要去,bu'dai'yao'qu
不得呢,bu'de'ne
不多哇,bu'duo'wa
不好闹,bu'hao'nao
不好哇,bu'hao'wa
不红火,bu'hong'huo
不会哇,bu'hui'wa
不机密,bu'ji'mi
不进眼,bu'jin'yan
不进眼的,bu'jin'yan'de
不来呼市,bu'lai'hu'shi
不赖哇,bu'lai'wa
不老神鸡,bu'lao'shen'ji
不愣,bu'leng
不了哇,bu'liao'wa
不忙哇,bu'mang'wa
不能够了,bu'neng'gou'le
不能哇,bu'neng'wa
不扰你了,bu'rao'ni'le
不是哇,bu'shi'wa
不睡得了,bu'shui'de'le
不睡的呢,bu'shui'de'ne
不行哇,bu'xing'wa
不行行了,bu'xing'xing'le
不要逼脸,bu'yao'bi'lian
不用哇,bu'yong'wa
不在呼市,bu'zai'hu'shi
不在哇,bu'zai'wa
不知道的呢,bu'zhi'dao'de'ne
不知道咋啦,bu'zhi'dao'za'la
不至于哇,bu'zhi'yu'wa
猜不见,cai'bu'jian
菜根香,cai'gen'xiang
菜货,cai'huo
猜见,cai'jian
财院,cai'yuan
草场,cao'chang
操磨,cao'mo
草原的,cao'yuan'de
草原歌曲,cao'yuan'ge'qu
草原狼,cao'yuan'lang
草原了,cao'yuan'le
草原明珠,cao'yuan'ming'zhu
差不多哇,cha'bu'duo'wa
查布嘎,cha'bu'ga
查干,cha'gan
察哈尔,cha'ha'er
察素齐,cha'su'qi
察右后旗,cha'you'hou'qi
察右中旗,cha'you'zhong'qi
长安金座,chang'an'jin'zuo
厂汉板,chang'han'ban
长乐宫,chang'le'gong
长乐湾,chang'le'wan
畅通驾校,chang'tong'jia'xiao
朝鲁,chao'lu
朝鲁门,chao'lu'men
炒面筋,chao'mian'jin
车站东街,che'zhan'dong'jie
车站西街,che'zhan'xi'jie
陈列品,chen'lie'pin
城发,cheng'fa
成吉思汗,cheng'ji'si'han
成吉思汗大街,cheng'ji'si'han'da'jie
城市人家,cheng'shi'ren'jia
迟到呀,chi'dao'ya
吃的啥了,chi'de'sha'le
吃饭不了,chi'fan'bu'liao
吃饭的了,chi'fan'de'le
吃饭的呢,chi'fan'de'ne
吃饭个呀,chi'fan'ge'ya
吃饭哇,chi'fan'wa
赤峰,chi'feng
赤峰了,chi'feng'le
赤峰人,chi'feng'ren
赤峰市,chi'feng'shi
赤峰学院,chi'feng'xue'yuan
吃糕,chi'gao
吃个哇,chi'ge'wa
吃个早点,chi'ge'zao'dian
吃坏呀,chi'huai'ya
吃劲,chi'jin
敕勒川,chi'le'chuan
敕勒歌,chi'le'ge
吃了口饭,chi'le'kou'fan
吃了哇,chi'le'wa
吃焖面,chi'men'mian
吃呢哇,chi'ne'wa
吃啥来,chi'sha'lai
吃啥呀,chi'sha'ya
吃上的,chi'shang'de
吃烧卖,chi'shao'mai
