扒丝,ba'si
八字针,ba'zi'zhen
百代丽,bai'dai'li
百带丽,bai'dai'li
棒槌花边,bang'chui'hua'bian
包花,bao'hua
包针,bao'zhen
编席绣,bian'xi'xiu
汴绣,bian'xiu
编针,bian'zhen
编织针,bian'zhi'zhen
辫子股针,bian'zi'gu'zhen
缤纹针,bin'wen'zhen
冰纹针,bing'wen'zhen
拨针绣,bo'zhen'xiu
补布绣,bu'bu'xiu
补花,bu'hua
补画绣,bu'hua'xiu
补绣,bu'xiu
彩锦绣,cai'jin'xiu
彩平绣,cai'ping'xiu
藏针,cang'zhen
藏针绣,cang'zhen'xiu
叉针,cha'zhen
插针,cha'zhen
插针绣,cha'zhen'xiu
羼针,chan'zhen
掺针绣,chan'zhen'xiu
长短针,chang'duan'zhen
长短针绣,chang'duan'zhen'xiu
常熟花边,chang'shu'hua'bian
长穗子针,chang'sui'zi'zhen
长针,chang'zhen
车凝针绣,che'ning'zhen'xiu
成合,cheng'he
乘云绣,cheng'yun'xiu
絺绣,chi'xiu
抽纱,chou'sha
抽丝,chou'si
抽丝绣,chou'si'xiu
出边,chu'bian
穿纱,chuan'sha
川绣,chuan'xiu
串针,chuan'zhen
穿珠,chuan'zhu
春秋窃曲纹绣,chun'qiu'qie'qu'wen'xiu
戳纱,chuo'sha
戳纱绣,chuo'sha'xiu
刺绣,ci'xiu
刺绣操作,ci'xiu'cao'zuo
刺绣花样,ci'xiu'hua'yang
蹙金,cu'jin
错针绣,cuo'zhen'xiu
打边针,da'bian'zhen
打倒子,da'dao'zi
打点绣,da'dian'xiu
大乱针,da'luan'zhen
打子,da'zi
打籽,da'zi
打子针,da'zi'zhen
涤纶突花,di'lun'tu'hua
点针子,dian'zhen'zi
雕补花,diao'bu'hua
刁绣,diao'xiu
雕绣,diao'xiu
迭格针,die'ge'zhen
迭鳞针,die'lin'zhen
迭抢针,die'qiang'zhen
迭绣,die'xiu
钉带,ding'dai
钉线绣,ding'xian'xiu
钉小线,ding'xiao'xian
钉针绣,ding'zhen'xiu
缎绣,duan'xiu
短针,duan'zhen
对扣针,dui'kou'zhen
堆绫,dui'ling
对拼法,dui'pin'fa
二连花针,er'lian'hua'zhen
二列针,er'lie'zhen
二针半绣,er'zhen'ban'xiu
发绣,fa'xiu
翻底菊花针,fan'di'ju'hua'zhen
反抢针,fan'qiang'zhen
方格网针,fang'ge'wang'zhen
方块,fang'kuai
仿十字绣,fang'shi'zi'xiu
菲力,fei'li
飞针绣,fei'zhen'xiu
分皮,fen'pi
风车针,feng'che'zhen
凤凰双栖图顾绣,feng'huang'shuang'qi'tu'gu'xiu
复式锁边针,fu'shi'suo'bian'zhen
盖针,gai'zhen
高绣,gao'xiu
格锦,ge'jin
钩针,gou'zhen
钩针花边,gou'zhen'hua'bian
钩针绣,gou'zhen'xiu
顾氏露香园绣,gu'shi'lu'xiang'yuan'xiu
顾绣,gu'xiu
刮绒,gua'rong
贯针绣,guan'zhen'xiu
广绣,guang'xiu
广州金银线绣,guang'zhou'jin'yin'xian'xiu
桂花针,gui'hua'zhen
闺绣画,gui'xiu'hua
滚针,gun'zhen
滚针绣,gun'zhen'xiu
汉绣,han'xiu
韩媛绣,han'yuan'xiu
鹤街灵芝图顾绣,he'jie'ling'zhi'tu'gu'xiu
横参针,heng'can'zhen
花边,hua'bian
画绣,hua'xiu
画样,hua'yang
花针,hua'zhen
回针,hui'zhen
鸡毛针,ji'mao'zhen
集套,ji'tao
记线,ji'xian
机绣,ji'xiu
记针,ji'zhen
绩针绣,ji'zhen'xiu
剪彩绣,jian'cai'xiu
交叠针,jiao'die'zhen
绞形针,jiao'xing'zhen
接参针,jie'can'zhen
借色绣,jie'se'xiu
接针,jie'zhen
接针绣,jie'zhen'xiu
结子针,jie'zi'zhen
晋南民间绣,jin'nan'min'jian'xiu
锦上添花针,jin'shang'tian'hua'zhen
锦上织花针,jin'shang'zhi'hua'zhen
锦纹绣,jin'wen'xiu
锦绣,jin'xiu
精微绣,jing'wei'xiu
京绣,jing'xiu
井字拼,jing'zi'pin
刻鳞针,ke'lin'zhen
空心绣,kong'xin'xiu
扣边,kou'bian
扣雕,kou'diao
扣圈针,kou'quan'zhen
扣圈子,kou'quan'zi
扣针绣,kou'zhen'xiu
捆针,kun'zhen
拉毛绣,la'mao'xiu
拉丝绣,la'si'xiu
拉锁子针,la'suo'zi'zhen
拉尾子针,la'wei'zi'zhen
勒针,le'zhen
勒针绣,le'zhen'xiu
帘绣,lian'xiu
龙凤虎纹绣,long'feng'hu'wen'xiu
露底,lou'di
鲁格绣,lu'ge'xiu
露香园顾绣,lu'xiang'yuan'gu'xiu
露香园绣,lu'xiang'yuan'xiu
鲁绣,lu'xiu
乱针绣,luan'zhen'xiu
轮廓绣,lun'kuo'xiu
轮形针,lun'xing'zhen
落绷,luo'beng
螺线结针,luo'xian'jie'zhen
落针,luo'zhen
麻绣,ma'xiu
马鬃绣,ma'zong'xiu
满地绣,man'di'xiu
毛巾绣,mao'jin'xiu
毛针,mao'zhen
扪针,men'zhen
猛方,meng'fang
