保护环境,bao'hu'huan'jing
差距,cha'ju
产业结构,chan'ye'jie'gou
充分利用,chong'fen'li'yong
的财政投入行业和地区,de'cai'zheng'tou'ru'hang'ye'he'di'qu
对外开放,dui'wai'kai'fang
发展方式和模型,fa'zhan'fang'shi'he'mo'xing
防范意识,fang'fan'yi'shi
方式,fang'shi
公正,gong'zheng
管理,guan'li
管理创新,guan'li'chuang'xin
规则意识,gui'ze'yi'shi
国际国内,guo'ji'guo'nei
国际合作,guo'ji'he'zuo
国民素质和技能,guo'min'su'zhi'he'ji'neng
宏观调控,hong'guan'tiao'kong
化配置,hua'pei'zhi
环境良好型社会,huan'jing'liang'hao'xing'she'hui
加大对,jia'da'dui
加大科研力度,jia'da'ke'yan'li'du
加强,jia'qiang
坚持,jian'chi
建立健全,jian'li'jian'quan
建立健全坚持和完善,jian'li'jian'quan'jian'chi'he'wan'shan
建设,jian'she
结构,jie'gou
结构调整,jie'gou'tiao'zheng
节约资源,jie'yue'zi'yuan
经济安全,jing'ji'an'quan
经济发展,jing'ji'fa'zhan
经济水平,jing'ji'shui'ping
经济学中与国家相关的专业术语,jing'ji'xue'zhong'yu'guo'jia'xiang'guan'de'zhuan'ye'shu'yu
开放,kai'fang
科技,ke'ji
科技进步,ke'ji'jin'bu
科技进步和创新,ke'ji'jin'bu'he'chuang'xin
劳动者素质,lao'dong'zhe'su'zhi
满足需要改善,man'zu'xu'yao'gai'shan
贸易摩擦,mao'yi'mo'ca
农业基础地位,nong'ye'ji'chu'di'wei
区域,qu'yu
区域发展,qu'yu'fa'zhan
三农问题,san'nong'wen'ti
社会主义,she'hui'zhu'yi
市场,shi'chang
实现资源的,shi'xian'zi'yuan'de
实现资源的优化配置,shi'xian'zi'yuan'de'you'hua'pei'zhi
缩小,suo'xiao
提高,ti'gao
提高劳动生产率和经济效益,ti'gao'lao'dong'sheng'chan'lv'he'jing'ji'xiao'yi
统筹,tong'chou
统筹城乡发展,tong'chou'cheng'xiang'fa'zhan
投入,tou'ru
推动,tui'dong
推进,tui'jin
相结合,xiang'jie'he
消费结构,xiao'fei'jie'gou
协调处理好,xie'tiao'chu'li'hao
协调发展,xie'tiao'fa'zhan
新农村建设,xin'nong'cun'jian'she
信誉和形象,xin'yu'he'xing'xiang
以城带乡,yi'cheng'dai'xiang
以工促农,yi'gong'cu'nong
依靠,yi'kao
引进来,yin'jin'lai
优化升级,you'hua'sheng'ji
优势互补,you'shi'hu'bu
有效应对,you'xiao'ying'dui
增强,zeng'qiang
者和员工的权益遵守贸易规则,zhe'he'yuan'gong'de'quan'yi'zun'shou'mao'yi'gui'ze
政策和制度,zheng'ce'he'zhi'du
正当竞争尊重保护消费,zheng'dang'jing'zheng'zun'zhong'bao'hu'xiao'fei
重视,zhong'shi
转变,zhuan'bian
资源,zi'yuan
资源节约型,zi'yuan'jie'yue'xing
自主创新能力,zi'zhu'chuang'xin'neng'li
总结三,zong'jie'san
走出去,zou'chu'qu
遵守规则正当竞争,zun'shou'gui'ze'zheng'dang'jing'zheng
