爱因斯坦关系,ai'yin'si'tan'guan'xi
按比例缩小,an'bi'li'suo'xiao
暗电流,an'dian'liu
摆幅,bai'fu
白噪声,bai'zao'sheng
半导体,ban'dao'ti
半速率,ban'su'lv
版图,ban'tu
薄层电阻,bao'ceng'dian'zu
饱和区,bao'he'qu
保护环,bao'hu'huan
薄膜混合,bao'mo'hun'he
薄膜晶体,bao'mo'jing'ti
倍增,bei'zeng
倍增因子,bei'zeng'yin'zi
本底掺杂,ben'di'chan'za
本底载流子,ben'di'zai'liu'zi
本征,ben'zheng
本征半导体,ben'zheng'ban'dao'ti
闭环带宽,bi'huan'dai'kuan
闭环增益集电极,bi'huan'zeng'yi'ji'dian'ji
闭锁,bi'suo
边界条件,bian'jie'tiao'jian
扁平封装,bian'ping'feng'zhuang
边墙电容,bian'qiang'dian'rong
变容管,bian'rong'guan
变阻器,bian'zu'qi
并行数据,bing'xing'shu'ju
波导,bo'dao
波尔兹曼,bo'er'zi'man
波粒二相性,bo'li'er'xiang'xing
波数,bo'shu
泊松方程,bo'song'fang'cheng
波特图,bo'te'tu
补偿半导体,bu'chang'ban'dao'ti
补偿运放,bu'chang'yun'fang
补偿杂质,bu'chang'za'zhi
捕获,bu'huo
捕获范围,bu'huo'fan'wei
捕获时间,bu'huo'shi'jian
布局布线,bu'ju'bu'xian
布里渊,bu'li'yuan
布里渊区,bu'li'yuan'qu
布洛赫,bu'luo'he
布线,bu'xian
采样电路,cai'yang'dian'lu
参数,can'shu
层错,ceng'cuo
差分运放,cha'fen'yun'fang
差模输入,cha'mo'shu'ru
产生复合,chan'sheng'fu'he
掺杂半导体,chan'za'ban'dao'ti
掺杂剂,chan'za'ji
掺杂浓度,chan'za'nong'du
场效应晶体管,chang'xiao'ying'jing'ti'guan
场氧化层,chang'yang'hua'ceng
超晶格,chao'jing'ge
衬底,chen'di
驰豫,chi'yu
驰豫时间,chi'yu'shi'jian
触发器翻转,chu'fa'qi'fan'zhuan
串并转换,chuan'bing'zhuan'huan
传感器,chuan'gan'qi
穿交,chuan'jiao
串联,chuan'lian
串联电感,chuan'lian'dian'gan
传输函数,chuan'shu'han'shu
传输器,chuan'shu'qi
传输线,chuan'shu'xian
传输延时,chuan'shu'yan'shi
穿通,chuan'tong
串行,chuan'xing
串行数据,chuan'xing'shu'ju
次平面,ci'ping'mian
存储时间,cun'chu'shi'jian
待命状态,dai'ming'zhuang'tai
氮化硅,dan'hua'gui
单结,dan'jie
单晶,dan'jing
单位增益频率,dan'wei'zeng'yi'pin'lv
单向开关,dan'xiang'kai'guan
导带,dao'dai
导带态,dao'dai'tai
倒核子,dao'he'zi
导纳允带,dao'na'yun'dai
导体,dao'ti
德拜长度,de'bai'chang'du
德布洛意,de'bu'luo'yi
等离子体,deng'li'zi'ti
等能面,deng'neng'mian
等效电路,deng'xiao'dian'lu
狄拉克分布,di'la'ke'fen'bu
狄氏效应,di'shi'xiao'ying
电导,dian'dao
电导率,dian'dao'lv
电感,dian'gan
电荷泵,dian'he'beng
电荷泵锁相环,dian'he'beng'suo'xiang'huan
电荷电荷补偿效应,dian'he'dian'he'bu'chang'xiao'ying
电荷共享,dian'he'gong'xiang
电荷守恒,dian'he'shou'heng
电极,dian'ji
淀积薄膜,dian'ji'bao'mo
淀积工艺,dian'ji'gong'yi
点接触,dian'jie'chu
电离,dian'li
电离能,dian'li'neng
电流饱和区,dian'liu'bao'he'qu
电流舵,dian'liu'duo
电流镜,dian'liu'jing
电流密度,dian'liu'mi'du
电流模,dian'liu'mo
电流漂移,dian'liu'piao'yi
电流取样,dian'liu'qu'yang
电流失配,dian'liu'shi'pei
电迁移,dian'qian'yi
电容,dian'rong
电中性条件,dian'zhong'xing'tiao'jian
电子伏,dian'zi'fu
电子俘获中心,dian'zi'fu'huo'zhong'xin
电子级纯水,dian'zi'ji'chun'shui
电子能,dian'zi'neng
电子气,dian'zi'qi
电子亲和势,dian'zi'qin'he'shi
电子束曝光,dian'zi'shu'bao'guang
电阻率,dian'zu'lv
电阻增量,dian'zu'zeng'liang
定制集成电路,ding'zhi'ji'cheng'dian'lu
动态范围,dong'tai'fan'wei
动态属性,dong'tai'shu'xing
动态阻抗,dong'tai'zu'kang
抖动,dou'dong
渡越时间,du'yue'shi'jian
短沟道,duan'gou'dao
对准,dui'zhun
钝化,dun'hua
钝化界面,dun'hua'jie'mian
多晶,duo'jing
多晶硅,duo'jing'gui
多路复用,duo'lu'fu'yong
厄利效应,e'li'xiao'ying
