阿能面,a'neng'mian
阿奴,a'nu
啊呜卵,a'wu'luan
啊呜软,a'wu'ruan
阿英煲,a'ying'bao
爱白的,ai'bai'de
爱的礼物,ai'de'li'wu
爱好到,ai'hao'dao
爱心园,ai'xin'yuan
暗咯咯,an'ge'ge
安君君,an'jun'jun
安乐路,an'le'lu
暗落落,an'luo'luo
暗落落的,an'luo'luo'de
安职,an'zhi
奥开,ao'kai
奥群,ao'qun
懊糟,ao'zao
澳洲花园,ao'zhou'hua'yuan
八吊,ba'diao
巴黎都市,ba'li'du'shi
八位,ba'wei
百步,bai'bu
百步桥,bai'bu'qiao
百步镇,bai'bu'zhen
百尺,bai'chi
白荡漾,bai'dang'yang
百合春天,bai'he'chun'tian
百合新城,bai'he'xin'cheng
百岁鱼,bai'sui'yu
搬家酒,ban'jia'jiu
煲店,bao'dian
保暖鞋,bao'nuan'xie
包衣服,bao'yi'fu
被不出,bei'bu'chu
背的出,bei'de'chu
被你看穿,bei'ni'kan'chuan
被头,bei'tou
笨的来,ben'de'lai
本然,ben'ran
碧水云天,bi'shui'yun'tian
必须的咯,bi'xu'de'ge
碧云花园,bi'yun'hua'yuan
碧中海,bi'zhong'hai
并不老,bing'bu'lao
不搭噶,bu'da'ga
不发你,bu'fa'ni
不发我,bu'fa'wo
不来拍,bu'lai'pai
不来撒,bu'lai'sa
不来塞,bu'lai'sai
不来三,bu'lai'san
不难为情,bu'nan'wei'qing
不然么,bu'ran'me
不是蛮好的,bu'shi'man'hao'de
不舒服来,bu'shu'fu'lai
不爽来,bu'shuang'lai
不在嘉兴,bu'zai'jia'xing
擦呀,ca'ya
才古,cai'gu
菜花泾,cai'hua'jing
采杨梅,cai'yang'mei
草狗,cao'gou
曹庄,cao'zhuang
差差不多,cha'cha'bu'duo
差的来,cha'de'lai
茶香坊,cha'xiang'fang
长安的,chang'an'de
长安了,chang'an'le
长安桥,chang'an'qiao
长安镇,chang'an'zhen
长鼻王,chang'bi'wang
长埭路,chang'dai'lu
场地考,chang'di'kao
昌盛路,chang'sheng'lu
常秀街,chang'xiu'jie
潮人会,chao'ren'hui
陈玉婷,chen'yu'ting
城北路,cheng'bei'lu
乘风凉,cheng'feng'liang
乘公交车,cheng'gong'jiao'che
城南公园,cheng'nan'gong'yuan
城南花园,cheng'nan'hua'yuan
城南路,cheng'nan'lu
成校,cheng'xiao
吃棒冰,chi'bang'bing
吃不光,chi'bu'guang
吃好中饭,chi'hao'zhong'fan
吃客,chi'ke
吃了空,chi'le'kong
吃离开,chi'li'kai
吃力来,chi'li'lai
崇德,chong'de
崇福,chong'fu
崇福镇,chong'fu'zhen
出去哇,chu'qu'wa
床里了,chuang'li'le
春晓源,chun'xiao'yuan
从嘉兴,cong'jia'xing
聪明来,cong'ming'lai
大饼油条,da'bing'you'tiao
大的来,da'de'lai
大发大,da'fa'da
打好电话,da'hao'dian'hua
打好折,da'hao'zhe
大嘉兴,da'jia'xing
打卷,da'juan
搭牢了,da'lao'le
大麻镇,da'ma'zhen
大年夜,da'nian'ye
打姘头,da'pin'tou
大桥镇,da'qiao'zhen
大缺口,da'que'kou
大舜,da'shun
打我短信,da'wo'duan'xin
打我个,da'wo'ge
大新路,da'xin'lu
大学酒,da'xue'jiu
大洋洲,da'yang'zhou
大浙江,da'zhe'jiang
