拔模,ba'mo
斑马条纹,ban'ma'tiao'wen
薄壁特征,bao'bi'te'zheng
爆炸视图,bao'zha'shi'tu
闭环轮廓,bi'huan'lun'kuo
边界框,bian'jie'kuang
边线,bian'xian
边线法兰,bian'xian'fa'lan
表面,biao'mian
标准三视图,biao'zhun'san'shi'tu
布局草图,bu'ju'cao'tu
材料明细表,cai'liao'ming'xi'biao
参考尺寸,can'kao'chi'cun
参考几何体,can'kao'ji'he'ti
参考文档,can'kao'wen'dang
参数,can'shu
参数曲线,can'shu'qu'xian
草图,cao'tu
侧影轮廓线,ce'ying'lun'kuo'xian
成形工具,cheng'xing'gong'ju
成组的零件序号,cheng'zu'de'ling'jian'xu'hao
尺寸界线,chi'cun'jie'xian
尺寸链,chi'cun'lian
尺寸线,chi'cun'xian
重建模型,chong'jian'mo'xing
重新排序,chong'xin'pai'xu
重装,chong'zhuang
抽壳,chou'ke
穿透几何关系,chuan'tou'ji'he'guan'xi
从动尺寸,cong'dong'chi'cun
单击单击,dan'ji'dan'ji
单击拖动,dan'ji'tuo'dong
倒角,dao'jiao
顶点,ding'dian
定位点,ding'wei'dian
动态间距,dong'tai'jian'ju
断开的剖视图,duan'kai'de'pou'shi'tu
对齐,dui'qi
对象,dui'xiang
多实体零件,duo'shi'ti'ling'jian
方程式,fang'cheng'shi
放样,fang'yang
放样的折弯,fang'yang'de'zhe'wan
非关联特征,fei'guan'lian'te'zheng
非交叉轮廓,fei'jiao'cha'lun'kuo
分割线,fen'ge'xian
分离工程图,fen'li'gong'cheng'tu
缝合,feng'he
封套,feng'tao
覆盖,fu'gai
父关系,fu'guan'xi
附加点,fu'jia'dian
干涉检查,gan'she'jian'cha
工程图,gong'cheng'tu
工程图图纸,gong'cheng'tu'tu'zhi
共享数值,gong'xiang'shu'zhi
构造几何线,gou'zao'ji'he'xian
关联特征,guan'lian'te'zheng
过定义,guo'ding'yi
焊件,han'jian
焊件切割清单,han'jian'qie'ge'qing'dan
还原,huan'yuan
混合,hun'he
几何关系,ji'he'guan'xi
基体,ji'ti
基准尺寸,ji'zhun'chi'cun
基准面,ji'zhun'mian
尖角,jian'jiao
尖角折弯,jian'jiao'zhe'wan
交替位置视图,jiao'ti'wei'zhi'shi'tu
解除爆炸,jie'chu'bao'zha
截面,jie'mian
镜向,jing'xiang
局部视图,ju'bu'shi'tu
开环轮廓,kai'huan'lun'kuo
孔表,kong'biao
控标,kong'biao
扣件,kou'jian
库特征,ku'te'zheng
拉伸,la'shen
立体型雕,li'ti'xing'diao
链接尺寸,lian'jie'chi'cun
连续性,lian'xu'xing
临时轴,lin'shi'zhou
零部件,ling'bu'jian
零件,ling'jian
零件序号,ling'jian'xu'hao
路径,lu'jing
轮廓,lun'kuo
螺旋线,luo'xuan'xian
模型,mo'xing
模型尺寸,mo'xing'chi'cun
模型视图,mo'xing'shi'tu
模型项目,mo'xing'xiang'mu
模板,mu'ban
模具,mu'ju
拟合公差,ni'he'gong'cha
派生草图,pai'sheng'cao'tu
派生零件,pai'sheng'ling'jian
配合,pei'he
配合参考,pei'he'can'kao
配合文件夹,pei'he'wen'jian'jia
配置,pei'zhi
平面,ping'mian
剖面范围,pou'mian'fan'wei
剖面视图,pou'mian'shi'tu
剖面线,pou'mian'xian
欠定义,qian'ding'yi
切边,qie'bian
切除,qie'chu
切口,qie'kou
切线弧,qie'xian'hu
轻化,qing'hua
驱动尺寸,qu'dong'chi'cun
曲率,qu'lv
区域剖面线,qu'yu'pou'mian'xian
全局变量,quan'ju'bian'liang
任务窗格,ren'wu'chuang'ge
三重轴,san'chong'zhou
扫描,sao'miao
上色,shang'shai
设计库,she'ji'ku
设计树,she'ji'shu
视口,shi'kou
实例,shi'li
实体扫描,shi'ti'sao'miao
输出,shu'chu
输入,shu'ru
特征,te'zheng
特征线,te'zheng'xian
替换,ti'huan
填充,tian'chong
停放点,ting'fang'dian
投影尺寸,tou'ying'chi'cun
投影视图,tou'ying'shi'tu
图层,tu'ceng
图形区域,tu'xing'qu'yu
图纸,tu'zhi
图纸格式,tu'zhi'ge'shi
退回,tui'hui
推理,tui'li
外观标注,wai'guan'biao'zhu
完全定义,wan'quan'ding'yi
网格系统,wang'ge'xi'tong
未吸收,wei'xi'shou
文档,wen'dang
涡状线,wo'zhuang'xian
物理动力学,wu'li'dong'li'xue
系列零件设计表,xi'lie'ling'jian'she'ji'biao
吸收,xi'shou
线架图,xian'jia'tu
显示,xian'shi
相对视图,xiang'dui'shi'tu
消除隐藏线,xiao'chu'yin'cang'xian
斜接法兰,xie'jie'fa'lan
斜面,xie'mian
型腔,xing'qiang
形位公差,xing'wei'gong'cha
修订表,xiu'ding'biao
虚拟交点,xu'ni'jiao'dian
悬空,xuan'kong
旋转,xuan'zhuan
压缩,ya'suo
延伸线,yan'shen'xian
样条曲线,yang'tiao'qu'xian
隐藏线可见,yin'cang'xian'ke'jian
引导曲线,yin'dao'qu'xian
引线,yin'xian
预定义的视图,yu'ding'yi'de'shi'tu
原本格式,yuan'ben'ge'shi
原点,yuan'dian
圆角,yuan'jiao
圆角边角,yuan'jiao'bian'jiao
圆角折弯,yuan'jiao'zhe'wan
圆形角,yuan'xing'jiao
约束,yue'shu
运动算例,yun'dong'suan'li
褶边,zhe'bian
折弯,zhe'wan
阵列,zhen'lie
真实尺寸,zhen'shi'chi'cun
质量属性,zhi'liang'shu'xing
智能扣件,zhi'neng'kou'jian
直线,zhi'xian
中空,zhong'kong
中心符号线,zhong'xin'fu'hao'xian
中心线,zhong'xin'xian
注解,zhu'jie
转化器,zhuan'hua'qi
转折,zhuan'zhe
装配体,zhuang'pei'ti
装饰螺纹线,zhuang'shi'luo'wen'xian
自上而下的设计,zi'shang'er'xia'de'she'ji
子特征,zi'te'zheng
自下而上设计,zi'xia'er'shang'she'ji
自由度,zi'you'du
子装配体,zi'zhuang'pei'ti
坐标系,zuo'biao'xi
