奥斯特,ao'si'te
饱和磁感应强度,bao'he'ci'gan'ying'qiang'du
饱和磁化强度,bao'he'ci'hua'qiang'du
饱和磁极化强度,bao'he'ci'ji'hua'qiang'du
饱和磁通,bao'he'ci'tong
壁,bi
比饱和磁化强度,bi'bao'he'ci'hua'qiang'du
比磁化率,bi'ci'hua'lv
比磁化强度,bi'ci'hua'qiang'du
变磁性,bian'ci'xing
波尔磁子,bo'er'ci'zi
材料磁滞常数,cai'liao'ci'zhi'chang'shu
场冷却,chang'leng'que
超导磁化率计,chao'dao'ci'hua'lv'ji
超导磁体,chao'dao'ci'ti
超导结,chao'dao'jie
超导量子磁强计,chao'dao'liang'zi'ci'qiang'ji
超导临界磁场强度,chao'dao'lin'jie'ci'chang'qiang'du
超导生物磁强计,chao'dao'sheng'wu'ci'qiang'ji
超顺磁性,chao'shun'ci'xing
充磁,chong'ci
冲击检流计,chong'ji'jian'liu'ji
畴壁,chou'bi
垂直磁化,chui'zhi'ci'hua
磁暴,ci'bao
磁层,ci'ceng
磁场强度,ci'chang'qiang'du
磁常数,ci'chang'shu
磁秤,ci'cheng
磁斥力,ci'chi'li
磁弛豫,ci'chi'yu
磁畴,ci'chou
磁导,ci'dao
磁导计,ci'dao'ji
磁导率的不稳定度,ci'dao'lv'de'bu'wen'ding'du
磁导率的不稳定因子,ci'dao'lv'de'bu'wen'ding'yin'zi
磁导率的温度系数,ci'dao'lv'de'wen'du'xi'shu
磁导率减落系数,ci'dao'lv'jian'luo'xi'shu
磁导率减落因子,ci'dao'lv'jian'luo'yin'zi
磁电阻效应,ci'dian'zu'xiao'ying
磁轭,ci'e
磁粉,ci'fen
磁各向异性,ci'ge'xiang'yi'xing
磁各向异性常数,ci'ge'xiang'yi'xing'chang'shu
磁各向异性能,ci'ge'xiang'yi'xing'neng
磁共振,ci'gong'zhen
磁光效应,ci'guang'xiao'ying
磁化,ci'hua
磁化率,ci'hua'lv
磁化强度,ci'hua'qiang'du
磁化曲线,ci'hua'qu'xian
磁化学效应,ci'hua'xue'xiao'ying
磁极化强度,ci'ji'hua'qiang'du
磁记录,ci'ji'lu
磁记录介质,ci'ji'lu'jie'zhi
